Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2018-03-13,176.45,182.0,176.45,179.8,179.9,759895.0,1363.09
2018-03-12,176.9,179.2,170.6,174.6,173.55,483188.0,842.56
2018-03-09,180.35,180.4,174.05,175.5,174.95,451632.0,799.21
2018-03-08,182.95,185.95,177.0,178.55,179.15,583357.0,1053.24
2018-03-07,188.0,189.6,178.0,181.8,180.9,594286.0,1085.78
2018-03-06,195.4,196.75,187.1,187.4,189.2,431134.0,828.56
2018-03-05,198.0,198.6,192.45,193.15,193.15,456422.0,889.4
2018-03-01,194.8,202.3,194.0,199.5,198.85,430277.0,854.11
2018-02-28,197.5,198.8,194.35,195.95,195.75,242509.0,476.22
2018-02-27,201.3,201.35,196.5,199.15,198.65,338956.0,674.19
2018-02-26,202.5,203.75,198.7,200.0,200.5,380646.0,766.0
2018-02-23,202.4,203.95,200.0,202.2,202.15,373076.0,754.9
2018-02-22,203.0,204.8,199.2,199.25,200.25,553729.0,1116.71
2018-02-21,218.0,218.0,204.25,206.7,206.55,4184886.0,8761.71
2018-02-20,199.45,202.0,197.0,197.9,197.85,337197.0,670.66
2018-02-19,203.5,203.8,191.25,198.8,198.7,924687.0,1815.95
2018-02-16,210.4,211.1,203.2,204.85,204.55,404882.0,834.89
2018-02-15,209.8,212.0,202.25,210.45,210.4,1432973.0,2999.98
2018-02-14,204.8,213.0,204.8,207.7,208.4,1208517.0,2531.56
2018-02-12,200.0,207.5,200.0,203.1,203.4,505218.0,1030.14
2018-02-09,192.5,199.8,192.5,198.45,198.55,547157.0,1072.33
2018-02-08,190.9,204.4,190.9,199.1,199.05,809705.0,1616.34
2018-02-07,191.5,192.9,189.4,190.6,190.45,360440.0,686.63
2018-02-06,182.05,188.0,178.15,186.0,185.35,714841.0,1314.79
2018-02-05,185.0,195.9,178.65,191.4,191.65,716810.0,1355.64
2018-02-02,199.5,199.5,186.0,193.0,190.85,700638.0,1360.62
2018-02-01,203.0,206.5,197.6,201.65,201.65,514063.0,1040.84
2018-01-31,203.3,207.3,200.05,201.25,202.2,490068.0,995.06
2018-01-30,207.0,208.1,202.45,206.0,203.7,481353.0,983.62
2018-01-29,211.9,213.85,206.0,207.0,207.1,357829.0,746.37
2018-01-25,214.3,215.3,208.5,210.0,210.05,498472.0,1055.14
2018-01-24,224.3,224.6,212.9,214.0,214.35,723712.0,1575.98
2018-01-23,231.3,233.35,222.8,224.0,224.8,814258.0,1852.04
2018-01-22,224.9,233.55,224.65,229.35,229.5,561466.0,1290.23
