Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2018-03-13,857.0,864.7,849.65,854.2,854.4,626822.0,5375.69
2018-03-12,858.0,861.6,842.0,859.1,857.55,647041.0,5516.18
2018-03-09,862.7,862.7,848.35,852.7,851.45,501428.0,4282.6
2018-03-08,845.0,858.25,833.0,856.5,855.35,1013611.0,8551.48
2018-03-07,856.3,866.5,832.0,837.9,837.85,997183.0,8451.75
2018-03-06,879.0,888.7,856.3,859.7,861.5,1025518.0,9006.96
2018-03-05,882.0,885.0,867.6,873.1,872.7,592793.0,5179.71
2018-03-01,904.3,906.9,882.0,885.0,885.05,1725774.0,15422.46
2018-02-28,868.5,896.75,864.0,894.6,892.85,1385116.0,12237.83
2018-02-27,890.0,894.7,864.7,870.25,870.7,926636.0,8127.64
2018-02-26,886.6,894.5,878.4,886.1,886.85,984143.0,8736.66
2018-02-23,879.0,887.0,872.9,877.4,878.6,1131810.0,9963.45
2018-02-22,859.7,876.35,855.05,875.4,871.4,1464051.0,12690.25
2018-02-21,861.2,866.1,851.2,858.0,858.25,1101407.0,9448.91
2018-02-20,860.5,864.0,840.55,853.85,852.55,1131137.0,9654.89
2018-02-19,880.0,898.5,846.85,860.3,858.05,3267442.0,28594.01
2018-02-16,877.0,887.0,865.0,877.35,877.65,926593.0,8103.13
2018-02-15,893.0,901.0,865.0,877.0,873.6,1447481.0,12811.86
2018-02-14,907.0,907.8,884.15,888.0,887.7,1003321.0,8971.32
2018-02-12,912.0,918.0,896.7,901.55,901.5,1093389.0,9897.12
2018-02-09,875.0,915.9,875.0,910.0,910.7,1581578.0,14346.62
2018-02-08,912.0,913.65,894.1,908.3,906.8,1312194.0,11857.01
2018-02-07,914.0,922.95,902.0,908.0,912.0,3078865.0,28134.04
2018-02-06,850.0,901.95,836.05,892.2,891.65,2966125.0,25953.63
2018-02-05,840.0,898.7,834.6,894.7,878.95,1535096.0,13256.59
