Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2018-03-13,253.05,256.0,251.85,252.0,252.95,13871.0,35.19
2018-03-12,255.2,255.95,252.0,252.1,253.05,17619.0,44.72
2018-03-09,254.2,258.35,251.0,251.0,252.5,49425.0,126.58
2018-03-08,255.75,256.4,250.05,252.5,254.3,25233.0,64.19
2018-03-07,260.7,260.7,251.5,251.95,253.0,127132.0,324.83
2018-03-06,257.5,262.0,256.5,256.55,256.9,26140.0,67.34
2018-03-05,269.0,269.0,257.0,257.75,257.45,53283.0,138.6
2018-03-01,266.2,270.65,265.35,266.2,267.0,37002.0,98.87
2018-02-28,275.8,275.8,265.0,266.2,267.05,78428.0,209.8
2018-02-27,278.5,278.5,271.25,271.95,273.2,43672.0,119.94
2018-02-26,277.8,282.0,270.1,274.65,278.7,51718.0,142.83
2018-02-23,271.45,278.95,269.05,271.0,270.8,109555.0,296.36
2018-02-22,275.3,275.3,270.6,273.0,272.85,22092.0,60.24
2018-02-21,277.95,279.95,273.0,273.15,275.15,21066.0,57.88
2018-02-20,281.0,288.95,270.6,275.3,278.0,40307.0,112.4
2018-02-19,293.85,293.85,280.25,282.0,283.95,40991.0,116.69
2018-02-16,283.05,293.85,283.05,285.0,288.3,128553.0,373.18
2018-02-15,273.45,284.9,271.75,281.5,282.35,35107.0,97.58
2018-02-14,271.0,281.0,270.05,272.55,273.45,596075.0,1616.74
2018-02-12,281.9,288.55,273.5,275.0,274.95,27489.0,76.1
2018-02-09,271.6,292.0,265.35,275.0,279.85,17810.0,49.77
2018-02-08,270.65,278.4,266.35,274.4,276.4,24656.0,67.6
2018-02-07,267.55,277.55,256.05,264.0,265.35,133085.0,350.06
2018-02-06,255.0,268.75,253.0,262.95,262.4,123072.0,319.18
2018-02-05,267.75,272.0,244.05,271.15,267.7,76008.0,199.54
2018-02-02,286.75,288.55,270.0,271.0,271.75,48118.0,132.36
2018-02-01,287.0,293.2,284.0,286.6,286.75,30396.0,87.86
2018-01-31,292.0,292.0,282.3,284.0,284.75,186229.0,533.65
2018-01-30,289.95,296.3,285.95,292.0,292.0,17075.0,49.52
2018-01-29,290.05,297.9,285.35,297.8,293.4,31744.0,92.76
2018-01-25,295.9,298.0,290.1,291.0,291.5,12962.0,38.01
2018-01-24,296.05,297.95,291.0,291.0,293.65,16081.0,47.41
2018-01-23,295.0,298.95,294.2,297.0,297.95,69018.0,205.55
2018-01-22,297.95,299.95,292.25,293.95,295.25,77740.0,230.62
2018-01-19,296.35,298.05,292.25,298.0,296.25,18680.0,55.34
2018-01-18,296.3,298.45,292.1,293.6,293.55,29538.0,86.86
2018-01-17,291.0,298.9,289.25,295.8,296.4,23837.0,70.09
2018-01-16,299.0,299.0,291.25,293.6,294.45,31158.0,91.96
2018-01-15,299.0,299.0,297.0,299.0,297.75,77956.0,232.94
2018-01-12,296.0,299.0,293.05,298.0,297.45,42259.0,125.69
2018-01-11,298.9,299.0,293.0,294.0,296.5,73278.0,218.3
2018-01-10,290.1,299.0,290.1,299.0,298.3,82663.0,246.17
2018-01-09,300.0,300.0,292.5,297.0,294.45,24742.0,72.84
2018-01-08,296.75,298.9,291.35,298.9,298.25,29326.0,86.45
2018-01-05,284.0,296.6,284.0,294.8,291.0,24073.0,70.16
2018-01-04,290.7,292.4,285.05,289.25,289.5,36742.0,106.35
2018-01-03,295.5,296.45,287.75,289.5,289.6,105903.0,308.03
2018-01-02,294.5,299.0,288.6,294.0,291.1,32906.0,96.2
2018-01-01,296.85,299.0,294.35,297.45,295.7,21815.0,65.05
2017-12-29,298.5,299.1,294.0,296.4,295.8,114664.0,342.06
2017-12-28,289.0,297.9,287.0,294.6,294.75,23308.0,68.17
2017-12-27,289.2,293.7,288.55,289.0,290.55,24830.0,72.14
2017-12-26,289.5,291.5,286.0,288.05,288.25,26875.0,77.7
2017-12-22,291.5,295.0,287.1,287.1,289.3,37370.0,109.0
2017-12-21,291.55,293.5,286.25,291.6,291.6,17541.0,50.93
2017-12-20,285.95,292.2,284.0,291.5,290.55,34695.0,100.29
2017-12-19,280.05,286.0,280.05,285.1,284.15,45441.0,128.88
2017-12-18,279.0,288.0,265.05,280.6,280.95,36074.0,101.23
2017-12-15,281.9,289.75,278.1,281.85,280.15,61420.0,174.38
2017-12-14,273.8,297.95,273.05,280.0,279.4,401168.0,1158.51
2017-12-13,274.0,279.75,271.0,272.45,273.8,119492.0,327.55
2017-12-12,281.0,283.55,271.4,274.9,273.15,81762.0,225.71
2017-12-11,286.3,286.3,273.05,279.0,275.8,19064.0,52.98
2017-12-08,278.05,285.0,278.0,278.0,280.45,17999.0,50.71
2017-12-07,288.4,288.4,274.2,275.15,276.6,95754.0,265.7
2017-12-06,282.95,282.95,278.0,279.0,278.95,17843.0,49.8
2017-12-05,278.05,286.0,272.8,278.25,278.5,109859.0,308.65
2017-12-04,291.7,292.2,278.3,282.0,280.65,33347.0,94.17
2017-12-01,290.85,297.0,282.05,286.0,286.0,23911.0,69.16
2017-11-30,285.0,295.9,284.6,289.75,288.1,55860.0,161.33
