Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2018-03-13,353.1,367.0,353.1,366.0,366.15,153017.0,552.89
2018-03-12,378.15,379.65,352.0,354.5,354.8,165463.0,592.29
2018-03-09,373.35,379.6,366.6,379.6,376.7,35574.0,132.48
2018-03-08,384.9,398.0,370.8,371.0,372.05,43825.0,164.89
2018-03-07,388.0,389.95,369.2,378.0,378.25,69705.0,262.82
2018-03-06,397.0,397.0,385.1,385.1,388.1,27402.0,107.51
2018-03-05,392.9,398.0,387.0,393.0,396.05,67970.0,268.27
2018-03-01,385.0,395.0,385.0,393.2,392.9,22696.0,89.0
2018-02-28,379.0,394.4,378.8,393.0,392.85,52626.0,202.97
2018-02-27,387.6,396.0,374.1,383.0,382.8,69155.0,268.43
2018-02-26,385.3,387.2,379.95,382.6,382.3,24805.0,95.04
2018-02-23,383.55,398.0,377.5,385.0,381.5,188817.0,719.75
2018-02-22,381.8,390.9,380.85,382.15,383.9,17158.0,66.19
2018-02-21,393.25,393.3,380.25,382.85,384.95,23154.0,89.27
2018-02-20,394.9,395.0,386.4,394.0,394.05,27031.0,105.58
2018-02-19,394.9,396.8,379.25,393.6,393.45,35447.0,138.32
2018-02-16,397.5,397.5,385.15,393.1,392.5,37068.0,144.42
2018-02-15,390.45,398.45,383.35,392.0,391.7,87555.0,340.37
2018-02-14,382.7,410.0,377.1,385.0,387.85,143193.0,561.52
2018-02-12,388.0,388.0,370.4,377.0,377.1,40734.0,154.46
2018-02-09,378.0,382.4,369.15,379.0,379.55,127115.0,475.94
2018-02-08,390.15,391.5,378.3,381.1,380.95,66058.0,254.1
2018-02-07,387.0,392.0,380.2,384.95,384.45,83838.0,322.82
2018-02-06,368.0,380.0,351.45,376.0,377.45,110493.0,409.33
2018-02-05,384.3,387.1,371.0,377.5,381.0,449160.0,1698.43
2018-02-02,418.0,418.0,385.25,397.55,395.15,259449.0,1029.89
2018-02-01,415.45,421.5,410.3,415.0,414.3,96446.0,399.87
2018-01-31,417.4,421.0,399.05,415.45,413.45,83797.0,344.92
2018-01-30,419.0,424.9,410.0,417.6,417.4,379561.0,1585.24
2018-01-29,430.0,432.0,417.1,418.35,419.9,53938.0,228.6
2018-01-25,436.0,438.8,427.75,428.0,428.85,60909.0,262.41
2018-01-24,438.05,451.8,433.2,434.7,434.7,300228.0,1334.41
2018-01-23,450.0,450.0,440.55,441.0,442.75,48152.0,213.67
2018-01-22,443.3,455.5,438.4,448.95,451.75,40281.0,180.37
2018-01-19,445.8,452.6,442.15,444.0,443.55,50646.0,225.22
2018-01-18,457.8,457.8,445.0,447.0,449.0,74246.0,334.77
