Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2018-03-13,51.7,60.35,51.7,60.0,60.1,32190550.0,18575.58
2018-03-12,53.9,54.35,48.6,50.2,50.3,7926411.0,4020.91
2018-03-09,54.65,54.7,51.9,53.0,52.9,2719942.0,1447.04
2018-03-08,54.45,55.25,52.5,53.6,53.7,4058464.0,2186.37
2018-03-07,56.1,56.35,52.5,54.15,53.9,6416161.0,3481.08
2018-03-06,59.4,59.7,55.5,55.85,56.45,4111106.0,2371.3
2018-03-05,60.35,60.35,58.45,58.85,58.95,2596051.0,1538.34
2018-03-01,59.6,60.7,59.2,60.0,59.5,3798502.0,2270.24
2018-02-28,59.4,60.2,58.75,59.95,59.8,2380188.0,1417.9
2018-02-27,60.9,60.9,59.55,59.95,59.85,2868511.0,1720.14
2018-02-26,61.5,61.85,60.5,60.65,60.85,3140813.0,1924.25
2018-02-23,61.0,62.2,60.35,61.15,61.25,3811372.0,2344.72
2018-02-22,59.65,61.3,59.0,60.3,60.25,3435785.0,2075.34
2018-02-21,59.45,60.4,58.25,60.05,59.9,2636699.0,1560.6
2018-02-20,59.4,60.3,58.3,58.65,58.55,2323672.0,1371.65
2018-02-19,61.2,61.25,58.15,59.0,59.25,3555677.0,2111.69
2018-02-16,62.45,63.45,59.8,61.6,60.9,6376046.0,3903.9
2018-02-15,63.3,63.75,60.45,60.75,61.1,2602381.0,1619.73
2018-02-14,64.3,64.45,63.0,63.0,63.05,3072812.0,1948.03
2018-02-12,64.5,65.3,63.55,63.7,63.8,4183021.0,2690.79
2018-02-09,62.1,64.6,61.1,63.55,63.7,4648995.0,2944.47
2018-02-08,65.0,65.5,64.6,65.2,64.95,4767653.0,3099.43
2018-02-07,62.6,64.75,62.6,64.05,64.05,6146211.0,3929.45
2018-02-06,56.0,62.0,54.6,61.9,61.5,7746247.0,4570.9
2018-02-05,54.0,62.05,54.0,62.05,60.3,7878659.0,4550.76
2018-02-02,63.0,63.0,57.0,58.0,58.0,8271345.0,4928.08
2018-02-01,63.85,65.2,62.4,63.3,63.5,5659404.0,3631.95
2018-01-31,65.5,65.5,62.6,63.95,63.2,3965934.0,2523.82
