Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2018-03-13,648.0,659.0,637.5,654.0,656.65,45823.0,296.84
2018-03-12,633.5,649.85,627.1,644.5,644.4,31880.0,203.68
2018-03-09,638.95,639.0,629.0,632.85,632.45,16190.0,102.66
2018-03-08,642.0,646.3,633.0,633.05,635.0,16942.0,108.07
2018-03-07,649.05,650.6,637.7,642.8,642.0,14265.0,91.74
2018-03-06,656.1,666.0,646.95,650.55,651.1,30954.0,203.18
2018-03-05,654.0,656.0,650.0,655.95,654.65,13327.0,87.09
2018-03-01,653.0,664.0,650.1,654.05,656.6,25262.0,166.04
2018-02-28,647.25,655.0,645.5,651.5,653.1,21941.0,142.44
2018-02-27,647.0,653.0,645.0,645.55,647.25,16126.0,104.48
2018-02-26,650.0,653.1,641.05,648.2,650.65,28415.0,184.42
2018-02-23,624.5,651.0,621.2,650.0,640.35,66705.0,426.94
2018-02-22,626.5,629.0,621.0,622.6,625.05,32212.0,200.96
2018-02-21,628.0,637.5,624.0,626.0,627.25,21752.0,137.19
2018-02-20,630.1,639.0,611.0,626.6,627.25,469389.0,2973.66
2018-02-19,635.0,645.0,631.0,632.0,633.25,26052.0,166.19
2018-02-16,643.25,649.75,630.0,632.0,633.25,201780.0,1292.49
2018-02-15,653.25,675.0,630.55,643.4,641.4,446472.0,2949.81
2018-02-14,685.1,686.05,651.1,652.0,653.25,88927.0,588.99
2018-02-12,690.0,700.0,688.0,695.2,692.75,33200.0,230.33
2018-02-09,695.0,698.95,683.15,693.5,696.1,34893.0,241.04
2018-02-08,662.0,710.0,660.0,710.0,702.35,148226.0,1027.76
2018-02-07,644.2,669.0,644.2,665.95,662.85,35313.0,231.52
2018-02-06,640.0,653.95,630.0,648.0,647.45,69735.0,447.09
2018-02-05,641.0,666.0,628.0,655.0,659.5,73706.0,483.58
2018-02-02,641.25,664.9,630.5,652.0,653.2,151979.0,998.01
2018-02-01,648.0,668.8,642.0,649.6,646.85,69989.0,457.51
2018-01-31,649.85,649.85,634.2,645.0,646.6,28777.0,184.89
2018-01-30,641.0,646.9,635.0,637.35,640.4,32077.0,204.51
2018-01-29,658.0,658.8,641.4,647.8,644.5,39151.0,252.66
2018-01-25,642.1,655.0,642.1,652.0,653.4,15729.0,102.5
2018-01-24,665.0,665.0,649.3,651.1,653.8,45818.0,300.93
2018-01-23,659.9,669.8,651.0,662.0,664.15,155906.0,1023.15
2018-01-22,665.25,669.5,649.3,656.0,655.75,20819.0,136.74
2018-01-19,640.0,668.9,636.55,665.0,665.2,352156.0,2300.92
2018-01-18,642.0,653.9,637.8,647.3,645.4,52513.0,337.54
2018-01-17,650.0,655.35,643.0,648.0,645.3,51433.0,333.71
2018-01-16,664.5,667.15,650.3,653.05,654.4,41028.0,268.63
2018-01-15,670.0,670.0,662.0,664.0,664.75,147092.0,978.46
2018-01-12,668.0,675.0,660.85,672.0,671.8,61204.0,408.93
2018-01-11,670.9,670.9,657.0,665.0,664.25,22495.0,149.33
2018-01-10,660.5,674.0,645.15,674.0,668.0,79801.0,526.51
2018-01-09,660.9,667.0,659.25,659.3,660.5,19561.0,129.46
2018-01-08,664.0,678.9,656.1,659.1,660.15,47446.0,316.45
2018-01-05,668.9,669.9,658.75,662.65,664.15,45997.0,305.34
2018-01-04,659.95,669.5,653.45,662.0,663.15,26902.0,177.26
2018-01-03,656.9,663.0,649.5,663.0,659.95,16503.0,108.23
2018-01-02,662.35,668.55,651.2,652.5,655.35,15885.0,104.3
2018-01-01,667.0,672.55,660.0,661.6,662.25,43367.0,288.45
2017-12-29,658.05,668.3,644.2,659.0,659.7,213059.0,1396.4
2017-12-28,669.0,675.0,654.05,658.0,660.85,22520.0,150.02
2017-12-27,670.0,695.0,658.05,666.0,666.25,79491.0,539.73
2017-12-26,642.0,670.95,642.0,668.0,666.3,52911.0,349.04
2017-12-22,645.1,654.9,640.0,640.5,642.9,32515.0,210.35
2017-12-21,644.0,648.0,639.05,641.05,643.1,21585.0,138.94
2017-12-20,645.0,648.0,633.0,639.95,640.15,40932.0,263.48
2017-12-19,648.9,650.35,631.1,633.0,633.05,35026.0,223.03
2017-12-18,641.95,648.9,628.25,648.9,643.2,15357.0,97.99
2017-12-15,636.0,643.0,631.55,641.5,637.85,20073.0,128.03
