Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2018-03-13,387.5,404.0,385.1,389.0,389.65,80728.0,318.32
2018-03-12,393.25,397.5,385.1,387.0,387.15,23458.0,91.09
2018-03-09,399.95,405.75,390.0,394.0,393.25,28881.0,114.69
2018-03-08,387.0,401.45,380.0,400.5,395.15,57706.0,224.39
2018-03-07,399.9,399.95,382.0,389.2,386.85,176721.0,684.53
2018-03-06,408.85,412.0,393.0,400.2,400.3,145636.0,588.64
2018-03-05,421.0,424.0,401.1,403.9,404.8,194089.0,799.96
2018-03-01,408.5,427.8,408.0,419.7,419.75,1275850.0,5352.64
2018-02-28,379.85,408.0,378.5,407.0,400.05,397288.0,1557.78
2018-02-27,373.5,383.95,371.25,380.0,378.8,69261.0,261.8
2018-02-26,366.95,378.15,364.95,376.0,375.05,41930.0,156.76
2018-02-23,359.4,371.8,359.4,360.1,368.6,46491.0,171.01
2018-02-22,361.0,372.9,359.15,365.5,365.0,38467.0,141.51
2018-02-21,366.0,370.95,359.0,359.05,361.25,15845.0,57.56
2018-02-20,366.0,374.45,365.0,369.0,368.1,17917.0,66.09
2018-02-19,372.8,375.85,357.05,370.0,370.0,53028.0,194.31
2018-02-16,374.05,376.95,363.8,368.0,368.55,46870.0,172.76
2018-02-15,374.0,379.55,370.05,372.0,376.3,56988.0,214.02
2018-02-14,384.9,384.9,372.3,374.0,374.35,20990.0,79.19
2018-02-12,384.0,384.0,377.0,377.5,378.7,17394.0,66.08
2018-02-09,373.0,379.95,369.25,377.5,376.75,28758.0,108.15
2018-02-08,375.5,384.9,370.0,376.9,377.7,42378.0,160.31
2018-02-07,375.15,384.0,374.85,376.0,375.15,77268.0,292.44
2018-02-06,360.0,374.0,352.55,370.85,373.05,113676.0,415.09
2018-02-05,341.0,377.85,335.3,375.0,375.05,138750.0,510.84
2018-02-02,384.45,384.45,342.0,354.0,355.6,151995.0,552.15
2018-02-01,369.95,386.0,369.9,379.8,381.1,130757.0,501.99
2018-01-31,381.0,385.9,365.55,374.8,370.0,178984.0,684.66
2018-01-30,378.0,385.9,378.0,381.0,380.75,62643.0,240.84
2018-01-29,384.05,387.4,384.0,386.0,385.05,55657.0,214.81
2018-01-25,384.45,386.0,380.9,384.0,384.05,76726.0,294.96
2018-01-24,387.05,388.0,382.85,384.9,384.7,59277.0,228.44
2018-01-23,387.9,388.9,384.85,386.95,386.85,117189.0,453.73
2018-01-22,366.0,392.6,366.0,385.5,385.05,153327.0,590.63
2018-01-19,372.25,377.2,365.1,367.1,372.1,38467.0,142.88
2018-01-18,374.9,381.9,362.0,374.0,375.4,55119.0,205.51
2018-01-17,366.1,375.0,360.1,375.0,369.15,53218.0,195.24
2018-01-16,376.55,378.0,348.25,371.75,369.15,78283.0,286.23
2018-01-15,376.4,379.0,371.0,377.5,376.55,50588.0,189.79
2018-01-12,382.15,388.85,370.0,370.0,371.5,63648.0,239.87
2018-01-11,382.25,392.0,380.2,381.5,382.05,37347.0,144.19
2018-01-10,393.0,402.0,382.1,385.0,385.1,123796.0,484.66
2018-01-09,396.3,397.9,385.3,387.8,389.2,81115.0,318.53
2018-01-08,384.4,399.9,379.45,394.95,396.25,458095.0,1806.48
2018-01-05,387.9,391.85,378.05,384.7,384.4,114644.0,442.39
2018-01-04,360.65,392.0,360.5,386.1,388.15,546341.0,2103.93
2018-01-03,352.0,368.75,350.05,361.9,360.35,103658.0,373.78
2018-01-02,344.25,353.9,344.0,352.3,351.65,71132.0,248.76
2018-01-01,343.55,349.15,343.0,344.2,343.4,21200.0,73.01
2017-12-29,346.2,350.6,345.0,345.2,345.7,17016.0,58.99
2017-12-28,354.7,355.0,345.0,346.0,347.8,42959.0,150.48
2017-12-27,347.75,357.5,344.0,350.0,352.8,73141.0,255.03
2017-12-26,349.95,350.0,343.0,347.05,347.75,61066.0,211.3
2017-12-22,352.8,352.8,344.0,347.0,345.9,32659.0,113.66
2017-12-21,349.6,349.7,346.0,347.7,347.85,17490.0,60.87
2017-12-20,353.75,354.45,340.5,343.0,343.05,57227.0,197.94
2017-12-19,346.85,359.0,342.5,354.45,350.0,56645.0,197.7
2017-12-18,346.0,349.9,335.05,342.5,342.3,26184.0,89.91
2017-12-15,342.0,355.0,342.0,344.0,345.75,117647.0,409.9
2017-12-14,345.0,345.0,338.3,340.1,341.8,31990.0,109.33
2017-12-13,342.5,345.0,337.85,344.0,342.4,41006.0,140.05
2017-12-12,343.8,348.5,340.0,340.0,341.1,44869.0,153.62
2017-12-11,353.95,354.0,340.0,345.35,343.8,53897.0,186.36
