Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2018-03-13,49.4,50.3,48.85,49.8,49.65,5050130.0,2507.3
2018-03-12,49.45,50.55,48.65,49.4,49.35,5628252.0,2786.16
2018-03-09,50.65,51.05,48.1,48.9,48.65,5790366.0,2875.65
2018-03-08,49.0,50.25,46.9,50.0,49.85,9540388.0,4654.59
2018-03-07,51.35,51.65,47.8,48.7,48.7,10329456.0,5131.48
2018-03-06,53.9,55.3,51.25,51.5,51.9,12156571.0,6548.18
2018-03-05,53.0,54.2,52.3,53.45,53.35,8791642.0,4680.55
2018-03-01,51.45,54.4,51.45,53.3,53.25,19152976.0,10240.42
2018-02-28,50.3,51.7,50.15,51.55,51.45,6847179.0,3506.91
2018-02-27,51.3,51.8,50.0,50.7,50.8,7922918.0,4034.18
2018-02-26,52.35,52.85,50.9,51.25,51.3,8052859.0,4185.13
2018-02-23,50.65,52.35,50.55,51.7,51.85,17162301.0,8877.76
2018-02-22,47.9,50.55,47.8,50.15,50.25,20939766.0,10394.26
2018-02-21,46.15,48.65,46.0,48.5,48.35,11469528.0,5452.0
2018-02-20,46.5,46.85,45.6,45.8,45.8,3972876.0,1832.14
2018-02-19,47.4,47.4,45.25,46.4,46.25,5528112.0,2544.84
2018-02-16,46.85,48.5,45.4,47.1,46.95,9783404.0,4589.48
2018-02-15,48.8,49.1,45.85,46.65,46.3,7751611.0,3680.59
2018-02-14,48.2,50.2,47.75,48.2,48.35,16985964.0,8332.95
2018-02-12,44.7,48.0,44.3,47.45,47.55,23557254.0,11087.35
2018-02-09,40.1,44.55,40.0,43.8,44.05,8677209.0,3704.68
2018-02-08,41.45,41.95,41.0,41.3,41.25,6465721.0,2686.02
2018-02-07,40.7,41.8,40.15,40.4,40.4,3474251.0,1415.44
2018-02-06,37.0,40.65,36.75,39.8,39.85,5588950.0,2189.93
2018-02-05,37.5,40.6,37.0,40.5,40.25,6496661.0,2567.09
2018-02-02,40.6,40.6,37.5,37.95,37.9,9567917.0,3743.09
2018-02-01,41.15,42.35,40.0,41.05,41.05,3206384.0,1321.17
2018-01-31,41.55,42.35,40.7,40.9,41.0,2399550.0,993.16
2018-01-30,42.5,42.7,41.5,41.6,41.65,2644013.0,1111.3
2018-01-29,43.35,44.3,42.4,42.65,42.75,3304518.0,1424.49
2018-01-25,44.2,44.45,42.85,43.0,43.1,4149975.0,1801.57
2018-01-24,43.0,45.85,42.3,44.05,44.1,12401576.0,5531.93
2018-01-23,44.0,44.3,42.9,43.0,43.05,3022615.0,1316.24
2018-01-22,44.6,44.85,43.5,43.75,43.85,3671327.0,1617.64
2018-01-19,44.75,45.45,43.6,44.6,44.7,6043452.0,2689.91
2018-01-18,43.7,47.3,43.2,44.55,44.65,23619170.0,10783.24
2018-01-17,43.3,43.6,41.35,43.35,43.2,6335980.0,2710.84
2018-01-16,45.85,46.65,42.45,43.5,43.15,10268914.0,4574.0
2018-01-15,46.9,47.45,45.2,45.65,45.55,8851976.0,4107.26
2018-01-12,44.35,48.25,44.15,46.35,46.2,45055272.0,20945.83
2018-01-11,42.65,43.95,42.3,43.7,43.7,8284086.0,3581.77
2018-01-10,41.95,43.45,41.5,42.3,42.25,7889945.0,3353.08
2018-01-09,41.9,42.1,41.25,41.6,41.6,3449407.0,1433.05
2018-01-08,42.0,42.4,41.15,41.5,41.5,4936358.0,2062.45
2018-01-05,40.5,41.6,40.5,41.45,41.4,4916516.0,2031.19
2018-01-04,40.35,40.8,40.15,40.45,40.5,2105340.0,852.04
2018-01-03,40.5,40.7,40.1,40.2,40.25,1906332.0,769.97
2018-01-02,41.1,41.4,39.9,40.15,40.25,3043185.0,1233.29
2018-01-01,41.1,42.1,40.65,41.0,40.95,3758227.0,1554.01
2017-12-29,40.8,42.3,40.7,40.95,40.85,7534605.0,3119.89
2017-12-28,40.7,41.7,40.25,40.7,40.5,4416281.0,1808.97
2017-12-27,40.0,40.7,39.6,40.35,40.15,3064244.0,1229.82
2017-12-26,40.2,40.45,39.6,40.0,40.05,2231244.0,891.28
2017-12-22,40.45,40.75,39.8,40.1,40.2,2290373.0,925.01
2017-12-21,40.5,40.8,40.1,40.45,40.35,1698981.0,686.59
2017-12-20,40.1,41.0,39.85,40.35,40.3,2958938.0,1200.36
2017-12-19,39.4,40.35,39.1,39.95,40.05,2340394.0,932.99
2017-12-18,39.1,39.7,37.35,39.35,39.2,3251860.0,1270.13
2017-12-15,39.2,40.35,38.7,39.7,39.25,6013884.0,2390.23
2017-12-14,39.4,39.55,38.05,38.5,38.5,1765698.0,680.25
2017-12-13,38.8,39.5,37.95,39.25,39.05,4902759.0,1907.85
2017-12-12,39.4,39.45,38.3,38.4,38.45,1582500.0,614.36
2017-12-11,39.9,40.35,39.0,39.3,39.4,2019908.0,800.93
2017-12-08,39.2,40.05,39.1,39.4,39.35,1881295.0,744.06
2017-12-07,39.6,40.2,38.65,39.15,39.3,3825435.0,1508.89
2017-12-06,40.3,41.15,39.2,39.55,39.5,2896898.0,1157.55
2017-12-05,39.95,40.9,38.75,40.35,40.45,3660799.0,1452.01
2017-12-04,41.25,41.6,39.8,39.95,39.95,3040309.0,1223.15
2017-12-01,43.0,43.15,40.4,40.9,40.8,3930411.0,1648.81
2017-11-30,42.0,42.95,41.8,42.55,42.65,4195396.0,1782.83
2017-11-29,43.55,44.75,42.2,42.5,42.35,5953314.0,2571.94
2017-11-28,44.75,45.1,43.25,43.3,43.45,5530196.0,2447.48
2017-11-27,43.0,45.7,42.95,44.6,44.45,15405648.0,6855.13
2017-11-24,42.6,43.7,41.9,42.55,42.65,2961393.0,1267.29
2017-11-23,43.05,43.8,41.7,42.65,42.55,3364751.0,1440.76
2017-11-22,43.8,44.05,42.65,42.7,42.75,3607797.0,1559.14
2017-11-21,42.5,44.65,42.0,43.35,43.4,8919458.0,3867.58
2017-11-20,40.25,42.95,39.55,42.4,42.2,5315662.0,2208.07
2017-11-17,40.55,40.9,39.6,40.05,40.15,2699680.0,1085.49
2017-11-16,36.5,40.45,36.45,40.0,40.05,8188934.0,3178.06
2017-11-15,37.75,37.75,36.0,36.2,36.25,1736549.0,639.73
2017-11-14,38.2,38.45,37.25,37.55,37.55,1332205.0,502.52
2017-11-13,39.0,39.25,37.55,38.2,37.95,1440193.0,554.2
2017-11-10,38.65,39.3,38.25,38.85,38.9,1593550.0,618.35
2017-11-09,39.15,39.35,38.1,38.35,38.3,1886384.0,729.22
2017-11-08,39.8,40.4,38.5,39.0,38.85,1654178.0,654.56
2017-11-07,39.85,40.9,39.2,39.9,39.75,2701453.0,1082.21
2017-11-06,41.2,41.5,39.45,39.7,39.7,2564152.0,1036.68
2017-11-03,41.8,42.3,40.9,41.2,41.15,2685208.0,1110.25
2017-11-02,41.55,42.2,40.85,41.65,41.65,2951619.0,1227.15
2017-11-01,44.2,45.15,41.5,41.65,41.7,9534677.0,4157.26
2017-10-31,42.1,44.2,41.75,44.0,43.85,5885378.0,2564.32
2017-10-30,41.2,42.2,40.95,41.95,42.05,2528158.0,1051.56
2017-10-27,40.8,41.35,40.6,40.75,40.7,1149974.0,470.78
2017-10-26,40.6,41.35,40.35,40.8,40.8,1903277.0,778.65
2017-10-25,41.25,41.5,40.5,40.65,40.65,1741097.0,711.89
2017-10-24,40.95,41.7,40.75,40.9,41.0,2071391.0,853.05
2017-10-23,41.0,41.6,40.55,40.9,40.95,1857332.0,763.96
2017-10-19,41.0,41.2,40.3,40.85,40.7,527422.0,215.71
2017-10-18,41.1,41.35,40.6,40.75,40.9,1340490.0,549.58
2017-10-17,41.25,42.25,40.8,41.05,41.0,1908688.0,790.31
2017-10-16,41.85,42.2,41.2,41.55,41.6,1508082.0,628.22
2017-10-13,42.7,42.8,41.5,41.8,41.7,1405879.0,592.04
2017-10-12,42.0,42.75,41.6,42.5,42.5,1850630.0,784.04
2017-10-11,44.4,44.55,41.6,41.6,42.0,2656652.0,1140.71
2017-10-10,44.85,45.35,43.5,44.1,44.05,3586093.0,1600.17
2017-10-09,42.5,44.7,42.3,44.35,44.35,6750567.0,2963.08
2017-10-06,41.8,43.45,41.75,42.25,42.3,3827610.0,1634.13
2017-10-05,41.15,42.4,41.15,41.7,41.65,2248052.0,941.57
2017-10-04,41.55,41.75,40.95,41.1,41.1,1736157.0,717.55
