Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2018-03-13,101.05,103.9,101.05,103.2,102.9,722400.0,743.26
2018-03-12,102.45,103.85,100.5,101.8,101.65,444342.0,452.38
2018-03-09,101.5,102.6,100.15,101.4,101.1,347489.0,352.22
2018-03-08,103.0,104.45,99.0,100.6,101.15,592281.0,601.15
2018-03-07,106.05,106.8,102.2,102.6,102.55,567573.0,589.99
2018-03-06,110.45,111.0,106.4,107.05,107.25,394722.0,428.23
2018-03-05,110.0,111.4,108.65,108.9,109.15,598691.0,655.52
2018-03-01,112.0,113.0,111.35,111.65,111.6,235888.0,264.45
2018-02-28,112.25,112.55,111.7,112.25,112.15,239504.0,268.62
2018-02-27,114.65,115.5,112.6,112.6,113.25,420753.0,480.66
2018-02-26,114.1,115.8,113.5,114.0,114.35,468267.0,536.87
2018-02-23,112.35,113.9,112.2,113.6,113.15,391056.0,442.47
2018-02-22,113.0,113.85,111.8,112.0,112.05,469825.0,529.14
2018-02-21,113.5,114.4,112.2,113.5,113.45,415151.0,470.04
2018-02-20,113.15,115.4,112.0,112.4,112.55,450593.0,510.45
2018-02-19,115.0,116.5,112.05,113.6,113.4,700611.0,797.03
2018-02-16,116.0,117.2,112.55,113.7,113.6,615448.0,703.15
2018-02-15,116.95,117.4,114.5,114.9,114.95,458612.0,531.62
2018-02-14,119.45,119.95,114.45,115.4,115.5,849800.0,994.97
2018-02-12,118.0,119.95,117.65,118.15,118.4,624630.0,740.7
2018-02-09,114.9,117.8,114.4,116.6,116.65,766692.0,893.94
2018-02-08,118.0,118.8,114.2,117.25,117.3,1619141.0,1891.21
2018-02-07,116.8,120.9,116.55,120.85,120.1,878528.0,1045.49
2018-02-06,111.0,116.75,110.1,114.1,114.15,1088110.0,1243.29
2018-02-05,117.1,120.5,111.0,119.05,119.45,1007280.0,1182.05
2018-02-02,126.9,126.9,119.0,119.4,119.8,1352585.0,1649.92
2018-02-01,130.75,133.35,127.05,128.0,128.35,1413504.0,1845.28
2018-01-31,130.0,133.45,128.45,130.35,130.3,1321671.0,1733.85
2018-01-30,132.9,132.9,129.6,130.1,130.2,739242.0,967.44
2018-01-29,135.1,136.45,132.5,133.0,133.25,962111.0,1292.28
2018-01-25,135.6,137.5,134.2,134.4,134.7,763538.0,1033.85
2018-01-24,138.0,138.3,135.0,135.6,135.75,1105544.0,1504.26
2018-01-23,139.85,140.6,136.5,138.3,137.8,990717.0,1372.37
2018-01-22,138.0,141.7,137.0,139.4,139.3,1597674.0,2232.72
2018-01-19,139.1,139.75,135.15,137.35,137.65,1630314.0,2243.25
2018-01-18,148.0,149.45,138.1,139.0,139.35,3006297.0,4330.28
2018-01-17,152.0,154.45,143.35,147.2,147.55,11462254.0,17227.41
2018-01-16,145.15,149.7,138.3,149.3,149.0,9726893.0,14239.97
2018-01-15,140.7,148.9,139.75,143.35,143.7,6755500.0,9759.94
2018-01-12,138.0,145.0,138.0,139.65,139.65,4818998.0,6843.32
2018-01-11,137.6,139.6,136.25,138.0,137.35,664458.0,916.21
2018-01-10,139.3,139.8,136.0,137.0,137.1,763707.0,1050.36
2018-01-09,142.65,142.65,137.3,138.6,138.6,1405454.0,1961.39
2018-01-08,139.95,144.6,138.5,141.5,141.5,2675175.0,3801.91
2018-01-05,138.0,141.0,136.0,138.9,139.25,1749010.0,2431.06
2018-01-04,136.25,139.5,135.75,136.55,136.8,1389144.0,1916.09
2018-01-03,134.15,136.8,133.55,136.35,135.7,921597.0,1250.39
2018-01-02,135.8,136.85,132.7,133.65,133.45,805729.0,1079.68
2018-01-01,135.55,138.5,133.6,135.0,134.8,1423465.0,1941.29
2017-12-29,137.0,138.0,135.1,135.5,135.75,755978.0,1033.04
2017-12-28,137.15,137.9,135.05,136.75,136.5,714954.0,974.22
2017-12-27,141.65,141.95,135.5,136.9,136.5,1320701.0,1833.7
2017-12-26,138.0,144.0,136.3,140.6,140.9,2548311.0,3584.51
2017-12-22,135.8,139.9,135.75,137.7,137.7,1552786.0,2147.62
2017-12-21,133.55,137.7,133.55,135.75,135.6,931365.0,1266.71
2017-12-20,135.0,136.5,133.3,134.1,134.1,1026854.0,1386.01
2017-12-19,133.6,135.75,132.6,134.5,134.6,1108610.0,1492.4
2017-12-18,132.5,134.65,126.1,132.6,132.3,1220743.0,1619.48
2017-12-15,132.6,135.7,132.05,132.4,132.5,1481729.0,1974.58
2017-12-14,133.45,133.9,129.6,130.7,130.65,757290.0,994.71
2017-12-13,133.4,136.3,131.4,132.5,132.45,1171534.0,1572.62
2017-12-12,135.9,136.85,133.0,134.3,133.7,973562.0,1310.41
2017-12-11,138.8,139.2,135.0,136.0,135.45,1088928.0,1486.44
2017-12-08,133.5,140.5,132.15,137.5,137.75,3130690.0,4310.86
2017-12-07,131.75,133.7,131.6,132.5,132.6,675544.0,896.56
2017-12-06,131.4,134.75,130.0,131.6,130.9,1147784.0,1519.36
2017-12-05,132.25,133.3,129.0,131.4,131.6,1012214.0,1328.51
2017-12-04,136.95,137.25,131.3,133.6,133.1,1454137.0,1941.96
2017-12-01,141.3,143.0,134.5,136.5,135.7,2355997.0,3290.79
2017-11-30,140.4,142.5,138.15,140.5,140.0,2393360.0,3366.61
2017-11-29,140.6,144.4,138.5,142.8,142.8,5931380.0,8414.37
2017-11-28,133.2,140.2,132.05,140.1,138.9,4483904.0,6133.5
2017-11-27,133.4,133.4,130.7,131.8,131.5,1217249.0,1603.44
2017-11-24,134.25,136.5,132.5,133.95,133.7,2489580.0,3345.37
2017-11-23,127.5,134.65,127.1,133.05,133.6,4420764.0,5818.35
2017-11-22,133.2,133.3,124.0,127.35,127.6,6867054.0,8762.78
2017-11-21,144.05,148.5,130.95,132.3,133.25,7773040.0,10905.31
2017-11-20,132.15,144.7,130.5,140.6,141.1,12668799.0,17739.99
2017-11-17,122.0,134.5,120.0,129.8,131.85,7463251.0,9632.89
2017-11-16,118.95,121.35,118.0,119.25,119.4,502554.0,600.84
2017-11-15,122.4,122.5,117.4,118.0,118.05,399651.0,478.01
2017-11-14,123.5,124.25,121.75,122.5,122.2,517326.0,635.94
2017-11-13,124.0,125.4,121.5,122.5,122.1,589349.0,724.23
2017-11-10,118.7,123.7,118.35,122.0,121.95,958433.0,1166.29
2017-11-09,120.35,121.4,118.0,119.0,118.9,395374.0,471.83
2017-11-08,121.3,123.9,118.2,119.6,119.1,517254.0,623.83
2017-11-07,124.3,126.25,119.25,120.65,120.85,804515.0,987.32
2017-11-06,124.4,126.45,122.1,124.2,124.05,856544.0,1068.02
2017-11-03,125.85,126.15,123.5,123.85,123.85,818549.0,1020.95
2017-11-02,119.5,128.3,119.0,124.9,124.95,3089501.0,3857.06
2017-11-01,119.1,121.55,119.0,119.7,119.95,843966.0,1014.69
2017-10-31,120.5,120.8,118.6,119.5,119.25,524848.0,627.77
2017-10-30,117.1,121.8,117.1,119.85,119.6,1537772.0,1840.8
2017-10-27,116.0,118.9,115.55,117.05,116.95,727590.0,854.47
2017-10-26,115.25,117.5,114.4,116.25,115.95,472278.0,549.01
2017-10-25,116.1,116.8,114.8,115.0,115.1,290230.0,334.57
2017-10-24,116.0,118.0,115.5,115.65,115.7,612767.0,714.43
2017-10-23,117.4,117.85,115.1,115.9,115.6,441158.0,512.35
2017-10-19,116.45,116.45,114.55,115.6,115.05,145069.0,167.24
2017-10-18,116.3,117.2,115.0,115.8,115.6,417940.0,483.68
2017-10-17,115.05,118.4,114.3,116.3,116.25,788631.0,921.5
2017-10-16,117.1,118.3,114.95,115.0,115.3,344231.0,399.65
2017-10-13,114.15,119.8,113.55,116.4,116.55,1339115.0,1574.03
2017-10-12,114.35,114.85,113.1,113.9,113.85,208872.0,237.73
2017-10-11,116.6,117.0,113.0,114.45,114.25,387643.0,445.85
2017-10-10,116.0,117.45,115.8,116.5,116.2,614329.0,715.99
2017-10-09,116.9,116.9,114.1,115.0,115.1,1130561.0,1303.85
2017-10-06,109.9,111.9,109.3,111.9,111.25,599674.0,663.68
2017-10-05,109.2,110.8,108.1,109.0,108.95,347793.0,380.11
2017-10-04,109.5,110.9,108.1,108.85,108.85,502780.0,550.33
2017-10-03,108.7,109.3,107.1,107.5,107.85,260941.0,282.03
2017-09-29,107.8,109.8,106.15,106.7,106.8,679734.0,733.18
2017-09-28,108.1,108.85,106.0,107.0,106.95,764254.0,820.94
2017-09-27,110.6,112.25,107.6,107.7,108.05,405112.0,444.22
2017-09-26,109.8,110.9,108.5,109.0,108.95,289498.0,317.05
2017-09-25,112.8,112.8,107.1,108.9,109.3,349345.0,382.26
2017-09-22,114.35,115.05,112.05,112.05,112.45,367829.0,417.69
2017-09-21,117.8,117.8,114.25,115.4,115.15,449526.0,519.33
2017-09-20,115.2,121.0,114.55,116.25,116.45,910152.0,1071.41
2017-09-19,116.1,116.55,115.0,115.6,115.4,248977.0,287.59
2017-09-18,117.3,117.9,115.55,116.2,116.05,447789.0,521.4
2017-09-15,114.55,116.45,114.4,115.2,114.7,293404.0,337.94
2017-09-14,116.7,117.5,115.0,115.2,115.2,322791.0,373.8
2017-09-13,116.3,118.4,115.9,116.5,116.3,455217.0,533.1
2017-09-12,117.1,117.6,116.0,116.15,116.25,503340.0,587.34
2017-09-11,117.1,118.3,115.85,115.95,116.3,365785.0,428.44
2017-09-08,118.7,119.45,116.35,116.65,116.7,334781.0,393.18
2017-09-07,118.0,119.95,117.0,117.3,117.55,570406.0,675.52
2017-09-06,116.5,119.5,115.2,117.4,117.35,541960.0,636.89
2017-09-05,117.15,119.9,116.25,117.0,117.4,506406.0,596.79
2017-09-04,120.6,120.6,115.6,116.6,116.9,730064.0,860.72
2017-09-01,118.5,122.0,116.75,120.05,120.6,1385543.0,1660.14
2017-08-31,113.6,118.65,113.35,117.8,117.55,1578016.0,1849.0
2017-08-30,113.8,114.7,113.1,113.45,113.45,294226.0,335.19
2017-08-29,113.5,115.9,112.5,113.45,113.3,590376.0,675.36
2017-08-28,113.95,115.75,113.0,114.05,114.4,436082.0,498.02
2017-08-24,115.0,115.5,113.35,113.85,113.8,526147.0,600.97
2017-08-23,114.8,116.7,113.0,114.45,114.15,2088802.0,2386.55
2017-08-22,110.45,110.45,106.9,107.65,107.9,275583.0,298.45
2017-08-21,110.0,111.5,107.5,108.45,108.05,234229.0,256.47
2017-08-18,112.0,112.0,109.5,110.0,109.9,302221.0,333.74
2017-08-17,113.95,115.6,111.5,112.1,112.45,340232.0,387.8
2017-08-16,110.45,114.5,109.0,113.0,112.9,295955.0,332.53
2017-08-14,107.0,109.8,107.0,109.45,109.1,243437.0,265.04
2017-08-11,106.5,108.3,102.2,106.75,106.0,513368.0,542.65
2017-08-10,114.7,114.7,108.0,109.4,109.25,491092.0,545.55
2017-08-09,116.6,117.0,113.9,114.0,114.55,298547.0,345.35
2017-08-08,119.65,120.6,116.55,117.7,117.55,352481.0,416.74
2017-08-07,122.7,123.0,119.0,119.45,119.65,336213.0,405.0
2017-08-04,118.5,120.75,117.5,120.3,120.1,1021438.0,1221.92
2017-08-03,119.1,119.25,115.85,116.0,116.05,362108.0,422.33
2017-08-02,119.5,120.0,117.5,118.0,118.1,351726.0,417.71
2017-08-01,121.1,121.95,118.9,119.0,119.15,404999.0,487.31
2017-07-31,122.0,123.0,121.0,121.0,121.2,303879.0,369.37
2017-07-28,122.65,123.85,120.6,121.8,121.8,309330.0,378.22
