Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2018-03-13,205.8,214.8,205.8,214.5,213.65,71918.0,152.22
2018-03-12,207.3,210.85,204.2,209.4,208.1,36014.0,74.39
2018-03-09,200.9,208.8,199.45,203.0,204.3,58908.0,120.34
2018-03-08,198.55,199.9,196.05,199.6,199.5,35700.0,70.86
2018-03-07,202.05,203.9,196.9,199.0,197.7,50860.0,101.94
2018-03-06,209.3,209.45,202.1,204.0,203.85,47459.0,97.72
2018-03-05,208.0,209.45,206.0,208.0,207.45,32883.0,68.13
2018-03-01,205.5,211.7,205.5,210.25,209.9,64034.0,134.1
2018-02-28,209.5,210.7,204.05,208.1,208.75,267038.0,555.79
2018-02-27,206.85,209.7,205.5,208.7,209.25,107589.0,224.35
2018-02-26,202.8,205.6,202.5,205.0,205.05,103680.0,211.61
2018-02-23,196.05,202.25,196.05,201.0,201.25,368844.0,737.49
2018-02-22,199.5,204.0,195.0,197.55,197.35,592544.0,1183.27
2018-02-21,201.55,202.15,195.85,198.25,199.2,883428.0,1750.41
2018-02-20,198.8,204.6,198.5,201.0,200.2,634342.0,1264.87
2018-02-19,195.6,199.8,195.6,198.7,198.8,59695.0,118.12
2018-02-16,202.5,206.2,194.0,195.0,195.6,140903.0,279.89
2018-02-15,211.5,215.7,200.2,201.0,201.55,319435.0,663.51
2018-02-14,215.25,218.45,210.35,211.9,211.85,311098.0,665.61
2018-02-12,215.05,219.2,214.55,214.7,214.85,73007.0,157.95
2018-02-09,212.0,215.95,211.25,214.5,214.8,45690.0,98.21
2018-02-08,219.1,222.4,218.25,218.35,218.8,61102.0,134.97
2018-02-07,215.05,221.75,215.05,219.0,218.75,63520.0,139.2
2018-02-06,214.0,214.95,207.8,212.0,212.05,118165.0,249.16
2018-02-05,224.0,224.0,215.0,221.2,220.75,88920.0,193.62
2018-02-02,226.95,226.95,214.95,224.05,224.1,107453.0,238.94
2018-02-01,232.0,232.0,226.05,227.3,227.15,283443.0,644.09
2018-01-31,230.0,233.25,228.1,229.8,229.15,278148.0,645.1
2018-01-30,235.9,235.9,229.0,230.5,230.0,241450.0,556.84
2018-01-29,237.9,238.65,232.05,234.6,234.5,69984.0,164.08
2018-01-25,235.7,236.7,233.0,235.5,235.5,63634.0,149.98
2018-01-24,237.95,237.95,235.2,235.55,235.9,55843.0,132.01
2018-01-23,239.95,239.95,236.1,237.75,237.55,288900.0,687.24
2018-01-22,241.9,241.9,235.05,238.8,238.2,82167.0,194.99
2018-01-19,239.35,242.0,234.0,240.0,237.8,63197.0,150.02
2018-01-18,246.45,246.45,237.3,238.0,238.3,400882.0,975.76
2018-01-17,242.8,246.15,235.0,244.2,244.4,99187.0,239.75
2018-01-16,247.9,249.0,240.0,242.25,241.75,128458.0,311.95
2018-01-15,245.35,252.5,244.05,244.9,245.8,321364.0,798.24
2018-01-12,241.05,248.45,240.3,244.25,243.3,299514.0,733.2
2018-01-11,241.9,246.0,238.0,240.5,240.05,380766.0,927.76
