Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2018-03-13,846.0,855.25,827.1,827.1,830.05,7089.0,59.51
2018-03-12,861.7,862.0,837.0,842.0,846.8,7499.0,63.48
2018-03-09,815.35,848.7,815.0,845.8,845.0,12173.0,101.87
2018-03-08,822.0,839.95,800.25,818.2,819.4,9466.0,77.47
2018-03-07,802.85,840.0,785.0,840.0,818.8,16787.0,135.95
2018-03-06,829.95,829.95,794.2,798.8,802.95,7336.0,59.52
2018-03-05,832.5,832.9,818.5,820.0,822.8,8672.0,71.43
2018-03-01,841.0,856.0,817.0,849.95,838.2,15353.0,128.18
2018-02-28,819.0,859.0,815.0,850.0,840.3,19283.0,160.87
2018-02-27,833.95,837.65,824.0,833.0,832.45,24085.0,200.76
2018-02-26,848.0,852.55,822.0,830.0,829.95,9057.0,75.84
2018-02-23,827.95,848.0,810.05,848.0,840.6,12847.0,106.31
2018-02-22,824.0,846.0,796.15,845.0,819.8,15574.0,126.95
2018-02-21,825.85,849.95,807.05,825.0,824.5,15986.0,131.49
2018-02-20,830.1,849.95,812.05,813.15,817.7,13904.0,115.1
2018-02-19,860.0,866.05,830.05,833.0,836.2,10856.0,91.38
2018-02-16,862.0,875.15,850.05,863.8,857.5,9440.0,81.38
2018-02-15,888.0,898.0,852.25,869.9,861.2,10661.0,93.44
2018-02-14,879.95,898.9,875.25,893.0,884.85,29298.0,261.68
2018-02-12,851.2,887.95,851.2,874.0,873.0,20643.0,179.73
2018-02-09,851.0,880.0,845.0,850.0,859.2,12983.0,112.69
2018-02-08,877.0,899.0,855.8,858.35,859.85,200034.0,1755.31
2018-02-07,894.9,925.0,865.0,869.0,873.0,33511.0,299.65
2018-02-06,861.0,907.0,861.0,879.8,889.25,49090.0,437.87
2018-02-05,875.0,915.0,855.0,912.7,901.3,44133.0,392.63
2018-02-02,920.05,920.05,861.0,884.0,882.95,57023.0,509.0
2018-02-01,920.0,970.0,878.6,922.5,922.85,143191.0,1300.22
2018-01-31,935.0,944.85,921.0,921.6,939.7,14125.0,132.57
2018-01-30,950.05,984.4,930.5,932.6,934.9,26375.0,255.38
2018-01-29,999.0,999.0,950.05,951.5,955.7,19646.0,191.41
2018-01-25,1000.0,1015.0,980.25,991.0,999.4,71631.0,713.83
2018-01-24,998.95,1004.95,965.0,999.0,996.15,73790.0,732.32
2018-01-23,994.0,1000.0,978.0,989.9,987.65,64808.0,641.05
2018-01-22,921.1,1044.7,921.1,990.0,976.55,110566.0,1087.95
2018-01-19,931.25,943.0,925.1,938.0,934.65,64555.0,606.12
2018-01-18,945.0,945.0,919.35,928.1,929.75,42446.0,395.6
2018-01-17,932.0,945.0,928.05,941.8,940.6,52502.0,492.38
2018-01-16,938.7,946.0,917.25,945.0,937.65,62922.0,588.81
2018-01-15,929.0,943.0,916.0,931.0,931.55,98724.0,922.04
2018-01-12,889.0,924.7,882.0,921.95,914.0,136886.0,1232.28
2018-01-11,894.0,916.6,865.0,876.05,879.25,370998.0,3335.52
2018-01-10,873.0,889.95,850.35,856.1,856.55,28826.0,248.57
2018-01-09,835.0,909.0,827.35,880.0,870.2,156984.0,1369.9
2018-01-08,782.0,849.7,775.55,826.0,827.35,106336.0,874.67
2018-01-05,776.15,789.5,768.0,783.9,781.05,29514.0,230.34
2018-01-04,736.0,799.0,736.0,774.0,768.55,121570.0,929.65
2018-01-03,726.0,744.6,720.05,736.9,736.45,8965.0,66.03
2018-01-02,746.95,749.0,725.1,725.3,727.5,7681.0,56.38
2018-01-01,745.0,753.0,728.0,743.0,740.95,22770.0,169.53
2017-12-29,729.25,733.45,723.0,730.0,727.5,14717.0,107.09
2017-12-28,715.0,735.0,712.5,724.0,722.05,39585.0,287.66
2017-12-27,706.15,731.95,696.1,710.5,713.35,33878.0,243.23
2017-12-26,710.0,730.15,702.2,705.0,704.95,23628.0,169.3
2017-12-22,676.15,724.0,676.15,709.0,708.55,48537.0,344.31
2017-12-21,681.0,693.2,679.0,689.9,685.2,26081.0,178.51
2017-12-20,690.0,690.4,675.5,675.5,676.65,12095.0,82.22
2017-12-19,689.0,695.5,684.5,687.1,686.9,14656.0,101.11
2017-12-18,661.0,693.95,661.0,680.0,677.3,11626.0,79.45
2017-12-15,689.65,689.65,671.0,672.0,676.55,12233.0,83.1
2017-12-14,679.45,694.7,667.0,675.9,673.6,9266.0,62.37
2017-12-13,667.8,700.0,667.8,682.0,677.45,25007.0,172.54
2017-12-12,673.3,680.95,665.1,679.95,675.65,11172.0,75.45
2017-12-11,691.0,702.0,663.15,672.3,675.7,21631.0,146.74
2017-12-08,708.9,708.95,686.05,686.25,689.0,16796.0,117.6
2017-12-07,697.95,710.0,687.65,704.95,702.5,36844.0,258.9
2017-12-06,691.9,694.75,679.85,682.0,687.5,17545.0,120.87
2017-12-05,669.0,689.9,669.0,689.9,687.15,10263.0,69.73
2017-12-04,655.0,683.0,655.0,679.0,676.4,15867.0,106.72
2017-12-01,660.0,674.0,651.1,651.1,655.05,5661.0,37.58
2017-11-30,655.2,674.0,655.2,665.2,670.6,8533.0,56.95
2017-11-29,655.05,672.0,653.45,665.9,663.35,26961.0,178.05
2017-11-28,661.9,668.8,637.0,661.0,648.0,57726.0,375.06
2017-11-27,675.0,684.65,653.0,656.0,655.35,61087.0,405.11
2017-11-24,695.0,709.0,670.0,672.2,673.35,67520.0,465.16
2017-11-23,692.0,710.0,684.0,686.55,688.3,46402.0,324.24
2017-11-22,691.4,707.0,681.0,683.0,685.3,66306.0,459.12
2017-11-21,691.6,694.95,677.25,684.0,685.4,9316.0,64.09
2017-11-20,690.0,696.85,670.15,688.95,684.8,83113.0,569.29
2017-11-17,667.15,691.0,665.45,673.9,683.8,12088.0,81.92
2017-11-16,675.0,675.3,656.1,662.0,659.45,18091.0,120.59
2017-11-15,661.0,699.0,646.75,678.0,664.4,82164.0,558.6
2017-11-14,655.0,661.75,650.05,654.0,653.05,5238.0,34.38
2017-11-13,663.6,667.6,650.0,655.0,653.7,10786.0,71.06
2017-11-10,655.1,674.0,655.1,663.0,663.6,7994.0,53.15
2017-11-09,654.2,669.0,648.05,665.0,666.2,7501.0,49.71
2017-11-08,657.0,665.0,649.95,656.0,654.2,168117.0,1099.53
2017-11-07,667.0,669.0,657.1,660.5,661.8,13496.0,89.24
2017-11-06,672.1,672.1,658.0,667.0,664.8,15931.0,105.61
