Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2018-03-13,356.0,361.75,352.5,358.4,359.05,32677.0,117.13
2018-03-12,352.05,357.1,350.5,354.0,355.05,30112.0,106.31
2018-03-09,357.05,358.8,350.0,351.0,351.9,25870.0,91.15
2018-03-08,355.3,359.85,352.0,356.5,356.45,25982.0,92.14
2018-03-07,356.0,359.5,350.4,353.05,355.3,28154.0,99.25
2018-03-06,362.3,363.85,355.0,355.0,355.9,25374.0,91.27
2018-03-05,366.9,366.9,357.0,362.0,360.5,263293.0,947.99
2018-03-01,365.6,368.5,365.0,365.0,365.15,254701.0,932.18
2018-02-28,370.0,370.95,363.2,367.1,365.6,311726.0,1141.91
2018-02-27,372.0,374.45,368.0,371.05,371.3,43344.0,160.86
2018-02-26,378.5,379.65,370.4,370.4,371.55,99443.0,371.69
2018-02-23,387.0,387.0,378.5,379.25,379.35,34772.0,132.66
2018-02-22,390.45,390.45,383.0,383.6,383.75,16192.0,62.51
2018-02-21,388.65,391.95,383.8,390.95,390.45,541511.0,2111.18
2018-02-20,382.2,395.8,381.55,385.9,384.85,98335.0,381.51
2018-02-19,392.45,398.0,381.3,382.15,383.35,48030.0,185.01
2018-02-16,400.0,400.2,387.5,390.0,390.1,55233.0,215.78
2018-02-15,398.15,403.0,395.0,396.5,397.25,479482.0,1908.12
2018-02-14,395.0,402.8,389.25,399.0,398.15,375932.0,1492.77
2018-02-12,390.6,406.0,380.0,390.0,389.1,165088.0,642.77
2018-02-09,387.0,398.0,382.6,395.6,395.15,32054.0,125.33
2018-02-08,390.0,393.0,387.4,387.5,389.25,21507.0,83.92
2018-02-07,386.0,398.25,383.0,387.0,387.25,56398.0,219.56
2018-02-06,377.0,385.5,370.0,381.0,383.6,30208.0,114.45
2018-02-05,379.0,389.65,371.7,384.5,386.95,45294.0,172.77
2018-02-02,394.2,394.2,379.0,381.6,380.25,84483.0,324.51
2018-02-01,402.4,403.0,394.0,396.95,396.95,41019.0,163.09
2018-01-31,401.0,408.7,399.6,400.0,401.25,35892.0,144.43
2018-01-30,406.0,406.55,400.1,404.95,403.8,116142.0,468.5
2018-01-29,427.0,427.0,403.1,404.05,406.55,56559.0,232.99
2018-01-25,437.9,437.9,413.1,415.25,414.9,99649.0,418.71
2018-01-24,437.0,441.95,428.25,429.0,429.75,65107.0,282.71
2018-01-23,457.35,458.55,433.5,436.25,436.35,81741.0,362.2
2018-01-22,458.8,463.0,451.4,457.0,457.35,83683.0,382.36
2018-01-19,450.75,460.0,440.8,455.5,450.95,118309.0,534.34
2018-01-18,437.85,485.0,435.25,445.0,446.65,757724.0,3504.58
2018-01-17,435.0,439.95,428.0,439.0,438.55,76137.0,331.51
2018-01-16,449.9,454.5,435.5,435.95,438.15,94214.0,417.7
2018-01-15,454.95,457.4,439.0,450.0,444.0,114767.0,510.15
2018-01-12,457.5,468.0,446.95,451.0,456.25,299610.0,1373.08
2018-01-11,467.15,474.4,451.2,452.6,454.75,489896.0,2282.87
2018-01-10,428.0,470.0,421.0,468.0,465.85,1093324.0,4932.22
2018-01-09,412.0,428.0,408.0,426.0,425.05,226328.0,956.28
2018-01-08,412.0,414.0,407.0,407.6,410.15,36370.0,149.59
2018-01-05,406.0,413.5,406.0,410.95,411.65,75103.0,308.72
2018-01-04,407.0,414.3,404.1,408.95,407.5,92719.0,380.37
2018-01-03,402.0,406.0,399.55,404.35,404.9,94826.0,382.14
2018-01-02,407.65,407.65,398.05,402.0,401.05,32076.0,128.57
2018-01-01,399.0,405.9,398.0,405.0,403.65,113210.0,453.29
2017-12-29,402.7,406.5,398.65,402.5,399.35,74227.0,297.29
2017-12-28,405.05,408.95,401.5,402.55,404.2,39394.0,159.63
2017-12-27,402.7,413.0,399.5,402.7,403.25,161429.0,657.24
2017-12-26,394.0,404.0,391.1,402.7,402.55,61673.0,246.22
2017-12-22,392.0,395.0,388.8,391.0,391.5,50303.0,196.72
2017-12-21,390.8,393.25,387.0,389.0,388.8,63346.0,247.03
2017-12-20,393.0,398.05,388.6,389.1,389.45,44071.0,172.39
2017-12-19,388.5,400.0,388.5,399.0,396.0,45540.0,180.1
2017-12-18,393.0,397.95,386.0,391.95,391.1,29809.0,117.52
2017-12-15,387.0,402.0,387.0,399.2,399.25,323977.0,1282.72
2017-12-14,390.0,390.0,385.25,386.5,386.45,47218.0,182.29
2017-12-13,390.0,392.85,388.05,389.0,389.2,44372.0,172.77
2017-12-12,387.1,391.25,385.0,390.0,389.0,80587.0,313.37
2017-12-11,396.0,397.0,386.0,387.0,387.85,23230.0,90.7
2017-12-08,394.65,395.0,390.6,391.15,394.7,86797.0,341.87
2017-12-07,390.0,395.0,389.5,391.15,392.15,77614.0,304.26
2017-12-06,395.0,399.5,390.05,390.25,391.85,209525.0,826.82
2017-12-05,392.25,402.5,391.25,395.2,397.85,162594.0,643.77
2017-12-04,394.8,403.0,390.0,394.0,397.5,161519.0,639.32
2017-12-01,400.0,403.0,394.5,395.5,396.35,54168.0,215.72
2017-11-30,384.0,403.0,384.0,401.55,399.05,80667.0,319.81
2017-11-29,390.05,391.95,389.95,390.5,390.35,29294.0,114.32
2017-11-28,388.9,394.0,385.0,391.0,391.95,113672.0,443.99
2017-11-27,389.0,389.9,383.55,389.0,388.85,25573.0,99.23
2017-11-24,387.9,392.6,383.0,388.0,387.75,58625.0,228.15
2017-11-23,386.4,390.5,383.0,385.3,384.1,59593.0,230.21
2017-11-22,386.0,389.15,377.15,381.65,382.5,23109.0,88.85
2017-11-21,375.0,385.0,374.1,384.85,384.35,142331.0,543.97
2017-11-20,374.0,376.5,368.0,375.0,375.3,87903.0,327.62
2017-11-17,374.0,382.0,369.6,371.0,370.85,42071.0,157.75
2017-11-16,367.95,374.1,367.2,373.05,372.85,128023.0,474.35
2017-11-15,367.75,371.0,363.5,368.0,367.95,83411.0,306.77
2017-11-14,373.8,375.5,365.6,368.15,367.75,103684.0,384.89
2017-11-13,380.0,380.05,368.0,371.7,372.6,85741.0,320.16
