Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2018-03-13,264.5,272.3,262.35,267.4,267.15,172864.0,463.19
2018-03-12,270.05,272.0,263.1,264.5,264.65,129903.0,345.95
2018-03-09,275.85,275.85,262.0,266.65,267.05,245109.0,654.97
2018-03-08,273.95,275.2,256.1,273.0,273.55,414444.0,1109.99
2018-03-07,278.9,279.55,270.55,272.25,272.65,257358.0,702.11
2018-03-06,282.0,287.4,276.1,276.5,277.8,118482.0,334.83
2018-03-05,287.0,287.55,280.5,281.95,282.2,126531.0,358.26
2018-03-01,288.25,293.35,286.25,287.95,287.95,136833.0,396.82
2018-02-28,282.25,294.8,281.95,289.05,289.65,240977.0,696.93
2018-02-27,295.9,298.25,285.5,286.0,286.35,232594.0,673.77
2018-02-26,296.5,300.7,292.0,293.0,293.75,177466.0,526.03
2018-02-23,288.7,296.65,288.45,294.0,295.25,228670.0,668.89
2018-02-22,291.6,293.6,285.15,286.0,286.8,183532.0,530.0
2018-02-21,296.0,299.7,291.0,295.6,295.55,133835.0,394.84
2018-02-20,292.6,299.3,291.6,295.5,293.45,164743.0,485.27
2018-02-19,299.1,304.9,287.5,291.25,291.45,240429.0,709.36
2018-02-16,302.0,308.9,296.0,298.6,298.8,195069.0,588.69
2018-02-15,306.5,312.5,300.95,305.1,304.6,150823.0,464.52
2018-02-14,312.25,312.5,304.55,305.25,305.65,224836.0,692.16
2018-02-12,309.0,318.4,309.0,310.0,310.65,506667.0,1592.19
2018-02-09,305.5,312.9,301.75,306.3,306.9,411892.0,1266.18
2018-02-08,293.0,315.0,288.0,314.0,312.65,775357.0,2373.6
2018-02-07,293.75,293.75,285.0,286.2,287.5,383769.0,1109.13
2018-02-06,270.0,288.0,266.6,283.0,283.8,426531.0,1204.96
2018-02-05,290.1,305.4,286.35,303.9,300.95,519614.0,1543.54
2018-02-02,309.0,314.9,293.1,308.5,305.7,633029.0,1941.26
2018-02-01,312.1,321.0,309.0,319.15,318.85,766224.0,2426.86
2018-01-31,321.75,325.0,304.0,310.0,308.65,792269.0,2503.14
2018-01-30,338.55,338.7,321.75,323.05,324.05,687358.0,2247.23
2018-01-29,350.45,352.4,333.1,339.0,338.85,429323.0,1481.43
2018-01-25,353.9,355.6,347.3,349.5,348.95,386823.0,1352.59
2018-01-24,349.0,357.4,344.0,353.0,352.1,1374409.0,4829.22
2018-01-23,327.7,350.8,327.65,349.0,347.65,1829990.0,6272.55
2018-01-22,325.0,333.5,324.55,325.6,326.35,250118.0,820.27
2018-01-19,335.25,336.15,322.05,324.0,324.0,434077.0,1420.86
