Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2018-03-13,127.75,132.0,127.3,128.5,128.5,198398.0,256.9
2018-03-12,127.05,135.0,125.9,127.5,128.35,493065.0,641.18
2018-03-09,130.95,131.8,125.25,126.15,125.95,248741.0,320.57
2018-03-08,133.25,134.2,129.25,130.25,130.3,411991.0,538.59
2018-03-07,135.75,135.95,130.75,133.55,133.65,139639.0,186.7
2018-03-06,140.9,140.9,135.2,135.55,135.75,141517.0,194.87
2018-03-05,137.8,138.05,136.05,137.6,137.65,139562.0,191.83
2018-03-01,140.7,141.35,137.6,137.9,137.85,201943.0,280.14
2018-02-28,137.0,141.5,136.1,141.0,140.7,221280.0,310.57
2018-02-27,141.55,141.55,135.8,136.8,137.0,140308.0,194.44
2018-02-26,141.9,144.0,139.55,140.5,140.7,122210.0,172.92
2018-02-23,139.4,141.75,138.5,141.15,141.35,99000.0,139.37
2018-02-22,139.25,140.0,137.5,138.35,138.55,126575.0,175.56
2018-02-21,141.0,143.0,139.3,139.45,139.55,86439.0,121.53
2018-02-20,142.1,142.8,139.1,139.5,140.15,109457.0,154.71
2018-02-19,143.8,145.0,140.1,143.0,142.15,121944.0,173.05
2018-02-16,150.45,150.5,143.1,144.45,143.8,127235.0,185.84
2018-02-15,149.0,151.85,148.5,149.95,149.95,176822.0,265.89
2018-02-14,146.85,150.95,146.6,148.95,148.8,271423.0,403.79
2018-02-12,149.0,154.45,145.5,145.95,145.7,371264.0,554.87
2018-02-09,139.7,154.0,136.6,148.6,148.45,1152189.0,1722.19
2018-02-08,141.9,145.0,141.2,143.2,143.15,142363.0,203.54
2018-02-07,139.6,142.95,139.25,141.7,140.95,100466.0,141.32
2018-02-06,135.75,140.0,131.5,139.0,138.4,322062.0,444.4
2018-02-05,136.0,145.1,132.8,144.0,143.0,283841.0,392.62
2018-02-02,144.95,144.95,137.0,138.55,138.5,333603.0,468.2
2018-02-01,147.9,148.9,145.0,145.0,146.6,221986.0,325.61
2018-01-31,145.8,149.8,145.1,147.5,146.9,157892.0,233.57
2018-01-30,150.5,150.85,147.1,147.8,147.7,171524.0,254.38
2018-01-29,155.0,155.45,149.7,149.75,150.45,152329.0,231.32
2018-01-25,151.05,153.4,148.9,150.55,152.5,249114.0,374.95
2018-01-24,151.8,151.8,148.8,151.5,151.05,477538.0,716.81
2018-01-23,150.65,157.5,150.1,150.95,150.85,432538.0,662.51
2018-01-22,150.95,152.35,149.8,150.6,150.35,338989.0,511.66
2018-01-19,150.1,154.25,148.45,150.9,149.75,368991.0,557.1
2018-01-18,157.55,160.9,149.65,151.0,151.15,365099.0,565.77
2018-01-17,157.9,159.95,154.7,158.0,157.15,257540.0,405.88
2018-01-16,167.95,169.15,157.7,157.7,158.3,567879.0,913.51
2018-01-15,167.5,170.5,166.15,167.5,167.4,363293.0,612.66
2018-01-12,171.0,171.0,163.4,165.75,166.2,392416.0,656.84
2018-01-11,169.95,170.5,166.7,170.0,169.1,334363.0,563.15
2018-01-10,166.6,170.5,166.6,170.2,169.5,220612.0,371.57
2018-01-09,170.4,171.1,166.5,167.25,167.75,294112.0,495.6
2018-01-08,174.0,174.0,167.9,168.95,169.45,416367.0,708.11
2018-01-05,169.6,172.9,168.5,171.5,172.25,601118.0,1028.78
2018-01-04,172.75,173.85,167.55,168.2,168.55,618347.0,1056.84
2018-01-03,169.65,172.7,166.35,171.4,171.65,580353.0,988.14
2018-01-02,168.0,173.0,163.2,170.5,168.15,866473.0,1459.81
2018-01-01,166.95,170.45,165.0,168.2,168.0,578704.0,971.11
2017-12-29,167.25,171.0,165.7,166.2,167.15,774965.0,1304.79
2017-12-28,162.5,169.0,162.5,165.55,164.95,1557575.0,2568.48
2017-12-27,158.0,163.85,158.0,162.25,161.5,485759.0,785.26
2017-12-26,159.7,159.95,158.05,158.6,158.6,116424.0,185.02
2017-12-22,161.0,161.5,157.55,158.5,158.25,263392.0,419.05
2017-12-21,158.4,161.9,158.4,159.6,159.65,210545.0,337.41
2017-12-20,161.2,163.4,157.65,158.0,158.3,265458.0,426.21
2017-12-19,160.05,163.55,160.0,160.5,161.2,194250.0,313.67
2017-12-18,159.9,163.3,151.1,159.25,159.0,459347.0,734.88
2017-12-15,161.0,164.0,159.95,161.7,161.15,639114.0,1032.7
2017-12-14,160.05,160.9,155.05,156.0,155.8,270540.0,423.28
2017-12-13,157.55,160.5,156.5,157.0,157.2,127624.0,202.41
2017-12-12,161.5,161.9,156.2,157.2,157.0,174378.0,276.66
2017-12-11,161.7,163.0,160.2,160.8,161.05,160967.0,260.12
2017-12-08,163.0,164.3,160.05,160.3,160.55,194461.0,315.08
2017-12-07,159.2,161.25,159.1,159.65,160.35,109406.0,175.35
2017-12-06,160.05,163.95,157.95,159.0,158.6,147806.0,236.37
2017-12-05,163.9,165.0,160.0,160.55,161.0,101479.0,164.13
2017-12-04,163.2,170.5,162.2,163.35,163.65,311720.0,516.36
2017-12-01,167.95,168.85,160.65,163.0,162.2,159002.0,262.84
2017-11-30,161.8,168.45,161.8,167.5,166.6,219589.0,362.98
2017-11-29,168.6,169.8,162.8,163.6,163.5,402616.0,668.44
2017-11-28,163.35,170.95,162.25,168.0,168.1,809807.0,1363.97
2017-11-27,165.1,165.4,162.15,162.95,162.75,242212.0,395.39
2017-11-24,168.8,169.4,165.85,165.9,166.3,165022.0,276.13
2017-11-23,171.0,172.0,165.85,166.95,167.35,227873.0,385.34
2017-11-22,169.4,171.7,165.1,170.9,170.0,363297.0,612.3
2017-11-21,170.9,173.05,167.15,168.2,168.55,388145.0,661.15
2017-11-20,159.8,171.0,159.0,169.15,169.55,897872.0,1492.04
2017-11-17,159.0,162.0,157.0,157.75,158.3,169403.0,270.61
2017-11-16,156.95,158.9,155.25,156.8,157.5,167924.0,264.03
2017-11-15,160.2,161.25,150.55,155.15,155.7,329033.0,513.35
2017-11-14,165.1,167.0,160.0,161.0,160.75,397889.0,648.09
2017-11-13,167.0,167.9,160.15,165.0,163.55,383548.0,626.22
2017-11-10,165.65,167.9,163.3,165.75,165.05,336194.0,557.0
2017-11-09,165.0,168.55,163.3,164.85,164.55,224404.0,371.73
2017-11-08,165.0,166.95,162.45,165.5,164.05,434095.0,715.08
2017-11-07,169.95,173.95,163.0,164.0,164.95,452057.0,761.54
2017-11-06,172.4,174.25,169.05,169.8,169.7,407640.0,696.24
2017-11-03,175.95,176.45,172.15,173.0,173.0,324412.0,565.31
2017-11-02,174.9,180.45,172.6,174.3,174.7,711305.0,1256.34
2017-11-01,177.7,178.7,174.5,174.7,175.15,491463.0,868.25
2017-10-31,174.35,177.7,170.45,175.3,175.05,651893.0,1139.06
2017-10-30,173.4,176.8,169.15,174.3,173.6,512771.0,887.07
2017-10-27,174.1,180.9,170.25,171.75,172.35,1236648.0,2178.91
2017-10-26,171.2,178.0,167.0,173.5,174.1,970916.0,1687.14
2017-10-25,171.0,174.4,163.0,173.75,171.25,829092.0,1387.2
2017-10-24,175.95,178.25,166.9,170.0,169.9,2039033.0,3535.44
2017-10-23,155.75,176.7,155.75,173.9,174.2,4992113.0,8444.81
2017-10-19,156.0,158.7,154.0,154.8,155.45,344696.0,539.34
2017-10-18,147.6,161.05,146.0,155.3,155.6,1617668.0,2512.52
2017-10-17,146.55,147.9,144.2,147.0,146.9,168614.0,245.83
2017-10-16,149.0,149.5,145.1,145.6,145.7,175115.0,258.27
2017-10-13,145.25,151.3,145.2,148.85,148.7,367194.0,546.04
2017-10-12,146.6,147.8,144.0,144.65,144.75,170755.0,248.38
2017-10-11,150.65,152.0,145.5,146.0,146.15,176983.0,263.23
2017-10-10,151.7,152.65,149.85,150.65,150.65,324168.0,489.42
2017-10-09,150.25,151.9,149.0,149.4,149.85,244798.0,367.19
2017-10-06,150.8,151.2,148.1,150.45,150.25,339623.0,509.33
