Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2018-03-13,402.15,418.5,402.1,416.65,416.8,930425.0,3837.5
2018-03-12,410.0,412.4,396.05,404.0,406.65,917553.0,3708.31
2018-03-09,414.85,417.4,398.3,404.0,402.5,861259.0,3514.89
2018-03-08,420.05,426.35,405.05,410.5,411.6,852388.0,3519.19
2018-03-07,421.05,423.35,411.25,418.0,418.75,735638.0,3075.25
2018-03-06,430.25,435.6,415.35,416.5,418.45,580993.0,2478.46
2018-03-05,435.9,437.5,423.05,426.0,428.6,616918.0,2652.16
2018-03-01,434.9,442.0,433.1,436.9,435.35,584881.0,2560.01
2018-02-28,441.9,442.0,432.0,436.0,433.6,909860.0,3962.88
2018-02-27,449.55,459.0,441.55,442.8,444.65,1039389.0,4686.98
2018-02-26,455.05,459.0,445.2,447.2,447.3,719835.0,3244.77
2018-02-23,447.6,455.5,445.2,449.6,450.0,755028.0,3400.13
2018-02-22,459.7,459.7,441.05,442.75,443.85,735491.0,3306.82
2018-02-21,467.5,469.7,458.4,460.0,462.1,391049.0,1810.26
2018-02-20,468.5,473.1,460.95,461.95,463.8,464851.0,2169.65
2018-02-19,472.1,474.3,458.0,467.5,467.5,772252.0,3584.28
2018-02-16,485.25,489.05,466.05,470.25,472.1,662373.0,3142.12
2018-02-15,497.7,503.25,475.8,483.5,481.8,692008.0,3392.48
2018-02-14,491.0,508.4,490.5,492.6,493.75,1332466.0,6659.35
2018-02-12,477.0,491.9,476.0,489.0,488.55,1108016.0,5396.03
2018-02-09,440.0,480.8,437.05,473.9,476.8,1609842.0,7463.16
2018-02-08,442.0,462.5,441.15,458.0,456.85,1134318.0,5155.98
2018-02-07,428.0,443.35,427.7,439.5,439.65,1463022.0,6391.6
2018-02-06,410.0,432.0,399.95,417.0,417.15,1786537.0,7512.5
2018-02-05,414.2,454.0,395.25,447.9,446.6,1791060.0,7767.03
2018-02-02,461.0,463.0,428.1,434.95,433.75,1561581.0,6940.93
2018-02-01,482.5,494.8,463.6,466.85,467.3,1718854.0,8269.0
2018-01-31,476.0,486.0,466.8,482.5,480.15,1163542.0,5548.95
2018-01-30,489.1,489.5,475.65,477.95,478.7,885434.0,4254.96
2018-01-29,500.0,514.9,486.0,488.8,489.1,1769929.0,8908.19
2018-01-25,508.6,509.8,492.1,497.75,497.75,896477.0,4479.96
2018-01-24,521.0,527.0,505.5,508.95,508.2,1742340.0,8971.83
2018-01-23,532.0,542.0,513.5,518.75,519.0,6098292.0,32236.15
2018-01-22,496.9,534.0,496.0,508.5,511.7,6931704.0,35971.66
2018-01-19,495.0,502.8,485.25,494.0,495.25,1265323.0,6262.79
2018-01-18,490.5,516.9,487.0,492.0,492.65,3638028.0,18311.13
2018-01-17,483.75,498.0,462.5,493.75,495.05,3818426.0,18538.38
2018-01-16,542.0,547.4,480.25,485.3,485.6,7708676.0,38749.31
2018-01-15,484.5,546.8,484.5,539.2,540.4,6105782.0,31906.69
2018-01-12,486.5,494.9,480.0,482.8,483.6,676662.0,3299.53
2018-01-11,472.05,489.9,470.15,483.7,484.05,791147.0,3821.93
2018-01-10,477.8,480.8,470.25,471.0,472.55,295253.0,1404.64
2018-01-09,485.5,487.4,476.1,477.4,477.35,359625.0,1731.51
2018-01-08,487.3,491.0,483.0,483.9,484.8,451838.0,2195.89
2018-01-05,486.0,492.8,483.0,483.0,485.35,417922.0,2037.7
