Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2018-03-13,833.95,878.7,833.95,871.5,873.25,155122.0,1328.03
2018-03-12,815.0,840.0,815.0,839.55,833.65,160355.0,1324.75
2018-03-09,811.0,816.4,803.0,808.0,804.65,45464.0,367.34
2018-03-08,817.7,826.9,793.05,811.0,808.7,171419.0,1383.41
2018-03-07,832.25,843.15,805.1,805.95,809.5,131876.0,1090.02
2018-03-06,862.9,864.45,833.0,835.0,840.25,103844.0,884.89
2018-03-05,878.0,878.0,848.1,853.35,855.15,137575.0,1181.12
2018-03-01,873.15,888.0,868.85,878.0,871.15,28703.0,251.79
2018-02-28,884.0,884.0,870.0,870.0,873.15,60867.0,532.35
2018-02-27,905.2,914.85,880.0,885.1,884.45,62032.0,555.85
2018-02-26,877.0,912.7,876.5,906.5,906.05,224929.0,2017.03
2018-02-23,860.15,883.2,860.15,874.0,875.7,105752.0,926.24
2018-02-22,854.55,874.2,854.55,865.6,867.9,175309.0,1521.14
2018-02-21,870.0,875.8,855.0,855.0,859.55,67613.0,582.21
2018-02-20,869.3,884.9,865.0,865.05,867.85,85761.0,751.44
2018-02-19,882.0,886.5,855.0,870.0,871.75,138924.0,1204.46
2018-02-16,894.0,902.0,875.0,879.65,878.6,132065.0,1169.97
2018-02-15,910.0,913.0,885.25,895.0,890.05,185333.0,1662.4
2018-02-14,921.0,924.85,901.15,904.05,905.05,239800.0,2189.35
2018-02-12,871.35,905.0,867.7,899.0,895.1,152540.0,1359.01
2018-02-09,850.0,874.0,844.65,865.5,862.05,142548.0,1223.89
2018-02-08,852.1,871.0,850.1,862.0,859.2,48239.0,415.56
2018-02-07,860.0,880.0,843.4,845.5,848.75,79056.0,675.11
2018-02-06,870.0,870.05,825.15,852.0,850.05,181540.0,1537.18
2018-02-05,885.0,893.5,865.4,891.0,888.85,102583.0,904.03
2018-02-02,915.0,956.4,880.05,889.5,891.0,233926.0,2161.24
2018-02-01,917.0,984.0,901.3,925.0,926.0,325535.0,3068.88
2018-01-31,950.0,953.65,917.0,920.0,922.7,99428.0,927.95
2018-01-30,964.95,973.0,955.1,959.05,959.4,33105.0,318.41
