Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2018-03-13,119.0,120.15,118.2,118.8,119.0,460160.0,548.85
2018-03-12,120.5,121.3,117.8,120.0,119.4,415403.0,493.84
2018-03-09,120.4,120.5,118.5,119.75,119.8,249307.0,298.51
2018-03-08,120.15,121.95,117.6,119.5,119.65,444174.0,530.83
2018-03-07,120.35,120.5,117.55,119.2,119.2,493016.0,587.44
2018-03-06,122.0,122.85,120.05,120.3,120.7,248914.0,302.47
2018-03-05,123.35,123.75,120.55,121.2,121.15,362351.0,440.15
2018-03-01,124.0,125.1,122.85,122.9,123.1,308104.0,381.39
2018-02-28,124.5,124.5,123.0,124.0,124.05,368391.0,456.52
2018-02-27,127.0,127.4,124.0,125.7,125.6,706450.0,889.0
2018-02-26,125.35,127.0,124.55,126.05,125.9,636028.0,801.15
2018-02-23,120.0,124.35,119.35,124.35,123.75,1125005.0,1383.61
2018-02-22,120.0,120.6,119.0,119.85,119.6,404437.0,484.13
2018-02-21,121.0,121.0,119.3,120.2,120.4,462654.0,555.67
2018-02-20,120.9,121.4,119.15,119.9,119.65,487932.0,586.89
2018-02-19,122.8,124.3,119.0,120.5,120.15,766404.0,928.9
2018-02-16,124.05,125.35,120.8,122.3,122.15,692150.0,847.22
2018-02-15,126.5,127.9,122.8,123.65,123.35,752768.0,943.54
2018-02-14,128.8,130.4,125.0,125.5,125.9,1189832.0,1522.98
2018-02-12,132.4,132.95,131.5,131.9,131.85,1007424.0,1328.89
2018-02-09,128.0,132.1,128.0,131.25,131.3,645388.0,845.53
2018-02-08,131.45,132.7,130.0,130.35,130.45,1029379.0,1354.07
2018-02-07,133.0,134.4,129.8,130.0,130.15,1090534.0,1431.51
2018-02-06,130.0,131.85,125.9,129.2,129.3,940169.0,1212.28
2018-02-05,132.0,135.95,129.0,133.0,132.7,823881.0,1091.15
2018-02-02,135.9,136.9,129.05,134.0,134.1,1482315.0,1992.25
2018-02-01,139.4,141.4,135.1,139.75,138.75,749744.0,1038.46
2018-01-31,139.6,140.55,137.5,138.4,138.5,423351.0,587.21
2018-01-30,142.1,142.25,138.05,139.55,139.8,632597.0,887.22
2018-01-29,142.5,145.1,141.9,142.4,142.65,853240.0,1224.47
2018-01-25,136.75,143.85,136.55,141.65,141.5,1427956.0,2008.3
2018-01-24,140.0,140.75,135.55,137.0,136.35,967389.0,1330.26
2018-01-23,140.0,144.0,139.1,139.95,140.0,1469391.0,2074.95
2018-01-22,137.85,138.8,136.25,137.95,138.15,987680.0,1363.19
2018-01-19,137.1,138.9,135.2,137.0,137.25,941983.0,1294.65
2018-01-18,142.9,144.05,135.5,136.0,136.6,1101243.0,1538.1
2018-01-17,144.0,144.0,138.1,141.0,140.95,1130069.0,1596.65
2018-01-16,150.3,150.4,142.5,142.95,143.6,1586262.0,2298.78
2018-01-15,152.25,154.4,148.5,149.0,149.4,2072314.0,3134.7
2018-01-12,147.75,152.7,145.6,149.75,149.35,4532370.0,6757.4
2018-01-11,145.3,147.4,143.9,144.25,144.7,1255672.0,1823.67
2018-01-10,148.4,149.1,143.1,146.0,145.4,1314452.0,1919.44
2018-01-09,146.5,151.2,144.9,147.0,147.35,2941188.0,4374.15
2018-01-08,143.0,147.9,142.35,144.65,145.8,3532735.0,5117.97
2018-01-05,142.5,143.3,141.0,141.3,141.45,818806.0,1163.54
2018-01-04,141.7,144.9,140.5,142.0,141.85,1601508.0,2277.29
2018-01-03,139.3,141.2,137.1,139.7,139.8,1480590.0,2066.93
2018-01-02,141.4,143.2,137.0,138.3,139.25,2403316.0,3347.73
2018-01-01,137.75,143.2,137.75,140.85,140.4,2617492.0,3690.26
2017-12-29,137.4,138.35,136.05,137.0,137.1,1152828.0,1581.94
2017-12-28,136.4,139.55,134.2,137.0,136.75,1727312.0,2374.5
2017-12-27,134.5,138.2,132.05,135.8,135.5,2537382.0,3443.55
2017-12-26,132.85,135.0,131.0,133.9,133.9,3082347.0,4123.81
2017-12-22,122.25,132.7,121.3,130.8,130.9,6243660.0,8054.27
2017-12-21,114.3,124.0,114.1,121.2,120.85,2938496.0,3525.95
2017-12-20,114.9,115.0,113.6,113.9,113.85,972918.0,1111.16
2017-12-19,115.05,116.25,113.55,113.9,114.05,1032876.0,1182.13
2017-12-18,115.4,115.5,112.35,114.85,114.85,486184.0,557.42
2017-12-15,117.95,118.5,114.7,114.95,115.1,434493.0,504.9
2017-12-14,118.5,118.5,115.5,116.5,116.25,297486.0,346.72
2017-12-13,119.1,120.0,117.1,117.6,117.75,249977.0,296.1
2017-12-12,121.0,121.25,119.0,119.1,119.1,266024.0,319.09
2017-12-11,121.0,122.0,120.3,120.7,120.9,378614.0,458.07
