Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2018-03-13,326.5,327.7,322.0,325.0,326.0,36844.0,120.0
2018-03-12,329.5,340.0,318.45,320.1,323.6,65162.0,210.02
2018-03-09,330.0,333.0,323.9,327.0,327.15,33647.0,110.29
2018-03-08,333.9,333.9,318.9,326.0,327.35,77125.0,251.33
2018-03-07,334.05,334.3,326.0,326.0,327.1,35065.0,115.09
2018-03-06,341.85,341.85,334.0,334.0,336.6,64131.0,216.59
2018-03-05,341.0,342.0,331.5,336.15,337.7,31509.0,105.95
2018-03-01,348.2,350.0,338.25,339.9,340.75,70412.0,240.01
2018-02-28,346.3,348.9,341.05,343.0,343.65,67911.0,234.12
2018-02-27,349.75,349.75,341.0,348.0,346.35,18456.0,63.41
2018-02-26,348.0,350.9,341.4,344.0,344.9,21131.0,73.16
2018-02-23,349.95,351.0,336.35,348.0,347.65,28341.0,97.6
2018-02-22,348.25,353.45,340.15,341.55,343.15,18624.0,64.55
2018-02-21,354.95,354.95,342.3,344.0,347.25,20786.0,72.0
2018-02-20,357.7,357.7,347.0,350.05,350.25,14608.0,51.24
2018-02-19,370.0,370.0,345.5,349.0,350.15,31813.0,112.37
2018-02-16,365.05,374.5,350.0,370.0,365.4,59453.0,215.57
2018-02-15,372.0,374.7,366.0,368.0,368.2,17531.0,65.07
2018-02-14,372.85,378.0,363.35,367.55,370.75,107045.0,399.04
2018-02-12,368.0,375.5,363.2,363.2,365.85,22592.0,83.71
2018-02-09,351.0,374.4,350.15,366.5,367.35,360662.0,1299.46
2018-02-08,337.0,369.0,332.55,362.35,363.1,235038.0,837.06
2018-02-07,322.0,350.1,322.0,331.0,337.1,328887.0,1085.23
2018-02-06,315.0,329.0,309.0,321.9,315.45,115500.0,370.74
2018-02-05,330.0,339.65,315.0,323.0,324.95,107270.0,353.7
2018-02-02,340.0,340.05,325.3,329.95,333.5,38613.0,128.37
2018-02-01,345.0,350.0,336.0,336.1,339.45,45925.0,156.49
2018-01-31,357.5,362.55,342.0,345.0,344.3,50791.0,177.13
2018-01-30,369.0,372.35,355.15,358.0,357.55,25026.0,91.52
2018-01-29,382.0,389.0,365.0,370.0,369.15,28322.0,105.62
2018-01-25,387.75,387.75,376.0,380.0,379.45,15337.0,58.5
2018-01-24,384.45,390.05,373.5,380.0,387.75,84882.0,326.43
2018-01-23,376.0,382.05,364.35,376.5,379.25,57588.0,216.39
2018-01-22,376.7,376.7,367.35,374.0,372.85,19988.0,74.57
2018-01-19,367.7,378.05,357.05,369.0,371.35,63558.0,231.2
2018-01-18,380.0,382.0,356.0,366.85,364.45,54315.0,202.79
2018-01-17,377.15,382.15,355.0,378.1,379.75,47520.0,177.86
2018-01-16,388.7,393.8,377.05,377.05,379.9,37438.0,143.0
2018-01-15,387.75,395.0,381.05,382.5,384.7,51695.0,200.79
2018-01-12,389.1,392.5,378.55,380.0,382.35,51584.0,199.13
2018-01-11,388.0,390.0,382.6,389.4,388.95,151392.0,585.64
2018-01-10,379.0,401.1,374.0,382.05,383.4,260047.0,1008.0
2018-01-09,381.0,383.0,371.05,382.0,380.2,76017.0,287.05
2018-01-08,379.9,385.35,370.35,377.25,380.65,486869.0,1827.8
2018-01-05,369.5,377.0,367.05,371.95,371.25,142847.0,531.88
2018-01-04,364.8,387.55,360.0,365.8,371.25,262045.0,964.39
2018-01-03,360.9,361.0,358.0,360.0,359.9,81881.0,294.64
