Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2018-03-13,122.0,125.2,121.2,124.4,123.9,1486987.0,1841.16
2018-03-12,121.85,122.8,119.0,122.35,122.25,1319674.0,1598.25
2018-03-09,122.4,124.0,119.5,119.75,119.85,1170426.0,1426.47
2018-03-08,121.0,122.6,118.75,121.95,122.0,1236622.0,1496.29
2018-03-07,123.5,123.65,119.5,120.2,120.25,1515498.0,1834.1
2018-03-06,127.45,128.85,122.85,123.0,124.05,980797.0,1238.07
2018-03-05,128.2,129.3,125.8,126.5,126.95,1630317.0,2075.51
2018-03-01,127.5,130.05,127.4,128.2,128.0,1099913.0,1413.48
2018-02-28,129.1,130.05,127.75,127.85,128.15,974510.0,1254.05
2018-02-27,132.45,133.0,130.05,130.75,130.75,1537210.0,2023.59
2018-02-26,129.95,132.25,129.1,131.25,131.0,1434493.0,1874.51
2018-02-23,125.55,129.15,125.25,128.25,128.2,1203210.0,1537.51
2018-02-22,128.7,129.55,125.15,125.65,125.95,1432405.0,1821.18
2018-02-21,131.5,131.8,128.75,128.9,129.2,895866.0,1162.86
2018-02-20,132.5,133.5,129.3,130.15,130.5,1215378.0,1603.59
2018-02-19,130.5,133.6,128.7,132.55,132.1,2069680.0,2724.57
2018-02-16,135.2,136.2,130.3,131.1,131.65,2016829.0,2665.97
2018-02-15,136.8,139.35,133.8,134.7,134.45,1978887.0,2695.78
2018-02-14,140.0,141.7,135.5,136.45,136.35,2802346.0,3900.12
2018-02-12,133.7,141.15,132.7,138.0,137.85,6776209.0,9333.33
2018-02-09,126.05,133.45,124.05,132.9,132.5,2671247.0,3474.37
2018-02-08,126.65,130.5,125.85,129.9,129.4,2965116.0,3819.61
2018-02-07,123.95,127.35,123.45,125.3,125.55,3498142.0,4401.13
2018-02-06,115.0,123.6,113.25,120.2,120.1,3849293.0,4589.04
2018-02-05,122.0,126.8,121.15,125.5,124.65,5818189.0,7232.11
2018-02-02,137.0,138.15,128.0,129.0,129.1,2898440.0,3837.23
2018-02-01,146.3,150.2,136.75,140.3,140.1,4780246.0,6915.42
2018-01-31,144.7,146.5,142.3,144.65,144.7,1467465.0,2118.85
2018-01-30,144.5,147.7,143.05,145.2,145.05,1583374.0,2306.41
2018-01-29,149.2,150.85,145.55,146.2,146.35,1500787.0,2228.56
2018-01-25,154.0,154.95,148.05,148.8,149.05,2095005.0,3174.72
2018-01-24,156.5,156.85,153.2,153.75,153.85,2102174.0,3250.51
2018-01-23,156.5,157.95,154.05,154.5,154.85,1986856.0,3097.51
2018-01-22,151.0,156.85,151.0,155.25,155.05,2362702.0,3647.22
2018-01-19,151.0,153.95,150.5,152.55,152.5,1793284.0,2731.87
2018-01-18,158.95,159.75,148.25,150.0,150.3,3430408.0,5304.57
2018-01-17,155.0,159.4,151.05,158.75,158.6,3282097.0,5134.54
2018-01-16,166.4,166.4,154.5,156.0,155.5,5138255.0,8177.89
2018-01-15,158.3,165.9,156.4,165.35,164.9,8924433.0,14468.2
2018-01-12,160.0,162.55,154.1,158.0,157.6,3673294.0,5838.92
2018-01-11,149.2,159.5,149.2,158.95,158.6,6557766.0,10286.29
2018-01-10,151.85,152.75,149.0,150.0,150.2,923536.0,1392.28
2018-01-09,153.9,154.75,151.0,152.0,151.45,1123237.0,1714.0
2018-01-08,154.3,155.85,153.2,154.35,153.75,1181652.0,1825.13
2018-01-05,152.85,155.0,152.5,154.25,154.3,2184348.0,3360.96
2018-01-04,151.0,152.65,149.55,152.6,152.05,2027825.0,3064.38
2018-01-03,147.9,152.8,147.65,150.6,150.45,3381768.0,5107.54
2018-01-02,153.25,153.95,146.0,146.95,146.9,3647013.0,5419.82
2018-01-01,156.65,157.25,151.7,152.5,152.6,1611648.0,2496.52
2017-12-29,152.35,157.4,151.25,155.9,156.0,3251612.0,5057.98
2017-12-28,149.3,152.65,147.35,151.2,151.9,2036165.0,3063.7
2017-12-27,152.8,153.2,147.55,148.35,149.45,2014377.0,3046.76
2017-12-26,149.2,153.75,149.2,153.0,153.05,2321633.0,3527.61
2017-12-22,150.6,152.15,149.25,150.1,150.2,1498944.0,2259.02
2017-12-21,146.5,151.4,145.55,149.95,149.85,2927482.0,4360.94
2017-12-20,146.85,148.8,145.05,146.8,147.05,2694064.0,3969.54
2017-12-19,142.0,146.7,142.0,146.1,145.95,4192436.0,6089.65
2017-12-18,139.8,144.7,131.2,141.5,141.1,5248619.0,7415.83
2017-12-15,139.55,143.0,138.15,142.25,142.15,4047954.0,5691.22
2017-12-14,136.6,136.85,132.1,135.3,135.0,1174488.0,1578.08
2017-12-13,139.75,139.9,135.3,136.0,136.0,1390072.0,1918.67
2017-12-12,140.5,142.3,139.0,139.7,139.75,1020654.0,1434.79
2017-12-11,140.85,142.05,140.0,140.95,140.9,1535676.0,2165.25
2017-12-08,139.0,141.0,138.7,139.5,139.85,1841704.0,2576.73
2017-12-07,135.5,138.4,135.0,137.9,137.75,1314191.0,1803.02
2017-12-06,135.0,137.2,134.2,134.8,134.9,1363299.0,1847.94
2017-12-05,136.25,137.3,133.8,134.95,135.1,1531370.0,2066.66
2017-12-04,137.75,138.9,134.45,137.65,137.65,1879280.0,2578.02
2017-12-01,141.1,142.65,136.65,137.4,137.35,2043021.0,2869.78
2017-11-30,143.0,145.95,139.15,141.0,140.15,4987604.0,7081.6
2017-11-29,143.6,146.65,142.3,143.95,144.0,2449891.0,3544.73
2017-11-28,144.3,145.7,142.6,142.75,143.35,1473715.0,2126.31
2017-11-27,142.75,144.95,141.75,143.75,144.3,2029975.0,2915.68
