Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2018-03-13,709.8,722.8,695.05,710.0,709.6,63618.0,452.71
2018-03-12,709.8,720.0,701.5,706.0,705.75,37742.0,267.53
2018-03-09,711.5,714.85,700.65,703.0,704.0,31117.0,220.18
2018-03-08,715.5,721.15,703.0,705.0,705.85,60416.0,429.79
2018-03-07,703.6,726.75,702.05,708.15,711.45,91812.0,657.27
2018-03-06,714.8,724.6,706.5,707.0,708.6,50175.0,358.09
2018-03-05,725.0,734.75,687.7,707.7,709.6,166342.0,1180.11
2018-03-01,737.0,753.95,718.0,719.0,724.8,92101.0,678.2
2018-02-28,741.05,761.0,735.0,737.0,737.45,122593.0,912.38
2018-02-27,765.1,766.45,745.0,745.45,751.3,60088.0,454.93
2018-02-26,755.0,767.9,752.0,757.0,761.0,100491.0,763.99
2018-02-23,742.6,759.4,741.95,747.25,748.55,100100.0,750.79
2018-02-22,747.1,778.8,734.85,736.3,737.05,191108.0,1443.3
2018-02-21,752.0,763.95,735.65,759.0,757.25,98909.0,739.37
2018-02-20,768.5,781.45,743.65,745.0,748.7,85321.0,651.92
2018-02-19,794.0,796.85,759.5,765.0,763.8,96142.0,744.88
2018-02-16,813.45,819.55,782.05,787.0,790.15,125692.0,1007.52
2018-02-15,779.0,824.4,779.0,810.0,807.4,469842.0,3804.36
2018-02-14,771.05,794.4,765.8,772.0,772.15,167841.0,1312.81
2018-02-12,752.0,772.0,741.1,759.25,759.75,150597.0,1142.82
2018-02-09,714.0,752.0,710.25,740.0,742.95,182461.0,1351.48
2018-02-08,724.0,743.0,716.15,727.0,730.15,102630.0,750.88
2018-02-07,750.0,750.0,711.05,717.0,723.25,182735.0,1347.43
2018-02-06,718.8,730.0,681.2,730.0,720.95,136483.0,971.25
2018-02-05,676.05,745.0,670.3,739.5,739.65,180512.0,1281.83
2018-02-02,739.1,748.0,690.0,705.5,708.55,136256.0,969.68
2018-02-01,757.0,757.15,733.1,755.0,753.45,130134.0,978.84
2018-01-31,774.0,775.8,749.2,750.0,752.2,75604.0,574.09
2018-01-30,798.0,802.8,752.0,776.0,768.65,131770.0,1026.19
2018-01-29,835.95,844.95,790.2,790.2,795.5,105094.0,857.14
2018-01-25,848.25,859.95,821.5,827.0,825.4,126280.0,1056.05
2018-01-24,878.0,891.0,840.05,841.5,847.6,112490.0,970.76
2018-01-23,895.55,899.8,860.55,875.0,872.35,114720.0,1012.8
2018-01-22,876.0,900.0,860.15,885.0,890.6,172080.0,1514.84
2018-01-19,874.0,889.6,859.8,872.0,876.0,85159.0,745.72
2018-01-18,911.0,913.15,853.15,871.15,871.4,114283.0,1013.92
2018-01-17,889.9,918.95,863.0,904.0,905.45,297274.0,2659.85
