Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2018-03-13,921.35,951.6,921.35,947.95,946.35,22765.0,213.4
2018-03-12,987.95,997.0,920.5,925.0,924.35,11735.0,110.18
2018-03-09,942.0,974.95,933.0,973.0,963.9,6326.0,59.96
2018-03-08,975.95,978.95,927.05,940.05,942.45,8140.0,76.67
2018-03-07,980.0,983.0,975.0,980.0,978.25,19910.0,194.93
2018-03-06,984.85,989.7,972.0,980.0,978.1,12136.0,118.81
2018-03-05,988.0,988.0,976.85,980.2,981.1,5278.0,51.74
2018-03-01,997.25,999.95,976.0,980.0,980.45,7943.0,78.13
2018-02-28,980.1,1005.5,954.0,1001.9,997.2,34485.0,337.96
2018-02-27,990.3,1015.0,990.0,991.15,994.85,27232.0,270.88
2018-02-26,985.5,1018.0,980.05,1001.5,999.25,26697.0,267.68
2018-02-23,999.8,999.8,982.0,983.0,985.5,2147.0,21.19
2018-02-22,996.2,1000.0,981.15,987.9,985.0,7337.0,72.49
2018-02-21,1020.0,1039.0,989.95,996.2,1000.3,12308.0,123.87
2018-02-20,966.0,1037.0,964.85,1015.0,1010.15,24280.0,239.66
2018-02-19,990.0,992.0,968.8,977.05,979.25,11827.0,115.92
2018-02-16,997.65,997.65,960.05,990.6,987.25,29020.0,285.56
2018-02-15,1053.0,1056.0,983.2,986.95,985.55,28898.0,287.21
2018-02-14,1045.6,1080.0,1035.0,1035.0,1052.5,37127.0,392.68
2018-02-12,1075.05,1100.0,1034.25,1045.0,1039.65,18920.0,200.7
2018-02-09,951.0,1082.0,951.0,1059.65,1075.05,58884.0,603.85
2018-02-08,928.0,1030.0,926.45,1010.0,1012.7,58041.0,570.83
2018-02-07,910.0,941.55,906.0,925.0,928.45,13059.0,119.75
2018-02-06,870.0,909.9,855.0,895.0,896.15,15010.0,133.09
2018-02-05,858.45,912.0,830.3,912.0,895.75,11920.0,102.33
2018-02-02,904.1,911.0,851.0,882.05,875.95,20809.0,182.54
2018-02-01,891.0,909.9,891.0,900.55,904.1,8452.0,76.2
2018-01-31,892.05,917.9,892.05,904.65,900.6,13025.0,117.31
2018-01-30,900.05,913.0,888.8,909.0,907.85,32377.0,290.39
2018-01-29,900.0,908.75,893.0,900.0,902.55,10562.0,95.23
2018-01-25,899.9,907.95,883.0,900.0,900.7,9029.0,80.71
2018-01-24,909.0,909.0,876.0,895.0,895.2,8285.0,73.7
2018-01-23,908.0,914.0,885.15,888.1,893.25,9719.0,87.42
2018-01-22,932.8,932.8,896.0,897.0,899.15,8323.0,75.38
2018-01-19,920.0,939.95,896.9,914.8,923.25,15746.0,145.38
2018-01-18,899.7,1014.0,881.25,902.0,916.4,79959.0,760.29
2018-01-17,888.0,899.0,861.25,884.0,882.35,13853.0,122.28
2018-01-16,947.95,947.95,878.15,900.0,894.55,19264.0,173.01
2018-01-15,933.0,948.7,915.0,948.7,929.55,127284.0,1182.49
2018-01-12,983.85,983.85,915.3,920.8,931.05,44078.0,416.02
2018-01-11,972.0,992.0,970.0,970.0,973.2,13741.0,135.3
2018-01-10,987.0,999.9,970.3,976.1,980.35,19083.0,186.96
2018-01-09,975.25,1015.1,975.25,998.0,1000.0,51633.0,513.39
2018-01-08,973.25,989.0,965.0,985.0,986.2,17107.0,167.34
2018-01-05,991.0,994.95,971.0,971.35,973.25,15748.0,154.17
2018-01-04,999.9,1005.9,990.0,994.35,999.35,75887.0,758.5
2018-01-03,999.5,1004.9,985.6,995.0,997.1,66352.0,663.37
2018-01-02,977.95,1019.0,960.0,999.5,1003.05,17989.0,178.89
2018-01-01,987.0,997.0,975.05,982.0,982.55,2055.0,20.19
2017-12-29,991.0,999.65,974.2,981.0,987.4,24747.0,244.75
2017-12-28,976.85,1000.0,962.5,992.0,984.65,22500.0,219.04
2017-12-27,984.0,984.0,960.85,977.0,975.45,12130.0,117.73
