Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2018-03-13,15.8,16.1,15.6,16.1,16.1,1876513.0,301.16
2018-03-12,15.05,15.35,14.85,15.35,15.35,2409035.0,366.47
2018-03-09,14.35,14.7,13.8,14.7,14.65,4070428.0,590.76
2018-03-08,13.9,14.25,13.55,14.15,14.0,10617120.0,1460.8
2018-03-07,14.7,14.7,14.25,14.25,14.25,5161505.0,741.04
2018-03-06,15.9,16.2,14.95,14.95,14.95,4143545.0,633.43
2018-03-05,16.5,16.5,15.7,15.7,15.7,2836403.0,451.31
2018-03-01,16.8,17.2,16.3,16.55,16.5,1875492.0,312.56
2018-02-28,16.75,17.3,16.75,16.8,16.9,1800704.0,305.81
2018-02-27,17.2,17.3,16.75,17.1,17.15,2452550.0,416.92
2018-02-26,17.75,18.15,17.0,17.1,17.1,3758683.0,657.15
2018-02-23,16.65,17.6,16.65,17.6,17.55,6407505.0,1118.19
2018-02-22,16.65,17.1,16.2,16.65,16.8,4817193.0,801.52
2018-02-21,17.45,17.7,16.65,16.7,16.85,4339503.0,737.58
2018-02-20,18.0,18.2,17.3,17.4,17.45,2640122.0,468.34
2018-02-19,18.6,18.7,17.5,18.0,17.95,4811879.0,868.61
2018-02-16,19.0,19.45,17.85,17.9,17.85,6816343.0,1236.16
2018-02-15,19.3,20.0,18.6,18.9,18.75,5057394.0,969.6
2018-02-14,20.55,20.95,19.55,19.55,19.55,12998054.0,2581.34
2018-02-12,20.65,21.25,20.05,20.45,20.55,3308768.0,685.75
2018-02-09,19.0,20.55,18.75,20.3,20.3,7005994.0,1381.25
2018-02-08,19.2,19.6,18.6,19.6,19.6,5206355.0,1014.34
2018-02-07,18.85,19.6,18.2,18.7,18.7,5527298.0,1046.54
2018-02-06,18.7,18.7,18.7,18.7,18.7,562379.0,105.16
2018-02-05,19.65,19.65,19.65,19.65,19.65,836555.0,164.38
2018-02-02,21.1,21.3,20.65,20.65,20.65,2453850.0,510.57
2018-02-01,20.75,21.7,20.3,21.7,21.7,5226269.0,1119.94
2018-01-31,20.65,21.25,19.85,20.8,20.7,1614693.0,331.47
2018-01-30,20.0,21.0,19.2,20.7,20.65,2949901.0,591.51
2018-01-29,21.15,21.9,20.1,20.1,20.15,1948745.0,403.64
2018-01-25,21.0,21.85,20.65,21.1,21.15,2558537.0,538.55
2018-01-24,22.5,22.5,21.6,21.6,21.65,2260682.0,492.51
2018-01-23,23.5,23.95,22.25,22.7,22.7,3335765.0,770.93
2018-01-22,22.0,23.15,21.5,23.15,23.15,2836281.0,637.25
2018-01-19,22.35,22.95,21.9,22.35,22.05,5303183.0,1171.89
2018-01-18,23.05,25.45,23.05,23.05,23.05,8717106.0,2075.42
2018-01-17,24.25,24.25,24.25,24.25,24.25,1667012.0,404.25
2018-01-16,27.8,27.85,25.5,25.5,25.5,4390276.0,1155.39
2018-01-15,26.3,26.8,25.6,26.8,26.8,4002513.0,1069.09
2018-01-12,25.35,25.55,24.5,25.55,25.55,7994657.0,2026.25
2018-01-11,24.1,24.35,23.5,24.35,24.35,6381936.0,1541.61
2018-01-10,22.65,23.2,22.3,23.2,23.2,5039677.0,1163.64
2018-01-09,21.95,22.1,21.5,22.1,22.1,6471682.0,1425.54
2018-01-08,20.45,21.05,19.6,21.05,21.05,3760536.0,768.09
2018-01-05,20.95,20.95,19.8,20.0,20.05,4177184.0,852.24
2018-01-04,19.65,20.0,19.6,20.0,20.0,6582369.0,1312.0
2018-01-03,18.4,19.3,17.8,19.3,19.05,2487906.0,461.77
2018-01-02,19.5,19.55,18.3,18.55,18.4,4078695.0,757.85
2018-01-01,18.95,19.55,18.8,19.2,19.25,5454220.0,1056.35
2017-12-29,18.2,18.9,17.9,18.75,18.65,3024264.0,554.97
2017-12-28,18.0,18.45,17.35,18.2,18.15,2219379.0,398.18
2017-12-27,18.9,19.0,17.65,18.0,18.1,4033635.0,743.63
2017-12-26,18.45,18.45,18.25,18.45,18.45,2380648.0,439.18
2017-12-22,17.5,17.6,17.1,17.6,17.6,4677661.0,821.29
2017-12-21,15.95,16.8,15.85,16.8,16.8,2224019.0,366.58
2017-12-20,16.1,16.2,15.85,16.0,16.0,1201109.0,192.62
2017-12-19,15.8,16.25,15.8,16.0,16.05,1329390.0,214.12
2017-12-18,15.9,16.25,15.05,16.0,15.95,2135644.0,339.02
