Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2018-03-13,33.05,34.7,32.9,33.15,33.35,653591.0,220.88
2018-03-12,35.0,35.7,32.9,33.45,33.5,2463051.0,844.54
2018-03-09,34.0,35.15,33.5,35.1,34.7,379612.0,130.23
2018-03-08,32.95,34.25,31.6,34.1,34.0,465586.0,154.54
2018-03-07,33.6,33.95,32.35,32.45,32.8,717826.0,237.72
2018-03-06,36.35,36.45,34.1,34.2,34.4,659503.0,232.05
2018-03-05,37.05,37.1,35.6,36.15,36.05,209691.0,75.72
2018-03-01,37.35,37.7,36.5,36.7,36.7,224137.0,82.9
2018-02-28,37.45,38.15,36.85,37.3,37.45,166795.0,62.52
2018-02-27,38.25,38.7,37.5,37.6,37.55,174151.0,66.08
2018-02-26,38.4,39.05,37.85,38.05,38.05,2143237.0,816.86
2018-02-23,38.0,38.5,37.6,38.15,38.25,282984.0,107.74
2018-02-22,37.1,38.75,36.85,37.85,38.0,427961.0,162.92
2018-02-21,38.05,38.75,36.85,36.95,37.1,338703.0,127.0
2018-02-20,39.05,39.05,37.85,38.4,38.4,370546.0,143.12
2018-02-19,37.95,40.0,37.1,39.35,39.05,625460.0,239.71
2018-02-16,39.0,39.4,37.0,38.0,37.95,752245.0,286.14
2018-02-15,40.3,40.3,38.0,39.0,38.65,722406.0,280.4
2018-02-14,40.45,41.0,39.2,39.3,39.8,1776555.0,717.17
2018-02-12,37.9,39.9,37.9,39.85,39.6,1477098.0,577.72
2018-02-09,37.0,38.25,36.1,36.9,37.05,1156848.0,433.35
2018-02-08,38.5,39.65,37.2,38.95,38.95,3066271.0,1180.04
2018-02-07,38.0,38.85,36.0,37.5,37.6,477610.0,179.94
2018-02-06,33.05,37.5,33.05,37.3,37.15,860142.0,312.47
2018-02-05,34.5,37.75,33.9,36.3,36.15,932007.0,336.89
2018-02-02,37.7,39.0,32.85,37.05,36.95,3922960.0,1454.21
2018-02-01,40.15,40.4,37.7,38.35,38.1,828838.0,322.23
2018-01-31,40.0,41.6,39.6,40.15,40.25,826208.0,334.06
2018-01-30,41.5,41.6,39.3,40.3,40.05,1586196.0,633.69
2018-01-29,43.8,44.0,41.4,41.5,41.9,895078.0,378.55
2018-01-25,44.75,45.05,43.5,43.75,43.9,1193050.0,525.54
2018-01-24,45.25,46.7,44.0,44.8,44.75,3218017.0,1459.82
2018-01-23,42.2,48.5,41.85,45.05,45.2,12289816.0,5547.67
2018-01-22,42.25,43.25,41.1,42.3,41.65,2813447.0,1187.7
2018-01-19,42.3,43.5,41.5,42.1,42.1,879723.0,372.43
2018-01-18,44.45,44.85,41.55,41.8,41.8,1575847.0,684.09
2018-01-17,46.2,46.7,42.0,43.5,43.8,6217343.0,2769.02
2018-01-16,47.5,47.9,45.1,46.3,45.7,5674482.0,2640.33
2018-01-15,42.1,48.7,42.1,46.8,46.65,22200079.0,10437.1
2018-01-12,40.85,42.35,40.0,42.0,40.6,11999965.0,4897.7
2018-01-11,39.3,41.5,38.75,40.35,40.3,1071819.0,437.72
2018-01-10,39.2,39.55,38.95,39.3,39.1,121948.0,47.79
2018-01-09,39.8,40.0,39.0,39.2,39.2,124894.0,49.28
2018-01-08,39.7,40.5,39.6,39.9,39.8,117145.0,46.85
2018-01-05,40.15,40.5,39.65,40.0,40.0,146271.0,58.74
2018-01-04,40.9,40.9,39.25,39.75,39.75,318788.0,126.99
2018-01-03,39.75,40.5,39.0,39.75,39.8,203186.0,80.86
2018-01-02,40.0,40.6,39.2,39.75,39.45,172561.0,68.52
2018-01-01,40.3,42.0,39.15,40.0,39.6,258899.0,104.79
2017-12-29,40.3,41.0,39.75,39.9,39.9,157708.0,63.66
2017-12-28,40.55,40.95,39.65,40.0,39.8,183603.0,73.47
2017-12-27,41.2,41.5,40.5,40.6,40.55,112551.0,45.92
2017-12-26,41.35,41.6,40.6,41.05,40.95,123880.0,50.8
2017-12-22,41.6,42.0,41.2,41.35,41.35,161763.0,67.22
2017-12-21,42.0,42.3,41.15,41.15,41.4,183038.0,76.46
2017-12-20,41.95,42.5,41.1,42.3,41.65,259233.0,107.62
2017-12-19,40.4,42.65,40.4,41.7,41.8,644710.0,269.53
2017-12-18,40.25,40.75,36.9,40.2,40.1,255226.0,101.72
2017-12-15,41.05,42.2,40.35,40.45,40.55,260493.0,106.71
2017-12-14,41.85,41.85,40.0,40.35,40.3,243350.0,98.31
2017-12-13,40.9,43.0,40.9,41.55,41.6,1371357.0,574.33
2017-12-12,41.9,41.9,40.0,40.15,40.15,206973.0,84.04
2017-12-11,39.9,41.95,39.9,40.95,40.9,580147.0,238.23
2017-12-08,43.5,44.3,34.6,39.2,39.3,1161525.0,469.98
2017-12-07,42.1,44.85,42.1,43.15,43.25,1007521.0,440.15
2017-12-06,43.0,44.15,41.5,42.0,42.05,1294608.0,554.29
2017-12-05,38.55,45.5,37.5,44.4,44.6,2179307.0,947.28
2017-12-04,40.8,41.0,38.45,38.95,38.65,257219.0,100.11
2017-12-01,43.0,43.55,40.0,40.8,40.45,474422.0,199.22
2017-11-30,42.45,43.85,41.4,42.85,42.8,1454247.0,625.74
2017-11-29,38.45,44.85,37.9,42.15,42.65,2800025.0,1190.36
2017-11-28,39.0,39.0,37.8,38.6,38.45,287458.0,110.62
2017-11-27,35.05,40.45,34.75,38.8,39.35,790789.0,301.22
2017-11-24,34.85,35.65,34.6,34.9,34.85,127700.0,44.65
2017-11-23,34.75,35.2,34.7,34.85,34.8,79052.0,27.62
2017-11-22,34.75,35.35,34.65,34.9,34.95,104697.0,36.51
2017-11-21,35.75,36.5,34.6,35.25,34.95,228321.0,81.41
2017-11-20,35.35,35.85,35.0,35.45,35.4,90335.0,31.92
2017-11-17,34.9,36.1,34.9,35.4,35.25,137077.0,48.41
2017-11-16,35.1,35.4,34.25,34.4,34.4,116398.0,40.45
2017-11-15,36.25,36.3,33.8,34.8,34.6,264486.0,91.87
2017-11-14,36.25,37.2,35.25,36.1,36.25,314751.0,114.1
2017-11-13,38.9,39.0,36.5,36.85,36.9,227477.0,85.26
2017-11-10,39.6,40.65,38.55,38.75,38.8,514067.0,202.17
2017-11-09,39.75,40.35,38.5,39.1,39.0,246324.0,96.91
2017-11-08,40.1,40.85,38.75,39.4,39.35,518708.0,206.14
2017-11-07,42.6,43.4,39.6,39.95,40.05,796688.0,326.25
2017-11-06,42.5,44.9,40.05,41.85,41.95,3096098.0,1296.75
2017-11-03,37.9,38.15,36.8,38.15,38.15,686042.0,261.08
2017-11-02,31.0,32.3,30.35,31.8,31.8,257735.0,81.79
2017-11-01,30.8,31.3,30.3,30.5,30.5,136092.0,41.69
2017-10-31,30.35,30.95,30.0,30.5,30.35,156625.0,47.56
2017-10-30,31.2,31.35,30.45,30.85,30.65,222265.0,68.13
2017-10-27,30.4,31.2,30.35,30.75,30.8,79575.0,24.56
2017-10-26,31.3,31.35,30.2,30.45,30.55,74653.0,22.73
2017-10-25,31.0,31.5,30.1,31.1,31.05,51023.0,15.84
2017-10-24,30.35,31.05,29.7,30.65,30.65,149065.0,45.56
2017-10-23,29.85,30.15,29.6,30.0,29.9,36996.0,11.04
2017-10-19,30.0,30.25,29.55,29.9,29.75,23909.0,7.13
2017-10-18,29.7,30.8,29.65,30.05,30.05,76132.0,22.84
2017-10-17,29.6,30.35,29.15,30.25,30.15,1225625.0,364.77
2017-10-16,30.05,30.3,29.1,29.8,29.8,55223.0,16.43
2017-10-13,30.15,30.4,29.6,29.6,29.85,36163.0,10.84
2017-10-12,30.7,31.0,30.0,30.1,30.15,58243.0,17.73
2017-10-11,30.5,30.75,30.1,30.25,30.3,1119975.0,338.94
2017-10-10,29.9,30.3,29.65,30.2,30.1,43557.0,13.05
2017-10-09,30.2,30.45,29.4,29.75,29.75,49276.0,14.71
2017-10-06,30.25,30.85,29.8,30.05,30.2,51839.0,15.7
2017-10-05,30.55,30.8,29.85,30.15,30.25,118365.0,35.8
2017-10-04,30.5,30.9,29.65,30.25,30.15,51890.0,15.56
2017-10-03,31.85,31.85,30.05,30.2,30.25,43793.0,13.25
2017-09-29,30.25,31.0,30.0,30.15,30.7,52609.0,16.07
2017-09-28,30.5,30.7,29.55,30.2,30.05,96918.0,28.96
2017-09-27,31.5,32.9,30.1,30.65,30.55,302549.0,95.03
2017-09-26,30.25,30.25,29.45,30.0,30.0,61245.0,18.35
2017-09-25,31.2,31.2,29.1,30.8,30.4,668448.0,202.28
2017-09-22,31.2,31.2,30.25,30.5,30.75,137707.0,42.22
2017-09-21,31.15,31.7,30.9,31.0,31.0,77368.0,24.05
2017-09-20,31.8,31.9,31.3,31.55,31.55,53244.0,16.79
2017-09-19,32.35,32.4,31.25,31.5,31.45,51336.0,16.27
2017-09-18,32.2,32.5,31.8,31.95,32.05,64957.0,20.9
2017-09-15,31.9,32.5,31.5,32.0,31.95,218884.0,69.41
2017-09-14,32.8,33.15,31.55,31.75,31.95,74344.0,23.95
2017-09-13,32.5,32.6,32.1,32.45,32.45,185538.0,60.18
2017-09-12,32.9,32.9,32.25,32.45,32.55,144205.0,46.88
2017-09-11,32.25,33.15,32.0,32.95,32.95,329358.0,106.98
2017-09-08,32.65,33.15,32.25,32.3,32.5,19637.0,6.41
2017-09-07,33.05,33.45,32.6,32.9,32.8,81320.0,26.91
2017-09-06,33.0,33.35,32.3,32.65,32.65,43909.0,14.38
2017-09-05,32.45,33.9,31.95,32.5,32.5,64765.0,21.11
2017-09-04,33.8,33.8,31.5,31.8,32.0,66418.0,21.77
2017-09-01,32.05,33.85,31.8,32.75,32.85,1067623.0,352.26
2017-08-31,32.6,33.0,32.2,32.5,32.4,34836.0,11.36
2017-08-30,32.8,33.65,32.8,32.95,33.0,22004.0,7.29
2017-08-29,32.95,33.65,32.55,32.75,33.0,60416.0,19.97
2017-08-28,32.75,33.0,32.15,33.0,32.95,103875.0,34.0
2017-08-24,32.5,32.8,32.1,32.5,32.5,39077.0,12.66
2017-08-23,32.25,32.5,31.85,32.15,32.15,1627720.0,523.42
2017-08-22,33.4,33.75,32.05,32.05,32.15,45207.0,14.7
2017-08-21,32.8,33.35,32.5,33.0,33.0,162312.0,53.42
2017-08-18,32.6,32.6,31.9,32.15,32.3,43486.0,13.99
2017-08-17,31.85,32.5,31.75,32.45,32.2,135577.0,43.46
2017-08-16,32.15,32.7,31.45,31.8,31.85,74275.0,23.7
2017-08-14,30.95,32.3,29.5,32.05,32.0,168738.0,52.86
2017-08-11,29.95,31.45,25.6,31.4,30.8,150964.0,44.87
2017-08-10,31.55,31.55,30.05,30.55,30.5,137133.0,41.74
2017-08-09,31.9,31.95,31.25,31.6,31.5,796368.0,250.91
2017-08-08,32.9,32.9,31.25,31.6,31.95,127197.0,40.57
2017-08-07,32.0,32.9,32.0,32.4,32.4,73535.0,23.96
2017-08-04,31.8,32.8,31.75,32.7,32.45,226637.0,72.71
2017-08-03,32.7,32.8,31.6,31.95,31.95,197797.0,63.39
2017-08-02,32.75,32.9,32.55,32.55,32.65,76973.0,25.18
