Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2018-03-13,31.15,32.1,31.05,31.7,31.65,6028133.0,1907.74
2018-03-12,31.55,31.6,30.8,31.2,31.3,4079730.0,1270.05
2018-03-09,31.55,31.95,30.9,31.0,31.1,4771122.0,1500.48
2018-03-08,31.3,31.8,30.35,31.25,31.4,7838105.0,2439.15
2018-03-07,32.45,32.45,31.0,31.05,31.15,6778869.0,2139.84
2018-03-06,33.5,33.8,32.05,32.2,32.35,5446866.0,1797.41
2018-03-05,33.95,34.0,33.0,33.2,33.3,5062973.0,1691.02
2018-03-01,33.85,34.5,33.8,34.1,34.05,4341665.0,1485.2
2018-02-28,33.8,34.25,33.4,33.9,33.9,3264749.0,1105.93
2018-02-27,34.6,34.65,33.8,33.9,33.95,3327152.0,1135.83
2018-02-26,34.4,34.75,34.15,34.4,34.3,4177499.0,1438.45
2018-02-23,33.4,34.25,33.15,34.0,34.0,5928727.0,1999.09
2018-02-22,33.5,33.85,32.7,33.1,33.0,6785978.0,2253.69
2018-02-21,34.4,34.4,33.5,33.7,33.7,4407399.0,1490.95
2018-02-20,34.45,34.6,33.9,33.9,34.0,3691507.0,1264.27
2018-02-19,34.75,34.9,33.95,34.3,34.4,4639863.0,1593.95
2018-02-16,35.05,35.45,34.35,34.6,34.65,6260055.0,2174.01
2018-02-15,35.4,35.7,34.3,34.85,34.85,6658576.0,2332.35
2018-02-14,35.0,36.05,34.75,35.1,35.15,11968848.0,4234.06
2018-02-12,35.6,36.2,35.4,35.85,35.95,7420654.0,2664.11
2018-02-09,34.0,35.45,33.8,35.15,35.1,9346629.0,3247.83
2018-02-08,34.7,35.5,34.25,35.15,35.1,10118125.0,3539.49
2018-02-07,35.95,36.1,33.95,34.0,34.1,13364612.0,4619.9
2018-02-06,33.95,35.25,32.8,34.2,34.3,14054866.0,4801.64
2018-02-05,34.9,36.35,33.45,36.3,35.95,17216078.0,6043.3
2018-02-02,39.0,39.0,35.75,36.1,36.1,20483526.0,7597.36
2018-02-01,40.2,41.0,38.5,39.7,39.45,19937914.0,7969.35
2018-01-31,39.0,40.1,38.75,39.3,39.3,9150088.0,3594.7
2018-01-30,39.0,39.5,38.4,39.05,39.0,6307330.0,2458.38
2018-01-29,40.25,40.5,38.95,39.15,39.2,8499084.0,3384.44
2018-01-25,40.75,40.9,39.6,39.9,39.85,11035283.0,4423.22
2018-01-24,40.1,40.75,39.6,40.35,40.5,24975100.0,10044.45
2018-01-23,38.4,39.7,38.0,39.7,39.2,13808391.0,5352.62
2018-01-22,37.1,38.7,36.85,38.2,38.05,12568318.0,4757.73
2018-01-19,36.9,37.5,36.25,37.0,36.9,14424200.0,5316.19
2018-01-18,38.7,39.9,36.35,36.6,36.65,19986848.0,7644.84
2018-01-17,38.75,38.95,37.55,38.15,38.15,23367127.0,8918.55
2018-01-16,42.4,42.45,38.85,39.15,39.1,12124559.0,4882.55
2018-01-15,43.4,43.4,42.05,42.05,42.2,5690900.0,2432.37
2018-01-12,42.45,44.0,41.55,42.7,42.85,24723782.0,10629.55
2018-01-11,42.3,42.65,41.6,41.95,42.0,6530263.0,2752.72
2018-01-10,42.65,42.85,41.7,41.95,42.05,6947993.0,2929.0
2018-01-09,43.65,43.65,41.8,42.45,42.35,13377169.0,5712.28
2018-01-08,42.1,44.1,42.1,43.3,43.35,23655626.0,10260.74
2018-01-05,42.1,42.7,41.55,41.9,41.95,8479972.0,3568.29
2018-01-04,40.5,42.1,40.1,41.95,41.65,12689660.0,5215.79
2018-01-03,41.35,41.55,38.65,40.45,40.3,10006301.0,4093.8
2018-01-02,42.45,42.8,40.55,41.1,41.05,9803518.0,4068.05
2018-01-01,41.25,43.7,40.7,42.0,42.0,16209405.0,6877.67
2017-12-29,41.0,41.9,40.8,41.05,41.0,14237891.0,5871.38
2017-12-28,41.25,41.65,40.35,40.85,40.65,16773768.0,6865.17
2017-12-27,42.15,42.65,40.1,40.95,40.95,10459722.0,4347.68
2017-12-26,42.5,43.3,41.7,41.9,41.9,12223112.0,5164.14
2017-12-22,40.05,44.95,40.0,42.25,42.15,47941911.0,20543.37
2017-12-21,37.85,40.05,37.35,39.6,39.65,14322703.0,5588.45
2017-12-20,36.8,37.95,36.4,37.45,37.45,5576327.0,2077.79
2017-12-19,36.3,36.75,35.8,36.65,36.65,2519386.0,916.47
2017-12-18,36.0,36.55,33.75,35.75,35.8,5138517.0,1835.82
2017-12-15,36.7,36.7,36.0,36.1,36.15,2326765.0,843.79
2017-12-14,35.7,36.1,34.75,35.9,35.85,5332820.0,1888.45
2017-12-13,36.75,36.75,35.2,35.5,35.5,3984589.0,1436.4
2017-12-12,36.8,37.35,36.45,36.6,36.5,4433961.0,1633.33
2017-12-11,37.2,37.3,36.6,36.75,36.75,3592004.0,1326.5
2017-12-08,36.95,37.3,36.8,36.85,36.95,2916222.0,1079.92
2017-12-07,36.6,37.2,36.5,36.75,36.75,3596451.0,1324.03
2017-12-06,36.3,37.15,36.0,36.5,36.6,5411335.0,1985.79
2017-12-05,36.75,36.75,35.75,36.65,36.5,4438787.0,1607.46
2017-12-04,37.9,37.9,36.5,36.85,36.8,4069257.0,1507.2
2017-12-01,38.8,38.9,37.4,37.6,37.55,4813198.0,1839.62
2017-11-30,39.2,39.2,38.15,38.45,38.5,8605694.0,3320.18
2017-11-29,39.75,40.45,39.15,39.2,39.4,8383164.0,3330.44
2017-11-28,38.4,40.3,38.05,39.8,39.95,19729513.0,7808.23
2017-11-27,37.25,38.2,36.85,38.0,38.1,4214607.0,1589.75
2017-11-24,37.35,37.75,36.9,37.2,37.25,3602227.0,1344.34
2017-11-23,37.4,38.0,36.8,37.35,37.35,4191089.0,1563.69
2017-11-22,38.0,38.2,37.1,37.15,37.25,3156185.0,1180.85
2017-11-21,38.0,38.8,37.2,37.65,37.55,4663637.0,1768.79
2017-11-20,37.0,37.8,36.5,37.65,37.6,3728518.0,1392.34
2017-11-17,36.45,37.4,36.1,36.85,36.9,6454684.0,2376.04
2017-11-16,35.0,36.05,34.95,36.0,35.8,4399716.0,1557.12
2017-11-15,35.5,35.95,34.45,35.0,35.05,4492914.0,1582.83
2017-11-14,36.45,36.65,35.2,35.3,35.4,5251381.0,1886.92
2017-11-13,38.45,38.6,36.2,36.4,36.45,5263924.0,1961.14
2017-11-10,39.0,39.3,37.95,38.45,38.4,6263100.0,2423.2
2017-11-09,39.75,39.75,37.85,38.3,38.35,7067042.0,2729.6
2017-11-08,37.5,39.6,37.3,38.9,38.8,17432028.0,6755.54
2017-11-07,37.45,37.85,36.55,37.45,37.05,5958622.0,2214.76
2017-11-06,37.15,37.5,36.5,36.95,37.0,4828678.0,1788.15
2017-11-03,38.1,39.0,37.1,38.1,37.75,13306573.0,5057.88
2017-11-02,39.9,40.4,38.7,39.35,39.4,6550317.0,2594.72
2017-11-01,40.0,40.6,39.55,39.7,39.7,5378399.0,2156.56
2017-10-31,39.8,40.85,39.35,39.95,39.85,7125747.0,2856.92
2017-10-30,40.25,40.6,39.5,39.65,39.75,7081776.0,2833.89
2017-10-27,39.2,41.2,39.0,39.95,40.1,15700961.0,6296.78
2017-10-26,39.05,39.5,37.75,39.1,39.0,10752201.0,4166.3
2017-10-25,36.7,39.4,35.35,38.95,39.0,28670394.0,10825.07
2017-10-24,33.7,35.8,33.6,35.55,35.5,13812052.0,4839.0
2017-10-23,33.1,34.15,32.75,33.6,33.6,5264715.0,1765.02
2017-10-19,33.5,33.5,32.7,33.25,33.1,976802.0,324.5
2017-10-18,33.3,34.0,33.25,33.45,33.45,4201570.0,1412.15
2017-10-17,33.6,33.6,33.15,33.45,33.35,2657732.0,885.92
2017-10-16,34.25,34.35,33.35,33.6,33.5,3338275.0,1121.52
2017-10-13,33.75,34.7,33.55,33.8,33.8,6995418.0,2391.46
2017-10-12,33.3,33.45,32.1,33.4,33.2,3733602.0,1229.69
2017-10-11,33.5,33.85,32.7,32.95,32.85,3014763.0,1003.49
2017-10-10,33.35,33.9,33.25,33.5,33.45,3304606.0,1108.04
2017-10-09,33.7,33.7,33.05,33.3,33.25,2768935.0,922.48
2017-10-06,33.0,33.7,32.9,33.35,33.3,3251363.0,1082.51
2017-10-05,32.8,33.2,32.35,32.85,32.8,4124462.0,1353.52
2017-10-04,32.6,33.1,32.3,32.55,32.5,3529119.0,1151.93
2017-10-03,34.75,34.75,32.25,32.4,32.45,6140017.0,2039.34
2017-09-29,34.5,35.25,33.7,34.0,34.25,13980617.0,4826.25
2017-09-28,32.6,32.95,31.95,32.95,32.7,4634272.0,1508.1
2017-09-27,33.45,33.6,31.9,32.3,32.2,7567304.0,2469.74
2017-09-26,33.2,33.55,32.8,32.95,33.1,6682250.0,2212.53
2017-09-25,34.85,34.9,32.65,33.2,33.1,8342733.0,2775.62
2017-09-22,36.75,36.75,34.8,35.05,35.0,8103887.0,2899.77
2017-09-21,37.8,38.05,36.7,36.85,36.95,4158402.0,1547.49
2017-09-20,38.5,38.55,37.65,37.7,37.7,3630029.0,1375.69
2017-09-19,37.95,38.6,37.2,38.1,37.9,5288062.0,2007.75
2017-09-18,38.3,38.55,37.55,37.85,37.7,4200136.0,1599.29
2017-09-15,38.25,38.75,37.25,38.0,38.05,14569659.0,5527.09
2017-09-14,37.0,38.95,36.8,38.7,38.6,22214018.0,8428.08
2017-09-13,36.75,37.4,36.1,36.3,36.3,6892372.0,2527.88
