Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2018-03-13,53.5,56.5,53.5,54.6,54.65,2828807.0,1557.01
2018-03-12,55.05,55.05,53.0,54.2,54.1,1842289.0,994.91
2018-03-09,55.4,56.1,53.2,53.55,53.55,1832191.0,1002.69
2018-03-08,54.8,56.25,53.3,55.4,55.45,2617975.0,1438.69
2018-03-07,56.55,57.7,54.25,54.4,54.5,2799176.0,1563.21
2018-03-06,61.2,61.45,56.6,56.95,57.15,2366472.0,1398.44
2018-03-05,61.15,61.8,60.2,60.25,60.45,2085765.0,1269.73
2018-03-01,63.9,64.6,61.65,61.9,62.15,2581050.0,1634.96
2018-02-28,64.0,65.7,63.65,64.1,63.9,5890086.0,3805.61
2018-02-27,63.4,64.8,62.55,63.85,64.05,5063466.0,3230.63
2018-02-26,64.2,64.65,62.85,62.9,63.1,2901250.0,1844.87
2018-02-23,62.95,64.25,62.45,63.65,63.9,4627945.0,2937.19
2018-02-22,61.0,63.4,60.65,62.2,62.25,3604444.0,2249.06
2018-02-21,61.65,62.25,59.5,61.95,61.6,2743618.0,1678.46
2018-02-20,61.55,62.45,60.25,61.1,61.05,3592434.0,2207.51
2018-02-19,63.7,63.85,59.8,61.2,61.35,4417864.0,2718.45
2018-02-16,66.0,67.65,62.25,63.35,63.45,6543542.0,4238.1
2018-02-15,68.0,69.2,64.1,65.7,65.4,10518646.0,7014.34
2018-02-14,61.0,69.7,60.15,67.2,67.8,22307073.0,14764.98
2018-02-12,58.0,61.65,57.55,60.45,60.65,5560117.0,3335.36
2018-02-09,53.8,58.15,53.5,57.65,57.7,3774181.0,2110.59
2018-02-08,54.7,56.2,54.1,55.95,55.5,2408539.0,1335.17
2018-02-07,53.0,54.8,53.0,54.25,54.3,2710609.0,1461.01
2018-02-06,51.0,53.7,51.0,52.35,52.4,3150977.0,1654.84
2018-02-05,52.0,55.45,52.0,54.7,54.7,3623010.0,1960.56
2018-02-02,55.95,56.25,53.1,53.7,53.85,3621230.0,1974.84
2018-02-01,54.5,58.2,54.1,57.3,57.1,5149730.0,2900.48
2018-01-31,53.35,54.9,53.25,53.45,53.7,1914382.0,1033.54
2018-01-30,56.0,56.35,53.25,53.65,53.9,2040430.0,1123.09
2018-01-29,57.8,58.6,56.1,56.2,56.35,1511514.0,867.79
2018-01-25,58.8,59.4,57.2,57.5,57.65,2046604.0,1190.0
2018-01-24,57.5,61.7,56.4,58.3,58.55,6440033.0,3843.46
2018-01-23,59.5,59.8,57.4,57.7,57.75,2143131.0,1257.3
2018-01-22,58.85,59.7,58.0,59.2,59.2,2372679.0,1395.77
2018-01-19,56.0,58.8,54.6,58.45,58.5,3687269.0,2111.25
2018-01-18,59.4,59.65,55.0,56.0,55.85,3163476.0,1813.93
