Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2018-03-13,41.45,46.7,40.9,44.15,44.1,22420865.0,9792.92
2018-03-12,42.85,43.35,39.65,41.6,41.4,14927994.0,6153.98
2018-03-09,42.5,42.9,41.75,42.45,42.2,6998900.0,2962.2
2018-03-08,44.0,44.45,40.5,42.1,42.25,13764769.0,5807.56
2018-03-07,46.25,46.4,43.6,43.7,43.85,14294312.0,6363.52
2018-03-06,47.55,48.0,46.0,46.4,46.3,7513488.0,3518.97
2018-03-05,47.65,47.8,46.1,46.9,46.7,10550814.0,4954.92
2018-03-01,50.0,50.35,47.9,48.0,48.05,14813193.0,7211.77
2018-02-28,49.9,51.35,49.65,49.85,49.9,8749523.0,4412.63
2018-02-27,51.4,51.55,50.2,50.55,50.5,7004355.0,3547.75
2018-02-26,50.3,51.9,50.2,50.9,50.85,10161228.0,5188.97
2018-02-23,49.95,50.25,49.3,50.1,49.95,9160643.0,4569.16
2018-02-22,49.0,50.15,48.35,49.55,49.4,12649160.0,6245.02
2018-02-21,52.4,52.4,48.75,49.1,49.15,18235779.0,9094.55
2018-02-20,51.7,52.3,50.85,51.45,51.45,7506642.0,3881.97
2018-02-19,52.2,52.55,50.1,51.7,51.75,9156901.0,4699.81
2018-02-16,52.75,53.2,51.45,51.7,52.05,9219697.0,4813.93
2018-02-15,54.5,54.8,51.35,52.6,52.25,11936332.0,6310.46
2018-02-14,54.95,56.0,54.2,54.5,54.5,11639088.0,6418.14
2018-02-12,52.15,56.0,52.0,54.2,54.8,18602480.0,10102.24
2018-02-09,51.3,52.2,51.0,51.55,51.55,11191822.0,5771.0
2018-02-08,51.75,53.0,51.5,52.45,52.55,9211694.0,4830.46
2018-02-07,52.0,52.5,51.0,51.55,51.3,10667584.0,5507.51
2018-02-06,48.8,51.8,48.0,50.55,50.55,17249088.0,8717.57
2018-02-05,49.0,53.25,48.3,53.05,52.65,17022856.0,8779.45
2018-02-02,55.8,55.95,50.4,51.6,51.35,24209581.0,12769.52
2018-02-01,58.0,59.1,55.8,56.6,56.65,13431374.0,7743.05
2018-01-31,58.2,59.45,57.35,57.7,57.85,10431969.0,6085.89
2018-01-30,58.65,59.35,58.0,58.1,58.35,8718489.0,5118.13
2018-01-29,60.0,60.75,58.6,59.0,59.2,16519971.0,9848.98
2018-01-25,59.0,60.65,58.65,59.45,59.35,12306840.0,7327.66
2018-01-24,60.5,61.2,58.85,59.15,59.35,12549062.0,7506.47
2018-01-23,61.9,62.2,60.2,60.75,61.0,12326531.0,7548.86
2018-01-22,61.0,62.0,60.35,61.75,61.6,11823289.0,7237.95
2018-01-19,61.5,61.85,59.6,60.95,60.9,14005100.0,8513.35
2018-01-18,65.5,66.2,60.55,61.35,61.6,20871728.0,13177.13
2018-01-17,64.4,65.9,62.7,64.85,64.95,31707866.0,20477.25
2018-01-16,66.0,66.0,62.65,64.3,63.85,25543720.0,16392.9
2018-01-15,66.0,69.15,65.1,65.3,65.55,46330066.0,30975.11
2018-01-12,65.7,65.9,62.55,64.05,63.85,22709348.0,14602.81
2018-01-11,64.5,66.2,64.2,64.5,64.6,21132552.0,13756.55
2018-01-10,64.85,66.35,63.8,64.45,64.8,25714564.0,16759.6
2018-01-09,64.9,65.5,63.8,64.35,64.35,23006581.0,14838.88
2018-01-08,64.35,66.2,64.1,64.4,64.55,17343331.0,11294.91
2018-01-05,62.4,65.3,62.4,64.0,63.95,24187288.0,15488.1
2018-01-04,63.0,63.35,61.75,62.3,62.15,12064355.0,7540.33
2018-01-03,62.3,63.75,61.35,62.6,62.65,15472607.0,9714.38
2018-01-02,65.0,65.5,60.6,61.8,61.85,27029194.0,16933.06
2018-01-01,65.5,67.4,64.0,64.3,64.3,26430235.0,17404.01
2017-12-29,60.0,66.7,60.0,65.5,65.55,74278309.0,47854.1
2017-12-28,57.4,59.85,57.1,59.3,59.1,22072285.0,12970.21
2017-12-27,59.1,59.15,56.75,56.9,57.15,11283339.0,6551.37
2017-12-26,58.25,59.65,58.0,58.85,59.05,21473918.0,12644.02
2017-12-22,56.7,58.4,56.55,57.65,57.85,21649584.0,12442.73
2017-12-21,56.5,57.45,55.6,56.8,56.65,17386620.0,9821.95
2017-12-20,53.35,56.85,53.0,56.0,55.85,31351573.0,17504.13
2017-12-19,53.5,53.75,52.75,53.0,53.0,13406545.0,7140.55
2017-12-18,53.3,54.35,48.3,53.0,53.15,17384457.0,9205.58
2017-12-15,54.35,54.75,53.0,53.3,53.35,11464940.0,6157.42
2017-12-14,53.05,54.2,52.1,53.85,53.7,16888839.0,8981.85
2017-12-13,54.8,55.05,52.2,52.8,52.65,16994799.0,9133.94
2017-12-12,55.85,56.25,54.35,54.7,54.6,9404028.0,5203.26
2017-12-11,57.5,57.5,55.1,55.75,55.8,14079666.0,7949.5
2017-12-08,57.95,58.05,56.75,56.85,57.05,11358932.0,6524.96
2017-12-07,57.0,58.35,56.25,57.6,57.65,16484845.0,9444.32
2017-12-06,57.65,58.1,56.55,56.6,56.7,9050546.0,5179.19
2017-12-05,58.1,58.6,56.85,57.65,57.55,9977187.0,5763.16
2017-12-04,60.1,60.5,57.35,58.1,58.05,11595690.0,6830.82
2017-12-01,63.0,63.4,59.35,59.7,59.85,15693061.0,9665.88
2017-11-30,61.5,63.9,61.35,62.6,62.6,27757680.0,17373.26
2017-11-29,61.65,62.85,61.3,61.65,61.6,15554001.0,9642.65
2017-11-28,62.15,62.95,61.0,61.35,61.35,14611545.0,9053.64
2017-11-27,62.1,62.85,61.7,61.7,61.95,12842402.0,8004.08
2017-11-24,61.85,62.95,61.55,62.25,62.25,13300589.0,8291.05
2017-11-23,61.5,63.4,60.5,61.45,61.55,21882237.0,13564.32
2017-11-22,63.05,63.7,61.05,61.15,61.4,12685483.0,7871.17
2017-11-21,64.6,65.25,62.3,62.6,62.7,11874570.0,7570.89
2017-11-20,64.5,66.25,64.05,64.2,64.45,23363843.0,15175.93
2017-11-17,60.9,65.95,59.7,63.25,63.95,52799821.0,33503.06
2017-11-16,57.85,60.5,56.5,59.95,59.75,26807806.0,15777.34
2017-11-15,58.95,59.75,56.1,57.35,57.35,13964614.0,8154.62
2017-11-14,58.5,60.75,58.1,58.3,59.45,20121526.0,11986.61
2017-11-13,60.0,60.4,57.5,57.95,58.2,12414068.0,7343.72
2017-11-10,60.6,62.3,58.1,60.45,60.4,12072263.0,7334.12
2017-11-09,59.65,61.8,59.55,61.4,61.45,15001214.0,9112.57
2017-11-08,60.4,61.3,58.6,59.1,59.15,11188173.0,6711.55
2017-11-07,62.0,62.9,59.3,60.35,60.35,17076353.0,10410.6
2017-11-06,58.95,62.45,58.3,61.25,61.5,23601414.0,14423.38
2017-11-03,58.85,60.25,58.5,59.0,59.3,13081107.0,7760.25
2017-11-02,61.0,61.2,58.25,58.4,58.65,14500748.0,8633.35
2017-11-01,59.7,62.15,59.4,60.7,60.8,21582573.0,13179.9
2017-10-31,59.25,59.95,57.7,58.7,59.1,17930999.0,10573.08
2017-10-30,57.0,60.3,56.2,59.25,59.3,18358535.0,10830.76
2017-10-27,58.15,58.4,56.15,56.7,56.75,7434358.0,4254.33
2017-10-26,56.5,58.05,55.9,57.9,57.6,12101833.0,6918.02
2017-10-25,56.2,56.65,55.35,56.25,56.15,7760140.0,4345.77
2017-10-24,54.45,56.1,54.45,55.2,55.25,10698035.0,5931.41
2017-10-23,54.55,55.1,53.55,54.2,54.25,9083271.0,4931.7
2017-10-19,55.0,55.35,53.7,54.0,54.3,2015944.0,1100.15
2017-10-18,55.55,56.25,54.4,54.75,54.65,7716880.0,4256.96
2017-10-17,55.5,56.65,55.3,55.85,55.85,6871313.0,3842.61
2017-10-16,56.0,56.2,55.1,55.7,55.65,4724219.0,2629.95
2017-10-13,56.15,56.7,55.55,55.65,55.7,5667381.0,3175.33
2017-10-12,55.55,56.45,55.25,56.15,56.15,7119693.0,3977.45
2017-10-11,57.85,59.0,54.0,55.05,55.2,14412217.0,8208.65
2017-10-10,57.9,58.0,56.65,57.25,57.25,8083625.0,4632.44
2017-10-09,57.0,58.3,55.65,57.35,57.4,9360651.0,5345.41
2017-10-06,56.95,57.4,56.2,56.6,56.7,5308412.0,3015.55
2017-10-05,55.7,57.1,55.2,56.75,56.65,8971370.0,5044.32
2017-10-04,55.8,55.85,54.7,55.35,55.2,6603118.0,3648.07
2017-10-03,57.65,57.85,54.95,55.35,55.5,9013585.0,5059.57
2017-09-29,56.35,58.4,56.2,56.4,56.5,11251205.0,6449.81
2017-09-28,54.6,56.15,54.2,55.8,55.85,7885666.0,4360.06
2017-09-27,56.9,57.05,53.8,54.45,54.25,10854043.0,5977.3
2017-09-26,55.5,56.95,55.25,55.85,56.05,10810683.0,6061.78
2017-09-25,58.65,58.8,55.2,55.6,55.85,10812030.0,6104.14
2017-09-22,60.8,60.85,58.2,58.5,58.45,11418785.0,6765.84
2017-09-21,62.15,62.5,60.25,60.85,60.95,8938611.0,5468.98
2017-09-20,63.05,63.3,61.9,61.95,62.05,5312422.0,3319.96
2017-09-19,63.2,64.25,61.85,63.0,63.05,10201066.0,6433.8
2017-09-18,62.5,63.3,62.2,62.65,62.65,6540513.0,4105.74
2017-09-15,63.0,63.25,61.35,62.0,61.85,11513480.0,7154.89
2017-09-14,65.5,65.65,62.7,63.5,63.35,10147162.0,6503.26
2017-09-13,65.9,66.4,64.25,65.0,64.8,8214132.0,5375.16
2017-09-12,65.85,66.95,65.2,65.95,65.9,8898472.0,5878.59
2017-09-11,65.0,66.3,64.4,65.3,65.25,8385437.0,5495.84
2017-09-08,66.3,67.45,63.35,64.1,64.15,15157378.0,9897.14
2017-09-07,64.65,67.85,64.0,65.9,66.1,23288486.0,15466.82
2017-09-06,62.25,65.8,61.55,64.15,64.3,16481436.0,10505.18
2017-09-05,62.9,63.6,62.1,62.7,62.8,8742853.0,5498.04
2017-09-04,64.25,64.25,60.9,62.25,62.3,11239993.0,7018.53
2017-09-01,62.55,65.35,62.2,64.1,64.05,19853707.0,12712.52
2017-08-31,62.5,62.9,61.1,62.1,62.1,10263000.0,6358.63
2017-08-30,61.15,62.8,61.1,62.45,62.25,12794288.0,7945.32
2017-08-29,61.1,62.5,60.05,60.15,60.3,11190582.0,6863.64
2017-08-28,61.95,62.9,61.7,62.1,62.1,10677890.0,6644.95
2017-08-24,61.8,62.4,60.7,61.55,61.6,14532588.0,8940.58
2017-08-23,60.5,63.35,60.4,61.45,61.75,23504923.0,14548.53
2017-08-22,58.5,60.0,57.5,59.85,59.55,22349509.0,13110.2
2017-08-21,59.7,61.25,57.7,57.9,58.2,14743927.0,8791.09
2017-08-18,60.7,61.7,58.35,59.4,59.7,19459061.0,11687.11
2017-08-17,62.2,63.4,60.9,61.3,61.4,20326771.0,12653.0
2017-08-16,63.6,64.2,60.75,62.0,62.6,27492581.0,17259.27
2017-08-14,58.0,66.4,55.8,63.0,63.05,52476478.0,31729.74
2017-08-11,55.5,60.0,53.9,58.1,58.45,42996202.0,24847.76
2017-08-10,57.0,60.5,53.4,57.35,56.2,54747748.0,31725.12
2017-08-09,54.05,61.7,47.0,57.0,57.2,196100277.0,108817.5
2017-08-08,68.2,68.4,53.4,54.95,56.4,65274399.0,40084.53
2017-08-07,75.0,75.4,68.5,68.75,69.25,36548682.0,25881.49
2017-08-04,83.0,83.2,74.7,75.7,75.75,29990157.0,23213.7
