Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2018-03-13,150.75,154.4,148.25,151.5,151.4,243510.0,367.8
2018-03-12,149.35,150.95,145.8,149.9,149.95,148604.0,222.03
2018-03-09,152.0,152.85,148.0,149.0,148.75,273056.0,408.08
2018-03-08,153.4,154.75,147.35,151.15,150.75,134290.0,201.44
2018-03-07,155.7,156.9,152.95,153.2,153.6,260746.0,403.37
2018-03-06,154.9,159.85,153.65,155.6,155.3,209601.0,324.94
2018-03-05,155.95,156.0,152.3,154.1,153.9,115113.0,176.7
2018-03-01,161.0,161.0,155.7,156.2,156.55,97457.0,154.54
2018-02-28,158.4,162.15,158.0,158.95,159.35,213257.0,340.12
2018-02-27,162.45,162.45,158.45,159.85,159.3,88400.0,141.12
2018-02-26,155.15,163.65,155.15,161.35,160.85,291012.0,466.88
2018-02-23,154.0,156.4,152.1,154.95,154.75,181706.0,279.33
2018-02-22,152.35,154.9,152.1,152.3,152.6,152729.0,234.39
2018-02-21,156.5,158.0,151.6,152.3,153.05,250929.0,390.11
2018-02-20,156.0,157.5,154.75,156.3,155.85,163001.0,255.14
2018-02-19,156.2,158.4,153.6,156.5,155.3,154522.0,240.39
2018-02-16,159.0,162.9,155.2,155.8,156.2,238901.0,379.23
2018-02-15,162.4,164.05,158.05,158.1,158.4,115084.0,185.45
2018-02-14,161.65,165.9,161.1,161.9,161.8,193822.0,317.51
2018-02-12,162.1,165.0,160.25,161.45,161.6,243159.0,395.29
2018-02-09,156.9,166.0,154.0,161.15,161.65,660087.0,1067.16
2018-02-08,152.0,167.4,150.55,161.6,161.3,2566381.0,4152.26
2018-02-07,150.0,152.9,149.0,149.9,150.0,84068.0,126.66
2018-02-06,135.0,149.0,134.0,149.0,146.2,165482.0,236.43
2018-02-05,144.0,149.0,143.0,147.9,147.85,139453.0,204.02
2018-02-02,159.0,159.1,147.05,149.0,148.95,331464.0,503.61
2018-02-01,157.0,162.4,151.7,161.75,160.0,205277.0,325.95
2018-01-31,155.8,157.75,153.5,156.6,155.9,113921.0,177.82
2018-01-30,156.1,158.75,155.0,157.8,156.35,98869.0,154.78
2018-01-29,163.8,164.25,157.0,157.7,157.95,98635.0,158.19
2018-01-25,166.0,166.0,161.4,162.0,162.35,119004.0,193.45
