Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2018-03-13,698.55,706.75,687.05,702.0,704.3,13565.0,95.16
2018-03-12,694.3,701.75,687.05,694.0,695.25,17170.0,119.13
2018-03-09,698.0,699.15,685.5,692.0,692.45,11328.0,78.34
2018-03-08,681.3,690.0,670.25,690.0,685.45,15954.0,108.51
2018-03-07,699.85,705.0,664.75,678.0,675.25,33683.0,228.48
2018-03-06,680.4,707.35,680.35,695.0,695.3,17281.0,120.77
2018-03-05,678.05,695.0,677.45,688.7,690.75,25020.0,170.58
2018-03-01,676.25,689.95,675.1,686.0,686.4,22594.0,154.04
2018-02-28,666.7,684.45,666.7,674.0,672.1,21664.0,146.43
2018-02-27,676.3,686.0,671.0,672.0,673.0,11707.0,79.35
2018-02-26,682.0,686.25,673.0,675.0,676.3,17126.0,116.18
2018-02-23,675.05,682.65,669.6,679.85,677.7,22289.0,151.23
2018-02-22,673.05,691.2,668.25,674.5,675.25,17855.0,121.25
2018-02-21,686.6,694.0,675.75,680.0,677.75,12244.0,83.7
2018-02-20,670.0,702.0,670.0,684.0,686.55,45905.0,315.56
2018-02-19,675.1,683.05,661.0,675.0,672.65,32705.0,219.29
2018-02-16,702.75,703.0,679.95,686.0,683.9,14231.0,98.17
2018-02-15,704.6,707.0,686.6,692.0,690.55,18661.0,130.79
2018-02-14,721.0,721.0,699.0,702.5,700.7,21064.0,148.95
2018-02-12,710.0,718.4,707.0,710.55,712.75,17190.0,122.56
2018-02-09,680.0,719.0,680.0,705.0,706.0,185875.0,1314.12
2018-02-08,728.0,728.0,688.45,694.15,696.25,41793.0,296.75
2018-02-07,700.05,720.05,700.05,719.0,718.0,144173.0,1035.55
2018-02-06,690.85,710.0,655.3,701.0,700.65,79485.0,552.4
2018-02-05,658.0,729.85,658.0,720.0,719.55,43992.0,314.99
2018-02-02,760.05,768.0,725.0,735.0,732.4,57287.0,425.84
2018-02-01,756.1,784.0,749.0,755.55,753.5,42734.0,328.4
2018-01-31,766.0,768.0,748.5,756.8,756.1,17712.0,134.1
2018-01-30,778.0,778.05,746.65,777.75,767.25,40633.0,310.07
2018-01-29,800.1,805.4,771.5,774.0,777.75,44925.0,353.14
2018-01-25,843.7,844.0,801.7,807.9,803.0,32296.0,263.7
2018-01-24,801.25,855.0,796.0,839.55,821.45,225166.0,1809.91
