Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2018-03-13,27.2,28.15,26.85,27.5,27.6,7317714.0,2014.2
2018-03-12,26.75,27.35,26.35,26.95,27.05,5359416.0,1436.33
2018-03-09,27.2,27.25,25.9,26.25,26.25,4173266.0,1107.42
2018-03-08,27.0,27.4,25.55,26.9,26.9,6778964.0,1800.05
2018-03-07,28.15,28.25,26.3,26.7,26.55,6577968.0,1774.17
2018-03-06,29.4,29.8,28.0,28.05,28.25,3912447.0,1133.7
2018-03-05,30.0,30.0,28.6,29.0,29.0,4414121.0,1284.5
2018-03-01,30.1,30.7,29.6,29.75,29.7,8420243.0,2547.05
2018-02-28,28.3,30.2,27.8,30.15,29.95,8750071.0,2582.3
2018-02-27,29.5,29.65,28.6,28.75,28.75,3342917.0,968.91
2018-02-26,28.6,30.1,28.5,29.3,29.35,8762701.0,2572.47
2018-02-23,27.95,28.7,27.95,28.25,28.2,3968857.0,1124.58
2018-02-22,28.0,28.35,27.7,27.7,27.9,3133019.0,878.47
2018-02-21,28.5,28.65,27.75,28.15,28.3,2823122.0,796.52
2018-02-20,27.95,28.85,27.95,28.15,28.1,2889490.0,819.15
2018-02-19,28.4,28.85,27.4,27.9,27.95,3773613.0,1060.66
2018-02-16,29.0,29.6,28.05,28.45,28.45,3627771.0,1036.65
2018-02-15,30.5,30.5,28.5,28.85,28.8,4178280.0,1229.6
2018-02-14,30.8,31.4,29.7,30.0,29.95,5067615.0,1549.17
2018-02-12,31.15,32.25,30.3,30.65,30.65,9751712.0,3034.35
2018-02-09,27.05,31.55,26.75,30.9,30.7,20047876.0,5982.33
2018-02-08,26.05,28.7,25.7,28.6,28.4,10907489.0,3014.24
2018-02-07,26.0,26.4,25.2,25.8,25.7,6425292.0,1647.44
2018-02-06,23.35,25.6,23.35,25.2,25.2,12727995.0,3134.35
2018-02-05,25.0,26.65,24.55,26.5,26.3,6782305.0,1768.47
2018-02-02,28.5,29.2,26.25,26.6,26.65,11676192.0,3199.07
2018-02-01,29.45,30.45,28.5,29.4,29.45,9165494.0,2706.43
2018-01-31,29.3,30.0,28.6,29.2,29.2,5983811.0,1756.61
2018-01-30,29.1,30.6,28.95,29.25,29.55,6811907.0,2029.7
2018-01-29,31.15,31.3,29.4,29.45,29.6,4764326.0,1445.58
2018-01-25,31.05,31.35,30.45,30.75,30.75,4765152.0,1470.33
2018-01-24,31.9,31.9,30.8,30.85,30.85,6187729.0,1934.78
2018-01-23,32.15,33.05,31.9,32.05,32.1,6785687.0,2204.0
2018-01-22,32.8,32.8,31.7,32.05,32.1,5909885.0,1904.05
2018-01-19,31.1,32.8,30.85,32.55,32.5,10465278.0,3338.95
2018-01-18,33.05,33.7,30.2,31.0,31.05,10773612.0,3458.76
2018-01-17,32.5,32.95,30.75,32.65,32.75,9623317.0,3089.8
2018-01-16,34.25,34.65,31.8,32.65,32.35,11986013.0,3957.31
2018-01-15,35.35,36.1,34.4,34.65,34.7,14986037.0,5304.46
2018-01-12,35.35,35.75,33.25,34.35,34.4,13616270.0,4711.56
2018-01-11,35.35,36.65,34.55,35.25,35.05,20812076.0,7432.47
2018-01-10,32.6,36.2,32.4,35.35,35.2,40467813.0,14148.83
2018-01-09,33.4,33.65,32.05,32.6,32.8,7717560.0,2543.41
2018-01-08,33.35,34.3,32.7,33.2,33.25,11846025.0,3969.78
2018-01-05,34.0,34.4,32.9,33.05,33.1,11968476.0,4017.51
2018-01-04,33.9,35.2,33.4,33.85,33.9,26300936.0,9035.52
2018-01-03,32.3,33.7,31.5,33.4,33.3,19032192.0,6243.13
2018-01-02,32.7,33.2,30.6,31.95,32.15,17623344.0,5632.56
2018-01-01,29.0,33.95,29.0,32.3,32.25,39161526.0,12658.64
2017-12-29,29.0,29.35,28.5,28.65,28.65,6182238.0,1783.51
2017-12-28,29.05,29.75,28.55,28.85,28.65,6368932.0,1849.63
2017-12-27,29.9,30.85,28.35,28.8,28.8,8578908.0,2546.06
2017-12-26,30.2,30.4,29.5,29.75,29.9,5702140.0,1708.68
2017-12-22,31.3,31.45,30.2,30.3,30.5,8575300.0,2650.31
2017-12-21,30.6,31.6,30.05,31.1,31.2,14372721.0,4456.15
2017-12-20,29.55,31.25,29.15,30.35,30.4,16217838.0,4940.95
2017-12-19,29.5,29.95,29.05,29.35,29.4,4833066.0,1422.93
2017-12-18,27.95,30.25,25.65,29.15,29.05,11311712.0,3264.49
2017-12-15,28.9,29.15,28.35,28.5,28.5,3711399.0,1065.6
2017-12-14,28.3,28.6,27.65,28.35,28.25,4739972.0,1332.09
2017-12-13,29.4,29.9,27.5,28.25,28.1,5672535.0,1635.96
2017-12-12,30.8,31.25,29.3,29.5,29.5,6014960.0,1813.04
2017-12-11,31.7,32.1,30.6,30.85,30.8,7752092.0,2422.44
2017-12-08,30.5,32.15,30.3,31.35,31.4,20468920.0,6404.07
2017-12-07,28.45,30.8,28.15,30.3,30.3,24238720.0,7202.23
2017-12-06,27.35,28.35,26.95,28.0,27.6,6146088.0,1704.2
2017-12-05,27.2,27.9,26.35,27.4,27.35,3788396.0,1033.56
2017-12-04,28.0,28.4,27.1,27.25,27.25,2093594.0,577.45
2017-12-01,28.95,29.7,27.6,28.0,27.95,6491798.0,1872.51
2017-11-30,28.0,29.1,27.65,28.8,28.65,11849812.0,3407.79
2017-11-29,26.5,27.75,26.3,27.75,27.75,5997148.0,1641.88
2017-11-28,27.1,27.25,26.35,26.5,26.45,2493206.0,665.81
2017-11-27,27.6,27.65,26.9,27.0,27.05,1823461.0,496.81
2017-11-24,27.25,28.05,26.9,27.65,27.7,4547598.0,1253.09
2017-11-23,27.35,27.45,26.3,27.2,26.9,3073241.0,826.62
2017-11-22,28.0,28.0,26.9,27.2,27.1,2253739.0,614.02
2017-11-21,28.2,28.2,27.55,27.8,27.75,2805915.0,781.74
2017-11-20,27.05,28.1,27.0,27.75,27.65,6286697.0,1748.11
2017-11-17,27.3,27.45,26.6,26.7,26.8,2254639.0,609.99
2017-11-16,27.0,27.25,26.35,27.0,26.85,3440921.0,924.61
2017-11-15,28.15,28.3,26.6,26.75,26.8,3474885.0,940.25
2017-11-14,28.35,28.7,27.7,27.9,28.0,2453904.0,690.51
2017-11-13,29.25,29.25,28.4,28.5,28.5,2845344.0,814.64
2017-11-10,28.8,29.5,28.2,28.45,28.55,5501468.0,1584.9
2017-11-09,29.85,30.0,28.8,28.95,29.0,8614487.0,2511.47
2017-11-08,32.0,32.0,30.3,30.3,30.3,7548215.0,2329.52
2017-11-07,31.85,31.85,30.9,31.85,31.85,26693770.0,8464.77
2017-11-06,30.4,31.2,29.9,30.25,30.35,6476478.0,1980.59
2017-11-03,30.9,31.35,30.3,30.5,30.55,14663516.0,4534.84
2017-11-02,29.0,29.9,27.25,29.9,29.9,12366026.0,3598.82
2017-11-01,29.65,29.9,28.1,28.6,28.5,5496655.0,1595.38
2017-10-31,29.8,30.1,29.35,29.5,29.5,4140885.0,1230.68
2017-10-30,30.45,30.45,29.55,29.75,29.65,6194555.0,1853.93
2017-10-27,28.75,29.55,28.65,29.0,29.0,3944931.0,1150.91
2017-10-26,28.8,29.8,28.25,28.6,28.75,5173961.0,1507.9
2017-10-25,31.0,31.4,28.55,28.75,28.85,9773723.0,2945.02
2017-10-24,28.7,29.95,28.55,29.95,29.95,13342549.0,3969.23
2017-10-23,28.45,28.9,28.15,28.4,28.55,5379386.0,1538.27
2017-10-19,27.85,28.8,27.8,28.0,28.1,4721588.0,1334.52
2017-10-18,27.3,28.45,26.75,27.8,27.75,13931496.0,3869.32
2017-10-17,26.25,27.35,25.5,27.35,27.35,13083921.0,3521.15
2017-10-16,26.45,26.8,25.6,26.0,26.05,5258552.0,1380.77
2017-10-13,26.3,26.85,25.75,26.05,26.0,18439346.0,4901.6
2017-10-12,24.15,25.6,24.05,25.6,25.6,5278430.0,1322.84
2017-10-11,25.85,26.0,24.4,24.4,24.4,5717326.0,1427.39
2017-10-10,25.4,26.45,25.4,25.7,25.65,7325234.0,1900.41
2017-10-09,26.25,26.6,25.5,25.75,25.7,6555196.0,1704.78
2017-10-06,26.3,26.75,25.4,26.4,26.4,27895747.0,7378.74
2017-10-05,25.4,25.5,24.9,25.5,25.5,4190349.0,1061.89
2017-10-04,23.15,24.3,23.1,24.3,24.3,4824080.0,1148.07
2017-10-03,24.35,24.85,22.95,23.05,23.15,13889322.0,3303.87
2017-09-29,25.4,25.8,24.1,24.15,24.1,11845307.0,2928.21
2017-09-28,24.05,26.2,24.05,25.3,25.35,47034546.0,11726.16
2017-09-27,26.35,27.15,25.3,25.3,25.3,22550835.0,5859.66
2017-09-26,26.6,26.6,26.6,26.6,26.6,1253031.0,333.31
2017-09-25,28.9,29.4,27.95,27.95,27.95,18872660.0,5375.04
2017-09-22,29.4,29.4,29.4,29.4,29.4,443399.0,130.36
2017-09-21,30.9,30.9,30.9,30.9,30.9,327548.0,101.21
2017-09-20,32.5,32.5,32.5,32.5,32.5,684175.0,222.36
2017-09-19,34.2,34.2,34.2,34.2,34.2,2665821.0,911.71
2017-09-18,34.0,35.95,33.6,35.95,35.95,43479344.0,15400.82
2017-09-15,30.1,32.7,30.0,32.7,32.7,76539646.0,24409.95
2017-09-14,28.75,30.15,28.5,29.9,29.75,35273467.0,10369.79
2017-09-13,28.2,29.8,27.55,27.85,27.8,21866635.0,6305.79
2017-09-12,28.8,29.2,27.6,28.55,28.6,21400280.0,6107.36
2017-09-11,27.0,29.4,25.9,28.35,28.4,61159771.0,17234.78
2017-09-08,29.0,29.15,26.25,26.55,26.75,60488103.0,16590.03
2017-09-07,27.45,28.15,27.35,28.15,28.15,38187574.0,10720.43
2017-09-06,21.0,25.6,20.85,25.6,25.6,76626065.0,18345.5
2017-09-05,21.9,22.3,21.05,21.25,21.35,16642550.0,3597.48
2017-09-04,20.65,22.15,20.1,21.6,21.65,48825433.0,10395.34
2017-09-01,18.2,20.75,18.05,20.75,20.35,40984556.0,8037.47
2017-08-31,17.0,18.1,16.8,17.95,17.95,8641691.0,1527.67
2017-08-30,17.2,17.4,16.8,16.85,16.9,3205015.0,548.2
2017-08-29,17.65,17.65,16.9,17.0,17.0,5434306.0,929.82
2017-08-28,18.55,19.2,17.3,17.45,17.5,13337888.0,2400.82
2017-08-24,16.4,17.45,15.85,17.4,17.3,6996283.0,1177.5
2017-08-23,15.85,16.55,15.8,16.35,16.4,3366082.0,546.54
2017-08-22,16.0,16.2,15.5,15.75,15.7,1839235.0,290.97
2017-08-21,16.55,16.65,15.65,15.9,15.85,2024136.0,328.27
2017-08-18,16.45,16.8,16.1,16.4,16.45,6187054.0,1013.73
2017-08-17,15.9,16.75,15.85,16.6,16.55,4350213.0,714.07
2017-08-16,16.0,16.15,15.35,15.8,15.85,2470662.0,389.1
2017-08-14,15.75,16.3,15.65,15.9,15.85,2814672.0,449.4
2017-08-11,14.9,15.85,14.6,15.7,15.45,6745413.0,1034.01
2017-08-10,16.5,16.95,14.5,15.4,15.15,9120700.0,1469.11
2017-08-09,17.35,17.4,16.3,16.5,16.55,5150656.0,870.53
2017-08-08,18.4,18.8,17.2,17.3,17.4,14738802.0,2657.38
2017-08-07,17.1,18.5,16.65,18.4,18.2,9707409.0,1722.74
2017-08-04,16.75,17.3,16.6,16.85,16.9,3158725.0,536.04
2017-08-03,17.4,17.4,16.65,16.8,16.75,3424396.0,580.21
2017-08-02,17.85,17.9,17.2,17.35,17.35,3699209.0,647.75
2017-08-01,18.2,18.45,17.6,17.7,17.7,4734012.0,850.38
2017-07-31,18.95,19.15,18.1,18.2,18.15,8841166.0,1643.64
2017-07-28,17.0,18.95,16.85,18.65,18.75,22957468.0,4165.64
2017-07-27,18.2,18.6,16.85,17.2,17.1,13210827.0,2333.09
2017-07-26,17.5,18.35,17.35,17.9,18.0,20122887.0,3623.13
2017-07-25,16.9,18.2,16.9,17.45,17.4,16047812.0,2831.89
2017-07-24,17.0,17.4,16.7,16.9,16.85,9160359.0,1567.21
2017-07-21,16.4,17.25,15.9,16.7,16.8,21112656.0,3533.47
2017-07-20,16.15,16.5,15.75,16.1,16.25,13702222.0,2223.24
2017-07-19,15.1,16.1,15.1,15.8,15.85,11318775.0,1780.99
2017-07-18,14.65,15.45,14.55,14.9,14.9,6388964.0,963.37
2017-07-17,14.4,14.95,14.3,14.85,14.8,2338794.0,344.53
2017-07-14,14.55,14.75,14.2,14.3,14.3,1952521.0,280.18
2017-07-13,14.8,15.1,14.55,14.55,14.6,1663169.0,245.62
2017-07-12,14.5,15.1,14.45,14.75,14.7,3213084.0,476.24
2017-07-11,15.3,15.65,14.3,14.5,14.45,4951224.0,741.72
2017-07-10,16.5,18.35,15.1,15.25,15.25,1524361.0,236.72
2017-07-07,12.8,15.4,12.6,15.4,15.3,17889044.0,2621.4
2017-07-06,12.95,13.05,12.8,12.8,12.85,1180412.0,152.42
2017-07-05,12.45,13.1,12.3,12.9,12.95,3280089.0,422.1
2017-07-04,12.25,12.6,12.15,12.35,12.35,1058251.0,131.02
2017-07-03,12.0,12.4,11.95,12.15,12.15,1131574.0,138.54
2017-06-30,12.05,12.2,11.85,11.95,11.9,1692619.0,202.24
2017-06-29,12.1,12.35,12.05,12.1,12.1,1008521.0,122.7
2017-06-28,12.2,12.25,12.0,12.05,12.05,848357.0,102.98
2017-06-27,12.5,12.55,12.1,12.2,12.15,865749.0,105.93
2017-06-23,12.75,12.75,12.3,12.45,12.4,1060887.0,132.16
2017-06-22,12.7,13.0,12.65,12.65,12.7,1073596.0,137.35
2017-06-21,12.7,12.85,12.6,12.7,12.7,807263.0,102.57
2017-06-20,13.0,13.0,12.65,12.7,12.7,870474.0,111.04
2017-06-19,13.2,13.25,12.85,12.9,12.9,706176.0,91.67
2017-06-16,12.8,13.1,12.7,13.05,13.05,1551025.0,201.13
2017-06-15,12.9,13.05,12.7,12.75,12.75,1281916.0,164.24
2017-06-14,12.85,13.05,12.85,12.85,12.9,631537.0,81.72
2017-06-13,12.85,13.25,12.85,12.9,12.95,1728921.0,225.18
2017-06-12,12.85,12.95,12.8,12.85,12.85,602004.0,77.45
2017-06-09,12.95,13.05,12.85,12.9,12.9,1361257.0,176.26
2017-06-08,13.15,13.25,12.9,12.95,12.9,1153490.0,150.19
2017-06-07,13.0,13.2,13.0,13.15,13.1,1023083.0,133.64
2017-06-06,13.05,13.1,12.85,12.95,12.9,751305.0,97.14
2017-06-05,13.3,13.35,12.95,13.0,13.0,1141182.0,149.67
2017-06-02,13.0,13.6,12.9,13.25,13.25,2825317.0,374.12
2017-06-01,12.85,13.1,12.85,12.9,12.9,875875.0,113.65
2017-05-31,12.95,13.15,12.85,12.9,12.9,800037.0,103.83
2017-05-30,13.0,13.3,12.8,12.85,12.95,3753539.0,488.4
2017-05-29,13.65,13.65,12.9,13.05,13.0,1293111.0,169.45
2017-05-26,13.1,13.65,13.1,13.5,13.55,1354737.0,182.07
2017-05-25,13.0,13.4,12.8,13.1,13.1,1593528.0,209.19
2017-05-24,13.1,13.4,12.8,12.9,12.9,1199033.0,156.54
2017-05-23,13.85,13.9,13.05,13.15,13.15,2129215.0,284.0
2017-05-22,14.2,14.3,13.8,13.9,13.85,1198780.0,167.5
2017-05-19,14.35,14.65,14.05,14.15,14.1,1271409.0,181.47
2017-05-18,14.6,14.8,14.2,14.3,14.3,1616697.0,234.08
2017-05-17,15.1,15.2,14.7,14.8,14.8,1346137.0,199.95
2017-05-16,14.9,15.4,14.9,15.1,15.1,1990921.0,301.44
