Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2018-03-13,328.5,349.0,328.5,348.1,346.65,30133.0,103.08
2018-03-12,335.0,336.85,330.0,331.5,331.6,33423.0,110.95
2018-03-09,335.0,337.9,328.15,336.0,334.25,36125.0,120.61
2018-03-08,333.9,337.4,322.1,330.6,329.4,168958.0,556.34
2018-03-07,345.05,347.8,327.6,333.5,333.05,190896.0,633.03
2018-03-06,348.0,351.25,344.25,347.0,346.5,28817.0,99.94
2018-03-05,352.25,352.25,343.15,348.1,347.9,17046.0,59.06
2018-03-01,350.05,352.75,346.7,350.1,350.0,76082.0,266.21
2018-02-28,354.9,354.95,350.1,351.0,351.55,33498.0,117.66
2018-02-27,359.25,361.8,351.0,355.0,354.3,167183.0,593.87
2018-02-26,357.0,363.7,351.95,357.0,356.95,80513.0,288.68
2018-02-23,350.3,355.25,347.75,355.0,354.8,55995.0,198.35
2018-02-22,354.8,354.9,349.5,353.0,352.4,18876.0,66.46
2018-02-21,359.0,359.0,350.3,356.95,353.75,36698.0,129.93
2018-02-20,350.8,360.5,346.25,355.15,356.6,46012.0,162.21
2018-02-19,366.75,366.75,345.0,350.0,349.4,55814.0,195.25
2018-02-16,365.0,367.05,358.1,361.95,361.05,22830.0,82.48
2018-02-15,365.0,367.8,362.0,365.95,364.5,135284.0,493.63
2018-02-14,366.85,367.3,360.0,365.3,364.9,99522.0,361.58
2018-02-12,365.4,369.0,357.05,366.9,364.85,57625.0,209.68
2018-02-09,358.0,365.9,350.0,365.0,364.15,48287.0,173.77
2018-02-08,354.0,366.2,353.9,365.4,364.1,69013.0,249.34
2018-02-07,338.1,357.9,338.1,355.0,352.95,116231.0,406.96
2018-02-06,316.0,339.85,313.1,335.0,335.85,72548.0,237.44
2018-02-05,333.0,339.9,322.55,330.05,330.85,109478.0,360.44
2018-02-02,340.0,344.4,331.0,338.0,334.75,158075.0,533.41
2018-02-01,353.0,356.9,344.0,348.0,346.9,71960.0,250.63
2018-01-31,345.2,364.65,345.2,349.5,350.9,248871.0,882.35
2018-01-30,364.5,369.0,345.55,346.0,351.65,99076.0,352.68
2018-01-29,375.0,377.25,362.0,365.6,364.7,96729.0,355.67
2018-01-25,374.4,381.5,370.5,377.0,376.85,63260.0,238.33
2018-01-24,388.0,390.4,371.0,371.25,372.3,174799.0,661.39
2018-01-23,390.85,395.95,389.0,390.0,389.9,70593.0,276.15
2018-01-22,392.0,399.2,390.0,390.0,390.85,43955.0,173.05
2018-01-19,400.0,401.9,389.1,391.0,391.7,127671.0,501.17
2018-01-18,402.0,408.5,395.0,400.0,397.6,61216.0,244.91
2018-01-17,395.2,404.95,392.0,400.25,401.4,76483.0,306.08
2018-01-16,410.05,414.3,395.0,402.15,402.0,137971.0,556.14
2018-01-15,415.1,417.8,407.0,413.0,411.9,84286.0,347.6
2018-01-12,418.6,421.95,410.05,415.25,415.1,83803.0,348.1
2018-01-11,412.0,425.0,412.0,419.5,418.4,99947.0,417.69
2018-01-10,416.0,431.8,410.0,415.0,415.0,205625.0,863.54
2018-01-09,410.0,443.8,401.25,417.15,418.4,620396.0,2665.06
2018-01-08,397.3,411.9,394.0,408.3,407.7,180216.0,731.21
2018-01-05,390.3,404.0,390.3,396.0,398.45,201376.0,803.39
2018-01-04,396.05,399.9,391.8,393.0,394.35,52504.0,207.54
2018-01-03,396.9,398.75,393.0,396.05,395.95,60089.0,238.0
2018-01-02,401.9,404.15,388.85,395.0,394.8,193555.0,764.21
2018-01-01,401.35,410.0,395.0,402.8,400.35,101101.0,405.92
2017-12-29,399.0,402.0,391.15,401.0,399.35,78235.0,310.88
2017-12-28,398.6,400.45,391.1,397.0,396.8,66946.0,264.59
2017-12-27,403.35,406.0,390.55,400.4,398.6,122919.0,489.88
2017-12-26,388.1,406.8,384.0,400.25,400.1,276771.0,1106.32
2017-12-22,384.0,395.2,383.0,387.7,387.95,263347.0,1026.14
2017-12-21,371.0,384.95,370.0,382.5,382.8,162244.0,615.56
2017-12-20,362.2,372.0,362.2,370.0,369.6,70347.0,259.66
2017-12-19,360.95,373.9,359.35,363.7,365.0,103314.0,377.95
2017-12-18,357.25,362.5,341.0,360.95,360.25,71809.0,255.43
2017-12-15,356.9,359.25,352.1,355.0,355.25,86344.0,307.41
2017-12-14,357.0,359.6,351.0,352.75,354.25,199490.0,709.14
2017-12-13,354.0,364.8,349.0,359.0,357.0,106778.0,381.21
2017-12-12,365.0,366.0,354.1,357.0,356.0,178774.0,643.6
2017-12-11,338.0,365.8,333.05,365.0,362.95,510145.0,1809.59
2017-12-08,337.0,339.3,330.2,334.0,332.95,81300.0,272.23
2017-12-07,331.55,338.2,329.6,331.65,332.65,89869.0,299.9
2017-12-06,331.0,339.7,327.85,328.3,328.9,74162.0,247.02
2017-12-05,333.9,334.9,328.2,331.0,330.55,36007.0,119.4
2017-12-04,334.9,339.35,330.4,333.9,332.05,67759.0,225.6
2017-12-01,331.5,344.45,328.1,333.05,333.95,263109.0,882.72
2017-11-30,329.75,334.0,326.25,328.6,328.05,110997.0,366.25
2017-11-29,334.75,337.55,328.2,329.0,329.35,63536.0,211.55
2017-11-28,337.5,338.5,332.0,338.0,336.65,51303.0,172.33
2017-11-27,331.1,338.0,330.45,337.5,336.0,88473.0,296.08
2017-11-24,330.8,335.9,329.05,329.85,329.9,99301.0,328.55
2017-11-23,331.0,336.4,327.2,330.0,330.0,184111.0,609.82
2017-11-22,329.2,332.9,326.75,330.0,329.9,90080.0,296.93
2017-11-21,329.95,332.9,328.0,330.0,329.75,143621.0,473.92
2017-11-20,337.0,352.8,326.4,329.5,328.3,575079.0,1946.52
2017-11-17,332.0,341.35,331.95,333.0,333.6,1235548.0,4119.41
2017-11-16,321.15,337.35,321.05,328.0,327.9,444278.0,1466.31
2017-11-15,325.55,328.0,318.15,322.55,321.0,63874.0,205.83
2017-11-14,334.75,335.0,325.0,325.25,325.85,105711.0,348.92
2017-11-13,354.9,355.25,329.0,330.25,334.05,101349.0,344.05
2017-11-10,357.5,357.7,350.1,350.95,351.6,27583.0,97.48
2017-11-09,358.0,366.0,355.0,356.25,356.4,36614.0,131.2
2017-11-08,365.6,367.25,352.75,362.0,360.4,162181.0,579.4
2017-11-07,371.75,374.0,361.5,364.45,364.4,69596.0,256.52
2017-11-06,371.7,375.6,366.0,368.9,367.15,39124.0,144.62
2017-11-03,372.2,377.75,370.0,372.0,372.25,50332.0,187.96
2017-11-02,367.2,374.0,365.55,371.9,371.75,61620.0,227.99
2017-11-01,368.85,373.95,365.0,366.55,366.7,55657.0,205.5
2017-10-31,374.0,376.35,365.05,367.9,367.55,79115.0,292.67
2017-10-30,369.95,374.95,368.85,374.1,373.85,68337.0,254.29
2017-10-27,367.65,371.9,361.4,368.45,367.95,67342.0,247.04
2017-10-26,365.7,372.0,363.05,367.0,367.6,77735.0,286.98
2017-10-25,373.6,373.6,360.55,363.15,364.4,95168.0,349.41
2017-10-24,354.85,370.0,354.85,365.7,365.3,205793.0,751.11
2017-10-23,355.45,362.95,351.0,354.15,354.65,67139.0,238.52
2017-10-19,358.1,361.85,352.25,357.2,358.7,19422.0,69.39
2017-10-18,362.8,363.9,357.2,357.25,358.65,44683.0,161.04
2017-10-17,362.25,374.0,358.25,364.0,364.8,78651.0,286.74
2017-10-16,377.0,385.0,360.2,361.7,365.2,609653.0,2312.4
2017-10-13,360.0,373.5,360.0,370.15,369.4,140940.0,518.85
2017-10-12,359.95,363.9,352.0,358.55,359.9,103652.0,373.06
2017-10-11,343.55,359.0,343.0,353.1,353.9,276142.0,976.59
2017-10-10,343.4,354.35,338.15,346.6,347.55,117248.0,405.12
2017-10-09,344.9,348.0,338.95,341.05,341.5,58179.0,199.99
2017-10-06,335.15,360.0,332.7,343.0,343.25,208726.0,711.86
2017-10-05,329.7,335.0,328.55,332.25,331.95,32306.0,107.47
2017-10-04,336.05,337.0,327.75,329.75,329.6,64724.0,215.59
2017-10-03,332.05,340.35,330.05,335.85,335.85,131785.0,442.44
2017-09-29,341.0,344.95,327.05,328.0,329.55,80533.0,270.11
2017-09-28,316.05,333.9,316.05,333.0,329.4,80834.0,264.01
2017-09-27,323.2,325.45,316.0,318.0,318.6,35963.0,115.21
2017-09-26,326.45,326.45,313.9,319.2,322.45,277739.0,889.5
2017-09-25,330.1,333.95,319.2,326.0,325.5,120150.0,389.31
2017-09-22,342.85,342.85,330.65,332.6,333.7,67506.0,226.78
2017-09-21,347.6,353.45,334.2,339.1,340.05,87357.0,298.66
2017-09-20,359.1,360.95,345.25,348.9,348.8,107075.0,376.4
2017-09-19,355.85,362.2,350.35,357.1,358.8,164578.0,585.5
2017-09-18,341.85,352.5,341.45,351.0,349.25,177880.0,614.58
2017-09-15,343.2,343.9,335.0,342.5,338.9,114439.0,387.7
2017-09-14,347.0,352.75,340.5,341.7,343.15,96419.0,335.13
2017-09-13,366.75,367.95,340.2,345.0,344.15,234543.0,830.88
2017-09-12,373.75,378.6,361.7,363.25,364.2,149938.0,556.37
2017-09-11,379.95,379.95,367.5,371.0,370.85,208019.0,777.98
2017-09-08,382.8,383.45,373.8,376.0,378.45,85290.0,322.89
2017-09-07,381.7,384.5,370.0,376.0,376.0,140833.0,529.44
2017-09-06,347.5,399.6,344.0,375.0,376.8,905294.0,3451.97
2017-09-05,347.6,351.8,345.15,347.7,348.7,62762.0,218.87
2017-09-04,338.1,353.4,338.1,346.0,347.0,124714.0,430.97
2017-09-01,345.05,353.05,338.5,346.0,343.6,86055.0,297.75
2017-08-31,330.0,349.95,329.0,349.95,343.5,196292.0,665.01
2017-08-30,319.9,329.9,319.25,328.15,328.05,94087.0,307.18
2017-08-29,321.8,324.75,314.2,315.9,316.1,92444.0,295.08
2017-08-28,311.05,324.8,311.05,324.8,320.9,103396.0,330.04
2017-08-24,313.95,317.75,308.5,310.05,310.55,51580.0,160.94
2017-08-23,304.9,316.8,303.9,312.0,312.95,159433.0,494.32
2017-08-22,320.0,322.8,301.0,304.0,302.65,88675.0,275.28
2017-08-21,322.3,329.8,315.15,316.0,316.75,56863.0,183.65
2017-08-18,333.45,338.4,325.25,326.25,327.15,83723.0,278.27
2017-08-17,342.1,346.5,334.0,334.0,335.45,73626.0,250.17
2017-08-16,332.15,344.4,327.95,344.4,342.45,115581.0,388.91
2017-08-14,313.3,336.15,313.3,330.3,332.25,144288.0,472.26
2017-08-11,295.0,321.95,290.05,315.0,311.0,171739.0,532.3
2017-08-10,313.55,314.75,291.05,296.0,294.35,607414.0,1851.54
2017-08-09,325.4,328.4,313.05,313.1,315.55,293341.0,938.47
2017-08-08,333.0,336.0,325.1,330.0,328.65,58504.0,193.31
2017-08-07,334.0,340.0,330.2,332.2,332.75,60359.0,202.71
2017-08-04,333.25,339.1,328.0,331.25,330.65,132251.0,442.15
2017-08-03,344.0,344.0,331.8,333.0,333.65,221790.0,746.82
2017-08-02,350.95,351.45,340.0,342.2,342.2,59726.0,205.81
2017-08-01,356.8,356.8,348.05,348.15,349.2,40350.0,141.88
2017-07-31,356.05,358.9,352.8,353.65,354.65,71373.0,253.54
2017-07-28,359.95,360.0,352.25,359.0,358.45,77494.0,276.45
2017-07-27,363.1,366.0,354.65,360.0,359.6,107887.0,388.85
2017-07-26,368.8,369.75,359.05,363.0,364.45,95956.0,350.0
2017-07-25,369.9,373.6,365.2,365.65,366.15,63947.0,236.18
2017-07-24,368.25,376.65,366.5,371.0,370.4,139666.0,517.72
2017-07-21,369.2,374.6,366.0,367.05,369.3,106740.0,396.1
2017-07-20,372.0,379.95,368.05,369.5,371.05,73000.0,273.84
2017-07-19,365.05,382.8,365.05,375.2,376.9,149425.0,561.96
2017-07-18,372.0,374.0,366.0,367.5,369.35,95090.0,351.52
2017-07-17,375.0,381.0,372.7,374.3,377.05,239289.0,906.02
2017-07-14,376.0,380.5,366.5,377.0,378.75,182515.0,686.14
2017-07-13,378.0,389.0,374.9,375.95,376.7,126476.0,481.08
2017-07-12,383.4,385.0,371.3,375.3,375.55,146796.0,554.35
2017-07-11,360.3,400.0,360.3,379.0,379.85,1199754.0,4686.87
2017-07-10,361.1,366.0,342.0,361.0,360.25,5711.0,20.56
2017-07-07,359.55,373.1,352.15,364.2,365.1,122993.0,449.27
2017-07-06,363.5,363.5,355.0,362.1,359.1,106113.0,382.25
2017-07-05,349.9,365.95,346.2,362.25,360.4,235674.0,847.86
2017-07-04,337.75,351.0,337.05,349.9,347.6,133110.0,457.16
2017-07-03,342.8,346.0,336.55,339.5,339.85,43258.0,147.84
2017-06-30,332.0,343.05,330.35,343.05,340.3,101782.0,342.67
2017-06-29,338.0,347.75,334.0,334.9,335.95,87093.0,296.64
2017-06-28,332.55,344.0,328.05,340.0,339.85,181441.0,612.86
2017-06-27,353.1,356.9,331.25,332.55,332.3,537564.0,1812.26
2017-06-23,346.0,383.8,346.0,352.7,352.6,2157800.0,7986.87
2017-06-22,345.0,345.0,342.0,344.0,344.65,53400.0,183.97
2017-06-21,344.0,346.8,338.35,345.0,344.0,70506.0,242.5
2017-06-20,344.9,344.9,339.05,343.8,342.45,27315.0,93.38
2017-06-19,346.0,348.0,339.0,340.2,345.3,69512.0,239.79
2017-06-16,335.35,346.0,333.05,344.9,344.75,69508.0,238.26
2017-06-15,335.45,336.0,331.9,335.35,335.35,34545.0,115.39
2017-06-14,332.1,336.0,330.0,332.5,333.75,15734.0,52.37
2017-06-13,335.3,342.0,333.0,333.3,334.25,19467.0,65.69
2017-06-12,341.8,342.0,334.45,335.15,336.0,226943.0,766.76
2017-06-09,343.4,344.0,336.0,339.65,341.05,47767.0,163.07
2017-06-08,327.75,347.6,324.35,340.95,340.3,94108.0,317.28
2017-06-07,323.0,327.75,323.0,324.5,325.6,30720.0,100.08
2017-06-06,328.0,332.65,320.1,321.5,323.4,59248.0,193.18
2017-06-05,330.5,337.0,321.1,326.1,324.85,88652.0,291.89
2017-06-02,337.1,339.9,330.0,332.0,331.75,33090.0,110.41
2017-06-01,339.5,339.75,334.5,335.05,336.3,21758.0,73.38
2017-05-31,339.85,342.0,336.15,337.9,337.9,23371.0,79.1
2017-05-30,346.0,346.45,336.6,337.15,337.4,29850.0,101.52
2017-05-29,359.0,359.0,344.85,346.45,348.0,40341.0,140.61
2017-05-26,337.05,359.0,337.05,357.0,357.0,130949.0,462.58
2017-05-25,323.45,356.9,319.55,341.05,337.45,273407.0,907.02
2017-05-24,335.7,339.95,314.75,318.0,318.65,129506.0,426.23
2017-05-23,326.75,335.45,312.4,329.2,329.4,110844.0,362.08
2017-05-22,344.95,344.95,323.1,323.9,326.6,60310.0,201.33
2017-05-19,350.65,351.95,342.1,342.5,343.25,23656.0,81.8
2017-05-18,355.0,355.0,345.5,346.1,348.75,61328.0,214.56
2017-05-17,354.9,359.5,351.2,358.4,358.1,42596.0,151.72
2017-05-16,352.0,357.6,351.0,355.15,356.25,54950.0,194.85
2017-05-15,347.7,355.0,347.15,354.85,350.8,77696.0,272.02
2017-05-12,349.0,350.0,342.55,347.15,348.15,68115.0,236.42
2017-05-11,341.0,348.9,339.9,347.0,347.45,99256.0,342.07
2017-05-10,342.0,342.0,333.05,340.8,340.6,156802.0,529.22
2017-05-09,339.55,345.75,337.75,339.0,339.85,35941.0,122.69
2017-05-08,342.0,346.45,340.0,340.0,341.0,43222.0,148.35
2017-05-05,335.25,343.3,335.25,343.3,340.9,80529.0,273.26
2017-05-04,343.0,346.0,336.0,336.0,337.05,100016.0,339.9
2017-05-03,344.0,349.0,340.1,340.1,341.8,47421.0,163.26
2017-05-02,338.7,348.6,338.25,344.0,343.85,70379.0,242.14
2017-04-28,342.2,345.0,337.0,339.0,338.6,53407.0,181.65
2017-04-27,346.95,348.5,341.7,342.6,342.85,40879.0,140.72
2017-04-26,360.2,365.8,345.9,346.0,347.9,75987.0,269.61
2017-04-25,364.85,364.85,351.6,361.6,359.35,104203.0,374.54
2017-04-24,344.0,373.0,340.45,361.15,361.45,480886.0,1759.09
2017-04-21,342.35,345.25,342.05,343.0,342.85,51577.0,177.34
2017-04-20,344.5,345.0,341.15,341.95,342.95,30884.0,106.16
2017-04-19,344.9,345.05,341.85,344.7,344.3,34743.0,119.67
2017-04-18,351.25,355.0,341.3,342.05,344.1,100176.0,349.27
2017-04-17,342.1,353.25,339.1,350.1,351.0,91877.0,320.86
2017-04-13,339.0,342.95,336.1,342.5,340.0,79449.0,269.88
2017-04-12,345.75,345.8,335.0,337.6,337.8,58515.0,198.07
2017-04-11,338.85,347.9,338.85,343.0,344.6,150226.0,514.71
2017-04-10,342.0,342.0,337.5,339.5,339.8,103038.0,350.0
2017-04-07,349.05,350.05,337.45,339.0,340.45,119163.0,412.22
2017-04-06,356.35,357.5,347.25,348.2,349.55,120501.0,422.15
2017-04-05,343.95,361.8,341.9,355.0,357.5,201043.0,708.04
2017-04-03,345.55,348.0,336.7,343.5,342.5,196369.0,670.18
2017-03-31,341.9,346.6,337.0,346.0,343.5,205064.0,699.59
2017-03-30,347.0,347.0,335.3,340.0,337.3,73606.0,250.32
2017-03-29,340.55,348.0,339.0,344.95,343.25,266803.0,909.48
2017-03-28,342.0,349.0,338.55,339.2,340.85,479688.0,1633.35
2017-03-27,349.0,350.6,339.5,341.75,341.55,185000.0,640.93
2017-03-24,347.8,353.1,345.0,349.0,346.9,80054.0,278.67
2017-03-23,354.2,355.5,348.35,349.85,350.05,46742.0,164.47
