Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2018-03-13,64.7,67.25,64.6,65.85,65.85,2108466.0,1392.3
2018-03-12,64.35,67.3,63.5,65.0,64.75,1942505.0,1260.92
2018-03-09,64.8,65.15,62.9,63.65,63.65,1195667.0,762.94
2018-03-08,66.4,66.4,62.6,64.5,64.55,1334047.0,858.86
2018-03-07,68.8,69.4,65.0,65.7,65.3,2087286.0,1391.48
2018-03-06,71.65,72.4,68.6,68.8,69.6,1094452.0,774.37
2018-03-05,72.0,72.25,70.0,71.5,71.0,1363819.0,966.18
2018-03-01,72.9,73.85,72.1,72.9,72.55,1148629.0,839.52
2018-02-28,73.05,73.9,72.5,72.9,73.0,1092095.0,798.46
2018-02-27,74.85,75.5,73.65,73.9,73.9,1447206.0,1078.9
2018-02-26,74.7,75.75,73.9,74.3,74.3,1573575.0,1177.24
2018-02-23,73.1,75.0,73.1,74.45,74.45,1525787.0,1132.35
2018-02-22,73.0,73.95,72.3,72.85,73.1,1336594.0,977.73
2018-02-21,75.2,75.4,73.0,73.15,73.3,1264816.0,932.28
2018-02-20,74.5,75.8,73.8,74.55,74.6,1193084.0,892.13
2018-02-19,76.5,76.5,74.0,74.5,74.5,1122504.0,839.15
2018-02-16,79.25,79.7,75.85,76.2,76.4,1423420.0,1101.59
2018-02-15,80.0,80.6,77.2,78.3,78.25,1495295.0,1184.21
2018-02-14,80.3,81.5,79.0,79.15,79.35,1649523.0,1323.9
2018-02-12,80.1,81.6,79.35,79.7,79.8,2185373.0,1760.86
2018-02-09,77.0,81.3,76.3,79.5,79.2,3510327.0,2788.81
2018-02-08,74.5,80.25,73.45,79.7,79.65,3999646.0,3103.52
2018-02-07,75.5,76.3,73.15,74.0,74.0,2101932.0,1562.01
2018-02-06,70.0,74.65,69.55,74.5,73.55,3549403.0,2555.97
2018-02-05,74.5,76.75,72.0,75.45,75.65,3787876.0,2837.39
2018-02-02,79.0,80.0,74.0,76.6,76.55,4322816.0,3328.68
2018-02-01,84.0,84.0,78.5,79.8,80.15,4365717.0,3551.72
2018-01-31,85.0,86.75,83.0,85.0,85.0,3085286.0,2634.66
2018-01-30,85.95,87.9,84.5,85.4,84.95,2317452.0,1985.41
2018-01-29,88.4,88.9,85.55,85.7,85.85,1873152.0,1633.18
2018-01-25,88.1,90.45,87.05,87.45,87.25,3017334.0,2669.85
2018-01-24,90.3,90.4,87.1,87.3,87.4,1957549.0,1732.01
2018-01-23,91.25,93.0,89.25,90.25,90.35,3762804.0,3444.3
2018-01-22,87.4,91.9,86.25,90.9,90.35,4096212.0,3673.8
2018-01-19,87.4,88.1,85.0,87.0,86.9,2409283.0,2093.06
2018-01-18,92.25,92.65,86.25,87.5,87.2,3288069.0,2942.94
2018-01-17,90.6,92.2,86.65,91.5,91.55,3428566.0,3077.89
2018-01-16,93.95,94.0,90.05,90.85,90.55,2617015.0,2395.49
2018-01-15,93.85,94.75,93.1,93.55,93.5,2112054.0,1982.44
2018-01-12,95.3,95.8,91.55,93.15,93.3,3084786.0,2892.02
2018-01-11,94.5,95.7,93.8,94.8,94.75,2968980.0,2811.19
2018-01-10,95.3,97.2,93.65,94.2,94.1,3794001.0,3615.56
2018-01-09,98.0,98.5,94.55,95.3,95.25,4575534.0,4407.42
2018-01-08,100.0,100.4,97.15,97.35,97.45,4986645.0,4906.25
2018-01-05,100.3,101.95,99.2,99.4,99.5,4228939.0,4244.29
2018-01-04,100.7,102.7,99.15,100.4,99.9,6113289.0,6147.11
2018-01-03,98.3,101.5,97.4,100.45,100.1,5905956.0,5904.29
2018-01-02,100.5,100.75,96.5,97.95,97.8,4589076.0,4497.71
2018-01-01,101.5,103.25,99.35,100.25,99.85,4391787.0,4452.27
2017-12-29,104.0,105.6,100.1,101.2,101.0,8963867.0,9194.83
2017-12-28,97.4,105.0,97.4,103.3,102.55,21861763.0,22472.16
2017-12-27,94.05,100.2,94.0,96.0,96.15,17461000.0,16995.01
2017-12-26,94.2,94.65,92.3,92.5,92.9,3196646.0,2995.31
2017-12-22,92.65,96.4,92.1,93.55,93.7,9795557.0,9259.18
2017-12-21,92.0,93.1,91.55,92.1,92.0,3210436.0,2965.04
2017-12-20,91.7,93.5,91.1,91.5,91.5,4563189.0,4212.57
2017-12-19,91.9,93.6,91.1,91.5,91.5,5122314.0,4727.36
2017-12-18,90.8,93.3,86.65,92.0,91.6,3291532.0,3008.08
2017-12-15,92.4,93.35,90.95,91.2,91.35,2442935.0,2250.22
2017-12-14,93.7,94.25,90.05,91.5,91.1,3598398.0,3312.01
2017-12-13,90.45,96.7,89.55,92.7,92.8,12381255.0,11635.02
2017-12-12,91.15,91.65,89.0,89.15,89.25,2437496.0,2205.17
2017-12-11,91.55,92.7,90.55,90.7,90.95,2123544.0,1944.46
