Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2018-02-05,369.0,387.8,365.2,383.65,383.85,5467111.0,20806.42
2018-02-02,387.0,391.0,371.0,374.0,374.5,3892171.0,14857.79
2018-02-01,397.3,409.8,390.2,392.3,392.35,4927698.0,19654.29
2018-01-31,394.5,400.65,388.2,396.0,397.7,6975667.0,27555.19
2018-01-30,372.1,399.0,372.1,391.5,393.0,8974769.0,34642.9
2018-01-29,384.25,385.55,373.35,375.05,375.15,14148623.0,53502.92
2018-01-25,390.0,395.85,382.45,383.6,384.15,8740013.0,33764.32
2018-01-24,397.0,397.35,385.25,390.05,389.15,8709732.0,33918.07
2018-01-23,404.8,406.0,392.0,398.1,395.9,5209316.0,20775.53
2018-01-22,405.0,414.65,398.35,402.4,401.8,9692575.0,39129.86
2018-01-19,413.9,419.95,409.55,415.95,416.2,2808244.0,11649.64
2018-01-18,423.0,423.0,409.2,411.0,411.75,2914389.0,12032.73
2018-01-17,408.0,422.05,408.0,419.5,420.3,3634549.0,15124.11
2018-01-16,426.0,429.55,409.6,411.0,410.4,5555482.0,23130.93
2018-01-15,426.0,435.0,425.35,426.0,426.05,2958948.0,12684.92
2018-01-12,420.1,429.0,419.1,426.0,425.9,3495221.0,14814.45
2018-01-11,423.15,423.5,417.7,419.75,420.95,2164121.0,9098.19
2018-01-10,414.45,427.9,413.25,422.85,424.55,3580630.0,15129.68
2018-01-09,420.0,420.4,414.1,418.2,417.25,2602665.0,10827.17
2018-01-08,417.5,423.6,416.8,422.4,421.15,2147719.0,9019.0
2018-01-05,420.0,421.9,411.4,415.0,415.0,3595907.0,14908.35
2018-01-04,411.3,420.95,408.5,416.0,418.85,2868056.0,11903.45
2018-01-03,408.4,416.95,405.9,411.3,410.95,3006953.0,12393.21
2018-01-02,415.0,415.2,401.0,406.9,406.4,3614108.0,14654.75
2018-01-01,419.0,421.2,412.4,414.8,413.75,2087052.0,8674.08
2017-12-29,422.0,425.0,415.3,419.0,418.6,2119823.0,8882.84
