Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2018-03-13,410.0,413.0,405.0,412.0,411.45,41267.0,169.31
2018-03-12,410.9,415.15,401.5,405.3,405.1,65893.0,269.42
2018-03-09,420.0,422.8,407.0,408.5,409.05,23436.0,96.67
2018-03-08,418.0,427.0,401.0,415.1,415.15,62646.0,257.94
2018-03-07,425.0,443.0,412.0,415.05,416.25,116219.0,501.91
2018-03-06,442.7,443.0,427.0,427.05,427.85,14757.0,63.92
2018-03-05,433.0,441.3,425.0,441.0,438.75,27334.0,118.18
2018-03-01,439.7,442.05,431.95,432.5,436.0,35589.0,155.34
2018-02-28,435.0,441.0,428.8,440.95,439.7,25539.0,111.36
2018-02-27,429.0,443.65,426.0,437.95,439.8,33644.0,146.99
2018-02-26,432.95,438.65,427.6,428.0,429.35,134207.0,582.95
2018-02-23,429.8,433.0,420.5,427.4,427.95,26085.0,111.46
2018-02-22,420.0,428.0,416.05,422.6,423.55,25694.0,108.61
2018-02-21,420.0,423.4,415.05,423.4,421.0,36126.0,151.76
2018-02-20,410.3,418.0,408.0,417.0,413.35,28707.0,118.53
2018-02-19,428.05,434.75,400.55,411.0,408.7,94991.0,394.77
2018-02-16,441.85,442.0,421.0,426.7,426.25,38045.0,164.2
2018-02-15,441.9,445.05,432.0,435.0,435.4,24602.0,107.97
2018-02-14,427.0,444.4,425.1,439.0,437.35,62951.0,273.92
2018-02-12,426.15,434.5,419.0,423.0,423.2,119297.0,506.34
2018-02-09,414.9,434.9,411.0,420.0,419.25,53890.0,227.14
2018-02-08,420.95,439.0,420.95,423.0,423.3,51632.0,220.86
2018-02-07,410.2,427.7,410.2,420.9,417.7,84174.0,353.38
2018-02-06,390.0,410.0,386.15,400.0,400.25,83454.0,335.17
2018-02-05,418.0,424.0,405.0,414.3,414.8,83080.0,343.91
2018-02-02,430.0,439.0,400.0,427.0,424.1,93272.0,392.29
2018-02-01,435.5,444.25,425.0,436.15,436.15,128331.0,562.37
2018-01-31,446.4,454.55,431.1,433.75,433.75,62457.0,274.06
2018-01-30,451.15,452.0,435.2,447.8,446.1,60781.0,270.63
2018-01-29,470.95,482.0,447.0,455.5,456.25,80364.0,375.25
2018-01-25,482.9,483.8,464.0,467.05,466.9,61469.0,290.17
2018-01-24,489.0,490.95,477.85,479.0,479.05,189664.0,913.85
2018-01-23,499.9,513.6,486.8,486.8,488.9,130082.0,645.34
2018-01-22,484.95,490.0,477.0,489.5,488.75,39322.0,191.34
2018-01-19,480.0,485.55,470.0,481.05,482.05,44410.0,211.84
2018-01-18,496.0,496.7,473.05,480.0,479.2,182972.0,886.82
2018-01-17,471.5,506.0,453.0,489.5,491.25,226802.0,1082.67
2018-01-16,486.85,486.85,473.1,475.0,474.4,35892.0,171.27
2018-01-15,484.8,495.95,477.05,482.0,482.35,79990.0,388.44
2018-01-12,488.45,490.05,480.05,484.3,486.0,56222.0,273.29
2018-01-11,485.0,492.9,483.0,485.0,484.4,51766.0,252.33
2018-01-10,486.9,498.35,484.1,488.0,486.85,67629.0,332.14
2018-01-09,488.2,490.0,482.0,483.95,483.35,62156.0,301.48
2018-01-08,499.5,500.0,486.05,488.75,488.2,89667.0,440.37
2018-01-05,501.9,501.9,490.6,494.95,493.8,37243.0,184.4
2018-01-04,501.9,502.85,493.95,495.45,495.1,27529.0,137.06
2018-01-03,499.95,501.9,497.05,500.0,498.8,24574.0,122.74
2018-01-02,501.95,508.0,493.4,498.0,497.0,28311.0,141.26
