Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2018-03-13,86.5,87.95,86.05,87.2,86.65,172935.0,150.18
2018-03-12,87.15,87.15,84.7,86.15,86.0,214089.0,183.97
2018-03-09,88.0,88.9,84.8,86.1,85.95,291854.0,252.71
2018-03-08,88.3,88.9,85.25,87.4,87.9,375321.0,324.18
2018-03-07,88.5,88.95,86.7,86.95,87.35,311406.0,273.09
2018-03-06,90.0,91.5,88.6,89.0,89.0,143179.0,129.05
2018-03-05,91.85,91.85,89.6,90.05,90.15,126616.0,114.45
2018-03-01,92.0,92.7,91.25,91.5,91.6,54460.0,50.05
2018-02-28,91.9,92.3,91.0,92.2,92.0,81133.0,74.58
2018-02-27,93.7,95.7,91.8,92.4,92.25,215895.0,201.92
2018-02-26,93.1,93.85,92.65,93.15,93.1,184368.0,171.66
2018-02-23,91.55,93.45,91.45,93.15,93.0,95609.0,88.58
2018-02-22,91.15,92.25,90.75,91.3,91.55,159865.0,145.8
2018-02-21,93.35,93.85,91.5,92.0,92.15,58235.0,53.84
2018-02-20,91.3,93.3,91.1,91.85,92.15,138028.0,127.37
2018-02-19,94.85,94.85,90.75,91.6,91.3,235245.0,215.83
2018-02-16,95.05,95.75,93.0,93.5,93.55,119733.0,112.76
2018-02-15,97.5,99.25,94.3,94.45,94.6,243710.0,233.98
2018-02-14,97.0,100.8,96.65,97.35,97.6,432514.0,426.38
2018-02-12,96.0,97.3,95.3,95.85,95.8,157736.0,151.7
2018-02-09,94.0,95.9,93.25,95.1,95.05,169703.0,161.03
2018-02-08,94.0,97.5,93.25,95.95,96.6,232684.0,223.49
2018-02-07,95.2,96.8,92.75,93.35,93.7,326836.0,310.9
2018-02-06,89.1,93.5,87.2,92.45,92.5,349526.0,318.7
2018-02-05,91.95,96.0,90.15,95.0,94.55,528596.0,490.47
2018-02-02,96.6,96.8,92.45,94.0,94.1,534047.0,505.65
2018-02-01,98.65,99.8,96.0,98.25,97.8,279739.0,274.73
2018-01-31,101.9,102.3,98.05,98.6,98.55,369741.0,368.7
2018-01-30,101.1,103.25,99.45,101.4,101.55,382058.0,386.46
2018-01-29,105.5,105.6,101.15,101.55,101.8,296364.0,306.37
2018-01-25,106.2,107.55,104.5,105.0,105.2,299007.0,316.74
2018-01-24,107.3,109.3,106.0,106.8,107.2,392830.0,424.38
2018-01-23,109.05,109.35,106.5,107.3,107.35,378422.0,409.14
2018-01-22,108.95,112.45,107.6,108.4,108.5,613642.0,671.41
2018-01-19,106.65,109.5,105.8,108.4,108.65,727542.0,785.16
2018-01-18,112.75,113.7,105.65,106.65,106.65,816035.0,892.81
2018-01-17,107.3,112.0,105.3,111.3,111.35,1183059.0,1290.4
2018-01-16,114.0,114.0,106.0,108.05,108.0,1253237.0,1380.09
2018-01-15,117.6,118.4,112.25,112.5,112.85,2408849.0,2770.54
2018-01-12,112.25,116.9,107.5,115.55,114.85,8558151.0,9762.24
2018-01-11,109.7,112.9,109.25,111.75,111.05,4044925.0,4503.38
2018-01-10,108.05,112.5,108.0,109.25,109.4,2458516.0,2703.04
2018-01-09,109.85,110.05,106.25,106.5,106.95,863967.0,932.07
2018-01-08,109.45,112.4,108.25,109.0,109.15,2632088.0,2905.53
2018-01-05,104.1,110.75,103.5,107.8,108.1,6243461.0,6707.94
2018-01-04,103.5,105.5,102.55,103.4,103.4,3475938.0,3613.5
2018-01-03,102.95,104.2,102.05,102.5,102.45,1409486.0,1454.62
2018-01-02,102.35,105.15,100.45,102.7,102.35,2693592.0,2746.79
2018-01-01,102.6,105.9,100.2,102.0,101.6,888638.0,922.59
2017-12-29,98.0,103.8,97.5,102.9,102.0,1655484.0,1685.28
2017-12-28,97.75,99.2,96.65,97.95,97.65,509223.0,498.59
2017-12-27,97.8,101.3,96.15,96.95,97.0,1707445.0,1686.54
2017-12-26,97.3,98.2,96.8,97.0,97.15,210555.0,204.83
2017-12-22,98.75,100.8,96.65,96.85,97.1,552539.0,542.35
2017-12-21,97.4,99.3,97.4,97.7,97.95,301645.0,296.34
2017-12-20,98.85,98.85,96.7,97.3,97.1,407284.0,396.7
2017-12-19,97.1,98.5,96.4,97.0,96.9,119080.0,115.88
2017-12-18,96.75,98.25,92.0,97.0,96.7,183779.0,177.11
2017-12-15,95.4,98.7,95.4,96.55,97.25,194613.0,188.92
2017-12-14,96.75,96.75,92.8,94.1,94.4,191141.0,179.98
2017-12-13,98.0,98.2,94.5,96.0,95.8,164378.0,158.84
2017-12-12,98.3,99.15,97.0,97.9,97.4,156451.0,153.92
2017-12-11,98.7,99.0,97.75,97.95,98.05,178119.0,175.16
2017-12-08,100.0,100.55,97.2,98.0,97.75,353736.0,349.79
2017-12-07,99.55,101.35,98.6,98.7,99.1,283932.0,283.73
2017-12-06,97.95,102.9,97.65,98.65,98.9,465309.0,467.72
2017-12-05,99.65,100.25,97.55,98.0,98.15,192715.0,189.64
