Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2018-03-13,202.1,210.9,201.5,207.15,207.5,7802612.0,16207.56
2018-03-12,203.55,204.75,202.0,203.0,203.7,4781134.0,9731.64
2018-03-09,199.9,203.9,197.1,201.7,200.7,5552157.0,11176.43
2018-03-08,199.75,203.3,194.6,197.45,199.05,5196589.0,10340.66
2018-03-07,194.0,200.7,194.0,197.25,197.25,7494421.0,14800.63
2018-03-06,205.0,208.3,192.75,193.05,195.85,6526668.0,13126.44
2018-03-05,211.7,212.75,202.0,203.1,203.1,6300903.0,12904.51
2018-03-01,214.9,218.65,210.75,212.0,212.1,3281287.0,7057.78
2018-02-28,217.0,217.9,214.5,215.5,215.35,3042939.0,6575.41
2018-02-27,220.95,222.75,217.2,218.9,219.5,5852502.0,12876.5
2018-02-26,222.9,225.4,217.5,219.5,220.35,3602493.0,7958.74
2018-02-23,222.5,224.7,220.5,221.3,221.7,3468033.0,7715.41
2018-02-22,214.4,226.5,211.45,220.75,221.45,12701845.0,28075.17
2018-02-21,220.0,223.0,214.1,214.5,217.1,8450424.0,18450.11
2018-02-20,214.65,221.0,210.55,217.7,217.8,9849657.0,21292.21
2018-02-19,223.3,223.7,212.1,213.5,214.05,6575396.0,14176.72
2018-02-16,230.8,234.25,215.2,221.45,221.9,9190821.0,20651.74
2018-02-15,231.0,234.4,225.0,229.75,227.35,6860478.0,15724.89
2018-02-14,236.5,246.4,233.65,234.7,236.05,13637559.0,32841.79
2018-02-12,234.1,240.0,233.0,234.55,234.65,11622562.0,27498.57
2018-02-09,205.0,232.9,205.0,228.8,227.6,23667077.0,53166.63
2018-02-08,204.8,214.9,202.65,210.8,212.7,12326529.0,25997.86
2018-02-07,200.0,204.95,196.1,199.4,201.1,5510975.0,11073.78
2018-02-06,186.0,199.95,183.95,194.8,195.9,9278881.0,17872.3
2018-02-05,188.0,206.25,180.15,205.2,202.7,10387324.0,20595.12
2018-02-02,205.05,209.95,185.6,196.1,193.4,10615323.0,21094.16
2018-02-01,217.0,221.8,207.65,208.75,208.9,8084249.0,17294.15
2018-01-31,215.15,227.5,214.0,214.2,215.7,7682490.0,16853.19
2018-01-30,224.2,227.15,215.25,215.25,216.45,5944876.0,13065.06
2018-01-29,232.75,233.85,223.5,223.95,225.2,3642698.0,8327.73
2018-01-25,236.0,236.75,229.4,230.1,231.25,3704080.0,8600.2
2018-01-24,242.5,246.65,233.1,234.5,235.55,8296465.0,19835.13
2018-01-23,244.65,245.5,236.6,241.0,239.75,3418683.0,8283.18
2018-01-22,243.6,245.8,241.0,242.9,243.3,3233293.0,7872.51
2018-01-19,230.5,242.9,228.1,242.75,241.4,5406141.0,12722.69
2018-01-18,242.1,247.7,228.0,229.0,230.2,6058696.0,14398.64
2018-01-17,242.7,243.5,230.0,242.0,240.75,8168833.0,19436.04
2018-01-16,257.0,258.75,238.5,242.8,241.85,9536204.0,23501.65
2018-01-15,255.15,261.0,255.1,256.6,256.6,6978618.0,17978.51
2018-01-12,259.75,263.4,248.0,253.25,253.6,18020940.0,46369.03
2018-01-11,248.8,257.6,246.45,254.75,255.65,18766103.0,47599.13
2018-01-10,237.75,249.4,236.0,248.0,247.1,22602986.0,54825.56
2018-01-09,229.6,240.0,229.6,236.1,235.85,17316698.0,40791.94
2018-01-08,222.4,232.4,219.1,228.45,229.25,13018484.0,29500.39
