Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2018-03-13,268.6,278.3,265.9,270.35,270.0,3204808.0,8762.7
2018-03-12,263.45,274.6,263.0,270.0,269.9,3346441.0,9040.04
2018-03-09,251.9,265.0,247.2,261.45,261.7,2690630.0,6983.23
2018-03-08,244.0,258.7,244.0,250.45,250.5,7759266.0,19613.39
2018-03-07,242.0,245.5,236.5,243.25,243.2,4304319.0,10459.82
2018-03-06,249.9,253.5,239.05,240.0,242.6,607219.0,1505.33
2018-03-05,255.65,255.65,247.0,248.15,249.35,935512.0,2338.98
2018-03-01,257.0,260.75,254.1,255.75,256.7,994079.0,2566.34
2018-02-28,255.0,259.5,250.0,258.0,258.65,840005.0,2148.79
2018-02-27,262.55,264.75,255.6,257.15,257.9,658775.0,1709.9
2018-02-26,269.7,270.8,257.4,262.4,263.15,1212906.0,3235.8
2018-02-23,266.75,271.5,262.5,267.6,267.3,1937985.0,5195.04
2018-02-22,262.95,266.0,258.0,265.5,265.15,1254574.0,3301.51
2018-02-21,257.3,266.6,253.15,261.65,261.7,11122469.0,28557.73
2018-02-20,246.0,257.3,242.3,255.7,255.0,2308112.0,5850.16
2018-02-19,255.0,255.0,243.5,245.0,245.85,491915.0,1220.58
2018-02-16,253.7,260.0,248.0,254.0,253.5,2208176.0,5605.43
2018-02-15,248.7,258.3,240.2,249.55,250.25,2268068.0,5720.49
2018-02-14,250.0,252.9,244.5,245.25,246.45,834933.0,2076.68
2018-02-12,239.0,256.5,238.25,246.0,247.15,1618297.0,3989.4
2018-02-09,236.1,241.4,233.0,233.95,234.4,831172.0,1973.57
2018-02-08,230.9,244.0,230.9,243.75,241.55,1246319.0,2959.48
2018-02-07,235.0,239.0,227.4,228.75,229.25,818127.0,1906.74
2018-02-06,210.0,234.65,210.0,228.0,228.75,1733976.0,3938.23
2018-02-05,225.0,244.5,222.0,244.5,241.4,2131508.0,5078.43
2018-02-02,251.0,255.05,232.6,236.3,236.4,1855534.0,4501.71
2018-02-01,247.3,264.8,239.0,261.95,260.4,2979842.0,7569.5
2018-01-31,249.45,255.7,242.55,247.0,245.4,1054511.0,2627.36
2018-01-30,258.0,258.5,249.8,250.45,250.45,722043.0,1827.33
2018-01-29,267.75,275.6,254.5,257.7,258.0,931469.0,2462.6
2018-01-25,273.25,273.25,265.0,265.8,266.85,618902.0,1656.74
2018-01-24,284.0,285.5,270.2,271.5,272.0,2440755.0,6765.19
2018-01-23,284.25,289.9,279.45,282.5,282.95,1237269.0,3519.11
2018-01-22,276.6,284.0,276.05,282.1,281.8,1545160.0,4339.8
2018-01-19,266.2,276.0,265.3,275.5,274.95,1469375.0,4003.77
2018-01-18,265.25,275.5,260.5,265.45,266.0,2734931.0,7298.96
2018-01-17,261.2,267.3,246.1,263.55,263.95,1690901.0,4364.63
2018-01-16,272.0,272.0,259.0,259.3,260.1,912634.0,2410.5
2018-01-15,277.7,279.0,270.0,270.05,270.95,746430.0,2042.0
2018-01-12,274.4,285.5,273.65,276.15,276.8,2786261.0,7774.15
2018-01-11,277.9,284.45,270.9,272.1,272.35,1943903.0,5405.56
2018-01-10,271.3,279.9,266.0,277.85,277.9,2361168.0,6481.74
2018-01-09,269.25,277.4,266.1,269.7,269.65,2032932.0,5526.48
2018-01-08,265.0,272.4,262.0,268.2,268.2,2113549.0,5642.74
2018-01-05,260.0,265.85,257.1,259.0,260.65,1040880.0,2720.65
2018-01-04,259.95,260.75,254.9,258.5,258.75,685425.0,1766.44
2018-01-03,256.4,263.55,256.4,259.0,259.45,571814.0,1486.62
2018-01-02,266.8,268.4,253.0,255.75,255.75,1358584.0,3512.66
2018-01-01,266.6,272.3,264.0,266.3,265.9,485267.0,1301.85
2017-12-29,263.85,266.9,261.55,266.35,265.45,841939.0,2222.96
2017-12-28,263.0,266.6,260.05,262.55,262.9,526945.0,1388.56
2017-12-27,268.2,268.5,260.15,261.8,262.55,605147.0,1599.63
2017-12-26,269.75,271.9,266.4,266.85,267.0,620040.0,1663.43
2017-12-22,273.0,274.9,267.6,268.95,269.6,864836.0,2352.06
2017-12-21,262.0,274.0,257.4,271.0,270.5,2875641.0,7683.71
2017-12-20,256.55,266.75,255.0,261.0,260.05,1925984.0,5048.0
2017-12-19,255.4,258.85,254.0,255.0,255.65,752285.0,1924.73
2017-12-18,252.85,261.0,233.35,252.5,253.7,1860996.0,4729.98
2017-12-15,251.0,266.0,245.0,255.55,258.5,1890014.0,4806.93
2017-12-14,251.2,252.0,245.0,247.0,248.55,1814546.0,4514.55
2017-12-13,252.0,255.7,249.1,250.15,250.15,697470.0,1759.06
2017-12-12,256.65,261.0,250.0,251.3,251.65,800594.0,2037.2
2017-12-11,260.4,263.65,254.6,255.45,255.85,603089.0,1557.23
2017-12-08,259.0,266.0,258.1,258.35,259.3,890562.0,2336.09
2017-12-07,256.15,265.0,256.1,258.6,259.4,1163574.0,3024.21
2017-12-06,258.0,267.0,253.0,253.95,255.6,2106094.0,5458.77
2017-12-05,261.9,262.8,252.5,258.9,258.45,920621.0,2372.54
2017-12-04,272.0,272.8,260.1,261.9,262.6,734844.0,1955.21
2017-12-01,275.6,283.0,267.9,270.4,269.15,1660177.0,4585.92
2017-11-30,261.0,276.5,256.0,274.95,272.3,2163614.0,5779.75
2017-11-29,265.9,270.15,261.5,262.0,262.6,784409.0,2083.29
2017-11-28,263.1,277.7,261.0,265.5,266.9,2014684.0,5416.58
2017-11-27,260.85,264.8,257.0,261.8,263.4,2132921.0,5564.36
2017-11-24,262.1,264.4,255.25,260.6,260.4,2783352.0,7240.08
2017-11-23,247.4,268.85,240.5,261.35,261.4,4231921.0,10853.44
2017-11-22,258.0,264.9,244.6,246.5,246.45,3238125.0,8181.31
2017-11-21,265.0,271.0,254.4,255.9,256.0,1420920.0,3737.5
2017-11-20,267.35,270.75,262.3,263.75,264.1,1478595.0,3918.7
2017-11-17,268.0,274.3,267.25,267.35,268.35,883931.0,2391.53
2017-11-16,258.4,273.4,258.4,264.7,264.5,1729458.0,4629.49
2017-11-15,277.9,277.9,258.45,261.65,261.2,1980430.0,5264.19
2017-11-14,286.9,288.55,274.95,275.2,277.9,1235324.0,3471.78
2017-11-13,295.4,297.0,284.05,287.0,286.05,913442.0,2654.97
2017-11-10,293.95,300.0,291.2,296.0,294.8,1182174.0,3502.59
2017-11-09,295.0,298.9,293.0,294.25,294.4,905860.0,2678.55
2017-11-08,293.5,300.0,291.0,294.4,294.4,1976053.0,5854.21
2017-11-07,297.0,303.5,290.1,292.1,293.85,3568685.0,10594.27
2017-11-06,300.45,302.0,290.0,295.0,296.15,3206809.0,9513.52
2017-11-03,297.25,307.0,293.35,302.2,302.4,4346465.0,13098.53
2017-11-02,294.4,300.8,291.0,295.75,297.25,2949637.0,8772.93
2017-11-01,287.0,298.25,281.4,293.95,294.0,4439102.0,13011.81
2017-10-31,279.4,288.45,278.0,285.5,285.9,1715179.0,4877.08
2017-10-30,282.0,284.7,277.5,278.4,279.0,1069248.0,2997.28
2017-10-27,285.0,291.0,277.0,280.65,282.25,2826782.0,8011.88
2017-10-26,275.7,286.7,270.0,277.2,279.9,2041617.0,5721.13
2017-10-25,283.3,284.4,273.35,274.5,275.1,1256402.0,3499.81
2017-10-24,281.0,291.0,272.1,281.25,281.85,2471454.0,7004.69
2017-10-23,288.9,291.4,280.05,280.75,281.65,1566579.0,4446.25
2017-10-19,296.75,297.8,285.6,285.9,288.7,986677.0,2880.91
