Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2018-03-13,92.0,94.0,91.35,92.35,92.15,631576.0,583.13
2018-03-12,93.0,94.0,90.25,91.1,91.1,470399.0,429.66
2018-03-09,93.0,93.7,91.5,92.5,92.3,327221.0,302.86
2018-03-08,93.4,94.3,91.4,92.0,92.65,506575.0,469.58
2018-03-07,97.05,97.85,91.35,92.25,91.95,957108.0,892.53
2018-03-06,99.45,101.7,95.0,97.2,97.3,331812.0,329.68
2018-03-05,99.8,101.2,98.75,99.2,99.1,341262.0,340.12
2018-03-01,100.15,101.7,99.0,99.5,99.4,314925.0,314.36
2018-02-28,100.95,100.95,99.0,100.05,100.15,390826.0,390.65
2018-02-27,102.5,103.8,100.3,101.2,101.1,332469.0,338.7
2018-02-26,102.05,104.0,101.15,101.6,101.9,444245.0,455.83
2018-02-23,101.25,103.0,100.55,101.5,101.2,380344.0,385.29
2018-02-22,99.9,103.0,99.0,100.25,100.75,757644.0,767.05
2018-02-21,101.45,102.2,98.0,99.0,99.1,381969.0,379.81
2018-02-20,103.55,105.8,99.0,99.85,100.35,880864.0,901.67
2018-02-19,98.15,104.9,95.05,104.6,102.4,1174948.0,1152.25
2018-02-16,102.95,103.0,97.0,98.45,98.0,833792.0,827.01
2018-02-15,108.0,108.0,100.8,102.05,102.15,735073.0,757.71
2018-02-14,107.9,108.6,105.75,106.6,106.65,310198.0,332.28
2018-02-12,107.3,108.0,106.0,106.7,106.2,293209.0,313.01
2018-02-09,102.2,105.85,102.0,104.8,104.3,499043.0,521.72
2018-02-08,100.0,108.75,99.5,106.75,106.7,1841678.0,1942.1
2018-02-07,96.0,100.25,96.0,98.9,99.2,970194.0,959.28
2018-02-06,91.5,96.65,91.5,94.35,94.75,614067.0,580.82
2018-02-05,93.05,100.0,91.5,99.75,97.85,838253.0,800.34
2018-02-02,101.5,102.75,95.0,96.9,97.2,1260193.0,1244.48
2018-02-01,104.45,105.0,101.0,103.0,102.25,656023.0,676.22
2018-01-31,106.1,107.5,102.0,103.5,103.6,795681.0,833.16
2018-01-30,108.0,108.0,105.1,106.3,106.25,587600.0,624.25
2018-01-29,108.0,110.3,106.25,108.05,107.8,1238524.0,1343.82
2018-01-25,111.0,114.6,105.3,106.8,106.85,5961965.0,6538.67
2018-01-24,116.0,116.9,108.5,110.65,111.15,3540914.0,3952.5
2018-01-23,117.35,119.15,115.25,116.0,115.95,1115624.0,1307.53
2018-01-22,120.2,120.7,116.0,116.6,116.7,1707696.0,2001.44
2018-01-19,116.0,120.7,113.95,118.6,119.8,2218540.0,2605.98
2018-01-18,121.7,122.5,113.55,116.0,115.85,1791540.0,2112.18
2018-01-17,120.5,123.8,116.0,120.7,120.4,2274138.0,2737.97
2018-01-16,133.7,133.7,113.95,121.55,120.9,2819058.0,3534.03
2018-01-15,133.95,135.0,132.0,132.6,132.9,1552711.0,2071.95
2018-01-12,135.0,136.6,130.6,132.75,132.85,2688994.0,3585.48
2018-01-11,135.65,138.85,134.0,135.0,134.9,5757055.0,7842.5
2018-01-10,125.5,135.0,125.4,134.5,134.15,10246617.0,13567.33
2018-01-09,124.2,126.9,123.0,124.65,125.35,2310543.0,2899.9
2018-01-08,122.45,125.05,121.7,124.3,124.2,2169567.0,2681.49
2018-01-05,119.4,122.8,118.6,121.25,121.1,1658593.0,2005.44
2018-01-04,118.95,120.05,117.55,118.6,118.85,1789026.0,2124.38
2018-01-03,118.6,120.9,118.2,118.9,118.85,1958237.0,2344.62
2018-01-02,123.3,123.7,116.8,117.9,117.95,2749463.0,3305.45
2018-01-01,124.9,125.35,122.0,122.5,122.45,1023878.0,1266.79
2017-12-29,126.6,128.5,117.15,124.2,123.95,4298581.0,5308.14
2017-12-28,120.25,128.25,120.05,125.0,125.7,4573094.0,5705.82
2017-12-27,118.5,122.95,117.95,120.1,120.25,1961845.0,2365.43
2017-12-26,121.25,121.6,118.0,118.6,118.95,770562.0,919.3
2017-12-22,122.9,124.3,120.1,121.05,121.0,1525025.0,1866.39
2017-12-21,118.0,122.7,117.25,122.3,121.95,2701532.0,3237.9
2017-12-20,117.9,117.9,114.3,116.25,116.4,1240986.0,1440.51
2017-12-19,112.3,116.4,112.05,116.3,115.3,919697.0,1044.74
2017-12-18,111.85,114.0,106.85,111.8,112.05,1041915.0,1163.09
2017-12-15,108.05,112.0,108.05,111.85,111.05,1012119.0,1116.5
2017-12-14,109.95,110.8,106.4,107.1,107.45,1613407.0,1740.56
2017-12-13,113.85,114.65,108.95,109.8,110.0,984374.0,1099.86
2017-12-12,114.8,115.65,113.1,114.15,114.05,546115.0,624.21
2017-12-11,115.0,115.7,113.65,114.8,114.5,689154.0,790.4
2017-12-08,112.9,115.45,112.9,115.15,114.95,871270.0,996.83
2017-12-07,113.7,114.5,112.15,112.7,112.7,1060525.0,1199.74
2017-12-06,116.15,116.6,111.55,113.1,112.65,1603382.0,1821.68
2017-12-05,116.5,117.65,114.7,116.8,116.45,1455605.0,1694.68
2017-12-04,115.0,116.85,112.2,116.25,115.85,1527427.0,1756.7
2017-12-01,120.0,121.15,113.3,113.8,113.9,1798601.0,2105.97
2017-11-30,120.95,123.35,117.2,118.8,119.15,3756017.0,4511.03
2017-11-29,122.2,123.75,120.0,120.3,121.15,869343.0,1063.08
2017-11-28,127.0,128.1,120.2,121.85,121.85,1942958.0,2403.79
2017-11-27,128.35,130.0,125.8,126.3,127.05,1859947.0,2370.34
2017-11-24,126.55,129.0,124.4,128.0,128.35,2063771.0,2608.79
2017-11-23,122.0,126.85,121.2,125.5,125.15,2125635.0,2648.23
2017-11-22,123.5,124.7,120.5,120.65,122.25,1291435.0,1581.38
2017-11-21,129.1,129.7,122.2,124.0,123.2,1494482.0,1889.22
2017-11-20,128.95,131.0,127.0,128.5,128.1,3021010.0,3902.94
2017-11-17,125.0,129.85,123.1,127.9,127.8,4180757.0,5313.22
2017-11-16,124.05,127.0,120.3,123.65,123.65,5790241.0,7158.91
2017-11-15,107.25,122.5,106.0,122.0,120.6,8902309.0,10281.97
2017-11-14,112.75,114.5,111.25,112.5,112.45,1112472.0,1254.59
2017-11-13,116.0,118.7,111.0,111.75,111.85,1338183.0,1534.41
2017-11-10,117.4,121.4,116.05,117.0,116.8,2604828.0,3097.17
2017-11-09,111.0,119.1,110.1,118.05,117.45,2116840.0,2433.92
2017-11-08,112.95,112.95,109.55,110.0,110.15,1019734.0,1127.28
2017-11-07,113.5,113.9,109.45,111.35,111.6,1335898.0,1490.33
2017-11-06,113.85,114.3,112.0,112.6,112.6,919837.0,1038.99
2017-11-03,113.0,115.5,111.05,112.35,112.4,1883010.0,2130.49
2017-11-02,116.5,120.0,106.75,112.4,112.2,5769881.0,6552.44
2017-11-01,119.5,120.45,116.0,116.8,116.5,1163300.0,1371.35
2017-10-31,119.35,120.4,116.9,118.9,118.8,655209.0,776.64
2017-10-30,119.2,122.65,117.25,119.95,119.9,1697738.0,2043.65
2017-10-27,121.0,124.3,116.9,117.2,118.45,2440175.0,2965.22
2017-10-26,116.05,122.5,114.4,120.0,120.75,2130005.0,2537.88
2017-10-25,115.85,117.7,112.2,116.05,116.05,1681349.0,1939.13
2017-10-24,113.5,115.85,110.95,114.5,114.55,1132561.0,1283.55
2017-10-23,114.35,114.35,110.0,112.2,112.15,1135198.0,1265.45
2017-10-19,114.9,115.85,110.3,113.8,113.6,585796.0,666.98
2017-10-18,114.3,115.7,113.4,113.7,113.85,851628.0,975.43
2017-10-17,112.7,115.75,111.4,114.0,114.2,1501476.0,1711.52
2017-10-16,111.4,112.75,110.25,112.2,112.15,866848.0,967.67
2017-10-13,113.0,113.05,110.0,110.25,110.35,763987.0,848.3
2017-10-12,108.75,112.35,108.15,112.1,111.55,1504387.0,1665.03
2017-10-11,110.85,114.35,106.05,108.2,108.2,2957653.0,3275.23
2017-10-10,108.0,112.4,108.0,111.0,110.85,1644168.0,1821.42
2017-10-09,111.15,111.2,107.65,107.8,108.15,1051821.0,1147.6
2017-10-06,107.8,112.4,107.8,110.0,110.45,3577470.0,3951.66
2017-10-05,99.05,108.9,98.6,108.15,107.75,5530549.0,5872.83
2017-10-04,100.0,100.0,98.0,99.0,99.05,847500.0,837.68
2017-10-03,102.5,102.75,97.5,98.0,98.3,1390713.0,1385.38
2017-09-29,104.0,104.0,98.15,99.8,98.95,1881514.0,1900.15
2017-09-28,98.0,104.4,96.85,102.35,102.5,5539337.0,5635.5
2017-09-27,103.0,104.4,93.7,96.85,95.85,3659483.0,3610.97
2017-09-26,102.0,104.65,100.0,101.8,101.9,2207659.0,2255.54
2017-09-25,107.95,108.75,98.05,102.65,102.7,3182980.0,3239.44
2017-09-22,115.3,115.3,105.8,107.5,107.05,2918436.0,3204.81
2017-09-21,117.55,118.5,114.05,116.1,116.1,1338447.0,1548.93
2017-09-20,118.25,119.5,112.15,117.25,117.55,866234.0,1018.43
2017-09-19,120.75,120.75,117.7,118.0,118.1,1937607.0,2300.22
2017-09-18,120.75,121.75,119.05,119.6,119.55,868703.0,1041.87
2017-09-15,121.5,122.15,118.5,118.95,119.05,1170516.0,1405.38
2017-09-14,124.45,124.9,122.0,122.1,122.4,1007809.0,1242.25
2017-09-13,123.65,126.7,122.1,123.5,123.5,2435313.0,3031.61
2017-09-12,122.5,125.2,121.3,122.75,122.8,1652378.0,2037.8
2017-09-11,119.0,123.3,118.25,121.35,121.1,1732124.0,2090.62
2017-09-08,122.8,124.4,115.05,117.4,117.65,4354807.0,5160.02
2017-09-07,122.2,127.8,120.4,121.5,121.8,3699997.0,4588.03
2017-09-06,115.5,127.0,114.2,123.2,121.9,6581243.0,8100.94
2017-09-05,115.95,116.75,113.65,115.2,115.75,768295.0,888.83
2017-09-04,116.15,116.7,109.55,114.2,114.25,1589794.0,1803.12
2017-09-01,117.4,118.1,115.35,116.0,116.05,1186504.0,1386.49
2017-08-31,114.9,117.5,113.65,117.05,116.75,1914248.0,2206.2
2017-08-30,113.9,116.25,113.75,115.0,114.8,2156139.0,2479.9
2017-08-29,110.6,115.2,110.25,112.45,112.55,2857912.0,3235.08
2017-08-28,110.45,113.85,109.7,111.7,112.25,2908265.0,3264.27
2017-08-24,110.0,112.5,108.25,109.55,109.7,4286806.0,4727.13
2017-08-23,103.1,110.7,101.85,109.25,109.3,12564113.0,13539.72
2017-08-22,110.05,112.25,96.1,99.5,99.85,10674114.0,10728.12
2017-08-21,115.0,116.0,105.65,109.0,108.9,2147373.0,2392.25
2017-08-18,116.85,117.3,112.25,114.0,114.4,1005124.0,1157.51
2017-08-17,118.3,119.7,114.8,114.85,115.65,1352777.0,1579.88
2017-08-16,115.1,119.05,112.0,117.0,117.3,2395608.0,2776.98
2017-08-14,115.7,119.2,111.8,112.0,112.45,1423878.0,1631.78
2017-08-11,128.0,128.5,107.15,115.7,115.1,7008762.0,8242.15
2017-08-10,130.8,138.6,126.5,136.4,132.6,2016213.0,2694.78
2017-08-09,141.35,141.35,131.0,131.8,132.35,1435141.0,1947.35
2017-08-08,146.45,147.55,140.5,141.5,142.15,593149.0,850.84
2017-08-07,142.25,148.8,142.25,146.95,147.45,1774663.0,2593.43
2017-08-04,142.25,144.55,140.75,141.2,141.4,660716.0,938.71
2017-08-03,147.0,147.0,141.0,142.2,142.85,961976.0,1371.97
2017-08-02,144.05,145.35,142.6,144.1,144.15,815007.0,1173.25
2017-08-01,148.35,150.0,142.1,144.7,143.1,1420807.0,2058.05
2017-07-31,155.2,157.5,144.7,148.5,148.35,1073977.0,1617.19
2017-07-28,153.75,158.2,153.75,157.0,157.0,794225.0,1241.85
2017-07-27,155.4,157.2,154.2,154.95,155.15,1044376.0,1624.75
2017-07-26,154.0,157.15,153.55,155.6,155.4,770620.0,1197.23
2017-07-25,155.85,156.35,153.1,153.8,153.6,483099.0,746.06
2017-07-24,155.1,156.7,154.3,154.75,155.25,484991.0,753.97
2017-07-21,160.0,160.5,153.7,154.7,154.95,1157043.0,1813.86
2017-07-20,161.9,163.25,158.55,159.1,159.2,453987.0,729.35
2017-07-19,163.05,164.3,160.65,161.2,161.65,346108.0,561.79
2017-07-18,163.95,164.9,161.0,161.7,161.75,397582.0,647.61
2017-07-17,164.5,166.5,163.25,163.8,163.95,552654.0,909.81
2017-07-14,167.6,169.0,163.0,164.8,164.5,657964.0,1088.87
2017-07-13,168.45,170.5,167.0,167.35,167.75,960891.0,1619.27
2017-07-12,166.8,168.45,165.05,166.7,167.15,343297.0,572.77
2017-07-11,166.95,169.8,165.5,166.4,166.8,482283.0,808.11
2017-07-10,165.8,168.5,164.2,166.4,166.45,213905.0,356.89
2017-07-07,165.95,167.9,163.75,164.8,164.3,378152.0,627.34
2017-07-06,164.5,168.0,164.0,165.0,166.1,433253.0,721.55
2017-07-05,162.5,166.4,162.5,165.65,165.8,729777.0,1199.12
2017-07-04,166.85,168.45,161.65,162.6,162.95,673398.0,1105.55
