Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2018-03-13,3734.8,3744.9,3690.0,3691.5,3705.85,10819.0,400.53
2018-03-12,3809.0,3809.0,3670.0,3690.0,3755.5,2517.0,94.62
2018-03-09,3815.0,3815.0,3725.0,3725.0,3758.45,2307.0,86.72
2018-03-08,3777.7,3870.0,3701.0,3735.05,3759.55,782.0,29.43
2018-03-07,3765.0,3839.9,3735.0,3760.0,3759.0,4275.0,160.67
2018-03-06,3770.0,3815.0,3744.15,3763.9,3785.6,5756.0,216.51
2018-03-05,3776.05,3832.95,3751.5,3755.0,3776.85,1910.0,72.09
2018-03-01,3850.0,3850.0,3790.5,3790.5,3811.4,569.0,21.7
2018-02-28,3800.0,3872.2,3760.0,3850.0,3844.45,1082.0,41.53
2018-02-27,3829.9,3834.8,3761.35,3800.0,3802.9,871.0,33.12
2018-02-26,3821.35,3899.7,3745.0,3751.9,3772.0,1192.0,45.3
2018-02-23,3872.3,3888.4,3780.0,3794.9,3801.75,707.0,26.96
2018-02-22,3848.0,3878.0,3805.05,3820.1,3852.75,303.0,11.63
2018-02-21,3884.95,3884.95,3775.25,3775.25,3802.5,618.0,23.59
2018-02-20,3948.9,3948.95,3811.3,3816.05,3846.2,814.0,31.45
2018-02-19,3980.35,3989.0,3856.0,3948.95,3915.1,1526.0,60.11
2018-02-16,3988.4,3988.5,3948.5,3965.0,3966.25,4217.0,167.56
2018-02-15,3975.0,3988.0,3950.0,3951.0,3963.45,11524.0,457.98
2018-02-14,3950.0,3988.95,3944.0,3953.0,3974.25,929.0,36.82
2018-02-12,3912.05,3958.9,3880.1,3944.0,3935.55,863.0,33.8
2018-02-09,3851.3,3960.0,3851.3,3960.0,3917.05,973.0,38.02
2018-02-08,3889.0,3986.0,3855.0,3966.0,3972.45,797.0,31.35
2018-02-07,3750.05,3877.9,3750.05,3803.1,3847.05,570.0,21.8
2018-02-06,3875.0,3875.0,3701.5,3762.0,3781.0,970.0,36.55
2018-02-05,3882.0,3901.1,3842.5,3875.0,3880.3,2140.0,82.85
2018-02-02,3913.55,3953.0,3885.0,3950.5,3921.6,2429.0,94.99
2018-02-01,3952.0,3984.45,3926.05,3950.0,3953.0,1254.0,49.58
2018-01-31,3950.0,3989.0,3925.05,3952.0,3965.0,1586.0,62.75
2018-01-30,3923.25,3990.0,3910.95,3989.0,3953.25,1794.0,70.83
2018-01-29,3985.0,3990.0,3920.0,3941.0,3962.8,1551.0,61.44
2018-01-25,3979.85,3990.0,3940.15,3988.0,3973.75,626.0,24.86
2018-01-24,3950.15,3990.0,3935.9,3990.0,3964.7,1670.0,66.09
2018-01-23,3931.6,3990.0,3931.6,3990.0,3987.25,1656.0,65.68
2018-01-22,3969.05,3987.0,3951.0,3955.0,3971.2,658.0,26.11
2018-01-19,3950.6,3989.0,3913.0,3988.95,3969.05,1037.0,41.13
2018-01-18,3960.05,3999.0,3958.05,3970.0,3990.2,1254.0,49.85
2018-01-17,3964.0,3989.0,3950.0,3989.0,3980.1,3225.0,128.16
2018-01-16,3956.05,3999.0,3956.05,3999.0,3993.6,5009.0,198.92
2018-01-15,3986.0,3999.0,3911.4,3999.0,3995.75,1553.0,61.68
2018-01-12,3982.0,3999.0,3901.0,3998.95,3996.4,1395.0,55.56
2018-01-11,3993.65,3999.0,3960.05,3980.0,3982.0,3770.0,150.15
2018-01-10,3967.2,3999.0,3927.9,3988.9,3974.7,1677.0,66.58
2018-01-09,3945.1,3999.0,3903.7,3999.0,3967.2,1305.0,51.69
2018-01-08,3900.1,3959.0,3900.1,3959.0,3932.4,745.0,29.25
2018-01-05,3899.55,3940.0,3894.45,3938.0,3932.05,1925.0,75.49
2018-01-04,3926.0,3977.95,3865.5,3881.15,3886.6,12420.0,489.36
2018-01-03,3972.25,3980.0,3939.1,3969.0,3964.95,5883.0,232.49
2018-01-02,3950.0,4000.0,3921.0,4000.0,3978.65,895.0,35.48
2018-01-01,3973.85,3979.75,3914.55,3922.15,3946.5,11057.0,436.73
2017-12-29,3925.0,3957.5,3875.9,3950.0,3953.05,6628.0,261.69
2017-12-28,3861.0,3945.1,3861.0,3922.55,3914.25,4496.0,174.81
2017-12-27,3898.95,3898.95,3861.05,3890.0,3892.65,674.0,26.2
