Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2018-03-13,1333.95,1380.0,1325.0,1362.0,1362.15,4952.0,67.23
2018-03-12,1340.0,1340.0,1323.0,1335.0,1331.4,7547.0,100.56
2018-03-09,1338.95,1352.45,1320.0,1335.0,1332.65,11875.0,158.88
2018-03-08,1322.0,1349.0,1283.0,1348.0,1330.2,27403.0,363.34
2018-03-07,1320.0,1365.0,1259.0,1292.55,1302.7,22822.0,296.62
2018-03-06,1375.0,1400.0,1320.0,1325.0,1328.55,4370.0,59.02
2018-03-05,1410.0,1410.0,1336.65,1360.0,1358.1,9381.0,127.51
2018-03-01,1430.3,1440.0,1371.0,1440.0,1419.45,12134.0,170.74
2018-02-28,1435.0,1445.0,1405.0,1435.0,1435.55,7925.0,113.09
2018-02-27,1386.75,1445.0,1373.2,1440.0,1437.95,13492.0,191.02
2018-02-26,1394.5,1407.45,1354.5,1399.95,1379.1,7127.0,98.44
2018-02-23,1363.85,1421.0,1356.3,1400.0,1394.5,14084.0,196.91
2018-02-22,1351.05,1378.0,1330.2,1366.0,1362.0,11718.0,158.97
2018-02-21,1297.0,1375.0,1292.1,1362.0,1359.8,17641.0,238.37
2018-02-20,1320.05,1320.05,1294.0,1303.0,1306.4,3705.0,48.34
2018-02-19,1310.5,1319.95,1290.1,1315.0,1308.55,3657.0,47.68
2018-02-16,1315.0,1324.95,1291.0,1310.0,1300.5,3694.0,47.91
2018-02-15,1330.1,1338.7,1299.05,1305.0,1306.9,6476.0,85.45
2018-02-14,1383.0,1391.2,1300.0,1316.0,1320.9,8591.0,115.48
2018-02-12,1379.55,1399.9,1362.35,1377.6,1382.3,4111.0,56.66
2018-02-09,1358.0,1395.0,1290.0,1392.0,1379.55,19954.0,272.65
2018-02-08,1295.0,1375.85,1295.0,1364.0,1366.25,14753.0,198.39
2018-02-07,1288.0,1324.7,1262.0,1311.0,1303.75,11778.0,152.62
2018-02-06,1200.0,1278.0,1149.95,1274.0,1269.15,8289.0,102.26
2018-02-05,1156.1,1319.0,1086.0,1270.0,1275.9,19468.0,246.37
2018-02-02,1228.0,1240.0,1181.05,1215.0,1216.4,23415.0,282.4
2018-02-01,1269.25,1290.0,1215.0,1223.65,1229.5,7638.0,95.2
2018-01-31,1264.25,1285.0,1205.0,1274.1,1269.25,20540.0,256.04
2018-01-30,1340.0,1398.0,1274.1,1305.05,1296.65,16294.0,216.21
2018-01-29,1355.0,1399.9,1320.0,1360.0,1331.6,23397.0,316.59
2018-01-25,1420.1,1420.1,1315.0,1332.0,1347.6,22946.0,314.17
2018-01-24,1425.0,1425.0,1360.05,1390.0,1385.85,15798.0,219.34
2018-01-23,1420.0,1430.0,1396.25,1404.0,1415.65,7854.0,111.11
2018-01-22,1437.6,1437.6,1391.25,1409.0,1416.2,7098.0,100.36
2018-01-19,1439.95,1439.95,1383.6,1401.95,1419.25,49766.0,703.02
2018-01-18,1440.0,1450.0,1394.9,1400.0,1423.35,39378.0,555.97
2018-01-17,1445.0,1450.0,1406.55,1445.0,1430.6,7505.0,107.82
2018-01-16,1494.45,1494.45,1431.05,1457.0,1453.35,8846.0,128.75
2018-01-15,1500.0,1518.0,1460.0,1499.85,1484.65,14743.0,220.8
2018-01-12,1522.0,1530.0,1480.0,1491.0,1497.2,13285.0,199.54
2018-01-11,1451.0,1546.95,1425.0,1515.0,1514.85,98607.0,1488.69
2018-01-10,1426.4,1472.0,1397.55,1440.0,1442.5,119850.0,1686.84
2018-01-09,1420.75,1429.75,1378.3,1390.7,1410.35,12486.0,175.9
2018-01-08,1435.0,1446.15,1399.0,1416.6,1420.75,29743.0,420.78
2018-01-05,1476.75,1476.75,1415.05,1435.0,1432.65,34522.0,498.1
2018-01-04,1303.05,1449.75,1287.0,1420.0,1423.45,61995.0,856.91
2018-01-03,1337.0,1337.0,1300.0,1302.85,1307.25,12423.0,163.31
2018-01-02,1365.35,1365.35,1317.6,1324.65,1328.4,13913.0,186.34
2018-01-01,1350.35,1390.0,1340.0,1390.0,1362.5,12502.0,169.82
2017-12-29,1367.0,1375.75,1344.95,1365.0,1362.2,10653.0,144.87
2017-12-28,1394.0,1399.8,1365.0,1374.5,1375.75,7588.0,104.5
2017-12-27,1390.0,1400.0,1359.0,1390.0,1381.0,18342.0,251.74
2017-12-26,1397.0,1406.95,1370.0,1379.0,1381.35,12837.0,177.3
2017-12-22,1376.0,1415.0,1376.0,1400.0,1396.2,22172.0,310.15
2017-12-21,1404.95,1440.0,1391.35,1400.0,1400.45,27066.0,382.3
2017-12-20,1409.0,1410.0,1355.0,1400.0,1386.15,34999.0,484.1
2017-12-19,1358.0,1400.0,1357.95,1399.95,1395.3,43906.0,609.77
2017-12-18,1300.0,1386.75,1202.5,1385.0,1349.4,55927.0,747.51
2017-12-15,1281.1,1329.5,1275.0,1285.0,1292.1,53251.0,692.29
2017-12-14,1300.0,1324.0,1249.3,1283.0,1278.5,22890.0,292.81
2017-12-13,1281.8,1313.0,1232.0,1290.0,1297.25,63310.0,801.08
2017-12-12,1360.85,1360.85,1275.05,1290.0,1291.0,32597.0,426.51
2017-12-11,1375.1,1377.0,1340.0,1355.05,1358.85,25936.0,354.21
2017-12-08,1412.7,1425.0,1369.0,1379.95,1378.05,20628.0,287.15
2017-12-07,1409.5,1424.75,1390.0,1416.6,1411.9,22784.0,321.39
2017-12-06,1418.5,1431.55,1385.0,1409.95,1398.6,31359.0,439.98
2017-12-05,1455.0,1474.0,1400.0,1440.0,1417.2,51032.0,732.18
2017-12-04,1480.05,1500.0,1440.1,1454.0,1454.8,70765.0,1045.78
2017-12-01,1402.05,1485.0,1402.05,1480.0,1468.3,81697.0,1189.21
2017-11-30,1382.0,1435.0,1375.0,1400.0,1407.45,99954.0,1412.24
2017-11-29,1370.5,1400.0,1355.55,1399.0,1394.65,71084.0,987.48
2017-11-28,1310.5,1395.0,1310.5,1380.0,1361.9,120769.0,1650.2
2017-11-27,1295.0,1329.0,1281.4,1315.0,1312.7,25957.0,337.53
2017-11-24,1295.25,1332.0,1286.1,1303.0,1297.25,33636.0,440.34
2017-11-23,1280.0,1325.0,1279.6,1310.0,1305.1,39785.0,517.76
2017-11-22,1310.1,1325.0,1270.15,1285.0,1291.9,51360.0,670.36
2017-11-21,1269.95,1319.8,1260.0,1312.0,1300.3,88621.0,1147.34
2017-11-20,1235.0,1314.65,1216.45,1255.0,1259.1,253628.0,3193.39
2017-11-17,1210.0,1244.0,1205.0,1235.0,1225.95,59623.0,731.69
2017-11-16,1189.95,1195.0,1165.0,1185.0,1194.5,229763.0,2741.74
2017-11-15,1147.35,1199.75,1123.05,1183.0,1180.6,84932.0,1001.14
2017-11-14,1129.7,1158.75,1115.0,1150.0,1147.35,73710.0,836.91
2017-11-13,1055.05,1150.0,1055.05,1113.7,1121.6,104577.0,1170.44
2017-11-10,1056.0,1092.65,1025.0,1083.75,1070.7,54592.0,578.82
2017-11-09,996.0,1108.0,966.0,1069.8,1055.95,160817.0,1714.59
2017-11-08,951.0,1029.25,937.4,989.0,986.45,66863.0,665.55
2017-11-07,931.95,972.3,893.25,966.0,957.1,74099.0,700.65
2017-11-06,904.75,940.0,895.0,935.0,924.7,43583.0,403.24
2017-11-03,893.3,907.8,880.2,900.0,898.4,8611.0,77.17
2017-11-02,925.5,925.55,875.8,895.0,895.05,29998.0,267.02
2017-11-01,965.0,967.05,900.0,908.0,911.85,26882.0,250.24
2017-10-31,955.0,974.7,953.8,961.0,961.55,38141.0,367.51
2017-10-30,945.0,1015.0,945.0,953.8,950.8,277740.0,2696.8
2017-10-27,929.0,944.9,911.0,944.9,939.35,92066.0,861.29
2017-10-26,886.35,936.0,886.35,924.0,922.8,73814.0,679.05
2017-10-25,900.0,910.0,889.65,889.65,890.45,27475.0,247.29
2017-10-24,911.75,920.0,878.6,890.0,890.55,47373.0,427.41
2017-10-23,916.9,934.5,891.0,905.0,903.85,66505.0,600.01
2017-10-19,859.8,949.0,855.55,899.55,910.9,60021.0,543.11
2017-10-18,805.6,888.75,805.6,857.1,858.3,174754.0,1500.35
2017-10-17,810.0,819.7,807.65,810.8,811.5,76401.0,620.49
2017-10-16,795.4,826.9,793.55,810.0,808.2,807450.0,6465.93
2017-10-13,787.9,806.9,780.5,791.2,795.4,45447.0,360.92
2017-10-12,766.65,785.95,759.8,779.4,779.1,7053.0,54.64
2017-10-11,761.0,794.9,758.5,770.0,772.05,48997.0,378.51
2017-10-10,725.15,758.0,724.55,752.0,748.85,22155.0,165.21
2017-10-09,725.0,732.0,720.0,725.0,725.1,36138.0,262.92
2017-10-06,724.3,727.75,719.95,726.0,720.7,6665.0,48.13
2017-10-05,731.95,732.0,719.0,719.0,720.25,2669.0,19.28
2017-10-04,713.0,738.0,709.1,729.0,732.05,6566.0,47.59
2017-10-03,732.95,732.95,712.1,712.95,718.95,2246.0,16.12
2017-09-29,718.85,729.7,710.0,725.0,721.85,5166.0,37.13
2017-09-28,711.0,720.0,694.7,720.0,711.6,8117.0,56.96
2017-09-27,727.0,730.0,691.3,703.75,709.4,8027.0,56.99
2017-09-26,715.05,729.8,706.55,725.0,722.15,144079.0,1027.2
2017-09-25,715.05,728.1,689.95,727.9,722.1,8374.0,59.15
2017-09-22,724.55,735.0,711.1,728.8,723.65,5602.0,40.32
2017-09-21,731.15,735.0,720.05,727.1,730.55,5699.0,41.44
2017-09-20,721.6,725.0,717.1,721.9,720.4,5959.0,42.93
2017-09-19,722.4,729.75,716.1,727.0,726.0,20159.0,145.28
2017-09-18,727.15,731.0,716.0,722.35,727.35,12624.0,91.36
2017-09-15,705.05,734.0,701.5,727.0,727.15,142353.0,1031.45
2017-09-14,719.85,722.85,699.95,707.0,708.2,4178.0,29.48
2017-09-13,721.3,729.45,714.0,714.0,717.25,7442.0,53.65
2017-09-12,721.95,731.95,717.25,718.2,721.3,2862.0,20.64
2017-09-11,733.0,733.3,717.1,720.0,723.25,2444.0,17.79
2017-09-08,734.4,737.0,720.45,726.0,730.1,8122.0,59.21
2017-09-07,728.15,734.9,716.35,730.0,731.8,5893.0,42.97
2017-09-06,714.65,744.8,712.35,730.0,728.0,53974.0,394.17
2017-09-05,703.85,713.45,695.0,701.8,701.65,6851.0,48.15
2017-09-04,702.0,713.35,689.0,694.0,696.1,4494.0,31.27
2017-09-01,720.0,720.0,700.35,710.3,715.05,3606.0,25.59
2017-08-31,705.1,720.55,705.1,718.8,714.0,2074.0,14.83
2017-08-30,710.0,720.0,693.0,720.0,716.9,3021.0,21.5
2017-08-29,694.5,710.4,688.55,701.0,700.2,7794.0,54.59
2017-08-28,715.95,715.95,683.0,690.0,689.7,1910.0,13.21
2017-08-24,701.15,705.0,689.9,690.0,696.1,5122.0,35.76
2017-08-23,691.3,718.0,691.3,698.6,701.35,8212.0,58.02
2017-08-22,700.0,720.0,690.0,700.0,702.5,238383.0,1657.49
2017-08-21,685.9,717.9,685.9,696.0,691.35,6341.0,44.12
2017-08-18,655.25,691.0,655.0,683.0,677.25,122110.0,809.14
2017-08-17,659.45,666.0,650.1,663.0,661.4,2716.0,17.87
2017-08-16,664.9,669.0,650.0,652.0,654.35,2338.0,15.46
2017-08-14,641.6,669.0,641.6,668.8,666.95,2353.0,15.58
2017-08-11,645.0,646.0,628.8,642.0,639.6,7946.0,50.8
2017-08-10,652.05,658.15,645.5,650.9,647.0,4825.0,31.36
2017-08-09,660.0,668.15,653.5,664.0,659.85,11946.0,78.85
2017-08-08,673.9,673.95,663.25,666.75,666.85,6151.0,41.06
2017-08-07,676.0,684.75,662.0,674.0,671.35,14018.0,93.99
2017-08-04,690.0,691.15,675.0,678.9,676.7,40938.0,277.59
2017-08-03,696.0,699.75,687.15,692.0,692.15,3972.0,27.45
2017-08-02,702.5,706.75,695.2,705.0,700.45,3136.0,21.96
2017-08-01,715.3,715.3,699.95,703.7,702.55,8226.0,57.88
2017-07-31,725.0,734.9,704.0,711.65,709.1,10253.0,74.31
2017-07-28,690.1,725.65,688.95,716.1,718.8,19021.0,135.86
2017-07-27,702.0,719.4,698.0,704.0,703.3,7373.0,52.03
2017-07-26,711.05,716.8,705.0,709.45,706.4,4096.0,29.1
2017-07-25,717.85,717.85,707.0,709.45,709.1,4171.0,29.61
2017-07-24,734.85,734.95,701.1,706.0,706.65,9421.0,67.61
2017-07-21,735.0,749.85,720.15,723.45,724.05,36727.0,271.48
2017-07-20,727.05,737.0,717.15,718.0,722.15,5611.0,40.85
2017-07-19,712.05,737.8,712.05,726.15,726.95,12637.0,92.16
2017-07-18,723.95,727.05,713.45,720.0,718.55,5907.0,42.48
2017-07-17,739.95,740.0,715.2,720.0,718.55,6756.0,49.19
2017-07-14,733.0,745.0,725.0,726.5,726.95,6929.0,50.83
2017-07-13,748.95,749.5,728.3,740.0,738.8,164468.0,1209.8
2017-07-12,719.15,744.9,719.15,744.8,740.15,12792.0,94.02
2017-07-11,742.05,751.9,711.0,718.0,719.2,11411.0,83.95
2017-07-10,739.45,775.0,727.4,740.15,743.4,3351.0,24.95
2017-07-07,751.05,760.0,740.2,741.9,745.1,8139.0,61.18
2017-07-06,771.9,774.9,752.15,762.2,760.75,24296.0,186.02
2017-07-05,735.05,790.0,735.0,768.3,769.55,110975.0,858.86
2017-07-04,746.9,750.0,743.15,747.0,749.1,19451.0,145.66
2017-07-03,719.8,749.9,717.85,740.0,742.55,24168.0,179.96
2017-06-30,711.05,729.0,711.05,722.9,719.5,8448.0,60.71
2017-06-29,723.8,739.9,711.1,722.5,718.1,16526.0,120.78
2017-06-28,712.1,729.85,712.1,721.3,723.75,9816.0,71.25
2017-06-27,736.0,737.6,713.15,716.25,717.1,18120.0,130.63
2017-06-23,756.0,756.8,726.0,736.8,733.05,74279.0,547.88
2017-06-22,669.15,757.0,669.15,752.0,749.55,816043.0,6065.05
2017-06-21,670.0,674.7,661.95,673.0,671.05,13936.0,92.9
2017-06-20,668.0,682.25,663.1,665.2,667.7,8822.0,59.23
2017-06-19,671.0,672.3,661.0,667.0,668.2,19820.0,132.37
2017-06-16,674.75,685.0,658.45,683.0,676.45,18412.0,123.74
2017-06-15,673.7,675.0,658.35,670.0,669.65,18257.0,121.74
2017-06-14,643.35,674.8,643.3,662.65,664.7,27507.0,181.96
2017-06-13,645.95,651.5,642.05,645.3,649.2,10379.0,67.17
2017-06-12,642.1,644.45,638.5,644.0,643.5,9300.0,59.76
2017-06-09,642.05,648.0,637.1,640.5,645.5,3790.0,24.4
2017-06-08,641.6,649.0,639.25,645.0,646.95,9880.0,63.68
2017-06-07,641.1,644.05,635.1,641.9,641.75,9890.0,63.21
2017-06-06,645.5,650.0,637.45,640.5,641.1,9891.0,63.46
2017-06-05,643.0,644.0,634.0,639.0,641.15,8263.0,52.87
2017-06-02,639.95,644.8,636.0,641.45,640.3,34819.0,221.74
2017-06-01,643.3,647.0,634.05,639.75,638.65,13913.0,88.88
2017-05-31,650.0,650.5,635.0,640.0,645.3,15590.0,100.34
2017-05-30,625.05,650.0,610.0,648.0,646.05,90313.0,574.35
2017-05-29,630.0,641.1,620.95,630.75,629.4,36747.0,231.95
2017-05-26,626.0,643.0,626.0,640.0,639.65,18485.0,117.78
2017-05-25,628.0,637.0,625.0,626.0,626.25,9428.0,59.26
2017-05-24,612.0,638.0,606.0,630.0,626.3,19776.0,122.52
2017-05-23,613.0,620.0,600.0,615.0,616.55,13110.0,80.09
2017-05-22,615.0,626.0,608.5,626.0,618.05,18875.0,116.21
2017-05-19,618.0,625.0,610.0,617.5,621.25,15528.0,96.1
2017-05-18,605.6,626.95,603.0,619.0,618.8,34493.0,212.76
2017-05-17,634.0,634.0,601.3,606.4,608.75,11069.0,68.08
2017-05-16,625.95,625.95,596.0,616.0,612.75,9303.0,56.68
2017-05-15,610.05,620.0,609.6,615.0,615.2,13937.0,85.54
2017-05-12,620.1,620.1,602.5,609.45,609.2,13438.0,82.02
2017-05-11,624.9,625.0,605.5,619.95,617.55,14611.0,90.46
2017-05-10,631.0,631.0,586.25,615.0,615.75,110114.0,666.48
2017-05-09,649.45,649.45,622.5,630.0,632.15,25503.0,160.47
2017-05-08,641.0,651.0,620.05,637.0,638.05,17373.0,110.34
2017-05-05,648.95,651.8,643.2,645.2,646.7,59298.0,383.24
2017-05-04,646.0,650.0,644.0,648.5,648.65,92859.0,599.86
2017-05-03,650.5,652.55,641.0,643.0,642.05,98843.0,636.01
2017-05-02,650.05,654.95,636.0,647.95,641.8,49204.0,316.4
2017-04-28,654.0,660.5,637.0,660.0,648.3,55279.0,357.48
2017-04-27,647.9,659.0,637.15,654.0,651.4,81765.0,528.91
2017-04-26,643.25,654.0,640.35,642.45,642.3,81880.0,530.39
2017-04-25,633.05,650.6,633.05,648.0,648.7,48315.0,310.83
2017-04-24,630.5,640.0,623.1,633.0,635.8,23407.0,148.41
2017-04-21,637.0,637.7,622.0,633.0,629.95,17926.0,112.93
2017-04-20,646.3,646.3,626.4,630.9,631.9,34220.0,216.64
2017-04-19,630.0,642.0,617.95,634.75,633.8,23085.0,145.49
2017-04-18,634.9,647.0,618.5,632.0,629.0,54191.0,345.73
2017-04-17,675.7,675.7,625.0,629.7,629.85,84658.0,542.87
2017-04-13,666.0,697.0,662.0,670.0,669.3,148653.0,1009.59
2017-04-12,642.0,667.6,618.0,658.0,660.6,96438.0,627.75
2017-04-11,610.05,639.8,607.0,632.0,632.0,37884.0,236.83
2017-04-10,622.5,630.0,597.75,613.75,613.15,27194.0,165.87
2017-04-07,634.35,636.55,622.0,624.0,628.5,16073.0,101.56
2017-04-06,636.9,677.6,627.55,632.0,632.9,15484.0,98.94
2017-04-05,642.05,659.35,625.0,625.0,635.7,24937.0,160.39
2017-04-03,650.0,650.0,633.05,648.0,647.15,11064.0,71.5
2017-03-31,649.85,655.0,635.0,655.0,647.1,34524.0,222.95
2017-03-30,643.5,663.8,632.5,643.25,643.95,21412.0,138.36
2017-03-29,620.0,669.0,620.0,641.0,643.65,98265.0,639.0
2017-03-28,600.0,620.0,589.0,615.3,618.5,47905.0,291.94
2017-03-27,600.3,613.0,592.15,598.5,597.55,10761.0,65.1
2017-03-24,604.1,610.0,592.4,602.0,605.85,19971.0,121.03
2017-03-23,606.55,609.7,598.0,600.5,602.7,8070.0,48.6
2017-03-22,604.55,609.75,596.0,601.0,599.55,12119.0,73.32
2017-03-21,613.0,613.0,600.0,605.0,603.8,9135.0,55.22
2017-03-20,605.0,614.85,595.8,610.4,609.95,9357.0,56.57
2017-03-17,619.9,621.0,605.6,620.0,617.3,26629.0,163.6
2017-03-16,614.9,614.9,599.05,608.0,603.5,7628.0,46.11
2017-03-15,608.0,627.0,593.95,609.95,606.05,22507.0,137.92
2017-03-14,607.0,610.0,591.1,594.5,595.85,5180.0,31.03
