Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2018-03-13,791.4,813.7,790.0,796.0,798.3,188808.0,1511.03
2018-03-12,802.0,820.0,785.0,800.0,795.3,83870.0,675.67
2018-03-09,809.7,815.35,794.85,800.0,803.7,41542.0,333.59
2018-03-08,807.85,817.9,791.0,807.75,806.35,4389.0,35.31
2018-03-07,815.1,837.0,790.6,805.0,803.15,133673.0,1085.72
2018-03-06,815.15,822.0,815.0,815.1,818.35,7252.0,59.4
2018-03-05,837.15,837.15,811.1,811.55,816.25,1968.0,16.15
2018-03-01,825.5,825.5,815.05,822.7,820.8,3171.0,26.01
2018-02-28,820.0,829.9,813.0,813.0,818.45,3243.0,26.67
2018-02-27,830.1,830.1,819.0,825.0,823.45,3271.0,26.94
2018-02-26,827.0,837.8,820.05,830.0,830.1,11445.0,94.97
2018-02-23,827.0,829.0,818.15,828.0,826.55,8663.0,71.48
2018-02-22,821.5,828.0,811.15,811.2,814.6,3397.0,27.89
2018-02-21,835.25,839.0,825.0,825.0,829.6,2917.0,24.22
2018-02-20,854.5,855.0,830.55,843.0,838.65,4528.0,38.14
2018-02-19,833.9,855.0,811.6,854.5,845.05,18229.0,151.15
2018-02-16,820.0,838.4,815.1,833.9,833.4,22208.0,182.57
2018-02-15,833.0,839.35,811.3,820.0,820.45,7371.0,60.44
2018-02-14,811.0,839.7,811.0,833.0,833.45,35384.0,293.84
2018-02-12,803.2,824.0,803.2,820.0,820.5,4499.0,36.92
2018-02-09,801.3,815.5,790.2,810.05,813.6,16060.0,130.12
2018-02-08,803.0,819.7,802.55,813.0,811.3,18676.0,150.67
2018-02-07,805.95,860.0,795.1,803.05,804.65,53379.0,440.31
2018-02-06,798.8,805.45,675.25,790.05,790.4,81042.0,640.56
2018-02-05,810.2,830.0,805.0,826.8,827.5,11217.0,91.24
2018-02-02,835.0,835.0,811.0,811.0,817.85,18734.0,153.23
2018-02-01,830.0,836.85,829.0,830.0,830.35,55075.0,457.15
2018-01-31,830.0,845.0,830.0,833.5,833.4,5573.0,46.48
2018-01-30,858.8,860.0,835.1,843.95,840.25,10210.0,85.72
2018-01-29,847.0,865.0,839.0,864.85,860.6,13730.0,117.44
2018-01-25,841.15,848.0,833.65,843.0,843.05,7478.0,63.0
2018-01-24,842.2,849.9,838.0,838.0,839.8,44816.0,376.88
2018-01-23,838.0,874.95,838.0,851.1,853.9,10193.0,87.56
2018-01-22,840.0,848.7,830.15,838.0,837.95,77455.0,649.47
2018-01-19,866.0,866.0,835.0,842.0,840.6,27568.0,231.69
2018-01-18,867.0,867.0,835.0,835.0,839.35,12471.0,105.82
2018-01-17,850.05,867.0,844.0,859.0,854.6,6310.0,53.83
2018-01-16,867.8,867.8,844.55,864.9,860.25,27993.0,238.85
2018-01-15,854.0,859.9,847.0,850.1,851.8,5871.0,49.98
2018-01-12,868.0,868.0,842.3,850.0,850.65,8654.0,73.65
2018-01-11,843.0,859.0,837.65,850.0,850.45,14574.0,124.11
2018-01-10,839.7,849.0,834.7,835.0,835.9,31292.0,261.45
2018-01-09,840.3,852.0,835.0,839.95,839.7,23139.0,194.32
2018-01-08,851.15,851.15,837.45,839.7,840.5,15742.0,132.87
2018-01-05,856.55,856.75,840.5,847.4,847.2,17556.0,148.98
2018-01-04,860.0,860.0,845.0,847.0,849.9,16597.0,141.34
2018-01-03,850.0,855.0,842.0,850.0,849.85,14087.0,119.71
2018-01-02,861.65,862.2,839.0,846.0,844.4,16543.0,140.17
2018-01-01,862.35,874.0,850.0,855.0,853.65,6361.0,54.86
2017-12-29,871.5,912.7,853.85,860.0,858.8,47857.0,419.24
2017-12-28,872.05,885.7,865.5,867.25,867.1,7318.0,63.9
2017-12-27,900.0,900.0,874.95,875.0,879.2,4966.0,43.98
2017-12-26,900.0,904.75,888.05,896.8,895.05,6721.0,60.21
2017-12-22,890.0,902.0,872.25,897.0,897.6,14880.0,133.45
2017-12-21,889.9,890.0,870.0,890.0,885.0,7458.0,65.8
2017-12-20,871.05,895.0,863.5,870.2,873.3,3652.0,32.2
2017-12-19,860.15,898.8,860.15,876.05,878.4,6812.0,60.19
2017-12-18,888.8,888.8,862.0,887.95,873.0,8694.0,75.97
2017-12-15,888.8,893.0,867.25,872.0,874.7,3144.0,27.5
2017-12-14,860.1,877.0,860.0,875.0,875.1,3746.0,32.67
2017-12-13,854.9,880.75,854.9,878.55,875.65,4754.0,41.46
2017-12-12,860.0,879.7,854.45,874.25,871.45,70776.0,607.42
2017-12-11,878.0,878.0,857.3,858.35,861.45,8220.0,71.32
