Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2018-03-13,66.95,68.9,66.25,66.7,66.85,220515.0,148.46
2018-03-12,68.3,68.55,65.1,67.55,66.9,190854.0,128.26
2018-03-09,67.35,68.0,67.25,67.55,67.6,116792.0,78.9
2018-03-08,67.65,69.0,65.45,67.3,67.2,211713.0,141.6
2018-03-07,69.75,70.7,66.1,67.15,67.55,325833.0,222.27
2018-03-06,70.5,70.75,69.55,69.75,69.85,320431.0,224.9
2018-03-05,70.25,70.7,69.45,70.25,69.85,222255.0,155.19
2018-03-01,71.0,72.75,70.2,70.2,70.35,179474.0,127.13
2018-02-28,70.0,71.45,70.0,70.75,70.65,118660.0,83.86
2018-02-27,72.9,72.9,70.65,70.8,70.9,148411.0,105.78
2018-02-26,72.5,73.45,71.95,72.25,72.2,147751.0,107.1
2018-02-23,70.75,72.3,70.6,71.85,71.85,191838.0,137.42
2018-02-22,71.5,72.1,70.05,70.6,70.45,158054.0,112.33
2018-02-21,72.0,72.2,70.7,71.15,71.25,118527.0,84.45
2018-02-20,72.1,72.5,70.85,70.9,71.0,212194.0,151.49
2018-02-19,72.25,73.7,71.0,71.9,71.65,213617.0,154.17
2018-02-16,73.7,74.4,71.7,72.6,72.15,231210.0,168.24
2018-02-15,75.1,76.5,73.15,73.9,73.55,188108.0,140.92
2018-02-14,77.5,78.5,75.6,75.6,75.8,230416.0,177.29
2018-02-12,77.0,78.35,76.55,77.15,77.25,194633.0,150.61
2018-02-09,74.5,77.7,73.55,75.9,75.8,400730.0,304.93
2018-02-08,75.1,76.9,74.05,76.3,76.3,182071.0,138.55
2018-02-07,73.95,75.7,73.75,73.9,74.05,153675.0,114.2
2018-02-06,72.0,73.45,70.25,72.95,72.95,325666.0,235.86
2018-02-05,73.55,76.65,73.1,76.0,75.95,322007.0,241.32
2018-02-02,78.5,78.5,73.6,75.6,75.3,477658.0,361.88
2018-02-01,78.8,81.9,77.5,79.1,78.9,694854.0,554.65
2018-01-31,79.3,79.4,77.15,77.5,77.5,385691.0,300.81
2018-01-30,79.5,79.8,77.3,79.5,79.3,258209.0,202.86
2018-01-29,81.15,81.9,78.9,79.45,79.6,304846.0,245.7
2018-01-25,82.8,83.3,80.1,80.4,80.4,238386.0,193.74
2018-01-24,80.8,84.0,79.9,82.8,82.4,698058.0,572.4
2018-01-23,83.55,83.85,80.25,81.3,80.8,323127.0,264.36
2018-01-22,84.1,85.05,81.55,83.0,83.1,566348.0,471.8
2018-01-19,80.25,82.2,79.5,81.05,81.35,356620.0,288.19
2018-01-18,84.5,85.0,78.55,79.8,79.85,471028.0,385.72
2018-01-17,84.0,84.5,81.0,83.55,83.7,512629.0,424.0
2018-01-16,87.6,87.6,83.6,84.6,84.3,615280.0,524.01
2018-01-15,90.9,91.45,86.5,86.75,87.25,841529.0,746.24
2018-01-12,93.9,94.0,89.0,89.75,90.0,885469.0,808.97
2018-01-11,89.8,94.4,89.25,93.25,93.15,1889411.0,1742.03
2018-01-10,90.3,91.65,88.55,89.25,89.25,519463.0,466.81
2018-01-09,92.2,93.65,89.25,90.2,90.25,635403.0,582.2
2018-01-08,95.1,95.2,91.2,92.5,91.95,766800.0,712.97
2018-01-05,93.8,95.05,92.2,94.9,94.35,1153993.0,1086.99
2018-01-04,93.15,97.35,90.35,94.0,94.2,4233435.0,3983.91
2018-01-03,82.2,94.65,81.7,93.0,93.05,6687838.0,6066.67
2018-01-02,82.3,83.05,80.2,81.55,81.55,457803.0,372.14
2018-01-01,83.25,85.4,81.7,81.8,82.55,526457.0,441.78
2017-12-29,83.65,86.0,82.6,83.75,83.7,619530.0,521.03
2017-12-28,82.85,84.8,82.2,83.5,83.4,523162.0,437.26
2017-12-27,85.6,86.0,81.1,82.2,82.05,728807.0,609.53
2017-12-26,84.0,86.95,82.65,85.05,85.35,1487782.0,1265.88
2017-12-22,77.8,84.7,77.8,84.0,83.25,3882920.0,3167.75
2017-12-21,75.0,78.8,75.0,76.85,76.95,1594506.0,1232.21
2017-12-20,73.85,75.75,73.5,74.6,74.65,350445.0,262.21
2017-12-19,74.1,74.9,72.5,73.45,73.35,276134.0,203.32
2017-12-18,73.85,75.35,70.85,74.2,73.8,342953.0,252.27
2017-12-15,75.1,75.1,72.75,72.95,73.1,384802.0,283.25
2017-12-14,75.2,76.1,73.1,74.0,73.85,299551.0,221.72
2017-12-13,77.85,77.85,74.8,74.85,75.25,349091.0,266.24
2017-12-12,78.4,79.65,77.25,77.85,77.8,321619.0,252.31
2017-12-11,78.25,78.85,77.4,77.6,77.7,234971.0,183.63
2017-12-08,77.35,78.45,77.0,77.45,77.3,269603.0,209.62
2017-12-07,78.2,78.65,77.15,77.35,77.45,228667.0,177.8
2017-12-06,78.5,79.8,77.3,77.6,77.55,209280.0,163.39
2017-12-05,78.9,80.5,77.35,78.7,78.5,253481.0,198.98
2017-12-04,80.1,81.95,78.25,78.85,78.9,429061.0,341.57
2017-12-01,83.75,85.0,79.2,79.8,79.5,861376.0,712.82
2017-11-30,78.6,85.4,78.3,82.75,82.3,2688831.0,2222.6
2017-11-29,77.55,81.5,77.4,78.8,78.8,736427.0,585.52
2017-11-28,78.45,79.9,76.1,76.9,76.95,751147.0,588.59
2017-11-27,77.65,78.45,77.0,78.0,77.8,275405.0,213.98
