Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2018-03-13,151.0,152.65,148.0,150.6,150.5,3182654.0,4795.69
2018-03-12,147.4,150.4,141.65,150.0,149.55,3049464.0,4463.43
2018-03-09,149.0,149.45,144.25,145.15,145.15,2423623.0,3544.02
2018-03-08,146.0,148.3,142.7,148.0,147.55,2934652.0,4274.98
2018-03-07,149.1,151.2,143.6,144.8,144.4,3584141.0,5249.72
2018-03-06,154.4,156.5,148.05,148.8,148.95,3023565.0,4583.0
2018-03-05,156.6,157.75,150.15,153.2,153.35,2699929.0,4132.49
2018-03-01,159.0,160.85,156.65,157.0,157.25,1890764.0,2997.27
2018-02-28,156.25,160.35,155.25,159.05,159.25,3457355.0,5438.46
2018-02-27,160.85,161.5,156.75,157.75,157.85,1721843.0,2732.76
2018-02-26,159.7,162.7,158.4,160.85,160.5,2833669.0,4559.28
2018-02-23,155.3,158.8,155.2,158.05,158.05,2893309.0,4542.21
2018-02-22,158.05,158.25,154.1,155.0,155.1,4674639.0,7264.29
2018-02-21,159.55,160.2,156.65,157.75,158.0,2761947.0,4362.76
2018-02-20,160.2,161.9,157.2,158.45,158.55,3319160.0,5279.03
2018-02-19,157.0,161.3,155.25,160.0,160.0,4833838.0,7673.21
2018-02-16,157.3,159.6,155.05,155.85,156.3,2537058.0,3984.42
2018-02-15,159.75,160.9,154.1,156.2,155.6,3069175.0,4838.82
2018-02-14,163.0,163.4,158.1,158.25,159.2,2726421.0,4383.97
2018-02-12,159.0,165.3,156.5,162.0,162.05,7067514.0,11439.79
2018-02-09,157.75,165.85,157.75,161.6,161.4,7985869.0,12939.75
2018-02-08,154.05,162.7,153.15,162.35,161.35,5302898.0,8408.12
2018-02-07,155.0,156.9,152.05,153.0,152.8,3753827.0,5782.47
2018-02-06,146.0,152.75,141.5,150.6,150.7,7969557.0,11723.54
2018-02-05,149.0,155.4,146.35,154.0,153.1,7389388.0,11158.36
2018-02-02,164.0,164.45,152.1,152.5,153.3,6971119.0,11006.29
2018-02-01,168.75,171.5,160.8,166.2,166.2,6214756.0,10393.82
2018-01-31,169.5,171.25,165.85,167.5,168.15,3856780.0,6490.96
2018-01-30,171.0,172.7,167.6,169.5,169.35,3781009.0,6402.95
2018-01-29,176.35,177.35,170.0,170.4,170.6,4259829.0,7400.22
2018-01-25,178.8,181.1,172.75,175.5,175.1,5160815.0,9114.5
2018-01-24,183.0,184.4,177.65,178.65,178.45,3297486.0,5939.16
2018-01-23,185.4,187.6,181.8,184.4,184.0,3202579.0,5913.0
2018-01-22,185.4,187.0,182.05,184.95,184.75,3816769.0,7033.2
2018-01-19,183.65,186.7,177.6,184.95,184.7,6787732.0,12429.18
2018-01-18,197.65,199.25,180.5,181.6,182.45,6540354.0,12362.88
2018-01-17,194.8,198.4,188.95,197.6,197.7,3763562.0,7334.97
