Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2018-03-13,236.2,259.95,236.2,258.15,258.2,688053.0,1713.04
2018-03-12,242.1,245.0,228.95,240.0,240.85,629753.0,1503.56
2018-03-09,255.05,255.85,239.6,240.2,240.8,32783.0,80.94
2018-03-08,247.05,257.3,226.65,251.75,253.35,89583.0,219.24
2018-03-07,252.4,254.0,240.05,243.6,243.45,118821.0,294.74
2018-03-06,258.45,258.5,250.5,250.5,252.25,90096.0,228.26
2018-03-05,258.15,259.9,253.5,255.0,255.15,109477.0,281.15
2018-03-01,252.7,261.0,252.7,257.95,258.15,61169.0,157.4
2018-02-28,260.05,263.95,252.95,254.3,255.25,38810.0,99.99
2018-02-27,262.4,264.0,260.1,261.0,261.15,51084.0,133.87
2018-02-26,265.3,265.3,260.1,260.5,261.6,45928.0,120.33
2018-02-23,260.5,267.0,259.05,261.2,262.6,39317.0,103.25
2018-02-22,260.25,264.35,256.8,260.0,260.5,40317.0,105.28
2018-02-21,261.45,269.0,254.8,262.0,261.55,39738.0,103.36
2018-02-20,264.95,264.95,256.6,258.05,257.65,62318.0,160.66
2018-02-19,265.9,266.85,254.0,258.9,259.1,42164.0,109.11
2018-02-16,269.9,278.45,262.15,265.3,265.25,180621.0,483.5
2018-02-15,264.0,268.0,258.0,260.0,260.35,89891.0,235.43
2018-02-14,271.6,279.8,260.25,263.95,263.2,156039.0,420.83
2018-02-12,274.5,280.0,274.0,274.15,275.15,43809.0,121.45
2018-02-09,270.0,277.0,260.3,272.7,273.7,161880.0,433.79
2018-02-08,275.0,281.0,271.0,274.05,274.4,78399.0,216.0
2018-02-07,263.9,272.3,261.8,272.0,271.1,64006.0,171.18
2018-02-06,263.85,265.65,252.0,258.0,260.1,172173.0,448.4
2018-02-05,250.0,274.45,245.95,270.3,272.0,112981.0,297.29
2018-02-02,264.0,273.7,254.0,256.0,255.45,164930.0,432.81
2018-02-01,275.45,282.0,265.5,267.1,268.25,115459.0,315.54
2018-01-31,277.9,282.95,270.25,272.0,274.55,107809.0,297.77
2018-01-30,284.5,287.25,268.6,278.0,276.25,195588.0,540.25
2018-01-29,295.0,296.6,280.0,284.0,282.75,237664.0,684.85
2018-01-25,301.4,305.0,288.1,295.5,297.5,643360.0,1912.27
2018-01-24,293.4,317.4,279.1,300.0,298.9,2274768.0,6755.75
2018-01-23,294.0,303.0,289.0,292.6,292.85,596336.0,1775.23
2018-01-22,275.25,296.0,273.8,291.5,287.45,730349.0,2049.3
2018-01-19,267.8,277.9,267.8,270.35,274.45,103140.0,282.81
2018-01-18,279.25,287.0,255.0,268.0,266.7,142255.0,392.54
2018-01-17,275.7,279.55,268.6,277.0,277.9,43562.0,119.79
2018-01-16,289.9,289.9,273.1,274.4,274.05,94544.0,264.93
2018-01-15,285.1,295.5,284.0,289.0,289.05,100089.0,290.87
2018-01-12,297.0,298.75,280.7,285.0,286.15,141937.0,413.99
2018-01-11,290.95,297.35,288.5,294.6,295.2,282001.0,829.97
2018-01-10,285.85,292.55,282.05,292.55,290.85,173928.0,502.47
2018-01-09,279.7,295.0,279.65,285.0,284.0,436657.0,1256.91
2018-01-08,277.1,286.8,277.1,279.0,279.25,113698.0,320.45
2018-01-05,276.35,281.9,275.5,276.0,276.7,37729.0,104.9
2018-01-04,282.7,283.2,277.35,280.0,278.85,33939.0,95.03
2018-01-03,281.3,284.8,280.1,280.65,280.95,33287.0,93.92
2018-01-02,287.1,287.75,278.6,280.75,280.55,61227.0,172.62
2018-01-01,281.0,289.5,281.0,287.5,285.05,89306.0,255.76
2017-12-29,288.8,292.9,278.55,278.55,280.45,95378.0,272.11
2017-12-28,285.95,290.55,285.0,287.65,286.7,49626.0,142.64
2017-12-27,292.75,298.75,279.1,283.65,284.3,189667.0,548.68
2017-12-26,283.45,295.6,282.4,292.5,291.55,75076.0,218.22
2017-12-22,289.55,292.0,280.25,284.0,283.5,48875.0,140.12
2017-12-21,291.1,294.65,286.25,289.0,288.9,56605.0,163.84
2017-12-20,293.7,296.1,286.8,288.15,289.65,67487.0,196.51
2017-12-19,273.1,296.0,271.8,292.95,291.05,270005.0,781.26
2017-12-18,273.05,279.8,264.05,276.5,275.25,54043.0,148.59
2017-12-15,280.0,280.45,274.15,276.0,275.5,42893.0,119.17
2017-12-14,274.0,281.75,270.0,278.1,278.8,155231.0,431.12
2017-12-13,273.0,288.3,269.25,274.0,272.65,262339.0,732.97
2017-12-12,279.9,279.9,270.1,271.9,271.5,73108.0,200.21
2017-12-11,286.0,286.0,275.1,278.0,278.95,126793.0,354.96
2017-12-08,268.0,292.05,265.5,283.5,282.85,1263139.0,3485.73
2017-12-07,262.0,270.0,261.95,266.0,265.75,63694.0,169.87
2017-12-06,268.0,268.0,260.5,263.25,262.15,59929.0,158.27
2017-12-05,266.0,271.5,262.55,265.5,266.4,133899.0,356.89
2017-12-04,265.0,270.45,257.4,264.0,263.7,193463.0,515.41
2017-12-01,275.1,282.0,260.1,265.9,262.7,122564.0,330.75
2017-11-30,284.0,285.65,275.2,277.95,276.95,37955.0,106.03
2017-11-29,286.35,293.25,285.4,286.2,286.75,79180.0,228.65
