Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2018-03-13,712.5,719.35,711.4,711.4,713.1,2665.0,19.04
2018-03-12,712.7,718.0,707.1,713.0,713.35,7684.0,54.64
2018-03-09,719.0,724.95,709.0,715.0,710.85,7231.0,51.57
2018-03-08,716.7,716.7,695.45,710.15,711.45,7038.0,49.67
2018-03-07,716.0,721.9,705.5,707.1,709.2,17521.0,125.25
2018-03-06,726.75,726.8,709.0,709.55,710.15,6015.0,42.97
2018-03-05,726.9,729.0,714.05,716.0,716.3,5822.0,41.86
2018-03-01,727.0,738.5,719.6,724.2,726.3,5853.0,42.62
2018-02-28,720.0,724.9,715.0,721.05,723.3,11067.0,79.75
2018-02-27,722.0,733.0,719.45,730.0,724.6,6401.0,46.42
2018-02-26,735.0,737.8,720.0,722.95,721.95,10156.0,73.97
2018-02-23,721.05,731.45,715.05,730.95,729.15,12596.0,91.39
2018-02-22,736.4,736.4,709.0,715.0,713.6,27537.0,197.79
2018-02-21,734.65,746.2,725.8,727.05,728.1,8468.0,61.94
2018-02-20,750.0,752.2,731.2,734.0,733.3,14805.0,110.03
2018-02-19,763.45,765.7,741.0,743.0,743.6,5277.0,39.52
2018-02-16,768.0,769.45,755.0,756.55,759.6,19804.0,150.95
2018-02-15,769.8,773.9,747.5,757.0,755.35,9307.0,70.88
2018-02-14,778.0,778.0,756.1,760.0,760.7,14769.0,113.56
2018-02-12,750.0,764.0,749.3,756.65,758.8,13631.0,103.41
2018-02-09,736.0,749.0,727.05,744.3,745.0,10992.0,80.97
2018-02-08,739.3,749.8,735.15,747.95,743.0,11137.0,82.68
2018-02-07,748.95,759.0,727.0,729.85,728.7,11109.0,82.19
2018-02-06,727.9,753.0,715.0,736.2,737.95,9418.0,69.0
2018-02-05,760.0,760.0,733.85,741.5,743.2,15122.0,112.87
2018-02-02,774.0,775.05,738.8,764.9,758.05,13937.0,105.46
2018-02-01,776.1,782.95,764.4,770.0,770.55,18085.0,139.84
2018-01-31,793.0,793.5,767.8,780.0,776.0,14312.0,112.05
2018-01-30,786.2,808.0,777.75,785.0,787.8,26238.0,208.31
2018-01-29,795.0,810.0,782.0,785.0,786.6,14140.0,112.64
2018-01-25,806.05,810.0,785.1,792.0,789.65,19283.0,153.62
2018-01-24,815.25,822.0,805.55,808.0,808.95,5167.0,42.1
2018-01-23,815.0,830.2,812.0,812.05,815.25,7594.0,62.35
2018-01-22,835.0,835.0,815.0,819.05,820.45,8155.0,66.75
2018-01-19,829.45,830.2,814.0,819.95,819.75,17196.0,141.21
2018-01-18,845.0,855.0,818.5,823.0,822.7,14560.0,122.34
2018-01-17,843.0,858.0,830.5,841.0,846.35,8039.0,68.1
2018-01-16,863.4,877.0,843.95,846.95,848.4,36405.0,309.24
2018-01-15,868.25,887.7,861.55,868.0,871.3,19638.0,171.85
2018-01-12,873.3,881.0,855.3,865.1,868.25,14754.0,127.78
2018-01-11,875.0,881.5,866.95,874.0,872.5,22828.0,199.46
2018-01-10,905.9,905.9,875.45,876.5,879.25,27532.0,244.19
2018-01-09,881.0,915.0,881.0,895.0,897.85,120850.0,1091.39
2018-01-08,894.55,897.5,870.55,885.0,886.8,17735.0,157.09
2018-01-05,873.0,904.0,873.0,883.1,888.6,54867.0,489.39
2018-01-04,859.0,899.0,844.0,873.0,873.6,91408.0,804.27
2018-01-03,866.1,872.0,854.5,860.0,859.5,42661.0,367.02
2018-01-02,827.95,873.85,815.0,854.0,854.5,150158.0,1284.31
2018-01-01,805.0,834.9,805.0,817.0,818.2,35368.0,291.91
2017-12-29,805.4,812.0,804.8,805.0,805.7,17358.0,140.27
2017-12-28,808.2,810.0,805.0,809.0,805.4,19938.0,160.74
2017-12-27,803.15,811.9,801.0,805.1,805.3,19633.0,158.22
2017-12-26,806.7,813.7,800.0,805.1,805.5,8148.0,65.53
2017-12-22,812.0,820.0,805.0,806.0,806.65,21779.0,176.74
2017-12-21,785.75,812.0,778.1,809.0,806.4,112837.0,906.21
2017-12-20,774.0,792.0,766.55,774.85,777.5,26839.0,208.0
2017-12-19,764.9,777.95,761.3,769.9,770.0,9535.0,73.43
2017-12-18,760.0,770.4,750.0,760.0,759.5,8842.0,67.5
2017-12-15,766.0,773.0,762.0,762.0,764.05,7473.0,57.3
2017-12-14,759.85,768.0,750.6,757.0,757.0,7376.0,55.82
2017-12-13,759.4,767.2,756.1,760.55,758.7,5668.0,43.07
2017-12-12,765.05,771.0,757.0,760.0,759.4,6238.0,47.57
2017-12-11,760.0,774.7,760.0,770.0,767.1,8248.0,63.58
2017-12-08,775.0,778.0,762.0,762.0,764.95,14779.0,113.56
2017-12-07,769.0,775.0,761.3,766.0,766.9,9378.0,72.05
2017-12-06,780.0,784.0,753.8,764.0,760.45,13275.0,101.75
2017-12-05,783.05,790.0,770.0,774.0,775.9,7662.0,59.81
2017-12-04,790.0,795.6,783.25,785.0,785.65,3769.0,29.74
2017-12-01,793.2,801.95,780.05,780.4,784.3,7708.0,60.98
2017-11-30,793.05,804.0,787.0,790.65,790.9,8419.0,66.77
2017-11-29,801.65,807.25,790.95,792.0,792.65,7158.0,56.9
2017-11-28,800.05,806.9,790.0,797.5,797.8,5734.0,45.79
2017-11-27,807.85,809.0,792.0,797.9,795.45,9165.0,73.12
2017-11-24,818.25,818.25,801.1,802.0,805.1,6369.0,51.65
2017-11-23,817.05,830.0,805.9,811.3,815.4,15371.0,126.13
2017-11-22,803.1,825.0,803.0,820.0,816.4,25462.0,207.84
2017-11-21,805.0,814.9,795.0,805.0,803.15,84342.0,671.57
2017-11-20,804.5,806.0,792.6,800.0,799.75,8529.0,68.11
2017-11-17,785.75,800.0,785.75,790.0,793.1,16224.0,128.56
2017-11-16,784.95,792.5,782.0,782.4,785.75,7763.0,61.04
2017-11-15,780.4,798.9,780.4,784.0,785.45,3818.0,30.09
2017-11-14,789.55,810.0,785.85,791.0,796.3,24526.0,196.02
2017-11-13,785.8,798.0,781.0,782.0,785.3,6405.0,50.49
2017-11-10,789.05,795.0,782.0,787.0,785.75,7266.0,57.28
2017-11-09,816.9,823.0,785.0,789.0,793.9,19672.0,157.69
2017-11-08,789.05,823.45,783.0,797.0,799.4,30576.0,247.27
2017-11-07,795.0,803.85,785.0,789.0,787.4,7806.0,61.8
2017-11-06,793.6,803.7,789.45,790.0,794.45,6890.0,54.96
2017-11-03,789.3,800.0,787.6,797.0,796.4,5147.0,40.89
2017-11-02,785.55,794.0,785.55,789.95,789.3,11324.0,89.51
2017-11-01,805.0,809.95,787.5,793.0,792.4,13699.0,108.96
2017-10-31,798.1,810.0,795.15,797.0,796.15,4294.0,34.38
2017-10-30,814.45,817.45,802.1,806.5,806.65,3967.0,32.08
2017-10-27,812.05,819.05,806.0,811.1,812.85,7735.0,63.05
2017-10-26,792.15,823.0,792.1,813.9,812.1,12085.0,98.48
2017-10-25,800.0,808.8,798.0,799.65,801.5,8440.0,67.67
2017-10-24,795.0,815.4,795.0,798.05,800.9,12541.0,101.14
2017-10-23,793.0,805.0,793.0,801.95,801.1,4195.0,33.53
2017-10-19,800.0,803.95,790.1,800.0,797.9,2550.0,20.33
2017-10-18,798.9,801.55,788.05,788.4,790.0,4434.0,35.23
2017-10-17,793.0,808.0,789.0,795.0,798.15,11671.0,93.27
2017-10-16,811.85,811.85,794.8,798.65,797.9,5153.0,41.27
2017-10-13,805.85,824.4,798.05,808.0,808.15,14906.0,120.48
2017-10-12,812.0,815.5,792.0,798.2,801.25,15021.0,120.25
2017-10-11,776.0,858.3,768.85,803.55,806.95,97359.0,795.06
2017-10-10,769.1,779.0,767.35,772.9,773.3,18828.0,145.68
2017-10-09,776.8,778.0,765.7,769.1,769.45,8521.0,65.8
2017-10-06,767.3,778.95,767.2,772.0,771.05,9723.0,75.13
2017-10-05,779.85,788.0,762.2,765.0,765.15,10800.0,83.06
2017-10-04,781.4,784.5,770.05,779.0,778.75,9753.0,75.76
2017-10-03,780.0,790.0,774.0,775.5,776.75,6134.0,47.78
2017-09-29,773.7,783.95,763.2,777.5,774.75,4386.0,34.05
2017-09-28,774.1,775.0,765.25,765.3,768.25,3599.0,27.68
2017-09-27,782.1,792.7,768.0,768.0,770.95,7927.0,61.53
2017-09-26,787.05,797.5,777.0,787.0,787.35,10812.0,85.16
2017-09-25,796.6,796.65,764.5,794.0,781.2,14296.0,110.91
2017-09-22,786.25,795.9,781.05,792.5,794.05,31358.0,246.6
2017-09-21,801.95,803.2,783.05,795.75,796.1,9284.0,73.72
2017-09-20,805.0,805.0,794.0,801.0,801.6,6771.0,54.22
2017-09-19,803.3,807.65,785.0,792.75,797.25,9993.0,79.52
2017-09-18,788.0,818.0,788.0,798.05,801.45,26369.0,212.51
2017-09-15,795.85,801.65,780.0,781.3,782.9,7667.0,60.25
2017-09-14,796.05,800.05,785.0,793.45,793.75,4411.0,34.99
2017-09-13,811.4,812.0,794.25,795.0,796.0,6043.0,48.28
2017-09-12,805.05,819.5,802.55,802.9,804.8,9731.0,78.58
2017-09-11,796.0,800.4,793.05,798.05,799.4,7565.0,60.44
2017-09-08,805.55,810.0,791.15,793.0,795.5,3858.0,30.83
2017-09-07,816.65,820.0,794.85,802.0,799.45,12271.0,98.79
2017-09-06,810.1,822.5,806.1,816.15,816.8,12112.0,98.79
2017-09-05,818.75,820.45,805.0,815.0,813.25,3864.0,31.38
2017-09-04,810.0,821.0,803.3,809.0,810.8,7035.0,57.28
2017-09-01,800.0,827.9,800.0,815.6,817.2,13891.0,113.48
2017-08-31,804.55,810.0,800.45,810.0,803.75,7856.0,63.14
2017-08-30,791.0,809.0,791.0,805.5,804.6,7277.0,58.49
2017-08-29,809.9,815.15,796.0,799.95,798.2,6469.0,51.98
2017-08-28,807.95,815.7,805.7,812.0,808.75,4934.0,39.93
2017-08-24,798.5,814.95,798.5,814.0,809.05,9585.0,77.66
2017-08-23,785.5,809.0,772.7,808.95,803.6,8489.0,67.82
2017-08-22,798.95,798.95,775.0,780.0,778.85,9034.0,70.91
2017-08-21,809.35,813.65,787.0,787.0,790.5,6785.0,54.38
2017-08-18,793.8,811.8,793.8,808.9,805.45,3811.0,30.67
2017-08-17,802.55,815.95,796.6,810.0,810.05,7842.0,63.44
2017-08-16,797.55,817.55,790.0,805.0,806.45,8261.0,66.38
2017-08-14,780.0,800.0,780.0,798.0,795.1,8068.0,63.85
2017-08-11,780.05,787.6,771.8,777.65,778.6,15219.0,118.35
2017-08-10,800.0,813.7,780.0,795.1,787.55,10965.0,87.35
2017-08-09,806.75,818.95,800.1,800.5,800.7,8542.0,69.15
2017-08-08,832.3,839.35,813.05,821.0,815.2,8467.0,69.47
2017-08-07,847.95,852.0,830.0,830.1,830.8,7886.0,65.82
2017-08-04,833.5,848.7,820.0,843.7,844.8,20977.0,174.33
2017-08-03,850.0,850.55,825.0,839.0,833.7,36982.0,308.96
2017-08-02,873.5,882.45,855.1,859.95,857.5,11077.0,95.85
2017-08-01,863.0,888.0,856.8,869.0,873.5,28703.0,250.13
2017-07-31,858.95,873.35,856.3,857.6,861.95,8934.0,77.31
