Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2018-03-13,265.0,265.95,260.5,265.0,264.45,24556.0,64.91
2018-03-12,268.1,272.0,260.05,265.75,262.65,50398.0,134.53
2018-03-09,263.0,285.0,263.0,267.5,267.35,360791.0,970.77
2018-03-08,257.35,261.8,255.35,257.0,257.55,47074.0,121.43
2018-03-07,260.5,263.85,255.0,259.95,257.35,90247.0,232.47
2018-03-06,275.0,275.0,262.1,267.8,265.75,66115.0,178.34
2018-03-05,284.0,284.0,270.35,271.0,272.0,74980.0,206.68
2018-03-01,283.8,286.45,279.1,280.5,280.45,46165.0,130.84
2018-02-28,280.7,281.6,274.5,281.0,280.85,41857.0,116.32
2018-02-27,289.0,295.0,280.15,281.0,281.45,45580.0,129.75
2018-02-26,279.05,287.7,279.05,283.4,284.8,62630.0,178.74
2018-02-23,282.0,282.0,274.05,280.1,278.2,49020.0,136.37
2018-02-22,278.85,283.9,271.0,278.1,279.5,60688.0,167.69
2018-02-21,290.3,290.9,275.5,278.0,278.95,68696.0,194.55
2018-02-20,290.75,294.25,284.0,287.45,285.95,46207.0,133.91
2018-02-19,302.95,303.3,287.8,289.0,290.15,58620.0,171.81
2018-02-16,303.15,305.7,292.65,299.9,301.35,566439.0,1698.28
2018-02-15,309.1,311.4,300.0,300.95,301.65,99497.0,305.0
2018-02-14,310.0,313.0,302.0,305.55,308.0,211201.0,653.11
2018-02-12,309.7,310.0,300.5,303.0,302.3,72571.0,220.77
2018-02-09,292.15,309.0,292.15,307.0,305.4,247551.0,751.42
2018-02-08,306.0,326.35,300.0,302.15,302.95,966475.0,3035.66
2018-02-07,292.0,310.0,287.45,300.0,305.05,644995.0,1934.91
2018-02-06,265.0,289.0,257.6,289.0,284.65,383860.0,1078.0
2018-02-05,270.0,288.0,270.0,286.0,284.5,197557.0,559.67
2018-02-02,279.95,292.45,274.0,283.25,282.9,374314.0,1066.85
2018-02-01,282.0,289.8,280.0,285.6,283.6,338842.0,965.91
2018-01-31,277.0,281.2,270.2,276.75,276.95,338127.0,922.12
2018-01-30,280.0,282.0,270.05,272.6,272.6,254419.0,699.68
2018-01-29,269.0,278.0,267.7,274.05,273.95,375550.0,1024.13
2018-01-25,278.0,278.0,265.4,267.5,267.6,59873.0,162.06
2018-01-24,280.95,280.95,273.35,274.4,274.1,103618.0,286.29
2018-01-23,280.0,284.0,274.8,277.5,278.1,66959.0,187.21
2018-01-22,280.2,284.95,279.25,279.95,280.4,184872.0,523.79
2018-01-19,281.0,285.95,277.0,283.55,284.6,64856.0,183.84
2018-01-18,284.1,291.0,275.0,280.1,280.45,542629.0,1552.59
2018-01-17,276.7,283.75,272.1,282.0,282.25,48702.0,135.99
