Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2018-03-13,120.0,123.15,119.15,121.8,121.7,234649.0,284.92
2018-03-12,121.5,122.9,119.15,119.95,119.95,170308.0,206.38
2018-03-09,123.9,123.9,119.95,120.15,120.4,75710.0,91.89
2018-03-08,125.1,127.25,119.0,121.25,121.3,286665.0,349.53
2018-03-07,124.5,127.0,122.8,124.5,124.6,197734.0,246.5
2018-03-06,128.6,131.65,123.35,123.8,124.85,161003.0,204.83
2018-03-05,129.15,133.45,126.0,127.5,127.45,373106.0,483.45
2018-03-01,124.5,140.45,123.0,131.9,135.3,1444599.0,1904.47
2018-02-28,125.0,125.5,121.5,124.5,124.15,408718.0,506.31
2018-02-27,127.9,128.0,123.55,127.0,126.75,147885.0,185.73
2018-02-26,130.5,130.5,126.1,126.6,126.7,147087.0,187.87
2018-02-23,131.7,132.65,128.2,128.85,129.25,100447.0,130.77
2018-02-22,130.35,133.2,129.0,131.85,131.6,73091.0,95.0
2018-02-21,134.75,134.75,129.0,129.2,130.35,160324.0,208.95
2018-02-20,132.25,134.0,132.0,133.5,133.5,55532.0,73.59
2018-02-19,136.0,136.0,132.0,132.25,132.6,293527.0,389.84
2018-02-16,135.65,137.25,132.0,135.9,135.6,367261.0,496.56
2018-02-15,135.0,138.7,134.05,135.0,135.0,313486.0,425.55
2018-02-14,128.0,135.8,127.25,133.15,133.3,771036.0,1025.61
2018-02-12,125.0,128.8,125.0,126.2,126.55,173662.0,220.42
2018-02-09,119.0,125.0,116.35,124.55,123.85,133313.0,161.65
2018-02-08,119.95,125.6,119.95,121.5,122.25,140303.0,172.25
2018-02-07,118.65,122.9,118.65,119.0,119.7,99831.0,120.05
2018-02-06,111.0,119.1,111.0,117.0,117.35,168427.0,196.07
2018-02-05,113.95,128.4,106.25,123.6,121.9,644054.0,759.66
2018-02-02,127.95,127.95,118.5,120.5,119.85,180936.0,220.25
2018-02-01,132.8,133.0,125.7,127.75,127.85,95163.0,123.17
2018-01-31,132.4,132.4,128.65,129.0,129.8,81823.0,106.56
2018-01-30,134.4,134.4,129.05,132.1,131.55,82362.0,107.77
2018-01-29,133.3,134.85,132.0,132.95,132.75,53418.0,71.18
2018-01-25,129.8,133.85,129.8,133.0,133.3,260328.0,345.33
2018-01-24,136.6,137.35,129.2,130.15,131.1,366606.0,486.89
2018-01-23,136.5,139.55,136.0,136.05,136.35,140975.0,193.66
2018-01-22,136.5,138.0,135.9,136.2,136.5,71492.0,97.7
2018-01-19,136.5,137.5,135.05,136.2,135.9,115751.0,157.67
2018-01-18,142.55,144.35,134.15,135.65,135.65,298739.0,415.75
2018-01-17,143.3,143.95,140.6,141.6,141.55,173073.0,245.51
2018-01-16,147.3,148.8,142.1,143.3,143.4,181859.0,264.55
2018-01-15,146.75,147.85,144.15,146.0,144.9,197994.0,288.04
2018-01-12,145.1,152.8,145.1,146.0,146.75,732427.0,1097.3
2018-01-11,146.5,147.0,144.2,145.5,145.05,114893.0,166.91
2018-01-10,145.3,149.0,144.9,145.55,145.8,216180.0,316.71
2018-01-09,145.5,149.9,144.3,145.25,145.3,415455.0,609.6
2018-01-08,144.3,145.6,144.0,144.65,144.65,196127.0,283.11
2018-01-05,144.3,147.9,144.0,144.9,144.5,184498.0,267.94
2018-01-04,144.3,145.9,143.0,143.1,143.55,111275.0,160.48
