Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2018-03-13,178.65,181.7,176.75,178.4,178.45,250938.0,450.58
2018-03-12,178.7,180.7,177.05,177.95,178.05,307147.0,549.6
2018-03-09,178.45,183.3,176.0,177.85,177.35,329668.0,592.76
2018-03-08,178.75,180.95,171.3,178.0,177.9,462427.0,817.45
2018-03-07,188.75,188.75,176.3,177.25,177.55,464032.0,841.62
2018-03-06,196.0,198.5,186.2,187.0,188.55,357583.0,690.22
2018-03-05,196.9,199.95,194.0,194.0,194.75,365947.0,720.05
2018-03-01,194.0,199.0,192.45,197.0,196.25,421400.0,825.1
2018-02-28,190.4,195.4,190.4,195.3,193.95,273233.0,529.09
2018-02-27,195.0,196.7,190.85,194.0,194.5,394741.0,767.22
2018-02-26,188.0,195.6,186.0,193.5,194.05,674042.0,1295.23
2018-02-23,183.5,188.7,183.5,186.3,186.7,339701.0,634.23
2018-02-22,182.0,186.95,180.3,182.65,183.55,421744.0,779.04
2018-02-21,180.05,184.5,176.6,183.35,182.8,396157.0,715.13
2018-02-20,178.8,182.95,177.4,178.7,178.75,231066.0,416.17
2018-02-19,183.9,184.75,175.75,179.0,178.8,363969.0,650.69
2018-02-16,193.1,194.8,182.55,183.4,183.35,502473.0,940.87
2018-02-15,202.0,204.0,188.2,192.0,192.1,650011.0,1281.05
2018-02-14,203.0,204.9,198.5,199.9,201.65,778506.0,1572.53
2018-02-12,197.4,204.5,197.35,200.35,201.15,979306.0,1971.91
2018-02-09,185.5,199.0,185.05,195.4,196.2,1171525.0,2275.84
2018-02-08,186.8,198.7,186.8,191.25,191.5,1432846.0,2772.33
2018-02-07,185.45,192.4,184.05,185.2,186.25,923352.0,1738.33
2018-02-06,175.0,186.0,173.5,181.9,181.85,1191927.0,2156.77
2018-02-05,166.0,196.4,166.0,192.0,192.95,2007063.0,3734.55
2018-02-02,180.0,185.0,170.0,172.8,171.6,1463136.0,2576.07
2018-02-01,179.2,196.0,174.55,185.9,184.4,1940637.0,3607.42
2018-01-31,163.8,181.65,162.05,180.2,177.9,1781205.0,3066.05
2018-01-30,173.15,175.75,159.95,160.85,161.7,1098335.0,1841.16
2018-01-29,178.35,180.25,172.0,175.1,175.05,316307.0,561.68
2018-01-25,181.0,181.9,175.5,176.95,176.85,359174.0,641.03
2018-01-24,178.2,186.6,178.0,180.35,180.65,828155.0,1515.3
2018-01-23,174.4,183.5,174.0,180.9,180.95,930975.0,1675.77
2018-01-22,174.9,177.75,172.0,174.15,173.55,394592.0,685.18
2018-01-19,178.0,178.35,170.1,175.15,174.9,302432.0,529.02
2018-01-18,190.2,191.75,173.05,175.0,174.85,595134.0,1081.47
2018-01-17,192.0,195.45,186.1,188.45,188.6,837345.0,1600.9
2018-01-16,185.1,192.25,183.5,190.0,190.0,1576605.0,2966.15
2018-01-15,183.0,187.55,181.65,185.5,185.1,783850.0,1450.02
2018-01-12,180.2,186.5,179.85,182.65,182.8,988431.0,1805.36
2018-01-11,178.6,182.8,175.55,180.2,180.0,576873.0,1033.47
2018-01-10,180.75,185.0,174.3,178.5,178.5,768851.0,1377.92
2018-01-09,182.0,185.5,178.75,180.3,180.3,1017911.0,1850.51
2018-01-08,172.8,183.5,172.5,181.0,181.95,1165501.0,2087.24
2018-01-05,175.0,177.3,170.55,172.5,172.25,501231.0,874.25
