Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2018-03-13,383.2,387.0,377.0,382.0,380.35,19914.0,75.92
2018-03-12,389.4,390.0,380.0,382.5,382.8,6342.0,24.39
2018-03-09,399.15,399.15,381.0,383.0,384.1,5582.0,21.74
2018-03-08,399.9,408.7,391.1,397.95,397.4,5594.0,22.22
2018-03-07,416.35,418.15,390.0,395.0,392.6,10602.0,42.41
2018-03-06,425.95,428.2,410.0,413.5,414.35,9744.0,40.87
2018-03-05,423.0,428.9,418.9,421.0,424.45,8439.0,35.68
2018-03-01,421.6,433.5,421.4,424.5,423.25,7058.0,30.0
2018-02-28,428.05,429.1,419.0,420.0,421.35,8939.0,37.91
2018-02-27,425.05,432.8,420.1,429.25,430.2,7245.0,31.06
2018-02-26,422.7,435.6,416.95,428.3,426.1,11756.0,50.33
2018-02-23,415.25,422.35,415.25,421.0,418.7,7544.0,31.57
2018-02-22,416.0,418.9,409.0,413.4,411.1,9892.0,41.0
2018-02-21,427.95,429.0,415.1,416.4,416.8,6532.0,27.54
2018-02-20,433.8,433.95,418.5,418.5,421.95,9447.0,40.34
2018-02-19,450.0,450.0,427.1,430.0,431.75,9144.0,39.92
2018-02-16,460.0,460.35,445.55,445.55,447.7,7042.0,31.76
2018-02-15,460.0,473.8,448.0,455.0,454.0,12037.0,55.52
2018-02-14,469.0,469.0,453.55,458.55,459.0,11786.0,54.37
2018-02-12,455.1,464.0,453.0,460.05,459.05,9561.0,43.88
2018-02-09,447.0,464.0,438.0,447.3,450.8,14376.0,64.87
2018-02-08,441.45,464.9,440.1,455.0,455.1,16534.0,75.17
2018-02-07,437.0,450.0,433.0,443.8,438.35,13684.0,60.43
2018-02-06,440.0,440.0,425.0,425.7,431.5,14769.0,64.04
2018-02-05,430.0,465.0,430.0,447.95,448.5,15730.0,70.23
2018-02-02,464.0,469.95,437.5,439.6,440.5,24918.0,112.37
2018-02-01,479.75,494.7,455.0,463.35,466.95,30300.0,145.12
2018-01-31,490.5,507.95,469.0,472.7,472.1,24169.0,116.41
2018-01-30,506.9,506.9,487.0,490.35,491.05,11585.0,57.42
2018-01-29,512.0,524.2,499.0,500.25,503.05,17246.0,88.34
2018-01-25,508.0,519.7,506.5,508.1,509.15,16346.0,83.72
2018-01-24,518.0,522.9,507.3,508.0,507.8,14730.0,75.42
2018-01-23,529.0,534.7,518.5,521.4,520.35,11047.0,58.09
2018-01-22,517.7,537.0,509.3,523.5,522.0,21710.0,113.98
2018-01-19,515.0,518.0,506.95,512.0,512.1,8218.0,42.14
2018-01-18,521.95,528.9,511.0,511.2,512.45,16972.0,88.02
2018-01-17,522.35,527.95,511.0,519.9,517.1,12529.0,65.05
2018-01-16,554.0,554.0,515.0,518.1,518.3,45694.0,240.42
2018-01-15,567.9,569.0,543.95,550.0,549.45,29347.0,163.18
2018-01-12,585.0,590.0,557.6,564.95,566.65,128884.0,736.6
2018-01-11,534.05,570.0,527.1,558.2,556.85,117785.0,650.92
2018-01-10,550.6,550.6,530.0,533.35,533.3,37092.0,200.47
2018-01-09,510.0,567.0,508.05,547.0,547.05,271663.0,1482.02
2018-01-08,511.0,518.0,505.1,507.0,506.8,23593.0,120.34
2018-01-05,510.0,519.25,505.1,507.0,506.95,16246.0,83.08
2018-01-04,516.1,520.0,507.0,509.0,509.3,14151.0,72.64
2018-01-03,518.7,521.4,510.75,511.05,511.85,13904.0,71.47
2018-01-02,519.85,522.95,514.2,514.8,515.35,12597.0,65.21
2018-01-01,515.9,527.45,515.0,516.6,516.1,15369.0,79.99
2017-12-29,521.95,528.45,515.0,515.0,515.55,14801.0,77.0
2017-12-28,515.0,530.05,511.0,516.6,517.0,28022.0,146.45
2017-12-27,526.2,528.05,510.1,515.0,511.65,16443.0,85.14
2017-12-26,529.55,534.45,521.0,525.7,522.8,10490.0,55.16
2017-12-22,536.0,540.0,526.0,530.4,530.65,14490.0,77.42
2017-12-21,532.2,540.0,523.85,535.95,533.2,22428.0,119.6
2017-12-20,517.3,536.0,515.0,527.1,527.2,37757.0,199.49
2017-12-19,519.7,526.0,515.1,517.0,518.35,15294.0,79.67
2017-12-18,508.35,524.45,500.1,518.6,515.95,27356.0,141.35
2017-12-15,505.55,523.5,502.5,510.1,510.9,33423.0,171.9
2017-12-14,505.2,509.05,495.0,498.0,499.25,9086.0,45.63
2017-12-13,512.25,518.8,502.5,504.0,504.45,19182.0,97.93
2017-12-12,511.0,519.0,507.65,507.65,510.85,22029.0,112.69
2017-12-11,520.7,524.0,510.1,511.0,511.15,18833.0,97.56
2017-12-08,508.35,542.0,508.0,518.0,515.8,59576.0,312.48
2017-12-07,504.65,515.75,500.55,507.0,505.35,12207.0,62.08
2017-12-06,499.0,517.95,498.75,500.15,500.7,27317.0,139.01
2017-12-05,510.0,510.05,495.05,498.05,498.6,11348.0,56.95
2017-12-04,520.0,524.0,506.5,508.0,508.7,10890.0,55.95
2017-12-01,514.7,521.45,510.0,510.3,511.45,14835.0,76.22
2017-11-30,515.5,521.95,510.1,512.0,512.4,11665.0,60.06
2017-11-29,522.4,523.8,514.4,515.5,515.45,11573.0,60.01
2017-11-28,530.0,535.0,515.55,519.0,519.2,18452.0,96.64
2017-11-27,527.1,541.0,524.0,528.55,529.95,67851.0,361.67
2017-11-24,525.05,534.0,517.5,520.45,520.4,17029.0,89.29
2017-11-23,529.75,534.95,525.0,526.0,526.05,12041.0,63.78
2017-11-22,525.0,534.25,525.0,525.9,526.25,17916.0,94.53
2017-11-21,519.25,535.0,517.05,521.0,521.7,20379.0,107.22
2017-11-20,518.7,529.05,510.1,515.6,515.55,22441.0,116.48
2017-11-17,514.95,520.0,512.1,515.0,513.75,17978.0,92.76
2017-11-16,513.0,523.0,508.6,512.0,510.75,31699.0,163.58
2017-11-15,526.6,526.6,500.05,506.0,506.25,18061.0,92.95
2017-11-14,530.05,534.8,521.65,523.1,523.9,14859.0,78.4
2017-11-13,534.1,538.0,526.0,529.05,529.2,24562.0,130.61
2017-11-10,539.0,539.8,525.0,529.0,529.4,20997.0,111.63
2017-11-09,535.85,555.0,531.15,538.2,538.1,47666.0,258.9
2017-11-08,557.0,563.4,529.15,533.95,531.5,35243.0,192.22
2017-11-07,575.2,589.0,552.1,553.0,555.65,67170.0,383.23
2017-11-06,573.5,589.0,552.55,563.35,567.7,63285.0,362.74
2017-11-03,574.0,594.95,569.0,577.0,576.6,107114.0,624.8
2017-11-02,550.95,602.7,550.95,574.0,571.0,341443.0,1976.63
2017-11-01,523.0,574.0,523.0,549.0,549.2,220686.0,1210.07
2017-10-31,523.45,528.95,520.15,522.0,520.85,14156.0,74.05
2017-10-30,521.5,534.8,518.6,520.95,520.35,28051.0,147.32
2017-10-27,522.0,528.5,516.0,516.2,518.3,20369.0,106.49
2017-10-26,518.95,530.0,517.05,518.0,518.55,23916.0,125.24
2017-10-25,522.5,529.8,514.95,517.6,517.1,13051.0,68.07
2017-10-24,522.95,532.95,518.55,521.8,521.6,20341.0,106.79
2017-10-23,524.0,534.4,518.0,521.6,521.6,19382.0,101.59
2017-10-19,527.9,529.95,518.0,518.45,521.05,8204.0,42.91
2017-10-18,533.0,539.9,525.1,527.55,527.6,31621.0,168.03
2017-10-17,530.0,542.8,530.0,531.5,531.5,37189.0,199.16
2017-10-16,538.0,546.0,527.2,528.55,529.65,33991.0,181.98
2017-10-13,541.7,554.8,532.0,534.5,535.55,54073.0,293.92
2017-10-12,533.6,545.95,526.2,532.0,533.1,61866.0,331.68
2017-10-11,523.1,572.15,517.55,528.0,531.25,336551.0,1851.2
2017-10-10,530.9,535.0,518.05,521.0,520.9,32263.0,169.95
2017-10-09,536.05,540.0,524.05,529.0,527.3,36709.0,194.64
2017-10-06,537.0,549.9,534.0,535.8,536.6,60178.0,325.51
2017-10-05,534.95,543.8,527.0,530.2,530.95,38599.0,206.37
2017-10-04,531.0,544.0,526.55,531.3,532.65,50252.0,268.7
2017-10-03,529.25,557.0,517.45,528.75,527.35,115448.0,622.67
2017-09-29,525.0,545.0,517.95,519.95,520.0,52729.0,279.0
2017-09-28,522.95,542.0,512.0,521.5,520.05,72558.0,381.2
2017-09-27,552.35,569.0,508.1,516.75,517.3,90523.0,492.89
2017-09-26,529.9,572.9,526.0,549.9,548.7,141699.0,779.9
2017-09-25,553.7,553.7,511.0,531.5,527.5,133464.0,703.41
2017-09-22,607.0,607.0,545.0,550.0,554.85,272751.0,1580.62
2017-09-21,613.0,658.0,602.1,623.0,615.5,1384340.0,8785.83
2017-09-20,502.45,597.15,496.0,597.15,580.5,535271.0,3031.27
2017-09-19,501.0,512.9,483.35,497.0,497.65,59978.0,302.24
2017-09-18,501.0,512.0,496.0,499.75,497.8,35308.0,178.04
2017-09-15,506.0,515.0,494.0,497.15,498.4,28639.0,144.48
2017-09-14,500.75,506.05,495.75,500.0,498.2,9192.0,45.96
2017-09-13,505.95,509.5,496.1,497.4,497.35,13339.0,67.19
2017-09-12,509.0,517.7,502.0,504.0,504.6,21386.0,109.01
2017-09-11,516.0,519.75,506.25,508.0,508.1,17484.0,89.61
2017-09-08,505.25,522.0,505.25,509.0,509.1,49258.0,253.29
2017-09-07,508.0,515.35,501.15,503.0,505.35,12901.0,65.62
2017-09-06,505.0,515.0,503.0,508.0,507.8,19600.0,99.71
2017-09-05,496.0,517.0,496.0,512.0,509.75,53187.0,271.41
2017-09-04,505.0,513.25,489.5,495.1,493.55,29908.0,149.51
2017-09-01,502.0,517.85,502.0,504.8,505.25,31395.0,159.96
2017-08-31,500.0,518.0,496.05,502.9,502.05,39899.0,203.25
