Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2018-03-13,168.05,170.0,162.4,163.7,163.5,263614.0,439.44
2018-03-12,171.75,171.75,162.25,167.6,167.95,327482.0,548.34
2018-03-09,171.35,173.4,168.0,168.5,168.45,92530.0,157.3
2018-03-08,175.05,178.75,169.0,171.0,170.05,220220.0,376.93
2018-03-07,180.05,180.3,167.2,173.0,173.75,913643.0,1601.41
2018-03-06,181.5,184.15,176.4,176.5,178.5,244824.0,443.3
2018-03-05,179.4,183.15,176.7,180.0,178.9,84902.0,151.76
2018-03-01,181.45,183.5,178.6,179.1,180.75,88919.0,161.08
2018-02-28,181.0,182.9,178.05,179.9,180.1,92828.0,167.87
2018-02-27,183.05,185.85,180.15,180.15,180.9,121808.0,222.38
2018-02-26,188.0,188.0,182.4,184.0,183.8,582841.0,1082.79
2018-02-23,186.15,190.5,182.1,183.95,183.85,275682.0,514.82
2018-02-22,186.5,189.0,181.0,181.2,183.45,51089.0,95.1
2018-02-21,188.95,189.0,184.2,186.9,185.55,41323.0,76.96
2018-02-20,189.45,190.15,185.0,185.2,185.85,54837.0,103.04
2018-02-19,187.55,193.55,185.85,188.6,188.8,194063.0,366.36
2018-02-16,189.95,195.0,182.2,183.5,184.1,173535.0,325.57
2018-02-15,191.85,192.25,185.1,187.0,187.7,64594.0,121.91
2018-02-14,194.35,194.35,186.85,188.6,188.55,140042.0,268.64
2018-02-12,191.1,197.7,189.35,190.75,190.6,72163.0,138.71
2018-02-09,183.9,193.5,182.95,189.0,187.3,45832.0,86.65
2018-02-08,187.0,189.9,185.05,186.05,186.7,67884.0,127.2
2018-02-07,197.1,202.0,182.55,183.95,184.75,216092.0,409.33
2018-02-06,185.0,197.7,180.0,190.0,193.05,139928.0,269.11
2018-02-05,190.0,199.0,185.0,199.0,193.5,106322.0,203.97
2018-02-02,208.0,208.0,190.0,196.0,195.65,142992.0,282.12
2018-02-01,204.35,213.55,203.3,205.5,206.9,193729.0,402.68
2018-01-31,203.05,208.9,203.0,204.1,205.35,86002.0,176.51
2018-01-30,209.9,209.9,202.5,206.4,205.65,123125.0,251.75
2018-01-29,210.0,211.65,205.6,209.5,210.25,53385.0,111.37
2018-01-25,209.5,211.95,206.0,207.0,207.7,81924.0,170.65
2018-01-24,219.5,220.0,209.1,210.0,210.55,115439.0,245.93
2018-01-23,216.0,221.4,216.0,221.3,219.5,166723.0,366.05
2018-01-22,217.75,218.0,212.0,216.65,216.8,62327.0,133.91
2018-01-19,211.9,218.0,208.5,215.5,216.55,137619.0,293.45
2018-01-18,213.7,213.7,207.75,210.0,209.9,75344.0,158.13
2018-01-17,208.9,215.0,202.0,213.0,212.65,79119.0,165.6
2018-01-16,212.3,214.95,207.0,207.5,208.0,66688.0,139.95
2018-01-15,212.1,216.0,211.0,213.0,214.1,124616.0,266.4
2018-01-12,216.0,216.25,210.4,211.6,212.45,48182.0,102.67
2018-01-11,214.85,217.5,210.55,215.0,215.4,80206.0,171.5
2018-01-10,214.7,214.7,210.5,211.6,213.3,53184.0,113.04
2018-01-09,213.0,215.45,211.0,215.0,213.75,65712.0,140.15
2018-01-08,215.5,219.5,203.85,213.5,213.0,166933.0,353.53
2018-01-05,216.35,219.0,214.25,215.5,216.75,96299.0,208.67
2018-01-04,216.0,218.4,213.1,215.65,216.35,71890.0,155.26
2018-01-03,213.95,216.8,212.5,216.0,215.85,97299.0,209.29
2018-01-02,220.85,220.9,211.0,211.05,212.5,94240.0,201.79
