Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2018-03-13,111.8,114.5,111.05,112.0,111.9,473312.0,533.14
2018-03-12,114.0,114.0,110.15,110.5,111.3,352700.0,394.25
2018-03-09,115.35,115.35,110.1,111.15,111.25,507545.0,573.54
2018-03-08,111.6,120.0,106.6,113.55,114.2,2004612.0,2294.45
2018-03-07,112.85,115.85,110.2,111.5,110.75,619828.0,700.97
2018-03-06,118.0,119.4,111.3,111.65,112.55,373832.0,433.36
2018-03-05,119.95,119.95,116.25,116.4,116.9,379126.0,445.05
2018-03-01,116.7,123.85,116.7,120.0,120.45,2098293.0,2547.81
2018-02-28,116.7,119.8,114.5,117.2,117.65,589845.0,693.09
2018-02-27,121.8,122.25,117.4,117.75,117.9,711437.0,847.97
2018-02-26,126.4,126.4,121.0,121.1,121.3,468810.0,576.09
2018-02-23,126.9,127.75,124.5,125.0,125.7,657964.0,828.94
2018-02-22,124.9,132.5,124.65,126.0,127.0,4492872.0,5794.71
2018-02-21,125.0,126.35,123.15,125.0,125.05,731548.0,911.24
2018-02-20,125.0,128.5,121.5,124.0,123.1,1652387.0,2071.58
2018-02-19,118.5,125.6,113.5,124.8,123.85,1584965.0,1912.7
2018-02-16,121.0,122.5,116.2,117.7,117.8,571057.0,676.98
2018-02-15,126.5,127.45,115.6,120.6,118.85,1340085.0,1626.85
2018-02-14,122.0,131.0,121.4,125.5,125.15,2921470.0,3703.67
2018-02-12,107.6,120.75,107.6,118.5,117.7,1791187.0,2056.56
2018-02-09,102.0,105.8,100.05,105.3,104.7,498800.0,518.63
2018-02-08,100.95,105.9,100.55,104.8,104.25,536096.0,558.34
2018-02-07,101.0,103.5,99.25,100.0,100.55,508667.0,516.3
2018-02-06,99.0,101.6,96.1,98.05,98.35,707407.0,701.01
2018-02-05,101.0,110.95,100.35,105.95,105.95,830051.0,877.47
2018-02-02,117.0,117.0,106.55,108.5,108.45,738323.0,820.73
2018-02-01,119.85,122.0,116.1,118.0,117.05,740261.0,878.53
2018-01-31,116.2,122.35,113.55,118.35,118.8,657892.0,777.61
2018-01-30,112.7,124.85,109.0,116.7,116.7,2392637.0,2851.24
2018-01-29,120.05,120.05,112.35,113.0,113.15,471762.0,544.04
2018-01-25,121.5,121.85,116.95,117.0,117.6,455933.0,538.67
2018-01-24,126.0,126.4,120.9,121.0,121.25,455002.0,559.84
2018-01-23,128.2,129.7,125.65,125.75,126.1,376291.0,480.29
2018-01-22,129.6,132.2,127.35,128.2,128.5,541271.0,699.53
2018-01-19,128.35,130.0,125.1,127.6,128.1,420226.0,536.42
2018-01-18,132.85,135.35,127.5,127.9,128.1,479013.0,628.08
2018-01-17,132.5,132.9,128.0,131.0,131.25,353001.0,460.87
2018-01-16,137.95,137.95,130.55,131.9,132.25,611784.0,819.14
2018-01-15,136.9,139.25,136.45,137.0,137.1,372153.0,512.0
2018-01-12,139.05,139.5,135.75,136.2,136.45,390398.0,536.87
2018-01-11,137.6,141.7,137.35,138.55,138.5,546575.0,760.31
2018-01-10,139.0,139.6,136.4,137.55,137.45,389248.0,536.61
2018-01-09,141.5,141.5,138.0,138.25,138.6,445238.0,620.25
2018-01-08,140.45,142.95,139.6,140.0,140.55,817717.0,1154.14
2018-01-05,141.85,141.85,138.0,138.25,138.35,527514.0,736.86
2018-01-04,141.25,143.5,140.1,140.25,140.5,747085.0,1056.55
2018-01-03,143.4,144.4,140.45,140.6,140.8,967198.0,1372.2
2018-01-02,139.1,155.0,135.0,144.15,144.8,6642810.0,9666.43
2018-01-01,137.0,143.3,135.3,138.6,138.6,1051875.0,1473.77
2017-12-29,139.75,140.2,137.1,137.2,137.5,457923.0,634.47
2017-12-28,137.4,143.85,136.7,139.0,138.85,1452335.0,2040.51
2017-12-27,138.25,140.0,136.15,136.95,137.15,564735.0,781.31
2017-12-26,139.65,140.0,136.6,138.0,137.3,458945.0,633.36
2017-12-22,141.0,142.75,138.2,138.5,138.95,659532.0,926.54
2017-12-21,145.0,145.8,140.5,141.25,141.2,800435.0,1141.2
2017-12-20,144.0,151.6,142.25,145.0,144.55,4730683.0,6940.43
2017-12-19,127.4,136.5,127.4,136.45,134.45,1067377.0,1412.48
2017-12-18,126.45,131.25,121.35,127.05,126.85,807258.0,1027.79
2017-12-15,133.0,133.0,127.25,128.5,128.65,648546.0,843.46
2017-12-14,133.3,134.85,130.15,130.65,130.6,388039.0,511.85
2017-12-13,134.0,136.0,132.05,133.1,132.8,405704.0,543.95
2017-12-12,136.6,139.0,133.55,134.0,134.2,470292.0,639.1
2017-12-11,137.85,139.3,136.0,136.5,136.55,317248.0,435.88
2017-12-08,138.35,141.25,136.1,136.6,136.75,619755.0,858.25
2017-12-07,135.0,141.4,134.45,136.95,136.95,789227.0,1086.61
