Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2018-03-13,162.6,165.0,160.5,164.95,164.15,60835.0,99.01
2018-03-12,165.0,165.9,160.35,163.7,162.65,53095.0,86.4
2018-03-09,161.5,167.4,161.1,165.0,164.6,184930.0,303.87
2018-03-08,161.6,161.6,155.6,158.05,158.85,49201.0,78.04
2018-03-07,160.0,162.05,159.75,159.8,160.25,57407.0,92.12
2018-03-06,167.15,167.5,160.0,160.8,160.8,103549.0,169.11
2018-03-05,167.4,168.5,165.5,166.0,165.95,24074.0,40.1
2018-03-01,166.55,168.95,165.95,167.5,167.0,36253.0,60.68
2018-02-28,169.85,169.85,165.9,166.5,166.05,62375.0,104.01
2018-02-27,169.9,171.5,167.3,167.55,168.45,58122.0,98.38
2018-02-26,166.45,170.25,166.0,166.3,168.15,63472.0,106.06
2018-02-23,161.75,166.05,161.75,164.0,163.8,38930.0,64.0
2018-02-22,163.8,163.9,161.0,162.1,162.85,22821.0,37.07
2018-02-21,160.55,164.5,160.5,163.9,163.55,31397.0,51.19
2018-02-20,163.0,164.9,159.7,160.1,160.4,59521.0,95.93
2018-02-19,164.55,165.0,160.8,162.4,162.25,39518.0,64.33
2018-02-16,166.5,169.3,163.5,165.1,164.5,37921.0,62.76
2018-02-15,169.7,172.0,166.0,166.0,166.8,42724.0,72.5
2018-02-14,171.9,172.95,169.0,169.5,169.35,47739.0,81.47
2018-02-12,171.9,173.0,169.1,170.0,170.2,42051.0,71.85
2018-02-09,168.0,174.5,165.0,169.0,168.95,130534.0,221.22
2018-02-08,162.05,178.0,162.05,171.0,170.0,92963.0,155.98
2018-02-07,165.0,166.15,162.0,162.75,162.5,788144.0,1283.56
2018-02-06,165.0,165.35,160.0,162.0,163.7,965418.0,1578.64
2018-02-05,165.0,171.8,163.0,169.0,169.9,124004.0,209.3
2018-02-02,169.0,170.35,165.0,167.0,166.6,47206.0,79.17
2018-02-01,172.05,175.45,168.3,170.0,169.1,514769.0,880.23
2018-01-31,170.15,175.0,170.0,173.0,173.4,78107.0,134.12
2018-01-30,176.6,179.0,172.0,173.0,173.0,95698.0,165.75
2018-01-29,178.0,179.0,174.35,176.65,176.7,64354.0,114.09
2018-01-25,174.95,178.0,172.25,178.0,176.25,72223.0,126.24
2018-01-24,178.5,179.95,173.2,173.45,173.8,75703.0,132.96
2018-01-23,180.0,180.0,176.85,178.1,179.25,46202.0,82.57
2018-01-22,180.85,180.85,176.0,179.0,178.9,35153.0,62.42
2018-01-19,173.6,178.6,173.6,178.5,176.35,33842.0,59.52
2018-01-18,179.15,180.9,172.05,173.5,173.5,61571.0,108.42
2018-01-17,180.0,181.7,171.0,177.85,178.4,52229.0,92.21
2018-01-16,186.0,186.8,180.05,181.0,180.7,63607.0,115.81
2018-01-15,188.0,188.0,185.0,185.0,185.4,79590.0,148.64
2018-01-12,186.05,189.8,183.3,185.25,185.35,116789.0,218.46
2018-01-11,188.7,189.0,185.55,185.55,186.0,100715.0,188.62
2018-01-10,190.55,192.55,185.05,187.0,186.85,283831.0,533.78
2018-01-09,185.7,190.0,180.65,189.0,189.05,420252.0,788.57
2018-01-08,182.15,187.0,181.5,184.95,183.8,298755.0,551.62
2018-01-05,179.4,182.0,178.25,180.35,180.5,1612094.0,2897.26
2018-01-04,179.95,180.8,176.0,177.7,177.65,117065.0,209.06
2018-01-03,181.9,182.9,179.1,179.95,179.95,80909.0,146.03
2018-01-02,181.75,182.0,178.65,180.0,179.95,2223278.0,4022.88
2018-01-01,182.0,183.0,179.0,180.5,179.7,137718.0,248.88
2017-12-29,179.9,179.9,177.05,178.0,177.85,105343.0,188.5
2017-12-28,175.25,179.0,175.0,177.1,177.2,106816.0,189.38
2017-12-27,178.95,179.75,174.0,174.25,174.5,273283.0,485.03
