Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2018-03-13,128.85,134.9,128.1,131.4,131.2,2019038.0,2656.26
2018-03-12,130.9,131.85,123.2,128.6,128.85,1735996.0,2213.55
2018-03-09,135.0,135.3,127.7,128.35,128.7,1668152.0,2186.64
2018-03-08,137.8,138.8,129.0,133.4,133.5,1817219.0,2424.73
2018-03-07,140.85,141.0,131.55,135.45,134.95,1898272.0,2580.98
2018-03-06,151.0,152.75,141.0,141.75,141.85,1375502.0,2015.54
2018-03-05,154.0,154.0,148.5,148.8,149.75,1054195.0,1586.07
2018-03-01,157.7,159.65,154.7,155.55,155.6,1160537.0,1824.68
2018-02-28,158.0,159.15,155.8,158.0,157.75,966950.0,1525.56
2018-02-27,165.0,166.0,158.85,160.0,160.0,1201724.0,1947.85
2018-02-26,163.7,166.3,163.1,164.75,164.95,1223982.0,2016.22
2018-02-23,160.0,163.6,159.45,162.4,162.2,1279737.0,2070.03
2018-02-22,159.0,161.4,156.5,158.65,158.7,1294924.0,2055.36
2018-02-21,164.0,165.0,159.15,160.7,161.05,947372.0,1532.34
2018-02-20,168.0,168.25,161.5,162.2,162.4,1209187.0,1986.61
2018-02-19,167.95,170.6,162.2,167.5,167.1,2393685.0,3981.87
2018-02-16,169.3,170.4,160.1,163.7,162.8,1228529.0,2022.88
2018-02-15,172.0,176.0,165.35,167.5,167.45,1572923.0,2690.81
2018-02-14,170.5,177.15,170.4,171.4,171.35,2567211.0,4458.48
2018-02-12,163.65,171.8,163.25,168.7,168.5,2674861.0,4514.03
2018-02-09,154.0,164.5,152.5,161.75,161.5,2403112.0,3837.37
2018-02-08,154.05,163.7,153.7,159.7,159.5,2355796.0,3775.32
2018-02-07,155.75,158.6,152.1,152.35,153.2,1977144.0,3070.35
2018-02-06,145.35,156.5,145.35,150.35,151.2,3067774.0,4657.6
2018-02-05,151.1,165.5,146.6,165.5,161.45,2737232.0,4310.64
2018-02-02,175.0,175.4,161.55,161.55,161.55,2171854.0,3638.3
2018-02-01,180.5,185.85,173.5,179.5,179.5,2244849.0,4048.39
2018-01-31,175.05,189.25,172.5,181.9,182.0,4547395.0,8347.14
2018-01-30,179.4,179.65,171.05,171.55,172.05,1126316.0,1975.22
2018-01-29,183.1,186.3,178.3,179.45,179.85,1955011.0,3568.82
2018-01-25,183.0,187.8,179.35,182.1,182.1,1320661.0,2417.91
2018-01-24,188.0,188.0,181.7,181.95,182.4,1112779.0,2047.14
2018-01-23,192.3,194.2,186.5,188.0,188.4,1710998.0,3268.07
2018-01-22,189.0,195.5,186.1,191.1,191.25,2381929.0,4567.84
2018-01-19,188.4,191.3,184.05,187.45,187.65,1808817.0,3393.47
2018-01-18,197.5,202.85,183.25,187.55,188.0,2617612.0,5116.32
