Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2018-03-13,301.15,311.0,301.0,302.5,302.75,34789.0,106.2
2018-03-12,301.05,305.9,301.0,301.1,301.55,47978.0,145.02
2018-03-09,305.05,308.95,300.0,301.1,300.6,16564.0,50.24
2018-03-08,303.2,309.8,302.5,306.6,306.95,30277.0,92.44
2018-03-07,308.0,308.0,303.0,305.25,306.6,41316.0,126.07
2018-03-06,318.0,318.75,305.0,305.95,307.85,44925.0,139.89
2018-03-05,315.05,319.85,311.65,318.5,317.25,44129.0,139.61
2018-03-01,315.0,320.95,313.1,320.0,319.65,63592.0,201.3
2018-02-28,317.0,318.9,307.55,318.0,315.15,99614.0,310.32
2018-02-27,315.0,321.0,310.05,320.0,319.2,34411.0,108.8
2018-02-26,305.8,317.7,304.85,315.0,315.8,86653.0,271.15
2018-02-23,300.1,307.8,300.1,305.7,305.65,18640.0,56.64
2018-02-22,304.85,306.0,298.05,304.0,303.9,23532.0,71.2
2018-02-21,308.95,308.95,300.05,302.5,302.5,21377.0,64.61
2018-02-20,299.6,306.55,299.0,306.0,304.55,18923.0,57.15
2018-02-19,305.1,311.5,297.05,299.0,299.7,46368.0,139.77
2018-02-16,319.05,320.95,305.0,308.8,307.8,37369.0,116.26
2018-02-15,316.05,320.65,313.9,319.0,318.7,176190.0,559.51
2018-02-14,318.3,324.3,314.1,317.05,318.75,81313.0,259.89
2018-02-12,299.0,340.0,296.2,318.9,318.3,199414.0,642.82
2018-02-09,302.0,310.0,295.15,300.1,300.5,171665.0,517.17
2018-02-08,302.9,309.5,293.0,304.0,302.8,53180.0,161.9
2018-02-07,302.0,302.95,294.45,299.5,299.55,31492.0,94.0
2018-02-06,285.0,299.5,281.1,289.55,291.15,69360.0,202.23
2018-02-05,300.5,301.9,293.15,298.0,298.2,67641.0,201.37
2018-02-02,305.05,312.25,300.05,303.0,304.05,138200.0,420.59
2018-02-01,305.15,312.9,299.0,312.85,311.55,50413.0,154.15
2018-01-31,305.3,311.05,303.0,307.85,307.3,32860.0,100.81
2018-01-30,320.0,320.0,305.75,313.75,311.75,67827.0,210.65
2018-01-29,315.0,327.4,309.05,320.7,321.35,76208.0,243.07
2018-01-25,329.0,329.0,315.05,316.1,316.2,58304.0,186.29
2018-01-24,326.1,329.6,322.1,328.5,326.65,61091.0,199.19
2018-01-23,325.25,329.0,324.1,326.05,326.1,40613.0,132.57
2018-01-22,327.0,329.95,321.25,323.15,324.0,47006.0,153.22
2018-01-19,318.05,329.0,315.2,326.0,326.15,81055.0,262.33
2018-01-18,331.5,332.4,318.0,322.65,320.05,44894.0,146.11
2018-01-17,331.0,332.5,321.15,328.85,328.55,201834.0,661.92
2018-01-16,332.0,335.35,316.25,318.0,318.35,65113.0,210.27
2018-01-15,334.0,339.45,329.3,330.45,332.15,41691.0,139.71
2018-01-12,337.55,339.5,331.1,334.5,336.0,77161.0,259.64
2018-01-11,335.0,338.0,331.7,337.6,336.1,49294.0,165.6
2018-01-10,332.0,339.7,332.0,337.0,335.45,45075.0,151.23
2018-01-09,334.9,337.6,329.0,337.0,335.45,70792.0,235.79
2018-01-08,326.55,334.75,325.8,332.0,332.2,44291.0,147.17
2018-01-05,333.0,334.75,327.0,331.05,329.1,50065.0,165.92
2018-01-04,330.0,333.0,327.1,332.0,331.75,87231.0,288.43
2018-01-03,326.1,332.0,322.4,330.95,329.75,44354.0,145.99
2018-01-02,339.9,339.9,327.05,328.05,328.75,67352.0,223.51
2018-01-01,339.9,344.0,334.65,336.0,336.85,94223.0,319.83
2017-12-29,337.8,341.0,333.5,339.0,336.4,111259.0,375.77
2017-12-28,329.65,339.9,326.2,335.0,334.85,340207.0,1141.21
2017-12-27,324.9,330.5,321.75,325.0,325.75,142694.0,466.1
2017-12-26,324.9,324.9,318.65,320.2,320.95,73961.0,238.01
2017-12-22,328.0,329.0,313.8,317.25,319.05,111682.0,361.13
2017-12-21,323.0,332.35,320.2,321.25,321.65,219940.0,716.99
