Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2018-03-13,136.15,137.5,115.0,122.0,122.15,524145.0,648.09
2018-03-12,141.9,141.9,134.2,135.45,135.8,119489.0,162.27
2018-03-09,142.35,142.6,137.85,138.0,138.75,47533.0,66.42
2018-03-08,143.55,145.9,134.0,141.3,141.2,84797.0,117.11
2018-03-07,147.0,151.9,139.15,141.3,141.45,121117.0,176.72
2018-03-06,148.5,155.0,145.3,149.8,148.8,99573.0,149.64
2018-03-05,147.65,148.9,146.3,146.95,147.05,28795.0,42.51
2018-03-01,154.85,154.9,148.6,149.0,149.25,65366.0,98.89
2018-02-28,156.0,156.0,152.05,153.35,153.55,28693.0,44.33
2018-02-27,160.35,160.35,155.8,156.0,156.55,29792.0,47.01
2018-02-26,162.35,162.35,158.1,158.6,159.1,23595.0,37.79
2018-02-23,158.0,163.8,155.45,159.4,159.35,42505.0,68.09
2018-02-22,158.0,158.6,155.5,155.55,155.8,38629.0,60.46
2018-02-21,166.35,166.35,159.25,160.0,159.8,59038.0,95.0
2018-02-20,168.05,168.15,163.0,163.75,163.9,54046.0,89.47
2018-02-19,170.0,170.2,162.5,166.5,165.9,33330.0,55.24
2018-02-16,176.2,176.95,168.8,170.0,169.9,50051.0,85.69
2018-02-15,179.9,181.95,174.3,175.0,175.0,34906.0,61.91
2018-02-14,181.0,181.0,177.0,180.0,178.85,45523.0,81.58
2018-02-12,179.9,182.75,177.65,178.5,179.5,47202.0,85.01
2018-02-09,174.0,181.5,173.95,176.1,177.15,73460.0,130.54
2018-02-08,171.5,190.85,171.5,186.0,185.6,143626.0,264.32
2018-02-07,170.05,178.0,170.0,170.0,171.05,65942.0,114.67
2018-02-06,162.0,170.3,160.1,168.15,167.45,44220.0,73.75
2018-02-05,168.0,177.0,167.0,174.0,173.3,150012.0,260.65
2018-02-02,170.0,173.95,164.5,168.7,166.85,159556.0,267.8
2018-02-01,181.6,186.0,171.3,173.45,174.0,114891.0,204.34
2018-01-31,190.0,192.6,179.75,180.0,181.1,97383.0,180.14
2018-01-30,197.15,197.45,190.0,190.8,190.8,57317.0,110.36
2018-01-29,203.0,203.0,195.05,199.0,199.55,60490.0,120.52
2018-01-25,202.45,202.45,196.8,198.0,198.3,31250.0,62.12
2018-01-24,204.7,204.7,196.5,201.7,201.2,42945.0,86.37
2018-01-23,202.35,206.8,202.3,204.2,204.3,66868.0,136.78
