Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2018-03-13,2487.0,2590.0,2460.1,2502.0,2499.85,12369.0,312.36
2018-03-12,2394.95,2608.8,2366.25,2487.0,2497.05,32724.0,818.8
2018-03-09,2369.0,2397.95,2351.0,2359.85,2364.0,6010.0,142.16
2018-03-08,2311.0,2399.9,2280.0,2382.7,2358.5,8355.0,195.41
2018-03-07,2322.5,2330.0,2242.25,2306.0,2302.65,4637.0,106.05
2018-03-06,2349.9,2368.0,2300.4,2306.0,2319.95,4847.0,113.22
2018-03-05,2324.95,2340.95,2285.0,2330.0,2328.45,5981.0,138.6
2018-03-01,2283.4,2345.0,2283.4,2292.85,2308.4,8603.0,198.79
2018-02-28,2263.8,2294.0,2235.9,2284.95,2272.3,4390.0,99.48
2018-02-27,2242.0,2275.0,2220.2,2275.0,2264.15,5488.0,123.79
2018-02-26,2245.0,2290.0,2166.7,2222.05,2255.95,8915.0,200.22
2018-02-23,2264.5,2294.0,2170.7,2229.9,2226.55,12373.0,276.15
2018-02-22,2309.5,2309.95,2230.2,2260.0,2261.8,5138.0,116.55
2018-02-21,2280.0,2329.7,2270.05,2305.1,2314.15,3241.0,74.75
2018-02-20,2294.3,2305.05,2266.05,2270.0,2283.6,4095.0,93.54
2018-02-19,2273.15,2318.7,2231.0,2312.15,2291.8,4618.0,105.18
2018-02-16,2329.85,2331.35,2272.0,2273.0,2300.25,3283.0,75.51
2018-02-15,2338.55,2340.0,2312.0,2323.15,2328.15,3244.0,75.5
2018-02-14,2322.45,2350.0,2302.15,2322.2,2332.55,5985.0,139.09
2018-02-12,2355.4,2355.4,2300.2,2312.0,2320.55,5287.0,122.84
2018-02-09,2210.25,2340.0,2210.25,2289.0,2324.65,4969.0,114.29
2018-02-08,2255.0,2364.95,2229.95,2314.0,2328.2,7424.0,170.79
2018-02-07,2260.0,2299.2,2220.0,2220.0,2245.6,5402.0,121.52
2018-02-06,2261.2,2261.2,2133.0,2201.5,2214.85,13926.0,304.87
2018-02-05,2375.0,2375.0,2299.4,2338.0,2334.4,8872.0,207.35
2018-02-02,2559.95,2559.95,2375.0,2402.05,2419.3,11602.0,285.3
2018-02-01,2500.0,2587.3,2478.25,2560.0,2564.7,5975.0,151.53
2018-01-31,2486.0,2547.45,2445.05,2504.1,2522.3,7990.0,200.28
2018-01-30,2550.5,2609.85,2452.0,2527.9,2478.9,23560.0,586.37
2018-01-29,2649.7,2675.0,2580.2,2590.0,2597.4,8565.0,223.61
2018-01-25,2684.75,2684.75,2609.0,2640.0,2646.2,42233.0,1108.98
2018-01-24,2646.0,2689.7,2608.05,2652.0,2666.8,9527.0,253.18
2018-01-23,2633.2,2735.0,2611.25,2620.2,2657.45,12377.0,328.61
2018-01-22,2648.05,2699.7,2648.05,2693.9,2685.0,4729.0,126.59
2018-01-19,2671.55,2714.0,2627.0,2700.0,2687.85,7664.0,204.61
2018-01-18,2657.5,2695.0,2611.05,2650.0,2653.75,9141.0,241.72
2018-01-17,2614.0,2700.0,2493.9,2699.9,2652.2,14975.0,389.65
2018-01-16,2675.0,2675.0,2580.0,2602.15,2614.85,11119.0,290.87
2018-01-15,2660.2,2698.0,2614.2,2645.0,2651.8,11548.0,306.36
2018-01-12,2597.65,2700.0,2575.55,2675.0,2656.05,7778.0,204.86
2018-01-11,2604.1,2625.0,2551.0,2619.8,2597.2,7678.0,198.77
2018-01-10,2687.0,2695.0,2540.0,2600.0,2623.7,21424.0,557.91
2018-01-09,2687.0,2715.0,2660.2,2675.15,2682.9,7026.0,188.45
2018-01-08,2690.0,2729.0,2659.0,2699.7,2694.15,5160.0,138.9
2018-01-05,2697.7,2714.4,2630.0,2714.4,2691.15,5571.0,148.88
2018-01-04,2614.4,2690.0,2610.05,2689.4,2673.05,4075.0,108.33
2018-01-03,2689.95,2692.0,2590.0,2629.9,2619.5,8968.0,236.7
2018-01-02,2690.35,2714.0,2611.0,2714.0,2655.8,6061.0,160.8
2018-01-01,2714.35,2715.9,2657.0,2698.05,2690.35,5284.0,142.22
2017-12-29,2585.95,2730.05,2585.95,2710.0,2674.3,8187.0,217.87
2017-12-28,2600.0,2634.4,2534.25,2634.4,2571.7,6935.0,177.96
2017-12-27,2659.0,2659.0,2450.0,2608.0,2585.35,16663.0,423.1
2017-12-26,2645.0,2668.5,2609.2,2633.9,2628.8,10579.0,278.17
2017-12-22,2590.0,2644.0,2572.4,2603.0,2625.85,3121.0,81.69
2017-12-21,2580.0,2627.95,2580.0,2618.0,2603.7,1268.0,32.92
2017-12-20,2586.95,2620.05,2551.0,2615.0,2599.7,3293.0,85.3
2017-12-19,2560.0,2581.0,2538.0,2569.95,2560.7,21959.0,561.0
2017-12-18,2477.85,2564.15,2465.0,2564.15,2546.7,2526.0,63.99
2017-12-15,2500.0,2548.0,2500.0,2516.0,2528.4,10183.0,257.69
2017-12-14,2500.0,2524.8,2450.15,2510.0,2506.4,4141.0,102.71
2017-12-13,2511.5,2528.3,2491.0,2500.0,2497.9,18104.0,451.65
2017-12-12,2578.9,2583.8,2500.05,2506.6,2525.1,6344.0,161.16
2017-12-11,2606.0,2687.6,2562.2,2562.2,2577.9,10297.0,270.24
2017-12-08,2515.0,2660.0,2515.0,2624.85,2621.7,9558.0,249.37
2017-12-07,2525.0,2548.8,2479.1,2530.0,2505.1,5495.0,137.96
2017-12-06,2494.15,2520.0,2457.1,2519.5,2506.3,3141.0,78.54
2017-12-05,2456.05,2511.0,2456.05,2511.0,2489.15,4044.0,100.56
2017-12-04,2511.1,2519.2,2480.0,2508.0,2499.6,3212.0,80.42
2017-12-01,2545.7,2553.9,2486.0,2500.0,2499.6,4451.0,112.01
2017-11-30,2609.95,2609.95,2520.0,2520.0,2547.0,10840.0,276.72
2017-11-29,2552.1,2615.0,2552.05,2608.5,2602.1,2333.0,60.5
2017-11-28,2649.7,2649.9,2560.1,2570.0,2580.4,36160.0,935.41
2017-11-27,2511.75,2625.0,2505.0,2603.0,2611.0,11843.0,305.85
2017-11-24,2517.4,2525.0,2500.0,2515.0,2511.75,4162.0,104.61
2017-11-23,2492.85,2533.45,2450.05,2500.0,2505.4,6824.0,171.02
2017-11-22,2530.0,2530.0,2475.0,2476.55,2492.85,5678.0,141.53
2017-11-21,2491.0,2544.0,2465.7,2500.0,2494.65,16761.0,419.22
2017-11-20,2466.0,2525.0,2431.15,2489.9,2491.25,5447.0,135.64
2017-11-17,2442.35,2477.95,2388.25,2465.0,2449.8,5309.0,129.56
2017-11-16,2427.95,2429.8,2356.95,2414.7,2401.9,3802.0,91.06
2017-11-15,2447.8,2469.7,2386.05,2404.7,2399.8,7507.0,181.71
