Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2018-03-13,689.0,707.45,686.6,699.45,699.3,2913967.0,20335.36
2018-03-12,693.65,701.75,677.05,689.35,689.0,2492174.0,17113.67
2018-03-09,698.0,709.75,682.0,682.0,688.35,3399667.0,23688.84
2018-03-08,708.15,717.0,655.45,691.0,693.65,4852580.0,33339.84
2018-03-07,720.0,726.65,702.2,708.15,708.0,2220142.0,15832.06
2018-03-06,743.5,751.15,713.8,719.5,720.4,1751233.0,12878.3
2018-03-05,745.45,751.95,734.1,740.0,739.9,1659987.0,12320.91
2018-03-01,750.0,760.9,727.25,745.0,742.8,2250213.0,16937.08
2018-02-28,743.45,750.7,730.0,745.0,746.1,1920592.0,14289.33
2018-02-27,763.5,770.35,740.05,744.1,742.7,2075835.0,15604.72
2018-02-26,750.0,774.0,745.5,763.5,766.25,3403111.0,26051.46
2018-02-23,737.7,752.65,725.75,746.0,745.45,2853445.0,21074.27
2018-02-22,744.9,745.7,731.3,734.65,733.9,1909187.0,14069.04
2018-02-21,756.8,759.2,736.2,745.45,745.9,2165245.0,16189.06
2018-02-20,760.0,764.0,746.6,751.8,751.75,2191731.0,16515.38
2018-02-19,755.0,770.5,742.1,760.0,762.7,4295470.0,32414.92
2018-02-16,760.0,779.4,735.0,744.95,739.95,5252159.0,39688.26
2018-02-15,793.25,793.7,748.55,757.55,756.2,5847764.0,44745.39
2018-02-14,828.0,830.7,796.25,802.85,803.25,3481334.0,28348.73
2018-02-12,797.0,827.2,797.0,822.5,823.4,3981483.0,32502.19
2018-02-09,760.1,798.95,760.1,789.6,791.7,4967663.0,39041.91
2018-02-08,752.0,790.75,751.3,774.15,776.55,4912311.0,37996.41
2018-02-07,721.0,757.15,712.9,735.5,747.0,3998764.0,29368.14
2018-02-06,640.0,718.85,639.0,708.15,709.95,3713022.0,25372.66
2018-02-05,655.0,704.4,646.0,702.05,690.8,2956211.0,19939.76
2018-02-02,768.4,768.4,653.8,687.0,685.6,5685160.0,40274.68
2018-02-01,756.0,774.75,742.65,773.0,769.15,2653589.0,20222.75
2018-01-31,765.2,774.95,751.45,754.0,753.65,2047730.0,15591.62
2018-01-30,748.0,772.85,746.65,764.9,762.4,3116279.0,23775.1
2018-01-29,772.0,776.3,747.0,748.8,749.25,1725752.0,13075.18
2018-01-25,780.05,783.0,759.0,769.0,765.8,2587980.0,19905.19
2018-01-24,795.0,796.3,762.0,782.95,774.35,3494404.0,27121.06
2018-01-23,788.8,823.8,786.0,795.0,795.7,3633682.0,29333.96
2018-01-22,793.0,798.0,780.2,782.2,783.4,1349937.0,10613.79
2018-01-19,794.0,812.0,778.2,792.0,793.2,3427052.0,27209.27
2018-01-18,835.15,843.5,781.55,794.0,791.25,3917234.0,31852.06
