Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2018-03-13,338.0,347.85,336.2,346.85,344.6,58655.0,201.78
2018-03-12,335.0,344.8,334.95,342.0,339.35,87951.0,299.3
2018-03-09,337.25,344.0,330.55,331.6,331.6,27307.0,91.41
2018-03-08,335.0,339.35,329.0,336.6,337.15,60186.0,201.93
2018-03-07,340.6,344.45,331.0,331.95,331.65,50506.0,169.34
2018-03-06,343.5,358.9,340.0,341.95,344.1,111359.0,391.66
2018-03-05,353.05,354.55,338.5,339.0,341.05,42992.0,147.63
2018-03-01,355.8,362.0,352.85,356.95,354.5,41543.0,148.25
2018-02-28,350.0,359.25,345.6,356.0,354.9,45182.0,159.68
2018-02-27,360.95,361.9,349.6,352.5,352.35,38988.0,138.23
2018-02-26,360.0,365.0,357.1,360.0,358.75,50777.0,183.39
2018-02-23,331.35,361.0,331.35,359.5,357.2,248266.0,876.23
2018-02-22,342.0,342.0,327.75,329.9,330.6,60209.0,201.18
2018-02-21,344.4,346.1,336.15,341.7,341.8,36259.0,123.35
2018-02-20,344.0,348.7,338.85,341.9,341.35,34370.0,118.06
2018-02-19,354.0,354.0,335.5,342.85,344.35,51361.0,177.27
2018-02-16,363.75,369.0,350.0,354.15,352.9,70476.0,251.83
2018-02-15,383.0,391.05,358.8,361.3,360.8,186935.0,702.56
2018-02-14,358.0,380.0,358.0,372.5,370.85,449128.0,1680.76
2018-02-12,349.0,362.0,349.0,354.9,355.0,59773.0,213.26
2018-02-09,332.5,351.9,332.5,348.5,345.45,62622.0,215.52
2018-02-08,340.8,348.5,339.95,343.7,342.75,51764.0,178.07
2018-02-07,336.3,350.5,335.65,337.5,337.8,44139.0,150.57
2018-02-06,310.0,339.0,310.0,332.05,332.5,78645.0,257.95
2018-02-05,337.1,348.0,332.75,344.0,343.25,61058.0,208.12
2018-02-02,354.0,356.0,337.2,342.9,342.85,125994.0,435.47
2018-02-01,348.5,365.5,345.0,362.5,362.55,93264.0,332.75
2018-01-31,348.0,354.5,343.15,350.0,348.45,83948.0,293.18
2018-01-30,353.9,363.0,348.0,349.65,349.15,106753.0,378.78
2018-01-29,379.0,399.0,354.0,355.0,357.6,128889.0,475.11
2018-01-25,378.95,385.8,376.0,378.0,377.95,53454.0,203.16
2018-01-24,384.4,385.6,375.65,376.0,377.05,73280.0,278.06
2018-01-23,388.2,390.4,376.7,385.0,384.5,95089.0,367.08
2018-01-22,383.8,389.95,380.1,386.65,386.25,97442.0,374.23
2018-01-19,386.7,392.0,379.2,382.85,381.85,107534.0,413.03
2018-01-18,397.25,404.85,380.1,385.8,384.55,127154.0,500.7
2018-01-17,399.7,401.95,386.25,394.6,394.5,86999.0,343.17
2018-01-16,412.25,417.7,398.05,399.2,399.55,89146.0,362.22
2018-01-15,420.55,427.9,412.55,414.0,414.9,78390.0,328.69
2018-01-12,431.9,433.1,412.0,419.9,419.2,149350.0,633.56
2018-01-11,419.3,445.65,416.0,428.9,428.4,718267.0,3122.22
2018-01-10,411.05,424.0,409.5,418.5,417.6,158051.0,662.04
2018-01-09,418.9,419.0,409.45,410.9,411.25,50558.0,208.74
2018-01-08,419.45,427.0,415.0,415.95,415.9,85650.0,357.89
2018-01-05,421.7,424.4,411.65,416.0,414.35,80427.0,335.95
2018-01-04,421.05,424.9,416.1,419.05,419.05,77976.0,328.34
2018-01-03,410.0,425.65,409.25,421.0,420.1,164506.0,690.75
2018-01-02,413.8,416.8,406.0,408.5,408.45,58263.0,238.61
2018-01-01,416.95,422.65,411.0,411.4,413.7,77222.0,322.69
2017-12-29,417.5,427.0,415.3,416.0,417.2,150425.0,635.35
