Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2018-03-13,118.45,124.25,118.4,124.0,123.3,1591282.0,1935.85
2018-03-12,123.3,123.65,116.15,118.4,118.25,1166314.0,1395.31
2018-03-09,125.7,126.6,120.2,121.8,121.25,1017918.0,1252.04
2018-03-08,126.5,128.0,120.5,124.9,125.15,1723235.0,2151.61
2018-03-07,129.5,130.8,123.85,124.25,124.35,1367784.0,1730.9
2018-03-06,133.0,137.05,128.5,129.15,129.7,903960.0,1202.47
2018-03-05,133.5,134.95,127.3,133.0,131.0,1591635.0,2076.85
2018-03-01,137.25,140.55,134.0,135.0,134.95,765950.0,1051.75
2018-02-28,136.1,139.0,135.2,138.05,138.35,996756.0,1370.14
2018-02-27,142.55,143.3,137.1,137.85,138.25,896552.0,1256.5
2018-02-26,139.75,144.5,138.65,142.25,142.2,1471458.0,2090.78
2018-02-23,135.3,140.0,133.4,137.95,138.7,1483251.0,2039.59
2018-02-22,134.15,137.85,132.2,134.1,134.25,961087.0,1301.71
2018-02-21,135.9,137.9,133.05,136.05,136.4,1523773.0,2066.95
2018-02-20,127.0,136.0,125.45,133.85,133.8,2066432.0,2717.05
2018-02-19,133.5,133.5,123.5,126.9,126.95,1538311.0,1958.83
2018-02-16,137.0,138.8,129.95,132.7,132.45,1171499.0,1559.57
2018-02-15,141.25,143.4,134.5,136.3,135.55,1227760.0,1712.57
2018-02-14,141.5,144.7,139.25,140.15,140.25,1744540.0,2487.71
2018-02-12,135.95,141.8,135.0,139.75,139.85,2193796.0,3049.46
2018-02-09,130.0,136.7,125.6,133.9,134.05,2297630.0,3062.47
2018-02-08,130.15,137.25,130.0,135.5,134.9,3646727.0,4907.56
2018-02-07,134.6,139.9,127.85,127.95,129.6,2855419.0,3810.53
2018-02-06,116.0,135.0,114.85,130.8,132.0,4209604.0,5366.2
2018-02-05,124.9,137.95,120.05,137.7,136.9,3989205.0,5201.55
2018-02-02,147.55,147.8,129.1,130.3,131.0,5472141.0,7411.91
2018-02-01,149.1,155.2,137.35,152.7,151.75,2954460.0,4396.61
2018-01-31,154.05,156.0,147.85,148.1,149.05,1739257.0,2647.17
2018-01-30,152.0,155.3,149.1,154.45,154.05,1490081.0,2281.53
2018-01-29,156.8,159.85,152.1,152.7,152.8,2239170.0,3492.06
2018-01-25,164.35,168.25,152.65,154.6,154.95,4010528.0,6368.46
2018-01-24,176.0,182.25,162.3,167.0,168.1,6265664.0,10846.88
2018-01-23,166.6,177.7,165.25,176.25,175.1,4313999.0,7471.63
2018-01-22,157.9,169.75,157.1,166.4,165.3,4487418.0,7323.15
2018-01-19,155.0,158.7,151.0,157.65,157.75,2170474.0,3377.65
2018-01-18,169.2,172.0,153.25,154.45,154.8,2503634.0,4033.87
2018-01-17,169.3,171.25,159.0,167.4,167.85,2207593.0,3674.07
2018-01-16,175.95,177.8,168.3,169.6,169.35,2793807.0,4804.93
2018-01-15,173.5,180.05,169.4,175.8,175.15,3591970.0,6291.55
2018-01-12,170.8,176.75,163.6,172.0,173.4,4119496.0,7102.57
2018-01-11,162.0,178.25,161.85,168.85,168.8,6797733.0,11625.32
2018-01-10,164.45,164.95,157.5,161.8,161.35,2421398.0,3885.01
2018-01-09,162.5,165.9,156.15,164.7,164.45,2490485.0,4053.38
2018-01-08,162.0,165.25,160.1,161.75,161.85,2119338.0,3443.38
2018-01-05,166.0,166.4,158.1,159.65,159.75,3329617.0,5402.28
2018-01-04,152.1,165.25,151.65,164.95,163.75,6558332.0,10475.44
2018-01-03,143.9,155.6,143.2,151.75,150.15,5194896.0,7848.44
2018-01-02,143.55,144.7,137.05,143.5,142.45,1525425.0,2162.33
2018-01-01,141.15,148.0,141.1,143.4,142.5,3383118.0,4897.82
2017-12-29,138.0,143.7,136.7,138.9,139.85,2704718.0,3799.1
2017-12-28,137.35,139.9,135.1,137.0,137.85,2242548.0,3085.05
2017-12-27,135.0,141.85,133.8,136.15,136.85,3771118.0,5211.59
2017-12-26,126.85,136.4,124.05,133.4,134.25,5268606.0,6922.23
2017-12-22,125.75,132.4,125.25,126.15,126.4,3328130.0,4262.99
2017-12-21,117.0,128.4,116.5,125.15,124.8,3958708.0,4890.36
2017-12-20,114.5,119.75,114.5,116.1,116.2,2174640.0,2551.45
2017-12-19,114.8,115.65,113.55,113.9,114.15,691296.0,791.08
2017-12-18,113.4,116.0,109.0,114.0,113.85,651434.0,743.94
2017-12-15,115.55,116.3,114.0,114.35,114.55,540645.0,621.5
2017-12-14,115.1,116.8,113.05,114.2,114.55,748035.0,858.13
2017-12-13,116.8,117.8,113.0,114.3,114.2,495309.0,573.5
2017-12-12,115.3,120.6,114.35,115.65,116.05,1424481.0,1678.32
2017-12-11,115.75,116.8,114.6,114.9,114.85,429450.0,495.27
2017-12-08,115.25,116.95,114.1,114.5,114.55,654605.0,754.18
2017-12-07,115.85,116.3,114.25,114.7,114.7,610018.0,703.6
2017-12-06,115.6,116.2,114.2,115.0,115.1,513059.0,591.52
2017-12-05,117.4,117.4,114.8,115.6,115.85,636341.0,737.62
2017-12-04,120.7,121.75,117.05,117.8,117.9,595906.0,708.83
2017-12-01,125.4,126.65,118.95,120.05,120.0,855496.0,1056.63
2017-11-30,126.1,127.8,123.9,124.6,125.8,1965127.0,2474.8
2017-11-29,126.4,130.6,125.3,126.05,126.5,2730351.0,3507.52
2017-11-28,127.7,128.9,124.25,125.75,125.55,869053.0,1101.25
2017-11-27,128.0,130.5,125.3,127.0,127.35,1018743.0,1302.49
2017-11-24,127.65,131.8,126.7,127.9,128.0,1942033.0,2510.58
2017-11-23,126.1,133.7,125.3,127.4,127.6,3845290.0,5009.05
2017-11-22,122.0,126.5,120.2,125.4,125.65,1252396.0,1554.65
2017-11-21,119.5,124.3,119.05,121.15,121.25,1204728.0,1467.83
2017-11-20,118.2,119.9,117.5,119.2,119.2,450965.0,537.39
2017-11-17,116.8,120.65,116.8,119.05,119.25,776039.0,921.06
2017-11-16,114.6,117.0,114.35,115.9,116.0,570208.0,660.62
2017-11-15,117.0,118.25,112.1,114.9,114.25,702151.0,810.09
2017-11-14,115.9,118.7,115.45,117.8,117.65,802082.0,940.15
2017-11-13,118.75,120.9,114.1,115.85,114.9,634582.0,740.61
2017-11-10,115.9,119.15,115.0,118.25,118.15,894758.0,1051.88
2017-11-09,113.8,118.2,112.9,115.95,115.65,815874.0,942.7
2017-11-08,118.6,118.6,112.15,112.85,113.0,1194335.0,1368.74
2017-11-07,122.1,122.45,115.2,116.6,116.15,1045687.0,1237.63
2017-11-06,122.2,123.5,121.0,121.9,121.45,716654.0,876.44
2017-11-03,122.6,126.1,121.35,121.9,122.4,1231203.0,1519.24
2017-11-02,123.5,124.75,121.35,121.7,121.8,736639.0,903.65
2017-11-01,125.0,128.3,121.0,122.45,122.7,1922153.0,2408.05
2017-10-31,121.7,127.25,118.1,124.7,124.8,2827867.0,3501.65
2017-10-30,119.9,122.9,119.0,121.0,120.95,990747.0,1202.79
2017-10-27,118.9,122.75,117.5,119.4,118.9,915695.0,1099.87
2017-10-26,117.7,119.65,116.7,117.8,118.3,521134.0,616.3
2017-10-25,120.0,120.35,116.3,116.8,117.35,931091.0,1093.47
2017-10-24,116.0,120.0,115.4,119.6,118.75,1259926.0,1493.14
2017-10-23,116.7,117.4,114.0,115.6,115.45,844155.0,974.17
2017-10-19,116.25,117.4,114.05,114.85,115.25,319160.0,369.87
2017-10-18,118.9,119.2,115.4,116.1,115.85,856512.0,1001.56
2017-10-17,119.45,120.35,117.6,119.35,119.0,766640.0,911.97
2017-10-16,124.2,124.2,117.65,119.25,119.25,1373883.0,1646.33
2017-10-13,124.6,126.95,122.1,123.3,123.15,2698887.0,3364.11
2017-10-12,118.75,125.45,116.4,124.85,123.95,4761213.0,5817.48
2017-10-11,122.2,122.95,114.3,116.95,117.35,2276202.0,2734.47
2017-10-10,118.6,123.0,117.25,121.15,121.15,1391600.0,1678.34
2017-10-09,120.2,123.5,118.5,118.6,119.15,1027870.0,1241.37
2017-10-06,120.0,123.5,119.6,121.0,121.35,1920072.0,2334.89
2017-10-05,116.6,122.35,116.4,119.2,118.65,2498901.0,2984.3
2017-10-04,113.2,120.0,112.75,116.75,116.15,2269198.0,2667.37
2017-10-03,113.45,114.9,111.5,112.5,112.7,492578.0,556.63
2017-09-29,111.9,115.8,111.6,113.0,112.4,906494.0,1030.26
2017-09-28,109.0,112.95,108.25,110.7,110.95,792462.0,877.69
2017-09-27,114.9,117.4,107.0,108.15,108.3,1082310.0,1217.93
2017-09-26,112.6,115.95,111.05,113.2,113.8,1039229.0,1178.89
2017-09-25,117.0,117.4,108.2,111.8,111.25,1127522.0,1258.3
2017-09-22,119.4,123.0,115.65,116.8,117.05,2941892.0,3511.52
2017-09-21,118.2,121.5,110.1,121.2,119.7,2421617.0,2828.96
2017-09-20,117.35,122.5,116.2,117.85,117.95,3651881.0,4360.81
2017-09-19,107.3,119.85,106.4,116.75,116.2,6607094.0,7636.24
2017-09-18,107.4,108.9,105.1,107.9,107.6,1158112.0,1241.36
2017-09-15,104.5,108.2,101.25,106.2,106.4,2043473.0,2152.59
2017-09-14,108.8,108.8,104.4,105.55,105.65,855353.0,907.41
2017-09-13,111.5,111.8,107.7,108.5,108.25,1125333.0,1233.21
2017-09-12,112.6,112.9,110.0,111.1,111.25,1134206.0,1261.55
2017-09-11,111.5,114.4,110.0,111.45,111.55,1906939.0,2144.94
2017-09-08,109.3,112.45,108.1,109.9,110.15,2296097.0,2536.12
2017-09-07,107.95,111.75,107.1,108.3,108.4,2472285.0,2708.27
2017-09-06,105.9,110.5,104.7,107.15,107.35,2849165.0,3077.32
2017-09-05,108.5,110.2,104.3,106.0,106.1,2898841.0,3110.04
2017-09-04,97.55,110.8,95.6,107.8,108.45,5752912.0,6022.97
2017-09-01,98.5,98.7,95.9,97.4,97.5,1340652.0,1304.87
2017-08-31,93.0,97.9,92.55,97.5,97.05,1507665.0,1439.2
2017-08-30,92.1,94.75,92.0,92.6,92.85,794505.0,742.27
2017-08-29,91.2,94.5,90.6,90.8,91.15,1012836.0,938.66
2017-08-28,92.25,92.9,90.8,91.2,91.2,343093.0,314.44
2017-08-24,91.2,93.15,90.25,91.5,91.6,740380.0,678.1
2017-08-23,90.8,91.85,90.1,90.3,90.75,488801.0,444.53
2017-08-22,91.5,92.75,89.85,90.2,90.35,556977.0,507.79
2017-08-21,93.15,93.75,90.15,90.3,90.75,586502.0,539.02
2017-08-18,90.5,92.9,90.3,92.9,92.35,552867.0,507.02
2017-08-17,93.9,95.0,90.4,90.95,91.15,698621.0,644.55
2017-08-16,93.3,94.6,90.45,93.45,93.45,570992.0,529.89
2017-08-14,89.55,93.3,88.75,92.9,92.55,521459.0,475.36
2017-08-11,88.0,89.9,85.4,88.65,88.55,754239.0,662.18
2017-08-10,92.9,92.9,88.55,90.5,89.9,1081477.0,978.65
2017-08-09,92.85,94.35,89.55,93.0,92.8,1141120.0,1048.76
2017-08-08,96.95,97.1,92.6,93.0,93.1,986704.0,927.8
2017-08-07,94.3,97.4,93.4,96.7,96.2,1219084.0,1170.34
2017-08-04,91.0,94.9,89.25,93.6,93.4,3164955.0,2920.46
2017-08-03,105.75,105.95,93.0,93.25,94.35,3852116.0,3816.01
2017-08-02,106.0,107.7,104.1,105.3,106.0,2163750.0,2296.93
2017-08-01,103.5,107.1,102.4,105.45,105.5,3531650.0,3705.36
2017-07-31,99.7,103.7,97.2,103.3,102.7,2936083.0,2966.7
2017-07-28,95.5,99.95,95.0,98.7,99.25,1606596.0,1578.41
2017-07-27,99.6,101.25,95.0,96.7,95.85,1841340.0,1797.58
2017-07-26,97.0,101.7,96.0,98.9,99.3,3302337.0,3293.89
2017-07-25,97.6,100.0,94.55,96.55,96.65,1859689.0,1801.71
2017-07-24,94.25,98.9,93.75,96.95,96.95,2989401.0,2907.06
2017-07-21,94.9,96.0,92.5,93.7,93.7,1577131.0,1488.93
2017-07-20,91.5,96.0,90.15,94.45,95.1,5077466.0,4761.44
2017-07-19,85.85,91.45,85.2,91.0,90.5,2818762.0,2510.94
2017-07-18,83.35,85.9,82.25,85.45,85.1,1177801.0,1001.01
2017-07-17,84.1,86.65,82.5,83.35,83.0,1062095.0,897.26
2017-07-14,86.35,87.3,84.1,84.25,84.5,522873.0,447.0
2017-07-13,88.7,88.75,85.65,85.75,85.95,677494.0,590.06
2017-07-12,86.55,89.3,86.55,87.8,87.6,785059.0,689.59
2017-07-11,88.7,88.7,86.0,86.4,86.25,497649.0,434.28
2017-07-10,88.0,90.05,85.75,87.8,87.9,366583.0,324.1
2017-07-07,87.5,88.65,86.05,86.3,86.35,601917.0,524.83
2017-07-06,90.15,90.8,87.5,87.7,87.75,917544.0,818.99
2017-07-05,88.65,89.9,87.9,89.9,89.45,1183619.0,1050.94
2017-07-04,86.45,88.7,85.8,88.35,88.1,1620709.0,1417.75
2017-07-03,84.6,86.5,84.5,86.5,86.2,916835.0,787.21
2017-06-30,85.0,85.5,83.35,83.9,84.0,693299.0,584.98
2017-06-29,85.4,87.8,84.7,85.8,85.4,1464684.0,1258.59
2017-06-28,81.7,85.4,81.15,83.95,84.25,983572.0,824.71
2017-06-27,82.7,83.5,81.0,82.1,82.3,791727.0,650.55
2017-06-23,86.75,87.25,81.5,82.4,82.1,1736435.0,1443.5
2017-06-22,90.0,91.5,85.7,86.15,86.25,1810677.0,1601.11
2017-06-21,90.75,92.2,89.1,89.7,89.7,3444152.0,3128.29
2017-06-20,85.1,90.4,84.6,89.4,89.65,4212831.0,3716.28
2017-06-19,82.55,86.95,82.5,85.0,84.85,2224625.0,1892.49
2017-06-16,75.9,83.8,75.0,82.3,82.4,4031771.0,3266.46
2017-06-15,75.0,78.5,74.8,75.6,75.5,2079590.0,1588.59
2017-06-14,74.35,74.5,73.1,73.3,73.4,312460.0,230.09
2017-06-13,74.0,74.8,73.95,74.5,74.35,160112.0,119.15
2017-06-12,74.7,75.0,73.45,74.1,73.95,208822.0,154.93
2017-06-09,73.9,74.9,73.45,73.85,73.9,219196.0,162.41
2017-06-08,73.4,74.6,72.55,74.05,73.95,302080.0,223.31
2017-06-07,74.0,74.3,72.7,73.7,73.2,281976.0,206.41
2017-06-06,72.6,76.25,72.6,73.95,73.85,563177.0,420.21
2017-06-05,73.6,73.65,72.45,72.5,72.6,173789.0,126.82
2017-06-02,74.2,74.25,72.75,72.8,73.0,338928.0,248.83
2017-06-01,73.5,74.45,73.25,73.4,73.6,169867.0,125.26
2017-05-31,74.5,74.9,72.9,73.0,73.15,284339.0,209.88
2017-05-30,74.3,75.3,72.55,74.15,73.75,628919.0,465.38
2017-05-29,78.95,79.9,72.8,73.6,76.15,1690487.0,1297.6
2017-05-26,76.25,79.2,76.25,79.0,78.85,511486.0,399.37
2017-05-25,73.9,76.4,73.4,76.0,76.0,323708.0,242.43
2017-05-24,74.85,75.3,72.8,72.8,73.25,463711.0,343.19
2017-05-23,76.1,76.1,73.1,74.0,74.2,328552.0,243.35
2017-05-22,78.9,79.45,75.15,75.15,75.6,299345.0,231.32
2017-05-19,79.05,80.2,76.85,78.2,78.1,297131.0,233.35
2017-05-18,79.9,80.25,78.45,78.7,78.9,363882.0,288.67
2017-05-17,80.55,81.0,80.05,80.1,80.2,231437.0,185.99
2017-05-16,81.3,81.7,80.2,80.55,80.7,453708.0,367.47
2017-05-15,80.05,81.7,79.95,80.9,81.0,317070.0,256.57
2017-05-12,80.9,81.2,79.3,79.75,79.75,297905.0,238.74
2017-05-11,80.5,81.7,80.15,80.7,80.6,342726.0,277.01
2017-05-10,79.95,81.8,79.6,80.25,80.25,487225.0,392.91
2017-05-09,79.9,81.1,79.05,79.5,79.4,341887.0,272.9
2017-05-08,80.4,80.7,78.85,79.25,79.3,358088.0,285.26
2017-05-05,81.0,81.0,79.25,80.0,79.7,332772.0,266.27
2017-05-04,81.7,82.55,80.45,80.65,80.75,580426.0,471.53
2017-05-03,80.75,81.8,80.1,81.4,81.2,405400.0,327.95
2017-05-02,81.0,81.5,79.55,80.25,80.3,283957.0,228.49
2017-04-28,81.0,82.65,80.4,80.6,80.85,473513.0,385.44
2017-04-27,82.4,82.4,80.25,81.0,80.65,421979.0,341.71
2017-04-26,83.3,84.2,81.05,81.8,81.65,406486.0,336.51
2017-04-25,82.05,84.65,82.05,82.8,82.85,957155.0,800.73
2017-04-24,83.4,83.4,81.65,81.9,81.8,369098.0,304.0
2017-04-21,82.95,83.95,81.7,82.25,82.6,673892.0,558.35
2017-04-20,80.7,83.3,80.4,82.6,82.6,554903.0,454.67
2017-04-19,80.5,80.85,79.9,80.65,80.4,322518.0,259.1
2017-04-18,81.05,83.95,79.65,80.4,80.2,855387.0,704.43
2017-04-17,80.2,81.6,79.8,80.85,81.05,561454.0,454.0
2017-04-13,80.0,82.2,79.5,80.0,80.05,568623.0,460.16
2017-04-12,81.25,82.35,78.7,79.85,79.9,778812.0,625.2
2017-04-11,80.4,82.5,80.0,81.25,81.1,634579.0,514.93
2017-04-10,82.05,83.35,79.1,79.8,79.65,997025.0,807.15
2017-04-07,83.9,84.95,81.0,81.5,81.6,893841.0,741.35
2017-04-06,85.0,85.75,83.5,84.2,84.45,492923.0,416.5
2017-04-05,85.0,86.35,84.65,85.75,85.7,738976.0,633.06
2017-04-03,84.15,85.5,83.75,84.45,84.55,576185.0,487.51
2017-03-31,82.5,85.4,82.2,83.25,83.4,630124.0,526.65
2017-03-30,82.0,83.85,81.7,82.5,82.1,375967.0,311.24
2017-03-29,82.0,83.15,81.45,81.5,82.45,820223.0,674.17
2017-03-28,81.2,83.55,81.1,81.7,81.6,637364.0,524.4
2017-03-27,81.0,82.25,80.0,81.0,81.2,734360.0,595.43
2017-03-24,83.3,84.35,81.05,81.35,81.55,697803.0,578.16
2017-03-23,83.0,84.1,82.5,82.9,82.95,945448.0,785.61
2017-03-22,84.15,84.8,82.5,82.65,82.8,703150.0,588.27
2017-03-21,86.0,86.55,84.2,85.25,84.9,802800.0,683.42
2017-03-20,86.0,86.75,85.0,85.75,85.6,904413.0,774.96
2017-03-17,85.45,87.5,84.05,85.95,86.05,2507926.0,2153.58
2017-03-16,81.5,85.5,80.8,84.8,84.7,3729198.0,3145.39
2017-03-15,80.15,81.65,79.2,80.65,80.75,1051317.0,845.31
