Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2018-03-13,108.25,111.7,107.5,110.65,110.3,9589722.0,10546.79
2018-03-12,106.25,108.7,103.45,108.4,107.85,8586386.0,9117.29
2018-03-09,106.7,108.0,103.5,104.35,104.05,9541825.0,10049.4
2018-03-08,105.9,107.25,99.75,105.5,105.25,10040758.0,10398.27
2018-03-07,108.75,110.35,104.0,104.9,104.8,9405109.0,10024.74
2018-03-06,112.9,114.9,108.0,108.0,109.0,9700847.0,10900.03
2018-03-05,114.7,115.2,110.55,111.2,111.2,6486214.0,7257.16
2018-03-01,117.3,118.75,114.6,114.95,115.05,4384555.0,5090.32
2018-02-28,117.35,120.0,116.25,117.05,116.95,6000168.0,7064.25
2018-02-27,121.35,123.2,118.65,119.35,119.3,9429159.0,11409.52
2018-02-26,119.4,121.3,117.75,120.0,120.05,5633537.0,6738.16
2018-02-23,113.3,118.7,112.0,118.5,118.0,12061348.0,13931.6
2018-02-22,114.8,115.0,112.15,112.75,112.75,10899352.0,12329.12
2018-02-21,120.0,120.4,115.6,116.25,116.3,4582633.0,5368.1
2018-02-20,117.1,120.7,117.1,118.4,118.5,5062530.0,6024.84
2018-02-19,118.8,118.8,114.95,117.95,117.6,5432835.0,6339.1
2018-02-16,121.0,122.1,117.2,118.5,118.8,6857458.0,8190.39
2018-02-15,126.1,127.3,118.65,120.1,120.05,11464365.0,14073.81
2018-02-14,124.3,128.45,124.0,124.2,125.15,16913652.0,21388.52
2018-02-12,120.0,124.0,119.55,123.15,123.15,10629353.0,12959.42
2018-02-09,111.3,121.65,110.55,118.5,118.15,15323838.0,17864.07
2018-02-08,112.25,116.4,112.0,115.9,115.0,11911594.0,13687.99
2018-02-07,118.0,118.0,110.6,111.5,111.85,16675204.0,19136.07
2018-02-06,110.0,116.45,107.45,113.9,113.65,29587395.0,33235.51
2018-02-05,107.9,123.5,107.9,122.6,121.3,19584334.0,23121.8
2018-02-02,123.95,125.0,101.4,115.9,116.9,42207388.0,48447.58
2018-02-01,141.4,143.3,123.6,126.8,126.7,45014390.0,60740.17
2018-01-31,142.2,145.1,136.4,140.0,139.95,17730695.0,25005.01
2018-01-30,147.7,148.5,142.2,144.7,144.7,17027110.0,24721.81
2018-01-29,147.4,150.4,145.35,147.6,147.35,12111000.0,17910.03
2018-01-25,144.7,146.7,142.7,145.5,145.6,6583931.0,9529.33
2018-01-24,143.5,147.4,140.7,144.9,144.9,14093051.0,20315.27
2018-01-23,140.5,145.8,140.25,142.95,143.55,18023973.0,25890.92
2018-01-22,136.6,140.45,134.1,139.7,139.8,7703472.0,10600.11
2018-01-19,134.0,138.75,131.2,136.55,136.0,14359560.0,19472.47
2018-01-18,142.7,143.6,131.6,133.25,133.1,8843609.0,12127.79
2018-01-17,138.5,142.3,132.25,141.65,141.3,11642978.0,16114.21
2018-01-16,143.7,145.6,134.05,139.7,138.5,13564775.0,19023.23
