Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2018-03-13,60.55,62.95,59.5,61.75,62.0,492691.0,303.98
2018-03-12,61.5,61.8,57.2,60.05,60.5,603560.0,362.38
2018-03-09,61.6,62.8,59.7,61.0,61.05,483486.0,295.9
2018-03-08,62.0,62.85,60.25,62.0,61.6,383575.0,236.66
2018-03-07,63.5,63.5,61.2,61.4,61.6,245797.0,152.42
2018-03-06,66.95,66.95,63.3,63.4,63.8,356155.0,229.77
2018-03-05,66.8,67.25,65.7,66.05,66.4,220945.0,146.57
2018-03-01,66.2,67.45,66.2,66.9,66.95,210862.0,141.19
2018-02-28,66.9,67.25,66.2,66.5,66.6,596201.0,398.41
2018-02-27,68.0,68.6,66.9,67.25,67.9,1075846.0,730.81
2018-02-26,66.9,68.15,66.0,68.0,67.7,942521.0,630.51
2018-02-23,67.3,67.75,65.8,66.0,66.0,328104.0,217.98
2018-02-22,66.6,67.25,66.05,66.5,66.5,242227.0,161.46
2018-02-21,68.6,68.6,66.6,67.3,67.45,260798.0,176.39
2018-02-20,67.9,68.45,66.9,67.85,67.8,254658.0,172.71
2018-02-19,69.5,70.05,66.4,67.5,67.85,448238.0,302.87
2018-02-16,69.85,70.65,68.25,69.55,69.55,358950.0,249.54
2018-02-15,69.65,71.5,68.65,69.1,69.15,1976164.0,1385.41
2018-02-14,70.5,71.8,69.7,70.1,70.15,266817.0,188.32
2018-02-12,70.9,71.85,69.3,69.35,70.5,274157.0,194.38
2018-02-09,68.5,71.4,68.5,70.25,70.2,295424.0,208.83
2018-02-08,69.9,71.15,69.9,70.3,70.65,186451.0,131.58
2018-02-07,69.1,70.65,69.1,69.45,69.6,184608.0,128.87
2018-02-06,67.05,69.65,67.05,68.6,68.7,436184.0,299.06
2018-02-05,68.2,72.0,65.9,70.55,70.65,487446.0,336.45
2018-02-02,71.85,72.0,67.95,69.0,69.1,704898.0,488.79
2018-02-01,76.0,76.05,71.5,71.95,72.3,375728.0,276.08
2018-01-31,74.4,75.0,73.55,74.4,74.2,456669.0,339.39
2018-01-30,73.1,75.0,73.1,74.3,74.1,200073.0,148.14
2018-01-29,75.3,75.3,73.25,74.0,74.15,316369.0,235.63
2018-01-25,77.0,77.2,74.5,75.1,74.9,360631.0,271.57
2018-01-24,76.0,78.0,75.1,76.6,76.95,902888.0,687.65
2018-01-23,76.85,77.3,75.0,75.55,75.85,507148.0,385.0
2018-01-22,76.85,77.5,75.5,76.75,76.85,289872.0,221.89
2018-01-19,77.25,77.95,75.7,76.5,76.15,421849.0,322.86
2018-01-18,81.0,81.5,76.0,77.0,76.5,733357.0,573.62
2018-01-17,78.4,78.95,76.2,77.65,77.75,1135027.0,881.97
2018-01-16,79.2,79.8,76.65,78.0,78.05,388127.0,303.13
2018-01-15,81.95,83.4,79.2,79.4,79.75,459309.0,371.71
2018-01-12,79.6,82.0,79.0,81.4,81.55,475600.0,384.05
2018-01-11,80.95,80.95,78.9,79.05,79.2,287672.0,229.61
2018-01-10,81.8,81.95,80.25,80.3,80.7,239321.0,193.73
2018-01-09,81.5,82.45,81.0,81.9,81.9,218097.0,178.01
2018-01-08,81.7,81.95,81.05,81.35,81.5,481227.0,392.35
2018-01-05,81.5,82.35,80.8,81.6,81.65,326451.0,266.18
2018-01-04,82.0,82.0,79.5,80.55,81.55,586475.0,476.05
2018-01-03,82.4,82.8,79.75,81.95,82.05,524631.0,424.59
2018-01-02,78.5,83.4,78.0,81.4,81.55,1064911.0,863.92
2018-01-01,78.9,79.15,78.25,78.5,78.55,168386.0,132.55
2017-12-29,79.0,79.15,77.85,78.85,78.55,395313.0,310.29
2017-12-28,78.0,79.4,77.4,78.95,79.05,439287.0,345.7
2017-12-27,78.8,79.15,76.85,78.05,78.0,333759.0,261.44
2017-12-26,78.0,79.2,77.65,78.2,78.2,305086.0,239.15
2017-12-22,78.65,78.95,77.5,78.3,77.9,463120.0,361.32
2017-12-21,77.55,78.6,77.25,78.5,78.35,363277.0,284.0
2017-12-20,77.5,77.95,75.0,77.2,77.25,382391.0,294.35
2017-12-19,76.0,77.5,76.0,76.9,76.95,310875.0,239.12
2017-12-18,73.4,76.3,71.0,76.0,76.0,589783.0,439.99
2017-12-15,74.1,75.0,73.0,73.4,73.45,690543.0,509.27
2017-12-14,74.4,74.95,72.9,73.9,73.55,320592.0,235.41
2017-12-13,75.0,75.6,74.0,74.45,74.4,308349.0,229.41
2017-12-12,77.3,77.3,75.05,75.9,75.6,278538.0,213.1
2017-12-11,76.0,77.25,75.25,76.85,76.8,501547.0,383.67
2017-12-08,75.0,76.5,74.65,75.45,75.65,391657.0,296.07
2017-12-07,75.0,75.6,74.35,74.7,74.65,237906.0,177.94
2017-12-06,75.65,76.1,74.4,74.5,74.7,485863.0,365.51
2017-12-05,75.9,76.2,74.35,76.0,75.65,347490.0,261.36
2017-12-04,75.1,76.0,74.1,75.5,75.35,455750.0,342.32
2017-12-01,74.8,75.5,74.1,75.2,74.55,523393.0,391.35
2017-11-30,75.5,75.65,73.75,74.05,73.9,782549.0,581.71
2017-11-29,77.0,77.45,75.2,75.3,75.6,323891.0,247.05
2017-11-28,75.4,77.6,74.05,76.9,76.95,1023870.0,776.86
2017-11-27,75.95,75.95,74.3,74.55,74.75,357677.0,268.12
2017-11-24,74.3,76.7,74.3,75.6,75.4,571596.0,432.07
2017-11-23,74.6,75.2,73.25,74.45,74.6,1529397.0,1138.7
2017-11-22,75.5,75.8,74.05,74.5,74.5,619508.0,463.32
2017-11-21,75.55,77.1,74.8,74.95,75.35,973896.0,741.76
2017-11-20,75.45,76.6,75.05,75.5,75.4,541455.0,409.76
2017-11-17,76.4,78.45,74.8,75.25,75.1,2023046.0,1535.07
2017-11-16,76.3,77.15,74.3,74.85,74.9,875021.0,662.09
2017-11-15,79.0,79.4,74.95,75.85,75.8,714533.0,552.02
2017-11-14,75.5,79.5,75.5,77.9,77.75,1269782.0,992.75
2017-11-13,77.5,87.9,75.3,76.0,75.9,8578663.0,6825.91
2017-11-10,77.65,78.45,75.0,77.3,77.35,262153.0,202.27
2017-11-09,78.05,80.0,76.85,77.5,77.15,253272.0,197.1
2017-11-08,79.95,79.95,77.05,78.0,77.7,273318.0,214.15
2017-11-07,80.75,81.7,78.0,78.25,78.6,357099.0,284.26
2017-11-06,81.3,82.0,80.0,80.2,80.2,217479.0,175.99
2017-11-03,81.5,82.0,80.15,80.75,80.85,439691.0,356.13
2017-11-02,82.0,82.95,80.5,81.0,80.8,266561.0,217.55
2017-11-01,82.55,83.55,81.7,82.0,82.3,872139.0,723.18
2017-10-31,84.35,85.0,82.2,82.5,82.8,501577.0,417.53
2017-10-30,86.05,87.45,83.1,83.5,83.8,807773.0,689.34
2017-10-27,82.7,90.85,80.75,85.8,85.95,4671984.0,4105.45
2017-10-26,84.0,86.9,80.4,82.8,82.65,962687.0,805.21
2017-10-25,79.0,85.0,76.45,81.6,83.3,2859641.0,2332.28
2017-10-24,73.3,75.2,72.95,73.4,73.55,471445.0,348.94
2017-10-23,74.25,74.5,72.8,73.55,73.3,231576.0,170.67
2017-10-19,75.0,75.0,73.3,73.95,73.75,41516.0,30.65
2017-10-18,74.2,74.2,73.2,73.4,73.4,84817.0,62.41
2017-10-17,74.1,74.5,73.05,74.1,74.1,166454.0,123.26
2017-10-16,74.3,74.3,73.05,74.0,73.8,115031.0,84.76
2017-10-13,73.8,74.0,73.05,73.8,73.55,169863.0,125.2
2017-10-12,73.75,73.8,72.75,73.0,73.05,123651.0,90.5
