Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2018-03-13,990.0,1004.85,976.05,987.6,991.45,55724.0,550.14
2018-03-12,1010.25,1020.0,983.6,991.75,1005.85,30244.0,303.05
2018-03-09,1028.35,1030.0,996.55,1000.0,1004.35,31414.0,316.22
2018-03-08,1015.1,1048.95,995.0,1023.0,1013.65,43664.0,439.7
2018-03-07,1006.0,1018.0,1002.05,1007.0,1010.7,17122.0,172.83
2018-03-06,1019.8,1021.0,1006.0,1015.0,1010.15,9118.0,92.34
2018-03-05,1018.55,1024.7,1006.0,1010.2,1012.85,15082.0,152.54
2018-03-01,1018.0,1031.0,1004.0,1030.0,1024.9,21133.0,215.31
2018-02-28,1015.0,1025.0,992.0,1020.0,1011.8,59951.0,605.09
2018-02-27,1015.0,1030.0,1005.45,1020.0,1024.9,7934.0,80.91
2018-02-26,1028.0,1037.85,1005.0,1005.0,1016.75,25202.0,256.73
2018-02-23,1015.0,1031.2,1010.45,1028.0,1029.2,16993.0,173.77
2018-02-22,1025.15,1032.7,1003.65,1014.5,1019.45,47575.0,483.41
2018-02-21,1048.0,1048.0,1022.0,1030.0,1037.1,12777.0,132.01
2018-02-20,1040.0,1044.95,1016.0,1025.0,1034.0,36097.0,369.34
2018-02-19,1014.0,1051.0,1001.0,1045.0,1032.7,10197.0,104.1
2018-02-16,1025.05,1038.9,1020.05,1022.5,1024.6,14058.0,144.29
2018-02-15,1040.8,1040.8,1022.5,1022.5,1025.3,35670.0,366.9
2018-02-14,1042.0,1042.0,1025.0,1029.5,1030.1,32475.0,334.52
2018-02-12,1043.0,1045.55,1022.0,1026.5,1027.4,15595.0,160.71
2018-02-09,1022.1,1035.15,1020.05,1028.0,1025.85,34764.0,357.15
2018-02-08,1025.0,1044.4,1019.75,1027.0,1038.15,19820.0,204.63
2018-02-07,1069.45,1085.0,1010.95,1020.0,1018.5,36190.0,372.57
2018-02-06,1003.15,1067.95,1003.15,1048.1,1053.65,19531.0,203.06
