Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2018-03-13,293.7,308.9,291.05,301.0,300.1,88749.0,267.31
2018-03-12,285.7,296.95,285.7,296.1,295.6,80833.0,236.79
2018-03-09,289.0,292.0,282.0,285.45,284.45,91237.0,260.3
2018-03-08,299.15,304.4,284.0,286.0,285.7,377331.0,1080.02
2018-03-07,301.0,302.95,291.0,296.0,297.05,68514.0,204.0
2018-03-06,312.9,316.85,300.0,301.0,300.95,62631.0,192.09
2018-03-05,317.0,322.0,307.0,307.3,309.9,63668.0,200.16
2018-03-01,320.0,324.85,316.6,317.7,318.55,39320.0,125.89
2018-02-28,320.0,327.5,316.8,320.0,322.35,60099.0,193.65
2018-02-27,330.4,332.9,318.75,324.0,324.3,66344.0,215.18
2018-02-26,339.0,339.0,322.9,326.5,325.35,62123.0,204.57
2018-02-23,333.65,335.05,329.05,335.0,333.9,58007.0,192.66
2018-02-22,328.0,332.8,323.65,331.95,329.4,40857.0,134.3
2018-02-21,331.0,333.95,325.0,328.3,330.65,55632.0,182.67
2018-02-20,331.9,335.0,323.7,328.8,328.4,78397.0,257.82
2018-02-19,330.4,331.6,317.1,329.0,326.6,84128.0,273.28
2018-02-16,341.55,351.35,326.4,327.0,328.4,112004.0,378.19
2018-02-15,356.95,365.0,340.0,341.0,341.0,205635.0,724.02
2018-02-14,368.05,374.85,342.25,352.0,351.0,366679.0,1301.6
2018-02-12,325.35,375.0,317.15,365.0,362.65,649070.0,2284.26
2018-02-09,292.1,320.0,292.1,315.5,316.15,116097.0,355.99
2018-02-08,302.0,312.0,300.05,310.0,307.35,99268.0,305.07
2018-02-07,307.9,315.2,291.25,296.55,296.8,96529.0,289.11
2018-02-06,276.7,302.35,271.0,291.0,291.8,126840.0,358.14
2018-02-05,290.0,296.0,269.55,295.0,288.55,188355.0,532.93
2018-02-02,321.85,321.85,291.0,295.1,293.65,251879.0,761.47
2018-02-01,333.0,339.5,310.1,324.2,321.85,168241.0,558.34
2018-01-31,310.1,335.25,310.1,332.55,332.1,211587.0,700.52
2018-01-30,321.0,321.9,304.85,313.9,315.1,115896.0,363.26
2018-01-29,330.0,334.95,322.0,325.8,324.85,49293.0,161.8
2018-01-25,330.75,336.65,325.0,325.0,327.25,49058.0,162.41
2018-01-24,336.2,338.8,322.25,333.0,330.75,87104.0,287.74
2018-01-23,336.15,342.35,330.0,336.15,334.35,72540.0,244.05
2018-01-22,326.0,345.0,326.0,337.0,336.05,212094.0,714.96
2018-01-19,328.55,330.2,318.1,320.5,320.4,102905.0,331.09
2018-01-18,336.3,349.0,317.0,322.8,321.5,68010.0,225.9
2018-01-17,327.25,339.0,317.75,338.1,335.05,75470.0,249.13
2018-01-16,343.7,343.7,317.5,325.3,326.5,141501.0,465.07
2018-01-15,352.0,355.5,335.25,339.1,340.3,97343.0,339.37
2018-01-12,360.0,360.0,345.0,347.2,348.2,90852.0,320.77
2018-01-11,339.75,362.8,334.2,355.5,355.05,363920.0,1283.95
2018-01-10,338.7,345.0,335.5,339.5,339.75,117266.0,398.77
2018-01-09,318.15,350.0,315.6,338.0,335.7,441986.0,1475.68
2018-01-08,317.95,320.8,315.0,320.0,318.15,74648.0,237.19
2018-01-05,316.7,322.0,315.05,318.1,317.95,67457.0,214.48
2018-01-04,319.8,320.0,312.15,314.9,314.35,109014.0,345.99
2018-01-03,310.0,318.7,305.0,317.9,316.0,114450.0,357.98
2018-01-02,306.5,309.9,301.7,306.0,307.85,55124.0,168.74
2018-01-01,297.7,312.4,297.7,300.0,306.35,98701.0,301.36
2017-12-29,307.5,307.5,295.65,301.0,300.05,187396.0,559.48
2017-12-28,308.6,312.7,299.85,301.2,301.75,104229.0,318.26
2017-12-27,318.7,321.5,301.1,306.05,308.2,99336.0,311.38
2017-12-26,316.1,323.55,316.1,321.9,319.35,75111.0,240.1
2017-12-22,321.1,326.05,318.05,318.5,320.05,74042.0,237.59
2017-12-21,323.0,325.0,316.05,318.0,318.45,83448.0,267.17
2017-12-20,318.8,329.0,311.3,320.05,320.1,125470.0,404.14
2017-12-19,315.0,320.0,309.25,314.0,316.3,70715.0,224.6
2017-12-18,308.0,319.9,295.0,315.7,313.5,117463.0,367.79
2017-12-15,304.4,320.0,301.1,306.1,307.65,198732.0,617.3
2017-12-14,302.3,309.65,291.0,296.6,297.05,127004.0,378.92
2017-12-13,304.95,310.0,292.5,297.0,295.5,86838.0,263.32
2017-12-12,310.0,321.0,294.95,300.0,301.4,119460.0,369.04
2017-12-11,331.85,333.9,308.75,310.95,311.2,181380.0,576.73
2017-12-08,298.7,345.05,294.05,328.9,325.4,407290.0,1297.2
2017-12-07,292.05,299.0,292.05,295.6,295.3,68556.0,202.37
2017-12-06,293.9,293.9,287.5,292.3,291.9,42451.0,123.41
2017-12-05,292.0,293.5,279.95,290.1,291.55,71465.0,204.81
2017-12-04,291.8,292.4,282.1,291.9,290.8,61204.0,175.88
2017-12-01,293.8,297.4,278.0,290.0,285.45,120217.0,344.65
2017-11-30,291.9,298.0,282.15,292.0,290.9,169033.0,486.59
2017-11-29,296.6,301.0,286.15,291.0,290.65,113497.0,329.52
2017-11-28,303.75,308.8,295.1,299.7,296.6,95709.0,288.32
2017-11-27,298.4,304.8,295.6,300.05,301.3,69040.0,207.46
2017-11-24,301.8,309.5,295.05,300.1,298.4,337149.0,1015.28
2017-11-23,293.45,301.9,290.05,300.3,299.9,341208.0,1017.11
2017-11-22,292.45,302.3,285.0,291.0,292.0,439757.0,1286.28
2017-11-21,280.0,292.0,278.2,290.0,289.85,881819.0,2511.89
2017-11-20,268.0,284.5,259.0,278.5,278.05,357238.0,975.26
2017-11-17,268.0,268.0,259.0,264.0,263.7,95768.0,252.39
2017-11-16,254.7,260.0,251.25,254.5,255.9,89277.0,227.6
2017-11-15,248.45,250.65,240.0,250.65,247.25,112769.0,277.94
2017-11-14,246.0,252.35,246.0,248.6,248.45,54623.0,136.18
2017-11-13,250.0,254.4,248.0,250.0,250.2,34288.0,86.17
2017-11-10,250.0,254.8,248.0,250.0,251.3,42495.0,107.12
2017-11-09,252.8,254.75,248.0,250.8,249.5,74294.0,186.12
2017-11-08,252.25,260.0,246.0,250.0,248.9,113359.0,286.58
2017-11-07,262.0,265.3,248.2,256.0,255.0,119666.0,308.04
2017-11-06,264.9,267.95,259.0,262.0,261.25,185517.0,490.16
2017-11-03,255.8,258.2,249.5,254.0,253.5,90362.0,228.62
2017-11-02,256.0,265.0,221.1,255.0,250.6,222931.0,565.06
2017-11-01,269.9,270.9,264.05,264.25,266.9,50106.0,134.5
2017-10-31,272.6,275.55,263.1,264.6,264.85,80326.0,215.12
2017-10-30,264.9,275.35,261.0,273.0,272.6,174290.0,473.24
2017-10-27,272.0,272.45,257.3,259.0,260.3,128416.0,339.59
2017-10-26,260.0,276.1,257.95,269.5,270.75,322384.0,868.71
2017-10-25,243.95,287.7,237.6,261.0,257.6,765571.0,2020.05
2017-10-24,238.15,244.0,233.05,242.8,241.8,244445.0,589.04
2017-10-23,226.8,245.9,225.25,238.9,238.15,117599.0,277.43
2017-10-19,232.5,234.95,227.25,229.0,229.7,35693.0,82.21
2017-10-18,227.9,236.9,225.35,232.5,232.4,154539.0,358.13
2017-10-17,226.2,229.85,220.1,227.0,225.55,353254.0,792.09
2017-10-16,221.0,231.0,221.0,226.2,224.9,276258.0,618.17
2017-10-13,226.0,232.8,219.0,220.5,221.0,119002.0,268.58
2017-10-12,221.5,229.95,219.45,228.0,228.15,229452.0,518.63
2017-10-11,227.25,231.9,217.3,219.4,220.15,256670.0,584.05
2017-10-10,230.9,234.15,217.2,226.0,227.45,292814.0,668.19
2017-10-09,223.0,231.0,218.1,231.0,229.45,271082.0,616.25
2017-10-06,211.3,228.0,211.3,217.9,217.2,117449.0,256.14
2017-10-05,210.3,216.0,210.1,214.0,211.05,47064.0,100.07
2017-10-04,205.9,215.0,205.25,214.0,212.95,140064.0,295.18
2017-10-03,208.7,210.0,202.0,202.05,203.85,52118.0,108.3
2017-09-29,207.0,213.0,203.0,205.0,204.35,93559.0,194.99
2017-09-28,202.0,210.25,201.5,209.9,208.1,62195.0,129.43
2017-09-27,212.2,213.85,200.0,206.0,202.7,122872.0,256.26
2017-09-26,215.0,217.5,206.1,209.0,209.65,75080.0,159.56
2017-09-25,219.5,219.5,205.8,215.0,212.2,134554.0,282.43
2017-09-22,221.1,223.8,213.1,217.1,218.95,105545.0,229.79
2017-09-21,227.95,227.95,218.0,222.25,223.95,68048.0,151.39
2017-09-20,226.1,234.9,225.2,227.0,226.7,63943.0,146.39
2017-09-19,240.0,250.0,227.0,231.4,231.6,344717.0,824.88
2017-09-18,212.0,234.85,212.0,234.85,234.85,295973.0,677.78
2017-09-15,214.0,217.0,197.05,217.0,213.5,435097.0,917.44
2017-09-14,212.0,214.9,209.1,214.0,213.75,214829.0,455.75
2017-09-13,209.1,214.9,205.1,210.9,211.9,392170.0,827.35
2017-09-12,210.9,212.9,207.5,210.2,209.65,659603.0,1378.13
2017-09-11,211.1,214.45,206.8,209.1,209.05,185274.0,388.89
2017-09-08,207.2,210.55,207.05,209.95,209.6,270778.0,566.61
2017-09-07,202.0,208.6,200.05,206.0,206.2,273939.0,560.68
2017-09-06,193.3,201.65,189.4,200.1,199.4,207850.0,408.59
2017-09-05,194.8,194.8,190.2,192.35,192.0,525011.0,1009.58
2017-09-04,192.0,196.0,188.0,191.5,192.15,322071.0,619.07
2017-09-01,196.0,197.95,192.1,192.1,193.3,185780.0,360.58
2017-08-31,197.5,197.5,192.5,194.0,195.15,164084.0,319.22
2017-08-30,195.0,199.9,192.05,196.0,195.0,150766.0,294.41
2017-08-29,199.0,200.55,193.05,193.65,193.95,174632.0,341.91
2017-08-28,199.9,202.0,193.5,199.4,198.5,596188.0,1185.11
2017-08-24,190.0,202.7,182.5,195.0,196.1,848334.0,1666.1
2017-08-23,193.95,193.95,185.7,188.0,188.65,193156.0,364.46
2017-08-22,197.4,200.3,185.1,191.05,189.8,286418.0,543.34
2017-08-21,209.95,213.0,194.0,195.0,196.05,331300.0,667.54
2017-08-18,208.0,209.8,200.3,208.0,208.55,311725.0,639.8
2017-08-17,214.0,220.8,208.0,211.5,211.45,1075391.0,2300.23
2017-08-16,191.4,205.95,187.0,205.95,205.95,1490938.0,2983.31
2017-08-14,182.55,206.0,181.9,186.15,187.25,5021035.0,9640.18
2017-08-11,227.35,236.35,227.35,227.35,227.35,197004.0,448.14
2017-08-07,286.0,287.95,281.95,283.0,284.15,31331.0,89.23
2017-08-04,290.5,292.05,281.05,284.25,285.1,55808.0,160.41
2017-08-03,294.8,295.0,285.0,294.5,289.95,62851.0,181.52
2017-08-02,292.15,295.95,291.0,291.2,291.8,30913.0,90.45
2017-08-01,290.0,296.0,288.15,295.2,295.0,44662.0,130.62
2017-07-31,299.4,299.4,287.75,288.0,290.25,112599.0,329.95
2017-07-28,295.45,298.95,293.5,295.0,296.35,28055.0,82.87
2017-07-27,296.7,298.95,293.6,297.9,295.4,53533.0,157.89
2017-07-26,295.1,299.9,293.5,294.15,296.7,43393.0,128.56
2017-07-25,293.3,296.85,293.3,295.55,294.95,25644.0,75.62
2017-07-24,285.8,296.9,285.8,295.0,295.75,96164.0,281.63
2017-07-21,295.3,297.8,288.0,288.7,290.6,69130.0,203.01
2017-07-20,293.0,297.5,293.0,296.3,296.15,63480.0,187.36
2017-07-19,300.0,300.0,289.75,293.4,293.4,80819.0,237.86
2017-07-18,294.9,300.0,294.15,295.0,294.8,43361.0,128.15
2017-07-17,302.0,303.0,294.05,295.25,294.95,58963.0,174.72
2017-07-14,308.8,310.55,301.0,301.85,302.0,60848.0,184.84
2017-07-13,305.5,311.65,305.5,309.75,308.6,42091.0,129.98
2017-07-12,311.9,312.9,305.25,306.0,307.55,38243.0,118.04
2017-07-11,305.2,315.4,302.45,308.0,307.9,166097.0,515.52
2017-07-10,302.5,306.25,294.05,304.35,304.7,15265.0,46.47
2017-07-07,303.2,316.5,296.75,301.0,302.25,245297.0,758.92
2017-07-06,295.5,309.75,295.5,302.0,303.4,167133.0,511.03
2017-07-05,295.4,298.0,293.45,297.5,295.3,35177.0,104.1
2017-07-04,295.0,301.5,291.2,301.5,298.35,101893.0,301.1
2017-07-03,298.0,302.55,291.1,295.3,294.85,306870.0,905.23
2017-06-30,293.5,301.4,288.05,300.0,297.95,131633.0,388.12
2017-06-29,290.0,297.45,289.6,294.0,295.2,68866.0,203.15
2017-06-28,282.0,291.0,281.0,288.0,289.55,59108.0,170.06
2017-06-27,285.5,291.0,281.25,282.0,284.2,160983.0,461.32
2017-06-23,290.9,292.45,284.0,287.95,286.95,207101.0,599.53
2017-06-22,285.55,293.85,285.55,293.75,290.85,101746.0,296.3
2017-06-21,292.95,294.0,285.25,285.5,287.35,93471.0,271.08
2017-06-20,297.8,300.85,291.85,292.7,292.9,130858.0,386.37
2017-06-19,295.5,297.4,292.0,295.4,296.05,106677.0,314.34
2017-06-16,293.0,298.65,291.4,296.0,296.55,106448.0,314.21
2017-06-15,289.65,296.0,289.65,293.0,293.0,66157.0,193.99
