Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2018-03-13,422.0,432.45,417.6,425.6,425.4,133916.0,565.84
2018-03-12,419.0,426.95,417.05,421.75,422.6,111328.0,466.13
2018-03-09,411.05,420.35,411.05,418.0,419.05,77550.0,324.09
2018-03-08,415.65,422.0,410.0,410.85,414.1,87359.0,363.56
2018-03-07,425.0,427.95,417.2,418.6,419.7,67387.0,283.84
2018-03-06,427.0,434.95,425.2,425.9,426.25,54931.0,234.86
2018-03-05,430.0,436.55,426.0,428.0,428.1,642904.0,2755.89
2018-03-01,422.0,438.0,421.05,428.85,431.6,96815.0,414.22
2018-02-28,434.0,437.5,419.8,421.4,424.85,80816.0,347.91
2018-02-27,432.0,437.0,429.0,435.0,435.9,46466.0,201.93
2018-02-26,425.95,436.2,420.0,433.55,433.15,72873.0,311.52
2018-02-23,417.3,434.9,417.3,423.9,425.8,63703.0,270.85
2018-02-22,419.75,422.75,413.0,415.5,420.6,35289.0,148.04
2018-02-21,419.95,421.0,411.65,420.95,420.15,37564.0,156.61
2018-02-20,411.0,420.8,411.0,420.0,419.1,45271.0,189.31
2018-02-19,419.7,422.85,410.0,411.0,415.95,36385.0,151.66
2018-02-16,422.75,429.9,418.05,419.7,420.75,79428.0,337.46
2018-02-15,424.1,429.6,418.6,423.35,422.75,52990.0,225.32
2018-02-14,424.4,430.0,417.1,424.1,425.55,67938.0,288.53
2018-02-12,415.0,425.0,410.85,421.85,423.8,64468.0,270.95
2018-02-09,412.7,436.9,401.7,412.5,415.1,48117.0,201.29
2018-02-08,410.95,426.55,402.0,422.5,419.25,99405.0,410.21
2018-02-07,409.0,412.85,402.0,402.0,406.2,51426.0,209.8
2018-02-06,402.0,410.0,390.0,400.05,401.65,93486.0,375.76
2018-02-05,405.0,418.0,399.0,410.0,409.35,66440.0,270.62
2018-02-02,412.05,412.35,403.2,405.1,405.2,77440.0,315.31
2018-02-01,411.0,420.9,408.95,411.05,413.25,364390.0,1526.98
2018-01-31,416.0,420.0,410.55,411.0,411.75,557088.0,2306.48
2018-01-30,416.95,416.95,406.2,413.9,413.15,93008.0,382.03
2018-01-29,416.8,424.0,411.0,414.0,412.8,92688.0,385.68
2018-01-25,428.0,428.0,418.0,420.0,421.05,68586.0,290.73
2018-01-24,429.95,431.9,422.0,425.0,424.15,32698.0,139.08
2018-01-23,435.0,438.95,425.2,425.2,428.2,67623.0,289.97
2018-01-22,433.05,437.05,429.0,432.0,430.7,27503.0,119.01
2018-01-19,442.0,444.75,428.0,440.0,433.65,104130.0,452.35
2018-01-18,449.05,451.15,440.1,442.2,443.35,46046.0,205.52
2018-01-17,451.0,452.65,443.0,448.05,447.7,258630.0,1158.83
2018-01-16,439.95,460.4,439.9,449.5,448.3,191934.0,866.24
2018-01-15,445.5,455.0,433.0,439.45,438.45,54475.0,242.09
2018-01-12,450.05,456.9,445.0,445.0,446.0,50623.0,227.84
2018-01-11,450.6,459.95,447.1,448.45,449.4,42701.0,193.12
2018-01-10,448.9,449.9,442.0,446.05,446.5,40286.0,179.79
2018-01-09,446.25,450.55,439.3,446.0,443.95,62982.0,279.94
2018-01-08,446.1,452.4,443.65,451.0,450.6,34937.0,156.68
2018-01-05,449.9,456.4,444.2,446.7,447.6,120445.0,544.66
2018-01-04,445.75,453.4,440.85,448.0,447.9,182192.0,815.04
2018-01-03,440.8,445.75,438.8,440.0,441.9,32446.0,143.56
2018-01-02,441.25,444.9,438.0,441.85,440.8,37866.0,167.28
2018-01-01,443.95,444.85,439.05,440.0,440.15,31627.0,139.49
2017-12-29,432.25,442.0,432.25,441.0,439.9,46880.0,205.64
2017-12-28,435.15,438.9,431.0,431.05,431.9,32113.0,138.96
2017-12-27,442.7,447.65,434.2,434.2,435.1,31185.0,136.9
2017-12-26,442.1,449.9,438.2,438.35,439.65,46107.0,203.65
2017-12-22,455.0,456.5,441.0,442.95,444.25,42309.0,189.56
2017-12-21,461.0,465.9,450.0,453.0,451.95,49604.0,226.57
2017-12-20,439.0,475.0,438.05,458.5,458.7,253599.0,1152.54
2017-12-19,433.0,443.0,433.0,441.0,441.0,148272.0,652.39
2017-12-18,437.4,444.0,424.0,433.0,432.7,79700.0,346.92
2017-12-15,444.0,444.7,434.2,436.1,438.6,129221.0,566.97
2017-12-14,429.0,442.0,423.0,437.5,440.35,172889.0,754.74
2017-12-13,412.3,433.6,409.5,432.7,429.35,374040.0,1585.91
2017-12-12,417.0,417.9,409.95,412.0,411.55,41898.0,172.71
2017-12-11,417.95,417.95,412.85,413.0,414.0,26803.0,111.24
2017-12-08,414.75,422.85,410.85,414.0,415.3,84329.0,351.99
2017-12-07,412.0,418.0,408.1,410.55,411.25,56119.0,231.52
2017-12-06,410.0,415.0,408.05,412.0,412.1,39016.0,160.96
2017-12-05,410.95,414.0,405.25,412.35,411.6,54713.0,223.7
2017-12-04,412.0,412.0,402.1,411.0,410.25,46578.0,190.63
2017-12-01,410.05,415.0,406.0,410.5,410.0,97640.0,400.45
2017-11-30,412.0,412.0,403.0,410.0,409.6,69622.0,284.98
2017-11-29,411.7,418.9,406.35,410.2,409.55,112826.0,462.69
2017-11-28,413.0,417.0,405.0,409.95,408.15,124350.0,511.81
