Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2018-03-13,153.9,156.95,153.65,154.95,155.35,875922.0,1359.39
2018-03-12,155.0,155.95,151.8,153.8,153.75,459500.0,706.98
2018-03-09,154.6,156.8,152.0,153.5,153.4,880261.0,1360.64
2018-03-08,153.65,154.8,147.55,154.0,153.95,942253.0,1426.68
2018-03-07,155.6,155.7,150.25,152.2,152.6,793828.0,1211.17
2018-03-06,158.3,159.85,154.15,155.0,155.7,874797.0,1377.03
2018-03-05,154.9,158.0,153.4,156.9,157.0,1828188.0,2849.02
2018-03-01,152.0,155.2,150.55,154.0,153.3,1298477.0,1987.65
2018-02-28,148.35,151.9,146.55,151.7,150.5,1606617.0,2404.18
2018-02-27,150.4,151.9,146.0,148.0,147.55,1620775.0,2406.77
2018-02-26,153.75,155.95,147.2,149.35,149.35,1418462.0,2160.65
2018-02-23,151.95,155.85,151.5,153.0,153.15,1096678.0,1689.6
2018-02-22,152.8,154.5,150.35,151.0,151.2,876969.0,1336.22
2018-02-21,158.1,158.9,151.7,152.8,152.85,1461619.0,2250.16
2018-02-20,162.0,163.15,157.05,157.3,157.75,1082942.0,1732.49
2018-02-19,165.8,165.8,158.35,160.0,160.15,1112885.0,1795.27
2018-02-16,173.7,174.85,163.0,164.9,164.65,913500.0,1540.87
2018-02-15,175.0,178.15,171.25,172.5,172.65,1390463.0,2433.1
2018-02-14,185.0,185.0,174.1,174.9,175.75,3678905.0,6607.89
2018-02-12,180.0,193.0,180.0,188.4,190.3,4345201.0,8183.48
2018-02-09,171.6,180.6,171.6,177.1,177.25,882586.0,1559.19
2018-02-08,172.15,178.7,172.15,176.4,176.7,1226436.0,2167.54
2018-02-07,170.45,176.0,170.0,170.0,171.65,743199.0,1284.65
2018-02-06,158.2,172.75,157.6,166.65,167.2,1378372.0,2325.1
2018-02-05,170.0,179.25,168.0,174.35,174.6,1247766.0,2174.09
2018-02-02,184.7,186.5,172.5,174.0,173.9,3193166.0,5677.94
2018-02-01,175.75,192.45,174.1,188.65,187.95,5066056.0,9438.67
